"Plot Title: Schlagel- (NEW WMA)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739505, SEN S/N: 10739505)","Coupler Detached (LGR S/N: 10739505)","Coupler Attached (LGR S/N: 10739505)","Host Connected (LGR S/N: 10739505)","Stopped (LGR S/N: 10739505)","End Of File (LGR S/N: 10739505)"
1,06/21/16 03:00:00 PM,79.612,Logged,,,,
2,06/21/16 03:15:00 PM,79.963,,,,,
3,06/21/16 03:30:00 PM,80.361,,,,,
4,06/21/16 03:45:00 PM,80.668,,,,,
5,06/21/16 04:00:00 PM,80.978,,,,,
6,06/21/16 04:15:00 PM,81.244,,,,,
7,06/21/16 04:30:00 PM,81.509,,,,,
8,06/21/16 04:45:00 PM,81.730,,,,,
9,06/21/16 05:00:00 PM,81.952,,,,,
10,06/21/16 05:15:00 PM,82.130,,,,,
11,06/21/16 05:30:00 PM,82.308,,,,,
12,06/21/16 05:45:00 PM,82.396,,,,,
13,06/21/16 06:00:00 PM,82.441,,,,,
14,06/21/16 06:15:00 PM,82.486,,,,,
15,06/21/16 06:30:00 PM,82.486,,,,,
16,06/21/16 06:45:00 PM,82.441,,,,,
17,06/21/16 07:00:00 PM,82.396,,,,,
18,06/21/16 07:15:00 PM,82.308,,,,,
19,06/21/16 07:30:00 PM,82.175,,,,,
20,06/21/16 07:45:00 PM,82.042,,,,,
21,06/21/16 08:00:00 PM,81.909,,,,,
22,06/21/16 08:15:00 PM,81.775,,,,,
23,06/21/16 08:30:00 PM,81.642,,,,,
24,06/21/16 08:45:00 PM,81.554,,,,,
25,06/21/16 09:00:00 PM,81.466,,,,,
26,06/21/16 09:15:00 PM,81.333,,,,,
27,06/21/16 09:30:00 PM,81.199,,,,,
28,06/21/16 09:45:00 PM,81.066,,,,,
29,06/21/16 10:00:00 PM,80.935,,,,,
30,06/21/16 10:15:00 PM,80.757,,,,,
31,06/21/16 10:30:00 PM,80.668,,,,,
32,06/21/16 10:45:00 PM,80.492,,,,,
33,06/21/16 11:00:00 PM,80.361,,,,,
34,06/21/16 11:15:00 PM,80.227,,,,,
35,06/21/16 11:30:00 PM,80.051,,,,,
36,06/21/16 11:45:00 PM,79.876,,,,,
37,06/22/16 12:00:00 AM,79.700,,,,,
38,06/22/16 12:15:00 AM,79.567,,,,,
39,06/22/16 12:30:00 AM,79.304,,,,,
40,06/22/16 12:45:00 AM,79.084,,,,,
41,06/22/16 01:00:00 AM,78.822,,,,,
42,06/22/16 01:15:00 AM,78.602,,,,,
43,06/22/16 01:30:00 AM,78.339,,,,,
44,06/22/16 01:45:00 AM,78.121,,,,,
45,06/22/16 02:00:00 AM,77.859,,,,,
46,06/22/16 02:15:00 AM,77.639,,,,,
47,06/22/16 02:30:00 AM,77.464,,,,,
48,06/22/16 02:45:00 AM,77.247,,,,,
49,06/22/16 03:00:00 AM,77.029,,,,,
50,06/22/16 03:15:00 AM,76.811,,,,,
51,06/22/16 03:30:00 AM,76.593,,,,,
52,06/22/16 03:45:00 AM,76.332,,,,,
53,06/22/16 04:00:00 AM,76.114,,,,,
54,06/22/16 04:15:00 AM,75.898,,,,,
55,06/22/16 04:30:00 AM,75.767,,,,,
56,06/22/16 04:45:00 AM,75.594,,,,,
57,06/22/16 05:00:00 AM,75.420,,,,,
58,06/22/16 05:15:00 AM,75.247,,,,,
59,06/22/16 05:30:00 AM,75.074,,,,,
60,06/22/16 05:45:00 AM,74.899,,,,,
61,06/22/16 06:00:00 AM,74.770,,,,,
62,06/22/16 06:15:00 AM,74.640,,,,,
63,06/22/16 06:30:00 AM,74.467,,,,,
64,06/22/16 06:45:00 AM,74.381,,,,,
65,06/22/16 07:00:00 AM,74.250,,,,,
66,06/22/16 07:15:00 AM,74.077,,,,,
67,06/22/16 07:30:00 AM,73.904,,,,,
68,06/22/16 07:45:00 AM,73.688,,,,,
69,06/22/16 08:00:00 AM,73.515,,,,,
70,06/22/16 08:15:00 AM,73.299,,,,,
71,06/22/16 08:30:00 AM,73.083,,,,,
72,06/22/16 08:45:00 AM,72.997,,,,,
73,06/22/16 09:00:00 AM,72.869,,,,,
74,06/22/16 09:15:00 AM,72.739,,,,,
75,06/22/16 09:30:00 AM,72.869,,,,,
76,06/22/16 09:45:00 AM,72.955,,,,,
77,06/22/16 10:00:00 AM,72.997,,,,,
78,06/22/16 10:15:00 AM,73.126,,,,,
79,06/22/16 10:30:00 AM,73.256,,,,,
80,06/22/16 10:45:00 AM,73.386,,,,,
81,06/22/16 11:00:00 AM,73.558,,,,,
82,06/22/16 11:15:00 AM,73.731,,,,,
83,06/22/16 11:30:00 AM,73.947,,,,,
84,06/22/16 11:45:00 AM,74.206,,,,,
85,06/22/16 12:00:00 PM,74.511,,,,,
86,06/22/16 12:15:00 PM,74.813,,,,,
87,06/22/16 12:30:00 PM,75.160,,,,,
88,06/22/16 12:45:00 PM,75.508,,,,,
89,06/22/16 01:00:00 PM,75.853,,,,,
90,06/22/16 01:15:00 PM,76.246,,,,,
91,06/22/16 01:30:00 PM,76.593,,,,,
92,06/22/16 01:45:00 PM,76.854,,,,,
93,06/22/16 02:00:00 PM,77.117,,,,,
94,06/22/16 02:15:00 PM,77.378,,,,,
95,06/22/16 02:30:00 PM,77.639,,,,,
96,06/22/16 02:45:00 PM,77.945,,,,,
97,06/22/16 03:00:00 PM,78.208,,,,,
98,06/22/16 03:15:00 PM,78.471,,,,,
99,06/22/16 03:30:00 PM,78.733,,,,,
100,06/22/16 03:45:00 PM,78.996,,,,,
101,06/22/16 04:00:00 PM,79.216,,,,,
102,06/22/16 04:15:00 PM,79.435,,,,,
103,06/22/16 04:30:00 PM,79.655,,,,,
104,06/22/16 04:45:00 PM,79.788,,,,,
105,06/22/16 05:00:00 PM,79.920,,,,,
106,06/22/16 05:15:00 PM,80.051,,,,,
107,06/22/16 05:30:00 PM,80.139,,,,,
108,06/22/16 05:45:00 PM,80.184,,,,,
109,06/22/16 06:00:00 PM,80.184,,,,,
110,06/22/16 06:15:00 PM,80.139,,,,,
111,06/22/16 06:30:00 PM,80.096,,,,,
112,06/22/16 06:45:00 PM,80.008,,,,,
113,06/22/16 07:00:00 PM,79.876,,,,,
114,06/22/16 07:15:00 PM,79.655,,,,,
115,06/22/16 07:30:00 PM,79.435,,,,,
116,06/22/16 07:45:00 PM,79.216,,,,,
117,06/22/16 08:00:00 PM,78.996,,,,,
118,06/22/16 08:15:00 PM,78.865,,,,,
119,06/22/16 08:30:00 PM,78.645,,,,,
120,06/22/16 08:45:00 PM,78.471,,,,,
121,06/22/16 09:00:00 PM,78.296,,,,,
122,06/22/16 09:15:00 PM,78.121,,,,,
123,06/22/16 09:30:00 PM,77.990,,,,,
124,06/22/16 09:45:00 PM,77.770,,,,,
125,06/22/16 10:00:00 PM,77.596,,,,,
126,06/22/16 10:15:00 PM,77.421,,,,,
127,06/22/16 10:30:00 PM,77.203,,,,,
128,06/22/16 10:45:00 PM,77.029,,,,,
129,06/22/16 11:00:00 PM,76.899,,,,,
130,06/22/16 11:15:00 PM,76.725,,,,,
131,06/22/16 11:30:00 PM,76.593,,,,,
132,06/22/16 11:45:00 PM,76.419,,,,,
133,06/23/16 12:00:00 AM,76.246,,,,,
134,06/23/16 12:15:00 AM,76.114,,,,,
135,06/23/16 12:30:00 AM,75.985,,,,,
136,06/23/16 12:45:00 AM,75.810,,,,,
137,06/23/16 01:00:00 AM,75.594,,,,,
138,06/23/16 01:15:00 AM,75.376,,,,,
139,06/23/16 01:30:00 AM,75.117,,,,,
140,06/23/16 01:45:00 AM,74.899,,,,,
141,06/23/16 02:00:00 AM,74.683,,,,,
142,06/23/16 02:15:00 AM,74.424,,,,,
143,06/23/16 02:30:00 AM,74.206,,,,,
144,06/23/16 02:45:00 AM,73.947,,,,,
145,06/23/16 03:00:00 AM,73.731,,,,,
146,06/23/16 03:15:00 AM,73.472,,,,,
147,06/23/16 03:30:00 AM,73.256,,,,,
148,06/23/16 03:45:00 AM,73.040,,,,,
149,06/23/16 04:00:00 AM,72.826,,,,,
150,06/23/16 04:15:00 AM,72.653,,,,,
151,06/23/16 04:30:00 AM,72.437,,,,,
152,06/23/16 04:45:00 AM,72.221,,,,,
153,06/23/16 05:00:00 AM,72.007,,,,,
154,06/23/16 05:15:00 AM,71.791,,,,,
155,06/23/16 05:30:00 AM,71.533,,,,,
156,06/23/16 05:45:00 AM,71.317,,,,,
157,06/23/16 06:00:00 AM,71.103,,,,,
