"Plot Title: Schlagel- Vanderplow"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739498, SEN S/N: 10739498)","Coupler Detached (LGR S/N: 10739498)","Coupler Attached (LGR S/N: 10739498)","Host Connected (LGR S/N: 10739498)","Stopped (LGR S/N: 10739498)","End Of File (LGR S/N: 10739498)"
1,06/21/16 01:00:00 PM,71.791,Logged,,,,
2,06/21/16 01:15:00 PM,72.264,,,,,
3,06/21/16 01:30:00 PM,72.696,,,,,
4,06/21/16 01:45:00 PM,73.126,,,,,
5,06/21/16 02:00:00 PM,73.515,,,,,
6,06/21/16 02:15:00 PM,73.904,,,,,
7,06/21/16 02:30:00 PM,74.206,,,,,
8,06/21/16 02:45:00 PM,74.554,,,,,
9,06/21/16 03:00:00 PM,74.813,,,,,
10,06/21/16 03:15:00 PM,75.074,,,,,
11,06/21/16 03:30:00 PM,75.290,,,,,
12,06/21/16 03:45:00 PM,75.508,,,,,
13,06/21/16 04:00:00 PM,75.681,,,,,
14,06/21/16 04:15:00 PM,75.853,,,,,
15,06/21/16 04:30:00 PM,75.985,,,,,
16,06/21/16 04:45:00 PM,76.114,,,,,
17,06/21/16 05:00:00 PM,76.203,,,,,
18,06/21/16 05:15:00 PM,76.246,,,,,
19,06/21/16 05:30:00 PM,76.289,,,,,
20,06/21/16 05:45:00 PM,76.289,,,,,
21,06/21/16 06:00:00 PM,76.203,,,,,
22,06/21/16 06:15:00 PM,76.158,,,,,
23,06/21/16 06:30:00 PM,76.071,,,,,
24,06/21/16 06:45:00 PM,75.942,,,,,
25,06/21/16 07:00:00 PM,75.810,,,,,
26,06/21/16 07:15:00 PM,75.681,,,,,
27,06/21/16 07:30:00 PM,75.551,,,,,
28,06/21/16 07:45:00 PM,75.376,,,,,
29,06/21/16 08:00:00 PM,75.247,,,,,
30,06/21/16 08:15:00 PM,75.117,,,,,
31,06/21/16 08:30:00 PM,74.943,,,,,
32,06/21/16 08:45:00 PM,74.813,,,,,
33,06/21/16 09:00:00 PM,74.640,,,,,
34,06/21/16 09:15:00 PM,74.467,,,,,
35,06/21/16 09:30:00 PM,74.338,,,,,
36,06/21/16 09:45:00 PM,74.206,,,,,
37,06/21/16 10:00:00 PM,74.077,,,,,
38,06/21/16 10:15:00 PM,73.990,,,,,
39,06/21/16 10:30:00 PM,73.904,,,,,
40,06/21/16 10:45:00 PM,73.818,,,,,
41,06/21/16 11:00:00 PM,73.774,,,,,
42,06/21/16 11:15:00 PM,73.688,,,,,
43,06/21/16 11:30:00 PM,73.602,,,,,
44,06/21/16 11:45:00 PM,73.558,,,,,
45,06/22/16 12:00:00 AM,73.472,,,,,
46,06/22/16 12:15:00 AM,73.429,,,,,
47,06/22/16 12:30:00 AM,73.386,,,,,
48,06/22/16 12:45:00 AM,73.342,,,,,
49,06/22/16 01:00:00 AM,73.299,,,,,
50,06/22/16 01:15:00 AM,73.256,,,,,
51,06/22/16 01:30:00 AM,73.213,,,,,
52,06/22/16 01:45:00 AM,73.170,,,,,
53,06/22/16 02:00:00 AM,73.126,,,,,
54,06/22/16 02:15:00 AM,73.083,,,,,
55,06/22/16 02:30:00 AM,72.997,,,,,
56,06/22/16 02:45:00 AM,72.955,,,,,
57,06/22/16 03:00:00 AM,72.869,,,,,
58,06/22/16 03:15:00 AM,72.783,,,,,
59,06/22/16 03:30:00 AM,72.696,,,,,
60,06/22/16 03:45:00 AM,72.567,,,,,
61,06/22/16 04:00:00 AM,72.480,,,,,
62,06/22/16 04:15:00 AM,72.394,,,,,
63,06/22/16 04:30:00 AM,72.351,,,,,
64,06/22/16 04:45:00 AM,72.351,,,,,
65,06/22/16 05:00:00 AM,72.264,,,,,
66,06/22/16 05:15:00 AM,72.221,,,,,
67,06/22/16 05:30:00 AM,72.136,,,,,
68,06/22/16 05:45:00 AM,72.093,,,,,
69,06/22/16 06:00:00 AM,72.007,,,,,
70,06/22/16 06:15:00 AM,71.920,,,,,
71,06/22/16 06:30:00 AM,71.877,,,,,
72,06/22/16 06:45:00 AM,71.791,,,,,
73,06/22/16 07:00:00 AM,71.748,,,,,
74,06/22/16 07:15:00 AM,71.661,,,,,
75,06/22/16 07:30:00 AM,71.490,,,,,
76,06/22/16 07:45:00 AM,71.361,,,,,
77,06/22/16 08:00:00 AM,71.190,,,,,
78,06/22/16 08:15:00 AM,71.060,,,,,
79,06/22/16 08:30:00 AM,70.887,,,,,
80,06/22/16 08:45:00 AM,70.759,,,,,
81,06/22/16 09:00:00 AM,70.630,,,,,
82,06/22/16 09:15:00 AM,70.502,,,,,
83,06/22/16 09:30:00 AM,70.459,,,,,
84,06/22/16 09:45:00 AM,70.416,,,,,
85,06/22/16 10:00:00 AM,70.416,,,,,
86,06/22/16 10:15:00 AM,70.459,,,,,
87,06/22/16 10:30:00 AM,70.502,,,,,
88,06/22/16 10:45:00 AM,70.587,,,,,
89,06/22/16 11:00:00 AM,70.759,,,,,
90,06/22/16 11:15:00 AM,70.846,,,,,
91,06/22/16 11:30:00 AM,71.017,,,,,
92,06/22/16 11:45:00 AM,71.274,,,,,
93,06/22/16 12:00:00 PM,71.447,,,,,
94,06/22/16 12:15:00 PM,71.704,,,,,
95,06/22/16 12:30:00 PM,71.964,,,,,
96,06/22/16 12:45:00 PM,72.264,,,,,
97,06/22/16 01:00:00 PM,72.567,,,,,
98,06/22/16 01:15:00 PM,72.826,,,,,
99,06/22/16 01:30:00 PM,73.126,,,,,
100,06/22/16 01:45:00 PM,73.386,,,,,
101,06/22/16 02:00:00 PM,73.688,,,,,
102,06/22/16 02:15:00 PM,73.904,,,,,
103,06/22/16 02:30:00 PM,74.077,,,,,
104,06/22/16 02:45:00 PM,74.250,,,,,
105,06/22/16 03:00:00 PM,74.381,,,,,
106,06/22/16 03:15:00 PM,74.511,,,,,
107,06/22/16 03:30:00 PM,74.597,,,,,
108,06/22/16 03:45:00 PM,74.640,,,,,
109,06/22/16 04:00:00 PM,74.683,,,,,
110,06/22/16 04:15:00 PM,74.770,,,,,
