"Plot Title: Schlagel WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739500, SEN S/N: 10739500)","Coupler Detached (LGR S/N: 10739500)","Coupler Attached (LGR S/N: 10739500)","Host Connected (LGR S/N: 10739500)","Stopped (LGR S/N: 10739500)","End Of File (LGR S/N: 10739500)"
1,06/21/16 01:00:00 PM,81.642,Logged,,,,
2,06/21/16 01:15:00 PM,79.876,,,,,
3,06/21/16 01:30:00 PM,80.316,,,,,
4,06/21/16 01:45:00 PM,80.713,,,,,
5,06/21/16 02:00:00 PM,81.111,,,,,
6,06/21/16 02:15:00 PM,81.466,,,,,
7,06/21/16 02:30:00 PM,81.819,,,,,
8,06/21/16 02:45:00 PM,82.175,,,,,
9,06/21/16 03:00:00 PM,82.486,,,,,
10,06/21/16 03:15:00 PM,82.708,,,,,
11,06/21/16 03:30:00 PM,82.976,,,,,
12,06/21/16 03:45:00 PM,83.154,,,,,
13,06/21/16 04:00:00 PM,83.332,,,,,
14,06/21/16 04:15:00 PM,83.467,,,,,
15,06/21/16 04:30:00 PM,83.601,,,,,
16,06/21/16 04:45:00 PM,83.691,,,,,
17,06/21/16 05:00:00 PM,83.736,,,,,
18,06/21/16 05:15:00 PM,83.779,,,,,
19,06/21/16 05:30:00 PM,83.779,,,,,
20,06/21/16 05:45:00 PM,83.691,,,,,
21,06/21/16 06:00:00 PM,83.601,,,,,
22,06/21/16 06:15:00 PM,83.511,,,,,
23,06/21/16 06:30:00 PM,83.332,,,,,
24,06/21/16 06:45:00 PM,83.154,,,,,
25,06/21/16 07:00:00 PM,82.976,,,,,
26,06/21/16 07:15:00 PM,82.753,,,,,
27,06/21/16 07:30:00 PM,82.486,,,,,
28,06/21/16 07:45:00 PM,82.218,,,,,
29,06/21/16 08:00:00 PM,81.909,,,,,
30,06/21/16 08:15:00 PM,81.642,,,,,
31,06/21/16 08:30:00 PM,81.333,,,,,
32,06/21/16 08:45:00 PM,81.111,,,,,
33,06/21/16 09:00:00 PM,80.935,,,,,
34,06/21/16 09:15:00 PM,80.757,,,,,
35,06/21/16 09:30:00 PM,80.492,,,,,
36,06/21/16 09:45:00 PM,80.227,,,,,
37,06/21/16 10:00:00 PM,80.008,,,,,
38,06/21/16 10:15:00 PM,79.788,,,,,
39,06/21/16 10:30:00 PM,79.567,,,,,
40,06/21/16 10:45:00 PM,79.347,,,,,
41,06/21/16 11:00:00 PM,79.128,,,,,
42,06/21/16 11:15:00 PM,78.996,,,,,
43,06/21/16 11:30:00 PM,78.822,,,,,
44,06/21/16 11:45:00 PM,78.690,,,,,
45,06/22/16 12:00:00 AM,78.559,,,,,
46,06/22/16 12:15:00 AM,78.471,,,,,
47,06/22/16 12:30:00 AM,78.339,,,,,
48,06/22/16 12:45:00 AM,78.165,,,,,
49,06/22/16 01:00:00 AM,78.033,,,,,
50,06/22/16 01:15:00 AM,77.945,,,,,
51,06/22/16 01:30:00 AM,77.859,,,,,
52,06/22/16 01:45:00 AM,77.727,,,,,
53,06/22/16 02:00:00 AM,77.639,,,,,
54,06/22/16 02:15:00 AM,77.553,,,,,
55,06/22/16 02:30:00 AM,77.509,,,,,
56,06/22/16 02:45:00 AM,77.464,,,,,
57,06/22/16 03:00:00 AM,77.421,,,,,
58,06/22/16 03:15:00 AM,77.378,,,,,
59,06/22/16 03:30:00 AM,77.292,,,,,
60,06/22/16 03:45:00 AM,77.160,,,,,
61,06/22/16 04:00:00 AM,77.072,,,,,
62,06/22/16 04:15:00 AM,76.899,,,,,
63,06/22/16 04:30:00 AM,76.899,,,,,
64,06/22/16 04:45:00 AM,76.811,,,,,
65,06/22/16 05:00:00 AM,76.725,,,,,
66,06/22/16 05:15:00 AM,76.593,,,,,
67,06/22/16 05:30:00 AM,76.419,,,,,
68,06/22/16 05:45:00 AM,76.332,,,,,
69,06/22/16 06:00:00 AM,76.203,,,,,
70,06/22/16 06:15:00 AM,76.158,,,,,
71,06/22/16 06:30:00 AM,76.114,,,,,
72,06/22/16 06:45:00 AM,76.028,,,,,
73,06/22/16 07:00:00 AM,76.028,,,,,
74,06/22/16 07:15:00 AM,75.942,,,,,
75,06/22/16 07:30:00 AM,75.767,,,,,
76,06/22/16 07:45:00 AM,75.463,,,,,
77,06/22/16 08:00:00 AM,75.247,,,,,
78,06/22/16 08:15:00 AM,75.029,,,,,
79,06/22/16 08:30:00 AM,74.813,,,,,
80,06/22/16 08:45:00 AM,74.683,,,,,
81,06/22/16 09:00:00 AM,74.727,,,,,
82,06/22/16 09:15:00 AM,74.770,,,,,
83,06/22/16 09:30:00 AM,74.813,,,,,
84,06/22/16 09:45:00 AM,74.856,,,,,
85,06/22/16 10:00:00 AM,75.029,,,,,
86,06/22/16 10:15:00 AM,75.160,,,,,
87,06/22/16 10:30:00 AM,75.333,,,,,
88,06/22/16 10:45:00 AM,75.551,,,,,
89,06/22/16 11:00:00 AM,75.853,,,,,
90,06/22/16 11:15:00 AM,76.289,,,,,
91,06/22/16 11:30:00 AM,76.681,,,,,
92,06/22/16 11:45:00 AM,77.029,,,,,
93,06/22/16 12:00:00 PM,77.378,,,,,
