"Plot Title: Schlagel 3 Vanderplow"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739500, SEN S/N: 10739500)","Coupler Detached (LGR S/N: 10739500)","Coupler Attached (LGR S/N: 10739500)","Stopped (LGR S/N: 10739500)","End Of File (LGR S/N: 10739500)"
1,07/21/15 07:00:00 AM,60.346,Logged,,,
2,07/21/15 08:00:00 AM,60.046,,,,
3,07/21/15 09:00:00 AM,60.303,,,,
4,07/21/15 10:00:00 AM,60.818,,,,
5,07/21/15 11:00:00 AM,61.891,,,,
6,07/21/15 12:00:00 PM,62.875,,,,
7,07/21/15 01:00:00 PM,64.589,,,,
8,07/21/15 02:00:00 PM,65.145,,,,
9,07/21/15 03:00:00 PM,65.487,,,,
10,07/21/15 04:00:00 PM,65.444,,,,
11,07/21/15 05:00:00 PM,65.145,,,,
12,07/21/15 06:00:00 PM,65.059,,,,
13,07/21/15 07:00:00 PM,64.803,,,,
14,07/21/15 08:00:00 PM,64.546,,,,
15,07/21/15 09:00:00 PM,64.247,,,,
16,07/21/15 10:00:00 PM,63.903,,,,
17,07/21/15 11:00:00 PM,63.518,,,,
18,07/22/15 12:00:00 AM,63.133,,,,
19,07/22/15 01:00:00 AM,62.834,,,,
20,07/22/15 02:00:00 AM,62.620,,,,
21,07/22/15 03:00:00 AM,62.533,,,,
22,07/22/15 04:00:00 AM,62.406,,,,
23,07/22/15 05:00:00 AM,62.276,,,,
24,07/22/15 06:00:00 AM,62.105,,,,
25,07/22/15 07:00:00 AM,61.977,,,,
26,07/22/15 08:00:00 AM,61.848,,,,
27,07/22/15 09:00:00 AM,62.019,,,,
28,07/22/15 10:00:00 AM,62.533,,,,
29,07/22/15 11:00:00 AM,63.433,,,,
30,07/22/15 12:00:00 PM,64.503,,,,
31,07/22/15 01:00:00 PM,66.515,,,,
32,07/22/15 02:00:00 PM,67.757,,,,
33,07/22/15 03:00:00 PM,69.042,,,,
34,07/22/15 04:00:00 PM,70.329,,,,
35,07/22/15 05:00:00 PM,70.887,,,,
36,07/22/15 06:00:00 PM,70.887,,,,
37,07/22/15 07:00:00 PM,70.072,,,,
38,07/22/15 08:00:00 PM,69.300,,,,
39,07/22/15 09:00:00 PM,68.742,,,,
40,07/22/15 10:00:00 PM,68.056,,,,
41,07/22/15 11:00:00 PM,67.199,,,,
42,07/23/15 12:00:00 AM,66.558,,,,
43,07/23/15 01:00:00 AM,65.872,,,,
44,07/23/15 02:00:00 AM,65.230,,,,
45,07/23/15 03:00:00 AM,64.717,,,,
46,07/23/15 04:00:00 AM,64.332,,,,
47,07/23/15 05:00:00 AM,63.903,,,,
48,07/23/15 06:00:00 AM,63.561,,,,
49,07/23/15 07:00:00 AM,63.219,,,,
50,07/23/15 08:00:00 AM,63.048,,,,
51,07/23/15 09:00:00 AM,63.262,,,,
52,07/23/15 10:00:00 AM,63.903,,,,
53,07/23/15 11:00:00 AM,64.974,,,,
54,07/23/15 12:00:00 PM,66.385,,,,
55,07/23/15 01:00:00 PM,68.356,,,,
56,07/23/15 02:00:00 PM,70.673,,,,
57,07/23/15 03:00:00 PM,72.567,,,,
58,07/23/15 04:00:00 PM,73.645,,,,
59,07/23/15 05:00:00 PM,74.250,,,,
60,07/23/15 06:00:00 PM,73.904,,,,
61,07/23/15 07:00:00 PM,73.083,,,,
62,07/23/15 08:00:00 PM,72.221,,,,
63,07/23/15 09:00:00 PM,71.447,,,,
64,07/23/15 10:00:00 PM,70.759,,,,
65,07/23/15 11:00:00 PM,69.901,,,,
66,07/24/15 12:00:00 AM,68.871,,,,
67,07/24/15 01:00:00 AM,67.842,,,,
68,07/24/15 02:00:00 AM,66.900,,,,
69,07/24/15 03:00:00 AM,66.173,,,,
70,07/24/15 04:00:00 AM,65.530,,,,
71,07/24/15 05:00:00 AM,64.888,,,,
72,07/24/15 06:00:00 AM,64.332,,,,
73,07/24/15 07:00:00 AM,63.819,,,,
74,07/24/15 08:00:00 AM,63.433,,,,
75,07/24/15 09:00:00 AM,63.390,,,,
76,07/24/15 10:00:00 AM,63.990,,,,
77,07/24/15 11:00:00 AM,64.931,,,,
78,07/24/15 12:00:00 PM,66.258,,,,
79,07/24/15 01:00:00 PM,68.099,,,,
80,07/24/15 02:00:00 PM,70.243,,,,
81,07/24/15 03:00:00 PM,72.093,,,,
82,07/24/15 04:00:00 PM,73.083,,,,
83,07/24/15 05:00:00 PM,73.558,,,,
84,07/24/15 06:00:00 PM,73.170,,,,
85,07/24/15 07:00:00 PM,72.221,,,,
86,07/24/15 08:00:00 PM,71.231,,,,
87,07/24/15 09:00:00 PM,70.543,,,,
88,07/24/15 10:00:00 PM,69.771,,,,
89,07/24/15 11:00:00 PM,68.785,,,,
90,07/25/15 12:00:00 AM,67.798,,,,
91,07/25/15 01:00:00 AM,66.772,,,,
92,07/25/15 02:00:00 AM,65.872,,,,
93,07/25/15 03:00:00 AM,65.230,,,,
94,07/25/15 04:00:00 AM,64.674,,,,
95,07/25/15 05:00:00 AM,64.161,,,,
96,07/25/15 06:00:00 AM,63.732,,,,
97,07/25/15 07:00:00 AM,63.262,,,,
98,07/25/15 08:00:00 AM,63.048,,,,
99,07/25/15 09:00:00 AM,63.090,,,,
100,07/25/15 10:00:00 AM,63.775,,,,
101,07/25/15 11:00:00 AM,64.888,,,,
102,07/25/15 12:00:00 PM,66.043,,,,
103,07/25/15 01:00:00 PM,68.099,,,,
104,07/25/15 02:00:00 PM,70.243,,,,
105,07/25/15 03:00:00 PM,71.964,,,,
106,07/25/15 04:00:00 PM,73.386,,,,
107,07/25/15 05:00:00 PM,73.472,,,,
108,07/25/15 06:00:00 PM,73.774,,,,
109,07/25/15 07:00:00 PM,72.912,,,,
110,07/25/15 08:00:00 PM,72.136,,,,
111,07/25/15 09:00:00 PM,71.490,,,,
112,07/25/15 10:00:00 PM,70.630,,,,
113,07/25/15 11:00:00 PM,69.728,,,,
114,07/26/15 12:00:00 AM,68.871,,,,
115,07/26/15 01:00:00 AM,67.885,,,,
116,07/26/15 02:00:00 AM,66.900,,,,
117,07/26/15 03:00:00 AM,66.043,,,,
118,07/26/15 04:00:00 AM,65.316,,,,
119,07/26/15 05:00:00 AM,64.589,,,,
120,07/26/15 06:00:00 AM,63.990,,,,
121,07/26/15 07:00:00 AM,63.433,,,,
122,07/26/15 08:00:00 AM,63.090,,,,
123,07/26/15 09:00:00 AM,63.133,,,,
124,07/26/15 10:00:00 AM,63.689,,,,
125,07/26/15 11:00:00 AM,64.803,,,,
126,07/26/15 12:00:00 PM,66.214,,,,
127,07/26/15 01:00:00 PM,68.185,,,,
128,07/26/15 02:00:00 PM,70.459,,,,
129,07/26/15 03:00:00 PM,72.567,,,,
130,07/26/15 04:00:00 PM,72.696,,,,
131,07/26/15 05:00:00 PM,72.351,,,,
132,07/26/15 06:00:00 PM,71.920,,,,
133,07/26/15 07:00:00 PM,71.146,,,,
134,07/26/15 08:00:00 PM,70.243,,,,
135,07/26/15 09:00:00 PM,69.600,,,,
136,07/26/15 10:00:00 PM,68.999,,,,
137,07/26/15 11:00:00 PM,68.185,,,,
138,07/27/15 12:00:00 AM,67.329,,,,
139,07/27/15 01:00:00 AM,66.515,,,,
140,07/27/15 02:00:00 AM,65.788,,,,
141,07/27/15 03:00:00 AM,65.059,,,,
142,07/27/15 04:00:00 AM,64.459,,,,
143,07/27/15 05:00:00 AM,63.903,,,,
144,07/27/15 06:00:00 AM,63.347,,,,
145,07/27/15 07:00:00 AM,62.791,,,,
146,07/27/15 08:00:00 AM,62.362,,,,
147,07/27/15 09:00:00 AM,62.319,,,,
148,07/27/15 10:00:00 AM,62.962,,,,
149,07/27/15 11:00:00 AM,64.074,,,,
150,07/27/15 12:00:00 PM,65.615,,,,
151,07/27/15 01:00:00 PM,67.671,,,,
152,07/27/15 02:00:00 PM,70.029,,,,
153,07/27/15 03:00:00 PM,72.136,,,,
154,07/27/15 04:00:00 PM,73.515,,,,
155,07/27/15 05:00:00 PM,73.818,,,,
156,07/27/15 06:00:00 PM,73.688,,,,
157,07/27/15 07:00:00 PM,72.869,,,,
158,07/27/15 08:00:00 PM,72.136,,,,
159,07/27/15 09:00:00 PM,71.704,,,,
160,07/27/15 10:00:00 PM,71.146,,,,
161,07/27/15 11:00:00 PM,70.502,,,,
162,07/28/15 12:00:00 AM,69.985,,,,
163,07/28/15 01:00:00 AM,69.386,,,,
164,07/28/15 02:00:00 AM,68.527,,,,
165,07/28/15 03:00:00 AM,67.798,,,,
166,07/28/15 04:00:00 AM,67.071,,,,
167,07/28/15 05:00:00 AM,66.173,,,,
168,07/28/15 06:00:00 AM,65.273,,,,
169,07/28/15 07:00:00 AM,64.459,,,,
170,07/28/15 08:00:00 AM,63.732,,,,
171,07/28/15 09:00:00 AM,63.304,,,,
172,07/28/15 10:00:00 AM,63.475,,,,
173,07/28/15 11:00:00 AM,64.161,,,,
174,07/28/15 12:00:00 PM,65.188,,,,
175,07/28/15 01:00:00 PM,66.686,,,,
176,07/28/15 02:00:00 PM,68.614,,,,
177,07/28/15 03:00:00 PM,70.286,,,,
178,07/28/15 04:00:00 PM,71.190,,,,
179,07/28/15 05:00:00 PM,71.317,,,,
180,07/28/15 06:00:00 PM,70.673,,,,
181,07/28/15 07:00:00 PM,69.213,,,,
182,07/28/15 08:00:00 PM,67.842,,,,
183,07/28/15 09:00:00 PM,67.028,,,,
184,07/28/15 10:00:00 PM,65.959,,,,
185,07/28/15 11:00:00 PM,64.760,,,,
186,07/29/15 12:00:00 AM,63.648,,,,
187,07/29/15 01:00:00 AM,62.533,,,,
188,07/29/15 02:00:00 AM,61.376,,,,
189,07/29/15 03:00:00 AM,60.346,,,,
190,07/29/15 04:00:00 AM,59.445,,,,
191,07/29/15 05:00:00 AM,58.626,,,,
192,07/29/15 06:00:00 AM,57.850,,,,
193,07/29/15 07:00:00 AM,57.204,,,,
194,07/29/15 08:00:00 AM,56.728,,,,
195,07/29/15 09:00:00 AM,56.728,,,,
196,07/29/15 10:00:00 AM,57.420,,,,
197,07/29/15 11:00:00 AM,58.712,,,,
198,07/29/15 12:00:00 PM,60.303,,,,
199,07/29/15 01:00:00 PM,62.319,,,,
200,07/29/15 02:00:00 PM,64.674,,,,
201,07/29/15 03:00:00 PM,66.814,,,,
202,07/29/15 04:00:00 PM,68.013,,,,
203,07/29/15 05:00:00 PM,68.698,,,,
204,07/29/15 06:00:00 PM,68.484,,,,
205,07/29/15 07:00:00 PM,67.586,,,,
206,07/29/15 08:00:00 PM,66.472,,,,
207,07/29/15 09:00:00 PM,65.959,,,,
208,07/29/15 10:00:00 PM,65.316,,,,
209,07/29/15 11:00:00 PM,64.632,,,,
210,07/30/15 12:00:00 AM,63.862,,,,
211,07/30/15 01:00:00 AM,62.962,,,,
212,07/30/15 02:00:00 AM,62.019,,,,
213,07/30/15 03:00:00 AM,61.205,,,,
214,07/30/15 04:00:00 AM,60.561,,,,
215,07/30/15 05:00:00 AM,59.959,,,,
216,07/30/15 06:00:00 AM,59.358,,,,
217,07/30/15 07:00:00 AM,58.885,,,,
218,07/30/15 08:00:00 AM,58.582,,,,
219,07/30/15 09:00:00 AM,58.669,,,,
