"Plot Title: Schlagel WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739499, SEN S/N: 10739499)","Coupler Detached (LGR S/N: 10739499)","Coupler Attached (LGR S/N: 10739499)","Stopped (LGR S/N: 10739499)","End Of File (LGR S/N: 10739499)"
1,07/17/15 07:00:00 AM,70.543,Logged,,,
2,07/17/15 08:00:00 AM,70.115,,,,
3,07/17/15 09:00:00 AM,70.243,,,,
4,07/17/15 10:00:00 AM,71.317,,,,
5,07/17/15 11:00:00 AM,73.126,,,,
6,07/17/15 12:00:00 PM,75.508,,,,
7,07/17/15 01:00:00 PM,77.859,,,,
8,07/17/15 02:00:00 PM,80.139,,,,
9,07/17/15 03:00:00 PM,82.085,,,,
10,07/17/15 04:00:00 PM,83.691,,,,
11,07/17/15 05:00:00 PM,84.632,,,,
12,07/17/15 06:00:00 PM,84.137,,,,
13,07/17/15 07:00:00 PM,82.175,,,,
14,07/17/15 08:00:00 PM,79.920,,,,
15,07/17/15 09:00:00 PM,78.296,,,,
16,07/17/15 10:00:00 PM,77.160,,,,
17,07/17/15 11:00:00 PM,76.114,,,,
18,07/18/15 12:00:00 AM,74.813,,,,
19,07/18/15 01:00:00 AM,73.731,,,,
20,07/18/15 02:00:00 AM,72.912,,,,
21,07/18/15 03:00:00 AM,72.221,,,,
22,07/18/15 04:00:00 AM,71.490,,,,
23,07/18/15 05:00:00 AM,70.759,,,,
24,07/18/15 06:00:00 AM,70.158,,,,
25,07/18/15 07:00:00 AM,69.557,,,,
26,07/18/15 08:00:00 AM,69.129,,,,
27,07/18/15 09:00:00 AM,69.300,,,,
28,07/18/15 10:00:00 AM,70.502,,,,
29,07/18/15 11:00:00 AM,72.394,,,,
30,07/18/15 12:00:00 PM,74.597,,,,
31,07/18/15 01:00:00 PM,77.072,,,,
32,07/18/15 02:00:00 PM,79.304,,,,
33,07/18/15 03:00:00 PM,81.288,,,,
34,07/18/15 04:00:00 PM,82.665,,,,
35,07/18/15 05:00:00 PM,83.332,,,,
36,07/18/15 06:00:00 PM,83.199,,,,
37,07/18/15 07:00:00 PM,82.308,,,,
38,07/18/15 08:00:00 PM,80.713,,,,
39,07/18/15 09:00:00 PM,79.128,,,,
40,07/18/15 10:00:00 PM,77.770,,,,
41,07/18/15 11:00:00 PM,76.681,,,,
42,07/19/15 12:00:00 AM,75.724,,,,
43,07/19/15 01:00:00 AM,74.640,,,,
44,07/19/15 02:00:00 AM,73.602,,,,
45,07/19/15 03:00:00 AM,72.653,,,,
46,07/19/15 04:00:00 AM,71.748,,,,
47,07/19/15 05:00:00 AM,70.846,,,,
48,07/19/15 06:00:00 AM,70.072,,,,
49,07/19/15 07:00:00 AM,69.300,,,,
50,07/19/15 08:00:00 AM,68.956,,,,
