"Plot Title: SheepCreek 1"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719010, SEN S/N: 10719010)","Coupler Detached (LGR S/N: 10719010)","Coupler Attached (LGR S/N: 10719010)","Stopped (LGR S/N: 10719010)","End Of File (LGR S/N: 10719010)"
1,07/10/15 12:00:00 AM,62.019,Logged,,,
2,07/10/15 01:00:00 AM,61.761,,,,
3,07/10/15 02:00:00 AM,61.506,,,,
4,07/10/15 03:00:00 AM,61.119,,,,
5,07/10/15 04:00:00 AM,60.690,,,,
6,07/10/15 05:00:00 AM,60.217,,,,
7,07/10/15 06:00:00 AM,59.830,,,,
8,07/10/15 07:00:00 AM,59.529,,,,
9,07/10/15 08:00:00 AM,59.401,,,,
10,07/10/15 09:00:00 AM,59.229,,,,
11,07/10/15 10:00:00 AM,59.315,,,,
12,07/10/15 11:00:00 AM,60.390,,,,
13,07/10/15 12:00:00 PM,61.677,,,,
14,07/10/15 01:00:00 PM,62.748,,,,
15,07/10/15 02:00:00 PM,63.990,,,,
16,07/10/15 03:00:00 PM,63.819,,,,
17,07/10/15 04:00:00 PM,63.946,,,,
18,07/10/15 05:00:00 PM,64.546,,,,
19,07/10/15 06:00:00 PM,64.717,,,,
20,07/10/15 07:00:00 PM,64.332,,,,
21,07/10/15 08:00:00 PM,63.732,,,,
22,07/10/15 09:00:00 PM,63.133,,,,
23,07/10/15 10:00:00 PM,62.875,,,,
24,07/10/15 11:00:00 PM,62.791,,,,
25,07/11/15 12:00:00 AM,62.577,,,,
26,07/11/15 01:00:00 AM,62.406,,,,
27,07/11/15 02:00:00 AM,62.105,,,,
28,07/11/15 03:00:00 AM,61.720,,,,
29,07/11/15 04:00:00 AM,61.162,,,,
30,07/11/15 05:00:00 AM,60.561,,,,
31,07/11/15 06:00:00 AM,59.916,,,,
32,07/11/15 07:00:00 AM,59.529,,,,
33,07/11/15 08:00:00 AM,59.572,,,,
34,07/11/15 09:00:00 AM,59.873,,,,
35,07/11/15 10:00:00 AM,60.775,,,,
36,07/11/15 11:00:00 AM,62.019,,,,
37,07/11/15 12:00:00 PM,63.262,,,,
