"Plot Title: Sheep Creek 2"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719013, SEN S/N: 10719013)","Coupler Detached (LGR S/N: 10719013)","Coupler Attached (LGR S/N: 10719013)","Stopped (LGR S/N: 10719013)","End Of File (LGR S/N: 10719013)"
1,07/10/15 12:00:00 AM,61.848,Logged,,,
2,07/10/15 01:00:00 AM,61.290,,,,
3,07/10/15 02:00:00 AM,60.561,,,,
4,07/10/15 03:00:00 AM,59.788,,,,
5,07/10/15 04:00:00 AM,59.056,,,,
6,07/10/15 05:00:00 AM,58.411,,,,
7,07/10/15 06:00:00 AM,57.807,,,,
8,07/10/15 07:00:00 AM,57.420,,,,
9,07/10/15 08:00:00 AM,57.204,,,,
10,07/10/15 09:00:00 AM,57.031,,,,
11,07/10/15 10:00:00 AM,57.031,,,,
12,07/10/15 11:00:00 AM,57.549,,,,
13,07/10/15 12:00:00 PM,58.152,,,,
14,07/10/15 01:00:00 PM,59.099,,,,
15,07/10/15 02:00:00 PM,60.003,,,,
16,07/10/15 03:00:00 PM,60.517,,,,
17,07/10/15 04:00:00 PM,60.861,,,,
18,07/10/15 05:00:00 PM,61.419,,,,
19,07/10/15 06:00:00 PM,62.148,,,,
20,07/10/15 07:00:00 PM,62.447,,,,
21,07/10/15 08:00:00 PM,62.577,,,,
22,07/10/15 09:00:00 PM,62.748,,,,
23,07/10/15 10:00:00 PM,62.620,,,,
24,07/10/15 11:00:00 PM,62.191,,,,
25,07/11/15 12:00:00 AM,61.677,,,,
26,07/11/15 01:00:00 AM,61.075,,,,
27,07/11/15 02:00:00 AM,60.303,,,,
28,07/11/15 03:00:00 AM,59.529,,,,
29,07/11/15 04:00:00 AM,58.755,,,,
30,07/11/15 05:00:00 AM,57.893,,,,
31,07/11/15 06:00:00 AM,57.031,,,,
32,07/11/15 07:00:00 AM,56.340,,,,
33,07/11/15 08:00:00 AM,56.165,,,,
34,07/11/15 09:00:00 AM,56.251,,,,
35,07/11/15 10:00:00 AM,56.685,,,,
36,07/11/15 11:00:00 AM,57.506,,,,
37,07/11/15 12:00:00 PM,58.582,,,,
38,07/11/15 01:00:00 PM,59.788,,,,
39,07/11/15 02:00:00 PM,60.991,,,,
40,07/11/15 03:00:00 PM,62.233,,,,
41,07/11/15 04:00:00 PM,63.176,,,,
42,07/11/15 05:00:00 PM,63.862,,,,
43,07/11/15 06:00:00 PM,64.204,,,,
44,07/11/15 07:00:00 PM,64.632,,,,
45,07/11/15 08:00:00 PM,64.931,,,,
46,07/11/15 09:00:00 PM,65.059,,,,
47,07/11/15 10:00:00 PM,64.888,,,,
48,07/11/15 11:00:00 PM,64.459,,,,
49,07/12/15 12:00:00 AM,63.819,,,,
50,07/12/15 01:00:00 AM,63.005,,,,
51,07/12/15 02:00:00 AM,61.891,,,,
52,07/12/15 03:00:00 AM,60.775,,,,
53,07/12/15 04:00:00 AM,59.659,,,,
54,07/12/15 05:00:00 AM,58.626,,,,
55,07/12/15 06:00:00 AM,57.679,,,,
56,07/12/15 07:00:00 AM,56.944,,,,
57,07/12/15 08:00:00 AM,56.685,,,,
58,07/12/15 09:00:00 AM,56.772,,,,
59,07/12/15 10:00:00 AM,57.204,,,,
60,07/12/15 11:00:00 AM,57.979,,,,
61,07/12/15 12:00:00 PM,58.928,,,,
62,07/12/15 01:00:00 PM,60.046,,,,
63,07/12/15 02:00:00 PM,61.333,,,,
64,07/12/15 03:00:00 PM,62.533,,,,
65,07/12/15 04:00:00 PM,63.347,,,,
