"Plot Title: Snake River- Andrews"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739502, SEN S/N: 10739502)","Coupler Detached (LGR S/N: 10739502)","Coupler Attached (LGR S/N: 10739502)","Host Connected (LGR S/N: 10739502)","Stopped (LGR S/N: 10739502)","End Of File (LGR S/N: 10739502)"
1,06/21/16 12:00:00 PM,71.834,Logged,,,,
2,06/21/16 12:15:00 PM,72.523,,,,,
3,06/21/16 12:30:00 PM,73.213,,,,,
4,06/21/16 12:45:00 PM,73.861,,,,,
5,06/21/16 01:00:00 PM,74.597,,,,,
6,06/21/16 01:15:00 PM,75.333,,,,,
7,06/21/16 01:30:00 PM,76.028,,,,,
8,06/21/16 01:45:00 PM,76.725,,,,,
9,06/21/16 02:00:00 PM,77.421,,,,,
10,06/21/16 02:15:00 PM,78.076,,,,,
11,06/21/16 02:30:00 PM,78.690,,,,,
12,06/21/16 02:45:00 PM,79.173,,,,,
13,06/21/16 03:00:00 PM,79.920,,,,,
14,06/21/16 03:15:00 PM,80.492,,,,,
15,06/21/16 03:30:00 PM,81.023,,,,,
16,06/21/16 03:45:00 PM,81.509,,,,,
17,06/21/16 04:00:00 PM,81.952,,,,,
18,06/21/16 04:15:00 PM,82.353,,,,,
19,06/21/16 04:30:00 PM,82.665,,,,,
20,06/21/16 04:45:00 PM,82.931,,,,,
21,06/21/16 05:00:00 PM,83.154,,,,,
22,06/21/16 05:15:00 PM,83.332,,,,,
23,06/21/16 05:30:00 PM,83.467,,,,,
24,06/21/16 05:45:00 PM,83.556,,,,,
25,06/21/16 06:00:00 PM,83.601,,,,,
26,06/21/16 06:15:00 PM,83.601,,,,,
27,06/21/16 06:30:00 PM,83.556,,,,,
28,06/21/16 06:45:00 PM,83.511,,,,,
29,06/21/16 07:00:00 PM,83.377,,,,,
30,06/21/16 07:15:00 PM,83.154,,,,,
31,06/21/16 07:30:00 PM,82.931,,,,,
32,06/21/16 07:45:00 PM,82.708,,,,,
33,06/21/16 08:00:00 PM,82.353,,,,,
34,06/21/16 08:15:00 PM,81.952,,,,,
35,06/21/16 08:30:00 PM,81.687,,,,,
36,06/21/16 08:45:00 PM,81.376,,,,,
37,06/21/16 09:00:00 PM,81.023,,,,,
38,06/21/16 09:15:00 PM,80.625,,,,,
39,06/21/16 09:30:00 PM,80.272,,,,,
40,06/21/16 09:45:00 PM,79.876,,,,,
41,06/21/16 10:00:00 PM,79.524,,,,,
42,06/21/16 10:15:00 PM,79.173,,,,,
43,06/21/16 10:30:00 PM,78.910,,,,,
44,06/21/16 10:45:00 PM,78.559,,,,,
45,06/21/16 11:00:00 PM,78.208,,,,,
46,06/21/16 11:15:00 PM,77.902,,,,,
47,06/21/16 11:30:00 PM,77.639,,,,,
48,06/21/16 11:45:00 PM,77.378,,,,,
49,06/22/16 12:00:00 AM,77.029,,,,,
50,06/22/16 12:15:00 AM,76.636,,,,,
51,06/22/16 12:30:00 AM,76.289,,,,,
52,06/22/16 12:45:00 AM,75.942,,,,,
53,06/22/16 01:00:00 AM,75.594,,,,,
54,06/22/16 01:15:00 AM,75.247,,,,,
55,06/22/16 01:30:00 AM,75.029,,,,,
56,06/22/16 01:45:00 AM,74.727,,,,,
57,06/22/16 02:00:00 AM,74.467,,,,,
58,06/22/16 02:15:00 AM,74.206,,,,,
59,06/22/16 02:30:00 AM,73.947,,,,,
60,06/22/16 02:45:00 AM,73.774,,,,,
61,06/22/16 03:00:00 AM,73.515,,,,,
62,06/22/16 03:15:00 AM,73.256,,,,,
63,06/22/16 03:30:00 AM,72.997,,,,,
64,06/22/16 03:45:00 AM,72.826,,,,,
65,06/22/16 04:00:00 AM,72.610,,,,,
66,06/22/16 04:15:00 AM,72.480,,,,,
67,06/22/16 04:30:00 AM,72.351,,,,,
68,06/22/16 04:45:00 AM,72.093,,,,,
69,06/22/16 05:00:00 AM,71.877,,,,,
70,06/22/16 05:15:00 AM,71.577,,,,,
71,06/22/16 05:30:00 AM,71.274,,,,,
72,06/22/16 05:45:00 AM,71.017,,,,,
73,06/22/16 06:00:00 AM,70.673,,,,,
74,06/22/16 06:15:00 AM,70.372,,,,,
75,06/22/16 06:30:00 AM,69.985,,,,,
76,06/22/16 06:45:00 AM,69.600,,,,,
77,06/22/16 07:00:00 AM,69.256,,,,,
78,06/22/16 07:15:00 AM,68.956,,,,,
79,06/22/16 07:30:00 AM,68.614,,,,,
80,06/22/16 07:45:00 AM,68.313,,,,,
81,06/22/16 08:00:00 AM,68.099,,,,,
82,06/22/16 08:15:00 AM,67.885,,,,,
83,06/22/16 08:30:00 AM,67.714,,,,,
84,06/22/16 08:45:00 AM,67.627,,,,,
85,06/22/16 09:00:00 AM,67.586,,,,,
86,06/22/16 09:15:00 AM,67.543,,,,,
87,06/22/16 09:30:00 AM,67.543,,,,,
88,06/22/16 09:45:00 AM,67.627,,,,,
89,06/22/16 10:00:00 AM,67.714,,,,,
90,06/22/16 10:15:00 AM,67.842,,,,,
91,06/22/16 10:30:00 AM,68.013,,,,,
92,06/22/16 10:45:00 AM,68.270,,,,,
93,06/22/16 11:00:00 AM,68.571,,,,,
94,06/22/16 11:15:00 AM,68.913,,,,,
95,06/22/16 11:30:00 AM,69.300,,,,,
96,06/22/16 11:45:00 AM,69.771,,,,,
97,06/22/16 12:00:00 PM,70.243,,,,,
98,06/22/16 12:15:00 PM,70.759,,,,,
99,06/22/16 12:30:00 PM,71.317,,,,,
100,06/22/16 12:45:00 PM,71.704,,,,,
101,06/22/16 01:00:00 PM,72.307,,,,,
102,06/22/16 01:15:00 PM,72.869,,,,,
103,06/22/16 01:30:00 PM,73.429,,,,,
104,06/22/16 01:45:00 PM,73.947,,,,,
105,06/22/16 02:00:00 PM,74.467,,,,,
106,06/22/16 02:15:00 PM,74.986,,,,,
107,06/22/16 02:30:00 PM,75.463,,,,,
108,06/22/16 02:45:00 PM,75.985,,,,,
109,06/22/16 03:00:00 PM,76.419,,,,,
110,06/22/16 03:15:00 PM,76.854,,,,,
111,06/22/16 03:30:00 PM,77.292,,,,,
112,06/22/16 03:45:00 PM,77.684,,,,,
113,06/22/16 04:00:00 PM,78.033,,,,,
114,06/22/16 04:15:00 PM,78.427,,,,,
115,06/22/16 04:30:00 PM,78.733,,,,,
116,06/22/16 04:45:00 PM,78.953,,,,,
117,06/22/16 05:00:00 PM,79.128,,,,,
118,06/22/16 05:15:00 PM,79.304,,,,,
119,06/22/16 05:30:00 PM,79.435,,,,,
120,06/22/16 05:45:00 PM,79.480,,,,,
121,06/22/16 06:00:00 PM,79.524,,,,,
122,06/22/16 06:15:00 PM,79.567,,,,,
123,06/22/16 06:30:00 PM,79.612,,,,,
124,06/22/16 06:45:00 PM,79.524,,,,,
125,06/22/16 07:00:00 PM,79.392,,,,,
126,06/22/16 07:15:00 PM,79.173,,,,,
127,06/22/16 07:30:00 PM,78.996,,,,,
128,06/22/16 07:45:00 PM,78.777,,,,,
129,06/22/16 08:00:00 PM,78.514,,,,,
130,06/22/16 08:15:00 PM,78.251,,,,,
131,06/22/16 08:30:00 PM,77.902,,,,,
132,06/22/16 08:45:00 PM,77.553,,,,,
133,06/22/16 09:00:00 PM,77.203,,,,,
134,06/22/16 09:15:00 PM,76.811,,,,,
135,06/22/16 09:30:00 PM,76.419,,,,,
136,06/22/16 09:45:00 PM,76.028,,,,,
137,06/22/16 10:00:00 PM,75.681,,,,,
138,06/22/16 10:15:00 PM,75.333,,,,,
139,06/22/16 10:30:00 PM,74.943,,,,,
140,06/22/16 10:45:00 PM,74.554,,,,,
141,06/22/16 11:00:00 PM,74.206,,,,,
142,06/22/16 11:15:00 PM,73.774,,,,,
143,06/22/16 11:30:00 PM,73.386,,,,,
144,06/22/16 11:45:00 PM,72.997,,,,,
145,06/23/16 12:00:00 AM,72.653,,,,,
146,06/23/16 12:15:00 AM,72.264,,,,,
147,06/23/16 12:30:00 AM,71.920,,,,,
148,06/23/16 12:45:00 AM,71.577,,,,,
149,06/23/16 01:00:00 AM,71.231,,,,,
150,06/23/16 01:15:00 AM,70.930,,,,,
151,06/23/16 01:30:00 AM,70.630,,,,,
152,06/23/16 01:45:00 AM,70.329,,,,,
153,06/23/16 02:00:00 AM,70.029,,,,,
154,06/23/16 02:15:00 AM,69.728,,,,,
155,06/23/16 02:30:00 AM,69.427,,,,,
156,06/23/16 02:45:00 AM,69.129,,,,,
157,06/23/16 03:00:00 AM,68.871,,,,,
158,06/23/16 03:15:00 AM,68.614,,,,,
159,06/23/16 03:30:00 AM,68.356,,,,,
160,06/23/16 03:45:00 AM,68.185,,,,,
161,06/23/16 04:00:00 AM,67.928,,,,,
162,06/23/16 04:15:00 AM,67.714,,,,,
163,06/23/16 04:30:00 AM,67.500,,,,,
164,06/23/16 04:45:00 AM,67.285,,,,,
