"Plot Title: Snake River- Andrews"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739502, SEN S/N: 10739502)","Coupler Detached (LGR S/N: 10739502)","Coupler Attached (LGR S/N: 10739502)","Host Connected (LGR S/N: 10739502)","Stopped (LGR S/N: 10739502)","End Of File (LGR S/N: 10739502)"
1,06/01/17 04:00:00 PM,74.727,Logged,,,,
2,06/01/17 04:15:00 PM,75.029,,,,,
3,06/01/17 04:30:00 PM,75.333,,,,,
4,06/01/17 04:45:00 PM,75.637,,,,,
5,06/01/17 05:00:00 PM,75.853,,,,,
6,06/01/17 05:15:00 PM,76.028,,,,,
7,06/01/17 05:30:00 PM,76.203,,,,,
8,06/01/17 05:45:00 PM,76.289,,,,,
9,06/01/17 06:00:00 PM,76.246,,,,,
10,06/01/17 06:15:00 PM,76.246,,,,,
11,06/01/17 06:30:00 PM,76.158,,,,,
12,06/01/17 06:45:00 PM,76.071,,,,,
13,06/01/17 07:00:00 PM,75.898,,,,,
14,06/01/17 07:15:00 PM,75.681,,,,,
15,06/01/17 07:30:00 PM,75.463,,,,,
16,06/01/17 07:45:00 PM,75.204,,,,,
17,06/01/17 08:00:00 PM,74.943,,,,,
18,06/01/17 08:15:00 PM,74.597,,,,,
19,06/01/17 08:30:00 PM,74.250,,,,,
20,06/01/17 08:45:00 PM,73.904,,,,,
21,06/01/17 09:00:00 PM,73.558,,,,,
22,06/01/17 09:15:00 PM,73.256,,,,,
23,06/01/17 09:30:00 PM,72.912,,,,,
24,06/01/17 09:45:00 PM,72.567,,,,,
25,06/01/17 10:00:00 PM,72.221,,,,,
26,06/01/17 10:15:00 PM,71.877,,,,,
27,06/01/17 10:30:00 PM,71.533,,,,,
28,06/01/17 10:45:00 PM,71.190,,,,,
29,06/01/17 11:00:00 PM,70.887,,,,,
30,06/01/17 11:15:00 PM,70.543,,,,,
31,06/01/17 11:30:00 PM,70.201,,,,,
32,06/01/17 11:45:00 PM,69.858,,,,,
33,06/02/17 12:00:00 AM,69.557,,,,,
34,06/02/17 12:15:00 AM,69.300,,,,,
35,06/02/17 12:30:00 AM,68.999,,,,,
36,06/02/17 12:45:00 AM,68.698,,,,,
37,06/02/17 01:00:00 AM,68.443,,,,,
38,06/02/17 01:15:00 AM,68.142,,,,,
39,06/02/17 01:30:00 AM,67.885,,,,,
40,06/02/17 01:45:00 AM,67.586,,,,,
41,06/02/17 02:00:00 AM,67.372,,,,,
42,06/02/17 02:15:00 AM,67.158,,,,,
43,06/02/17 02:30:00 AM,66.943,,,,,
44,06/02/17 02:45:00 AM,66.729,,,,,
45,06/02/17 03:00:00 AM,66.515,,,,,
46,06/02/17 03:15:00 AM,66.385,,,,,
47,06/02/17 03:30:00 AM,66.214,,,,,
48,06/02/17 03:45:00 AM,66.087,,,,,
49,06/02/17 04:00:00 AM,65.959,,,,,
50,06/02/17 04:15:00 AM,65.788,,,,,
51,06/02/17 04:30:00 AM,65.615,,,,,
52,06/02/17 04:45:00 AM,65.444,,,,,
53,06/02/17 05:00:00 AM,65.230,,,,,
54,06/02/17 05:15:00 AM,65.017,,,,,
55,06/02/17 05:30:00 AM,64.845,,,,,
56,06/02/17 05:45:00 AM,64.632,,,,,
57,06/02/17 06:00:00 AM,64.459,,,,,
58,06/02/17 06:15:00 AM,64.332,,,,,
59,06/02/17 06:30:00 AM,64.161,,,,,
60,06/02/17 06:45:00 AM,63.990,,,,,
61,06/02/17 07:00:00 AM,63.819,,,,,
62,06/02/17 07:15:00 AM,63.732,,,,,
63,06/02/17 07:30:00 AM,63.648,,,,,
64,06/02/17 07:45:00 AM,63.604,,,,,
65,06/02/17 08:00:00 AM,63.604,,,,,
66,06/02/17 08:15:00 AM,63.648,,,,,
67,06/02/17 08:30:00 AM,63.732,,,,,
68,06/02/17 08:45:00 AM,63.862,,,,,
69,06/02/17 09:00:00 AM,64.033,,,,,
70,06/02/17 09:15:00 AM,64.288,,,,,
71,06/02/17 09:30:00 AM,64.589,,,,,
72,06/02/17 09:45:00 AM,64.931,,,,,
73,06/02/17 10:00:00 AM,65.316,,,,,
74,06/02/17 10:15:00 AM,65.745,,,,,
75,06/02/17 10:30:00 AM,66.258,,,,,
76,06/02/17 10:45:00 AM,66.814,,,,,
77,06/02/17 11:00:00 AM,67.372,,,,,
78,06/02/17 11:15:00 AM,67.928,,,,,
79,06/02/17 11:30:00 AM,68.527,,,,,
80,06/02/17 11:45:00 AM,69.129,,,,,
81,06/02/17 12:00:00 PM,69.771,,,,,
82,06/02/17 12:15:00 PM,70.416,,,,,
83,06/02/17 12:30:00 PM,71.017,,,,,
84,06/02/17 12:45:00 PM,71.661,,,,,
85,06/02/17 01:00:00 PM,72.307,,,,,
86,06/02/17 01:15:00 PM,72.912,,,,,
87,06/02/17 01:30:00 PM,73.472,,,,,
88,06/02/17 01:45:00 PM,74.034,,,,,
89,06/02/17 02:00:00 PM,74.597,,,,,
90,06/02/17 02:15:00 PM,75.117,,,,,
91,06/02/17 02:30:00 PM,75.551,,,,,
92,06/02/17 02:45:00 PM,76.028,,,,,
93,06/02/17 03:00:00 PM,76.464,,,,,
94,06/02/17 03:15:00 PM,76.942,,,,,
95,06/02/17 03:30:00 PM,77.335,,,,,
96,06/02/17 03:45:00 PM,77.684,,,,,
97,06/02/17 04:00:00 PM,77.945,,,,,
98,06/02/17 04:15:00 PM,78.208,,,,,
99,06/02/17 04:30:00 PM,78.514,,,,,
100,06/02/17 04:45:00 PM,78.777,,,,,
101,06/02/17 05:00:00 PM,78.645,,,,,
102,06/02/17 05:15:00 PM,78.471,,,,,
103,06/02/17 05:30:00 PM,78.427,,,,,
104,06/02/17 05:45:00 PM,78.076,,,,,
105,06/02/17 06:00:00 PM,77.859,,,,,
106,06/02/17 06:15:00 PM,77.596,,,,,
