"Plot Title: Snake 1"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719043, SEN S/N: 10719043)","Coupler Detached (LGR S/N: 10719043)","Coupler Attached (LGR S/N: 10719043)","Stopped (LGR S/N: 10719043)","End Of File (LGR S/N: 10719043)"
1,07/10/15 10:00:00 PM,67.671,Logged,,,
2,07/10/15 11:00:00 PM,66.900,,,,
3,07/11/15 12:00:00 AM,66.385,,,,
4,07/11/15 01:00:00 AM,66.087,,,,
5,07/11/15 02:00:00 AM,65.829,,,,
6,07/11/15 03:00:00 AM,65.530,,,,
7,07/11/15 04:00:00 AM,65.188,,,,
8,07/11/15 05:00:00 AM,64.931,,,,
9,07/11/15 06:00:00 AM,64.632,,,,
10,07/11/15 07:00:00 AM,64.418,,,,
11,07/11/15 08:00:00 AM,64.589,,,,
12,07/11/15 09:00:00 AM,65.102,,,,
13,07/11/15 10:00:00 AM,66.087,,,,
14,07/11/15 11:00:00 AM,67.842,,,,
15,07/11/15 12:00:00 PM,69.814,,,,
16,07/11/15 01:00:00 PM,71.920,,,,
17,07/11/15 02:00:00 PM,74.034,,,,
18,07/11/15 03:00:00 PM,75.594,,,,
19,07/11/15 04:00:00 PM,76.464,,,,
20,07/11/15 05:00:00 PM,76.636,,,,
21,07/11/15 06:00:00 PM,76.375,,,,
22,07/11/15 07:00:00 PM,75.810,,,,
23,07/11/15 08:00:00 PM,74.899,,,,
24,07/11/15 09:00:00 PM,73.558,,,,
25,07/11/15 10:00:00 PM,72.178,,,,
26,07/11/15 11:00:00 PM,71.017,,,,
27,07/12/15 12:00:00 AM,70.115,,,,
28,07/12/15 01:00:00 AM,69.514,,,,
29,07/12/15 02:00:00 AM,69.042,,,,
30,07/12/15 03:00:00 AM,68.443,,,,
31,07/12/15 04:00:00 AM,67.586,,,,
32,07/12/15 05:00:00 AM,66.729,,,,
33,07/12/15 06:00:00 AM,65.959,,,,
34,07/12/15 07:00:00 AM,65.359,,,,
35,07/12/15 08:00:00 AM,65.316,,,,
36,07/12/15 09:00:00 AM,65.916,,,,
37,07/12/15 10:00:00 AM,67.028,,,,
38,07/12/15 11:00:00 AM,68.742,,,,
39,07/12/15 12:00:00 PM,70.803,,,,
40,07/12/15 01:00:00 PM,73.083,,,,
41,07/12/15 02:00:00 PM,75.290,,,,
42,07/12/15 03:00:00 PM,76.854,,,,
43,07/12/15 04:00:00 PM,77.596,,,,
44,07/12/15 05:00:00 PM,77.292,,,,
45,07/12/15 06:00:00 PM,76.550,,,,
46,07/12/15 07:00:00 PM,75.551,,,,
47,07/12/15 08:00:00 PM,74.511,,,,
48,07/12/15 09:00:00 PM,73.256,,,,
49,07/12/15 10:00:00 PM,72.007,,,,
50,07/12/15 11:00:00 PM,70.803,,,,
51,07/13/15 12:00:00 AM,69.728,,,,
52,07/13/15 01:00:00 AM,68.785,,,,
53,07/13/15 02:00:00 AM,67.885,,,,
54,07/13/15 03:00:00 AM,66.985,,,,
