"Plot Title: Snake HWY 61"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719009, SEN S/N: 10719009)","Coupler Detached (LGR S/N: 10719009)","Coupler Attached (LGR S/N: 10719009)","Stopped (LGR S/N: 10719009)","End Of File (LGR S/N: 10719009)"
1,06/17/16 12:00:00 AM,72.264,Logged,,,
2,06/17/16 12:15:00 AM,72.007,,,,
3,06/17/16 12:30:00 AM,71.748,,,,
4,06/17/16 12:45:00 AM,71.490,,,,
5,06/17/16 01:00:00 AM,71.231,,,,
6,06/17/16 01:15:00 AM,70.974,,,,
7,06/17/16 01:30:00 AM,70.759,,,,
8,06/17/16 01:45:00 AM,70.502,,,,
9,06/17/16 02:00:00 AM,70.243,,,,
10,06/17/16 02:15:00 AM,69.985,,,,
11,06/17/16 02:30:00 AM,69.771,,,,
12,06/17/16 02:45:00 AM,69.514,,,,
13,06/17/16 03:00:00 AM,69.256,,,,
14,06/17/16 03:15:00 AM,68.999,,,,
15,06/17/16 03:30:00 AM,68.742,,,,
16,06/17/16 03:45:00 AM,68.484,,,,
17,06/17/16 04:00:00 AM,68.270,,,,
18,06/17/16 04:15:00 AM,68.013,,,,
19,06/17/16 04:30:00 AM,67.757,,,,
20,06/17/16 04:45:00 AM,67.543,,,,
21,06/17/16 05:00:00 AM,67.285,,,,
22,06/17/16 05:15:00 AM,67.071,,,,
23,06/17/16 05:30:00 AM,66.900,,,,
24,06/17/16 05:45:00 AM,66.729,,,,
25,06/17/16 06:00:00 AM,66.558,,,,
26,06/17/16 06:15:00 AM,66.429,,,,
27,06/17/16 06:30:00 AM,66.344,,,,
28,06/17/16 06:45:00 AM,66.258,,,,
29,06/17/16 07:00:00 AM,66.214,,,,
30,06/17/16 07:15:00 AM,66.173,,,,
31,06/17/16 07:30:00 AM,66.214,,,,
32,06/17/16 07:45:00 AM,66.258,,,,
33,06/17/16 08:00:00 AM,66.385,,,,
34,06/17/16 08:15:00 AM,66.515,,,,
35,06/17/16 08:30:00 AM,66.686,,,,
36,06/17/16 08:45:00 AM,66.900,,,,
37,06/17/16 09:00:00 AM,67.158,,,,
38,06/17/16 09:15:00 AM,67.456,,,,
39,06/17/16 09:30:00 AM,67.798,,,,
40,06/17/16 09:45:00 AM,68.185,,,,
41,06/17/16 10:00:00 AM,68.527,,,,
42,06/17/16 10:15:00 AM,68.956,,,,
43,06/17/16 10:30:00 AM,69.386,,,,
44,06/17/16 10:45:00 AM,69.814,,,,
45,06/17/16 11:00:00 AM,70.286,,,,
46,06/17/16 11:15:00 AM,70.759,,,,
47,06/17/16 11:30:00 AM,71.190,,,,
48,06/17/16 11:45:00 AM,71.661,,,,
49,06/17/16 12:00:00 PM,72.136,,,,
50,06/17/16 12:15:00 PM,72.437,,,,
51,06/17/16 12:30:00 PM,72.997,,,,
52,06/17/16 12:45:00 PM,73.515,,,,
53,06/17/16 01:00:00 PM,73.904,,,,
54,06/17/16 01:15:00 PM,74.338,,,,
55,06/17/16 01:30:00 PM,74.640,,,,
56,06/17/16 01:45:00 PM,75.029,,,,
57,06/17/16 02:00:00 PM,75.376,,,,
58,06/17/16 02:15:00 PM,75.681,,,,
59,06/17/16 02:30:00 PM,75.942,,,,
60,06/17/16 02:45:00 PM,76.203,,,,
61,06/17/16 03:00:00 PM,76.375,,,,
62,06/17/16 03:15:00 PM,76.593,,,,
63,06/17/16 03:30:00 PM,76.768,,,,
64,06/17/16 03:45:00 PM,76.899,,,,
65,06/17/16 04:00:00 PM,77.029,,,,
66,06/17/16 04:15:00 PM,77.160,,,,
67,06/17/16 04:30:00 PM,77.203,,,,
68,06/17/16 04:45:00 PM,77.203,,,,
69,06/17/16 05:00:00 PM,77.203,,,,
70,06/17/16 05:15:00 PM,77.160,,,,
71,06/17/16 05:30:00 PM,77.072,,,,
72,06/17/16 05:45:00 PM,76.986,,,,
73,06/17/16 06:00:00 PM,76.854,,,,
74,06/17/16 06:15:00 PM,76.636,,,,
75,06/17/16 06:30:00 PM,76.419,,,,
76,06/17/16 06:45:00 PM,76.203,,,,
77,06/17/16 07:00:00 PM,75.942,,,,
78,06/17/16 07:15:00 PM,75.681,,,,
