"Plot Title: Soldier Creek-Middle Branch"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9759470, SEN S/N: 9759470)","Coupler Detached (LGR S/N: 9759470)","Coupler Attached (LGR S/N: 9759470)","Host Connected (LGR S/N: 9759470)","Stopped (LGR S/N: 9759470)","End Of File (LGR S/N: 9759470)"
1,09/20/16 01:00:00 PM,56.642,Logged,,,,
2,09/20/16 01:15:00 PM,56.858,,,,,
3,09/20/16 01:30:00 PM,57.204,,,,,
4,09/20/16 01:45:00 PM,57.549,,,,,
5,09/20/16 02:00:00 PM,57.807,,,,,
6,09/20/16 02:15:00 PM,58.066,,,,,
7,09/20/16 02:30:00 PM,58.325,,,,,
8,09/20/16 02:45:00 PM,58.582,,,,,
9,09/20/16 03:00:00 PM,58.798,,,,,
10,09/20/16 03:15:00 PM,59.056,,,,,
11,09/20/16 03:30:00 PM,59.358,,,,,
12,09/20/16 03:45:00 PM,59.616,,,,,
13,09/20/16 04:00:00 PM,59.959,,,,,
14,09/20/16 04:15:00 PM,60.260,,,,,
15,09/20/16 04:30:00 PM,60.561,,,,,
16,09/20/16 04:45:00 PM,60.861,,,,,
17,09/20/16 05:00:00 PM,61.075,,,,,
18,09/20/16 05:15:00 PM,61.248,,,,,
19,09/20/16 05:30:00 PM,61.290,,,,,
20,09/20/16 05:45:00 PM,61.333,,,,,
21,09/20/16 06:00:00 PM,61.376,,,,,
22,09/20/16 06:15:00 PM,61.462,,,,,
23,09/20/16 06:30:00 PM,61.506,,,,,
24,09/20/16 06:45:00 PM,61.547,,,,,
25,09/20/16 07:00:00 PM,61.547,,,,,
26,09/20/16 07:15:00 PM,61.506,,,,,
27,09/20/16 07:30:00 PM,61.419,,,,,
28,09/20/16 07:45:00 PM,61.333,,,,,
29,09/20/16 08:00:00 PM,61.205,,,,,
30,09/20/16 08:15:00 PM,61.032,,,,,
31,09/20/16 08:30:00 PM,60.904,,,,,
32,09/20/16 08:45:00 PM,60.733,,,,,
33,09/20/16 09:00:00 PM,60.561,,,,,
34,09/20/16 09:15:00 PM,60.390,,,,,
35,09/20/16 09:30:00 PM,60.174,,,,,
36,09/20/16 09:45:00 PM,60.003,,,,,
37,09/20/16 10:00:00 PM,59.830,,,,,
38,09/20/16 10:15:00 PM,59.659,,,,,
39,09/20/16 10:30:00 PM,59.445,,,,,
40,09/20/16 10:45:00 PM,59.272,,,,,
41,09/20/16 11:00:00 PM,59.099,,,,,
42,09/20/16 11:15:00 PM,58.885,,,,,
43,09/20/16 11:30:00 PM,58.712,,,,,
44,09/20/16 11:45:00 PM,58.498,,,,,
45,09/21/16 12:00:00 AM,58.325,,,,,
46,09/21/16 12:15:00 AM,58.152,,,,,
47,09/21/16 12:30:00 AM,57.979,,,,,
48,09/21/16 12:45:00 AM,57.765,,,,,
49,09/21/16 01:00:00 AM,57.592,,,,,
50,09/21/16 01:15:00 AM,57.420,,,,,
51,09/21/16 01:30:00 AM,57.247,,,,,
52,09/21/16 01:45:00 AM,57.074,,,,,
53,09/21/16 02:00:00 AM,56.901,,,,,
54,09/21/16 02:15:00 AM,56.772,,,,,
55,09/21/16 02:30:00 AM,56.642,,,,,
56,09/21/16 02:45:00 AM,56.469,,,,,
57,09/21/16 03:00:00 AM,56.340,,,,,
58,09/21/16 03:15:00 AM,56.165,,,,,
59,09/21/16 03:30:00 AM,56.035,,,,,
60,09/21/16 03:45:00 AM,55.906,,,,,
61,09/21/16 04:00:00 AM,55.776,,,,,
62,09/21/16 04:15:00 AM,55.647,,,,,
63,09/21/16 04:30:00 AM,55.515,,,,,
64,09/21/16 04:45:00 AM,55.386,,,,,
65,09/21/16 05:00:00 AM,55.213,,,,,
66,09/21/16 05:15:00 AM,55.081,,,,,
67,09/21/16 05:30:00 AM,54.952,,,,,
68,09/21/16 05:45:00 AM,54.820,,,,,
69,09/21/16 06:00:00 AM,54.691,,,,,
70,09/21/16 06:15:00 AM,54.604,,,,,
71,09/21/16 06:30:00 AM,54.473,,,,,
72,09/21/16 06:45:00 AM,54.387,,,,,
73,09/21/16 07:00:00 AM,54.300,,,,,
74,09/21/16 07:15:00 AM,54.212,,,,,
75,09/21/16 07:30:00 AM,54.169,,,,,
76,09/21/16 07:45:00 AM,54.082,,,,,
77,09/21/16 08:00:00 AM,54.082,,,,,
78,09/21/16 08:15:00 AM,54.037,,,,,
79,09/21/16 08:30:00 AM,54.037,,,,,
80,09/21/16 08:45:00 AM,54.082,,,,,
81,09/21/16 09:00:00 AM,54.082,,,,,
