"Plot Title: Soldier Creek-Middle Branch"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9759470, SEN S/N: 9759470)","Coupler Detached (LGR S/N: 9759470)","Coupler Attached (LGR S/N: 9759470)","Host Connected (LGR S/N: 9759470)","Stopped (LGR S/N: 9759470)","End Of File (LGR S/N: 9759470)"
1,06/08/17 07:00:00 PM,66.943,Logged,,,,
2,06/08/17 07:15:00 PM,66.814,,,,,
3,06/08/17 07:30:00 PM,66.600,,,,,
4,06/08/17 07:45:00 PM,66.429,,,,,
5,06/08/17 08:00:00 PM,66.214,,,,,
6,06/08/17 08:15:00 PM,66.000,,,,,
7,06/08/17 08:30:00 PM,65.745,,,,,
8,06/08/17 08:45:00 PM,65.530,,,,,
9,06/08/17 09:00:00 PM,65.230,,,,,
10,06/08/17 09:15:00 PM,64.931,,,,,
11,06/08/17 09:30:00 PM,64.632,,,,,
12,06/08/17 09:45:00 PM,64.288,,,,,
13,06/08/17 10:00:00 PM,63.990,,,,,
14,06/08/17 10:15:00 PM,63.689,,,,,
15,06/08/17 10:30:00 PM,63.390,,,,,
16,06/08/17 10:45:00 PM,63.133,,,,,
17,06/08/17 11:00:00 PM,62.919,,,,,
18,06/08/17 11:15:00 PM,62.704,,,,,
19,06/08/17 11:30:00 PM,62.490,,,,,
20,06/08/17 11:45:00 PM,62.276,,,,,
21,06/09/17 12:00:00 AM,62.062,,,,,
22,06/09/17 12:15:00 AM,61.891,,,,,
23,06/09/17 12:30:00 AM,61.677,,,,,
24,06/09/17 12:45:00 AM,61.506,,,,,
25,06/09/17 01:00:00 AM,61.290,,,,,
26,06/09/17 01:15:00 AM,61.119,,,,,
27,06/09/17 01:30:00 AM,60.904,,,,,
28,06/09/17 01:45:00 AM,60.733,,,,,
29,06/09/17 02:00:00 AM,60.561,,,,,
30,06/09/17 02:15:00 AM,60.433,,,,,
31,06/09/17 02:30:00 AM,60.260,,,,,
32,06/09/17 02:45:00 AM,60.132,,,,,
33,06/09/17 03:00:00 AM,59.959,,,,,
34,06/09/17 03:15:00 AM,59.830,,,,,
35,06/09/17 03:30:00 AM,59.702,,,,,
36,06/09/17 03:45:00 AM,59.529,,,,,
37,06/09/17 04:00:00 AM,59.401,,,,,
38,06/09/17 04:15:00 AM,59.272,,,,,
39,06/09/17 04:30:00 AM,59.099,,,,,
40,06/09/17 04:45:00 AM,58.971,,,,,
41,06/09/17 05:00:00 AM,58.798,,,,,
42,06/09/17 05:15:00 AM,58.669,,,,,
43,06/09/17 05:30:00 AM,58.541,,,,,
44,06/09/17 05:45:00 AM,58.455,,,,,
45,06/09/17 06:00:00 AM,58.368,,,,,
46,06/09/17 06:15:00 AM,58.282,,,,,
47,06/09/17 06:30:00 AM,58.195,,,,,
48,06/09/17 06:45:00 AM,58.066,,,,,
49,06/09/17 07:00:00 AM,57.979,,,,,
50,06/09/17 07:15:00 AM,57.893,,,,,
51,06/09/17 07:30:00 AM,57.850,,,,,
52,06/09/17 07:45:00 AM,57.765,,,,,
53,06/09/17 08:00:00 AM,57.765,,,,,
54,06/09/17 08:15:00 AM,57.765,,,,,
55,06/09/17 08:30:00 AM,57.807,,,,,
56,06/09/17 08:45:00 AM,57.807,,,,,
57,06/09/17 09:00:00 AM,57.850,,,,,
58,06/09/17 09:15:00 AM,57.936,,,,,
59,06/09/17 09:30:00 AM,58.066,,,,,
60,06/09/17 09:45:00 AM,58.195,,,,,
61,06/09/17 10:00:00 AM,58.325,,,,,
62,06/09/17 10:15:00 AM,58.498,,,,,
63,06/09/17 10:30:00 AM,58.669,,,,,
64,06/09/17 10:45:00 AM,58.798,,,,,
65,06/09/17 11:00:00 AM,59.056,,,,,
66,06/09/17 11:15:00 AM,59.358,,,,,
67,06/09/17 11:30:00 AM,59.702,,,,,
68,06/09/17 11:45:00 AM,60.132,,,,,
69,06/09/17 12:00:00 PM,60.474,,,,,
70,06/09/17 12:15:00 PM,60.861,,,,,
71,06/09/17 12:30:00 PM,61.248,,,,,
72,06/09/17 12:45:00 PM,61.720,,,,,
73,06/09/17 01:00:00 PM,62.062,,,,,
74,06/09/17 01:15:00 PM,62.533,,,,,
75,06/09/17 01:30:00 PM,63.005,,,,,
76,06/09/17 01:45:00 PM,63.475,,,,,
77,06/09/17 02:00:00 PM,63.862,,,,,
78,06/09/17 02:15:00 PM,64.332,,,,,
79,06/09/17 02:30:00 PM,64.803,,,,,
80,06/09/17 02:45:00 PM,65.102,,,,,
81,06/09/17 03:00:00 PM,65.487,,,,,
82,06/09/17 03:15:00 PM,65.788,,,,,
83,06/09/17 03:30:00 PM,66.130,,,,,
84,06/09/17 03:45:00 PM,66.472,,,,,
85,06/09/17 04:00:00 PM,66.729,,,,,
86,06/09/17 04:15:00 PM,66.900,,,,,
87,06/09/17 04:30:00 PM,67.114,,,,,
88,06/09/17 04:45:00 PM,67.242,,,,,
89,06/09/17 05:00:00 PM,67.372,,,,,
90,06/09/17 05:15:00 PM,67.413,,,,,
91,06/09/17 05:30:00 PM,67.456,,,,,
92,06/09/17 05:45:00 PM,67.456,,,,,
93,06/09/17 06:00:00 PM,67.413,,,,,
