"Plot Title: Soldier Creek 12-8-15 (1005)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739507, SEN S/N: 10739507)","Coupler Detached (LGR S/N: 10739507)","Coupler Attached (LGR S/N: 10739507)","Stopped (LGR S/N: 10739507)","End Of File (LGR S/N: 10739507)"
1,12/08/15 11:00:00 AM,44.173,Logged,,,
2,12/08/15 11:15:00 AM,44.310,,,,
3,12/08/15 11:30:00 AM,44.445,,,,
4,12/08/15 11:45:00 AM,44.627,,,,
5,12/08/15 12:00:00 PM,44.809,,,,
6,12/08/15 12:15:00 PM,44.946,,,,
7,12/08/15 12:30:00 PM,45.082,,,,
8,12/08/15 12:45:00 PM,45.217,,,,
9,12/08/15 01:00:00 PM,45.307,,,,
10,12/08/15 01:15:00 PM,45.354,,,,
11,12/08/15 01:30:00 PM,45.444,,,,
12,12/08/15 01:45:00 PM,45.669,,,,
13,12/08/15 02:00:00 PM,45.851,,,,
14,12/08/15 02:15:00 PM,45.941,,,,
15,12/08/15 02:30:00 PM,46.031,,,,
16,12/08/15 02:45:00 PM,46.121,,,,
17,12/08/15 03:00:00 PM,46.256,,,,
18,12/08/15 03:15:00 PM,46.346,,,,
19,12/08/15 03:30:00 PM,46.391,,,,
20,12/08/15 03:45:00 PM,46.436,,,,
21,12/08/15 04:00:00 PM,46.436,,,,
22,12/08/15 04:15:00 PM,46.391,,,,
23,12/08/15 04:30:00 PM,46.391,,,,
24,12/08/15 04:45:00 PM,46.346,,,,
25,12/08/15 05:00:00 PM,46.301,,,,
26,12/08/15 05:15:00 PM,46.211,,,,
27,12/08/15 05:30:00 PM,46.166,,,,
28,12/08/15 05:45:00 PM,46.121,,,,
29,12/08/15 06:00:00 PM,46.031,,,,
30,12/08/15 06:15:00 PM,45.896,,,,
31,12/08/15 06:30:00 PM,45.806,,,,
32,12/08/15 06:45:00 PM,45.669,,,,
33,12/08/15 07:00:00 PM,45.579,,,,
34,12/08/15 07:15:00 PM,45.489,,,,
35,12/08/15 07:30:00 PM,45.399,,,,
36,12/08/15 07:45:00 PM,45.307,,,,
37,12/08/15 08:00:00 PM,45.172,,,,
38,12/08/15 08:15:00 PM,45.082,,,,
39,12/08/15 08:30:00 PM,44.946,,,,
40,12/08/15 08:45:00 PM,44.809,,,,
41,12/08/15 09:00:00 PM,44.674,,,,
42,12/08/15 09:15:00 PM,44.582,,,,
43,12/08/15 09:30:00 PM,44.445,,,,
44,12/08/15 09:45:00 PM,44.310,,,,
45,12/08/15 10:00:00 PM,44.173,,,,
46,12/08/15 10:15:00 PM,44.082,,,,
47,12/08/15 10:30:00 PM,44.037,,,,
48,12/08/15 10:45:00 PM,43.990,,,,
49,12/08/15 11:00:00 PM,43.945,,,,
50,12/08/15 11:15:00 PM,43.900,,,,
51,12/08/15 11:30:00 PM,43.853,,,,
52,12/08/15 11:45:00 PM,43.853,,,,
53,12/09/15 12:00:00 AM,43.808,,,,
54,12/09/15 12:15:00 AM,43.763,,,,
55,12/09/15 12:30:00 AM,43.763,,,,
56,12/09/15 12:45:00 AM,43.716,,,,
57,12/09/15 01:00:00 AM,43.716,,,,
58,12/09/15 01:15:00 AM,43.671,,,,
59,12/09/15 01:30:00 AM,43.671,,,,
60,12/09/15 01:45:00 AM,43.671,,,,
61,12/09/15 02:00:00 AM,43.671,,,,
62,12/09/15 02:15:00 AM,43.716,,,,
63,12/09/15 02:30:00 AM,43.716,,,,
64,12/09/15 02:45:00 AM,43.716,,,,
65,12/09/15 03:00:00 AM,43.763,,,,
66,12/09/15 03:15:00 AM,43.763,,,,
67,12/09/15 03:30:00 AM,43.763,,,,
68,12/09/15 03:45:00 AM,43.808,,,,
69,12/09/15 04:00:00 AM,43.808,,,,
70,12/09/15 04:15:00 AM,43.853,,,,
71,12/09/15 04:30:00 AM,43.853,,,,
72,12/09/15 04:45:00 AM,43.900,,,,
73,12/09/15 05:00:00 AM,43.945,,,,
74,12/09/15 05:15:00 AM,43.945,,,,
75,12/09/15 05:30:00 AM,43.990,,,,
76,12/09/15 05:45:00 AM,43.990,,,,
77,12/09/15 06:00:00 AM,43.990,,,,
78,12/09/15 06:15:00 AM,43.990,,,,
79,12/09/15 06:30:00 AM,43.990,,,,
80,12/09/15 06:45:00 AM,43.990,,,,
81,12/09/15 07:00:00 AM,43.945,,,,
82,12/09/15 07:15:00 AM,43.900,,,,
83,12/09/15 07:30:00 AM,43.853,,,,
84,12/09/15 07:45:00 AM,43.853,,,,
85,12/09/15 08:00:00 AM,43.853,,,,
86,12/09/15 08:15:00 AM,43.808,,,,
87,12/09/15 08:30:00 AM,43.716,,,,
88,12/09/15 08:45:00 AM,43.671,,,,
89,12/09/15 09:00:00 AM,43.671,,,,
90,12/09/15 09:15:00 AM,43.671,,,,
91,12/09/15 09:30:00 AM,43.716,,,,
92,12/09/15 09:45:00 AM,43.763,,,,
93,12/09/15 10:00:00 AM,43.853,,,,
94,12/09/15 10:15:00 AM,43.900,,,,
95,12/09/15 10:30:00 AM,43.990,,,,
96,12/09/15 10:45:00 AM,44.082,,,,
97,12/09/15 11:00:00 AM,44.218,,,,
98,12/09/15 11:15:00 AM,44.400,,,,
99,12/09/15 11:30:00 AM,44.582,,,,
100,12/09/15 11:45:00 AM,44.764,,,,
101,12/09/15 12:00:00 PM,44.946,,,,
102,12/09/15 12:15:00 PM,45.172,,,,
103,12/09/15 12:30:00 PM,45.354,,,,
104,12/09/15 12:45:00 PM,45.489,,,,
105,12/09/15 01:00:00 PM,45.624,,,,
106,12/09/15 01:15:00 PM,45.806,,,,
107,12/09/15 01:30:00 PM,45.986,,,,
108,12/09/15 01:45:00 PM,46.211,,,,
109,12/09/15 02:00:00 PM,46.391,,,,
110,12/09/15 02:15:00 PM,46.526,,,,
111,12/09/15 02:30:00 PM,46.706,,,,
112,12/09/15 02:45:00 PM,46.841,,,,
113,12/09/15 03:00:00 PM,46.974,,,,
114,12/09/15 03:15:00 PM,47.064,,,,
115,12/09/15 03:30:00 PM,47.199,,,,
116,12/09/15 03:45:00 PM,47.244,,,,
117,12/09/15 04:00:00 PM,47.334,,,,
