"Plot Title: Sowbelly 9-24-15 (1430)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719001, SEN S/N: 10719001)","Coupler Detached (LGR S/N: 10719001)","Coupler Attached (LGR S/N: 10719001)","Host Connected (LGR S/N: 10719001)","Stopped (LGR S/N: 10719001)","End Of File (LGR S/N: 10719001)"
1,06/08/17 06:00:00 PM,65.701,Logged,,,,
2,06/08/17 06:15:00 PM,65.444,,,,,
3,06/08/17 06:30:00 PM,65.188,,,,,
4,06/08/17 06:45:00 PM,64.888,,,,,
5,06/08/17 07:00:00 PM,64.546,,,,,
6,06/08/17 07:15:00 PM,64.288,,,,,
7,06/08/17 07:30:00 PM,63.990,,,,,
8,06/08/17 07:45:00 PM,63.689,,,,,
9,06/08/17 08:00:00 PM,63.304,,,,,
10,06/08/17 08:15:00 PM,62.875,,,,,
11,06/08/17 08:30:00 PM,62.447,,,,,
12,06/08/17 08:45:00 PM,62.019,,,,,
13,06/08/17 09:00:00 PM,61.633,,,,,
14,06/08/17 09:15:00 PM,61.290,,,,,
15,06/08/17 09:30:00 PM,60.948,,,,,
16,06/08/17 09:45:00 PM,60.647,,,,,
17,06/08/17 10:00:00 PM,60.390,,,,,
18,06/08/17 10:15:00 PM,60.132,,,,,
19,06/08/17 10:30:00 PM,59.916,,,,,
20,06/08/17 10:45:00 PM,59.702,,,,,
21,06/08/17 11:00:00 PM,59.529,,,,,
22,06/08/17 11:15:00 PM,59.401,,,,,
23,06/08/17 11:30:00 PM,59.229,,,,,
24,06/08/17 11:45:00 PM,59.099,,,,,
25,06/09/17 12:00:00 AM,59.014,,,,,
26,06/09/17 12:15:00 AM,58.885,,,,,
27,06/09/17 12:30:00 AM,58.755,,,,,
28,06/09/17 12:45:00 AM,58.669,,,,,
29,06/09/17 01:00:00 AM,58.541,,,,,
30,06/09/17 01:15:00 AM,58.455,,,,,
31,06/09/17 01:30:00 AM,58.368,,,,,
32,06/09/17 01:45:00 AM,58.239,,,,,
33,06/09/17 02:00:00 AM,58.152,,,,,
34,06/09/17 02:15:00 AM,58.066,,,,,
35,06/09/17 02:30:00 AM,57.979,,,,,
36,06/09/17 02:45:00 AM,57.893,,,,,
37,06/09/17 03:00:00 AM,57.807,,,,,
38,06/09/17 03:15:00 AM,57.765,,,,,
39,06/09/17 03:30:00 AM,57.679,,,,,
40,06/09/17 03:45:00 AM,57.592,,,,,
41,06/09/17 04:00:00 AM,57.549,,,,,
42,06/09/17 04:15:00 AM,57.463,,,,,
43,06/09/17 04:30:00 AM,57.376,,,,,
44,06/09/17 04:45:00 AM,57.290,,,,,
45,06/09/17 05:00:00 AM,57.204,,,,,
46,06/09/17 05:15:00 AM,57.117,,,,,
47,06/09/17 05:30:00 AM,57.031,,,,,
48,06/09/17 05:45:00 AM,56.901,,,,,
49,06/09/17 06:00:00 AM,56.858,,,,,
50,06/09/17 06:15:00 AM,56.772,,,,,
51,06/09/17 06:30:00 AM,56.685,,,,,
