"Plot Title: Sowbelly 9-24-15 (1430)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719001, SEN S/N: 10719001)","Coupler Detached (LGR S/N: 10719001)","Coupler Attached (LGR S/N: 10719001)","Host Connected (LGR S/N: 10719001)","Stopped (LGR S/N: 10719001)","End Of File (LGR S/N: 10719001)"
1,05/26/16 01:45:33 PM,74.120,Logged,,,,
2,05/26/16 02:00:33 PM,63.262,,,,,
3,05/26/16 02:15:33 PM,61.547,,,,,
4,05/26/16 02:30:33 PM,61.119,,,,,
5,05/26/16 02:45:33 PM,60.818,,,,,
6,05/26/16 03:00:33 PM,60.733,,,,,
7,05/26/16 03:15:33 PM,60.647,,,,,
8,05/26/16 03:30:33 PM,60.517,,,,,
9,05/26/16 03:45:33 PM,60.260,,,,,
10,05/26/16 04:00:33 PM,59.916,,,,,
11,05/26/16 04:15:33 PM,59.702,,,,,
12,05/26/16 04:30:33 PM,59.529,,,,,
13,05/26/16 04:45:33 PM,59.315,,,,,
14,05/26/16 05:00:33 PM,59.014,,,,,
15,05/26/16 05:15:33 PM,58.712,,,,,
16,05/26/16 05:30:33 PM,58.455,,,,,
17,05/26/16 05:45:33 PM,58.239,,,,,
18,05/26/16 06:00:33 PM,58.023,,,,,
19,05/26/16 06:15:33 PM,57.850,,,,,
20,05/26/16 06:30:33 PM,57.722,,,,,
21,05/26/16 06:45:33 PM,57.636,,,,,
22,05/26/16 07:00:33 PM,57.463,,,,,
23,05/26/16 07:15:33 PM,57.333,,,,,
24,05/26/16 07:30:33 PM,57.117,,,,,
25,05/26/16 07:45:33 PM,56.944,,,,,
26,05/26/16 08:00:33 PM,56.728,,,,,
27,05/26/16 08:15:33 PM,56.512,,,,,
28,05/26/16 08:30:33 PM,56.251,,,,,
29,05/26/16 08:45:33 PM,56.079,,,,,
30,05/26/16 09:00:33 PM,55.863,,,,,
31,05/26/16 09:15:33 PM,55.647,,,,,
32,05/26/16 09:30:33 PM,55.429,,,,,
33,05/26/16 09:45:33 PM,55.168,,,,,
34,05/26/16 10:00:33 PM,54.952,,,,,
35,05/26/16 10:15:33 PM,54.820,,,,,
36,05/26/16 10:30:33 PM,54.648,,,,,
37,05/26/16 10:45:33 PM,54.473,,,,,
38,05/26/16 11:00:33 PM,54.387,,,,,
39,05/26/16 11:15:33 PM,54.212,,,,,
40,05/26/16 11:30:33 PM,54.126,,,,,
41,05/26/16 11:45:33 PM,53.994,,,,,
42,05/27/16 12:00:33 AM,53.908,,,,,
43,05/27/16 12:15:33 AM,53.820,,,,,
44,05/27/16 12:30:33 AM,53.776,,,,,
45,05/27/16 12:45:33 AM,53.733,,,,,
46,05/27/16 01:00:33 AM,53.645,,,,,
47,05/27/16 01:15:33 AM,53.645,,,,,
48,05/27/16 01:30:33 AM,53.515,,,,,
49,05/27/16 01:45:33 AM,53.472,,,,,
50,05/27/16 02:00:33 AM,53.472,,,,,
51,05/27/16 02:15:33 AM,53.384,,,,,
52,05/27/16 02:30:33 AM,53.298,,,,,
53,05/27/16 02:45:33 AM,53.298,,,,,
54,05/27/16 03:00:33 AM,53.298,,,,,
55,05/27/16 03:15:33 AM,53.253,,,,,
56,05/27/16 03:30:33 AM,53.253,,,,,
57,05/27/16 03:45:33 AM,53.209,,,,,
58,05/27/16 04:00:33 AM,53.166,,,,,
59,05/27/16 04:15:33 AM,53.166,,,,,
60,05/27/16 04:30:33 AM,53.121,,,,,
61,05/27/16 04:45:33 AM,53.121,,,,,
62,05/27/16 05:00:33 AM,53.035,,,,,
63,05/27/16 05:15:33 AM,52.992,,,,,
64,05/27/16 05:30:33 AM,52.992,,,,,
65,05/27/16 05:45:33 AM,52.947,,,,,
66,05/27/16 06:00:33 AM,52.903,,,,,
67,05/27/16 06:15:33 AM,52.903,,,,,
68,05/27/16 06:30:33 AM,52.860,,,,,
69,05/27/16 06:45:33 AM,52.860,,,,,
70,05/27/16 07:00:33 AM,52.860,,,,,
71,05/27/16 07:15:33 AM,52.947,,,,,
72,05/27/16 07:30:33 AM,53.035,,,,,
73,05/27/16 07:45:33 AM,53.166,,,,,
74,05/27/16 08:00:33 AM,53.298,,,,,
75,05/27/16 08:15:33 AM,53.472,,,,,
76,05/27/16 08:30:33 AM,53.602,,,,,
77,05/27/16 08:45:33 AM,53.820,,,,,
78,05/27/16 09:00:33 AM,54.037,,,,,
79,05/27/16 09:15:33 AM,54.126,,,,,
80,05/27/16 09:30:33 AM,54.169,,,,,
81,05/27/16 09:45:33 AM,54.255,,,,,
82,05/27/16 10:00:33 AM,54.516,,,,,
83,05/27/16 10:15:33 AM,54.995,,,,,
84,05/27/16 10:30:33 AM,55.472,,,,,
85,05/27/16 10:45:33 AM,55.776,,,,,
86,05/27/16 11:00:33 AM,56.165,,,,,
87,05/27/16 11:15:33 AM,56.685,,,,,
88,05/27/16 11:30:33 AM,57.204,,,,,
89,05/27/16 11:45:33 AM,57.679,,,,,
90,05/27/16 12:00:33 PM,58.066,,,,,
91,05/27/16 12:15:33 PM,58.411,,,,,
92,05/27/16 12:30:33 PM,58.755,,,,,
93,05/27/16 12:45:33 PM,58.842,,,,,
94,05/27/16 01:00:33 PM,59.056,,,,,
95,05/27/16 01:15:33 PM,59.616,,,,,
96,05/27/16 01:30:33 PM,60.132,,,,,
97,05/27/16 01:45:33 PM,60.260,,,,,
98,05/27/16 02:00:33 PM,60.217,,,,,
99,05/27/16 02:15:33 PM,60.089,,,,,
100,05/27/16 02:30:33 PM,59.572,,,,,
101,05/27/16 02:45:33 PM,59.272,,,,,
102,05/27/16 03:00:33 PM,59.014,,,,,
103,05/27/16 03:15:33 PM,58.582,,,,,
104,05/27/16 03:30:33 PM,58.066,,,,,
105,05/27/16 03:45:33 PM,57.722,,,,,
106,05/27/16 04:00:33 PM,57.850,,,,,
107,05/27/16 04:15:33 PM,58.109,,,,,
108,05/27/16 04:30:33 PM,58.239,,,,,
109,05/27/16 04:45:33 PM,58.325,,,,,
110,05/27/16 05:00:33 PM,58.325,,,,,
111,05/27/16 05:15:33 PM,58.109,,,,,
112,05/27/16 05:30:33 PM,58.023,,,,,
113,05/27/16 05:45:33 PM,57.979,,,,,
114,05/27/16 06:00:33 PM,57.936,,,,,
115,05/27/16 06:15:33 PM,57.850,,,,,
116,05/27/16 06:30:33 PM,57.636,,,,,
117,05/27/16 06:45:33 PM,57.463,,,,,
118,05/27/16 07:00:33 PM,57.376,,,,,
119,05/27/16 07:15:33 PM,57.247,,,,,
120,05/27/16 07:30:33 PM,57.074,,,,,
121,05/27/16 07:45:33 PM,56.901,,,,,
122,05/27/16 08:00:33 PM,56.642,,,,,
123,05/27/16 08:15:33 PM,56.469,,,,,
124,05/27/16 08:30:33 PM,56.251,,,,,
125,05/27/16 08:45:33 PM,55.992,,,,,
126,05/27/16 09:00:33 PM,55.776,,,,,
127,05/27/16 09:15:33 PM,55.602,,,,,
128,05/27/16 09:30:33 PM,55.342,,,,,
129,05/27/16 09:45:33 PM,55.256,,,,,
130,05/27/16 10:00:33 PM,55.081,,,,,
131,05/27/16 10:15:33 PM,54.952,,,,,
132,05/27/16 10:30:33 PM,54.777,,,,,
133,05/27/16 10:45:33 PM,54.648,,,,,
134,05/27/16 11:00:33 PM,54.516,,,,,
135,05/27/16 11:15:33 PM,54.430,,,,,
