"Plot Title: Sowbelly 9-24-15 (1430)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719001, SEN S/N: 10719001)","Coupler Detached (LGR S/N: 10719001)","Coupler Attached (LGR S/N: 10719001)","Stopped (LGR S/N: 10719001)","End Of File (LGR S/N: 10719001)"
1,11/24/15 03:30:33 PM,72.221,,,,
2,11/24/15 03:31:10 PM,,Logged,,,
3,11/24/15 03:45:33 PM,48.938,,,,
4,11/24/15 04:00:33 PM,47.781,,,,
5,11/24/15 04:15:33 PM,47.557,,,,
6,11/24/15 04:30:33 PM,47.377,,,,
7,11/24/15 04:45:33 PM,47.199,,,,
8,11/24/15 05:00:33 PM,47.064,,,,
9,11/24/15 05:15:33 PM,46.886,,,,
10,11/24/15 05:30:33 PM,46.706,,,,
11,11/24/15 05:45:33 PM,46.571,,,,
12,11/24/15 06:00:33 PM,46.391,,,,
13,11/24/15 06:15:33 PM,46.301,,,,
14,11/24/15 06:30:33 PM,46.121,,,,
15,11/24/15 06:45:33 PM,45.986,,,,
16,11/24/15 07:00:33 PM,45.941,,,,
17,11/24/15 07:15:33 PM,45.896,,,,
18,11/24/15 07:30:33 PM,45.896,,,,
19,11/24/15 07:45:33 PM,45.896,,,,
20,11/24/15 08:00:33 PM,45.896,,,,
21,11/24/15 08:15:33 PM,45.851,,,,
22,11/24/15 08:30:33 PM,45.851,,,,
23,11/24/15 08:45:33 PM,45.851,,,,
24,11/24/15 09:00:33 PM,45.851,,,,
25,11/24/15 09:15:33 PM,45.941,,,,
26,11/24/15 09:30:33 PM,45.941,,,,
27,11/24/15 09:45:33 PM,45.896,,,,
28,11/24/15 10:00:33 PM,45.941,,,,
29,11/24/15 10:15:33 PM,45.941,,,,
30,11/24/15 10:30:33 PM,45.986,,,,
31,11/24/15 10:45:33 PM,45.941,,,,
32,11/24/15 11:00:33 PM,45.851,,,,
33,11/24/15 11:15:33 PM,45.806,,,,
34,11/24/15 11:30:33 PM,45.761,,,,
35,11/24/15 11:45:33 PM,45.806,,,,
36,11/25/15 12:00:33 AM,45.806,,,,
37,11/25/15 12:15:33 AM,45.896,,,,
38,11/25/15 12:30:33 AM,45.851,,,,
39,11/25/15 12:45:33 AM,45.851,,,,
40,11/25/15 01:00:33 AM,45.851,,,,
41,11/25/15 01:15:33 AM,45.806,,,,
42,11/25/15 01:30:33 AM,45.761,,,,
43,11/25/15 01:45:33 AM,45.714,,,,
44,11/25/15 02:00:33 AM,45.669,,,,
45,11/25/15 02:15:33 AM,45.624,,,,
46,11/25/15 02:30:33 AM,45.579,,,,
47,11/25/15 02:45:33 AM,45.579,,,,
48,11/25/15 03:00:33 AM,45.534,,,,
49,11/25/15 03:15:33 AM,45.534,,,,
50,11/25/15 03:30:33 AM,45.444,,,,
51,11/25/15 03:45:33 AM,45.399,,,,
52,11/25/15 04:00:33 AM,45.307,,,,
53,11/25/15 04:15:33 AM,45.262,,,,
54,11/25/15 04:30:33 AM,45.217,,,,
55,11/25/15 04:45:33 AM,45.217,,,,
56,11/25/15 05:00:33 AM,45.172,,,,
57,11/25/15 05:15:33 AM,45.172,,,,
58,11/25/15 05:30:33 AM,45.172,,,,
59,11/25/15 05:45:33 AM,45.127,,,,
60,11/25/15 06:00:33 AM,45.082,,,,
61,11/25/15 06:15:33 AM,45.036,,,,
