"Plot Title: Spotted Tail Creek Steffl"
"#","Date Time, GMT-05:00","Max: Temperature, °F (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Host Connected (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,09/19/16 03:00:00 PM,67.242,,,,,
2,09/19/16 03:31:05 PM,,Logged,,,,
3,09/19/16 04:00:00 PM,64.161,,,,,
4,09/19/16 05:00:00 PM,64.546,,,,,
5,09/19/16 06:00:00 PM,64.589,,,,,
6,09/19/16 07:00:00 PM,64.503,,,,,
7,09/19/16 08:00:00 PM,64.288,,,,,
8,09/19/16 09:00:00 PM,63.862,,,,,
9,09/19/16 10:00:00 PM,63.304,,,,,
10,09/19/16 11:00:00 PM,62.791,,,,,
11,09/20/16 12:00:00 AM,62.362,,,,,
12,09/20/16 01:00:00 AM,62.062,,,,,
13,09/20/16 02:00:00 AM,61.761,,,,,
14,09/20/16 03:00:00 AM,61.506,,,,,
15,09/20/16 04:00:00 AM,61.205,,,,,
16,09/20/16 05:00:00 AM,60.948,,,,,
17,09/20/16 06:00:00 AM,60.647,,,,,
18,09/20/16 07:00:00 AM,60.260,,,,,
19,09/20/16 08:00:00 AM,59.873,,,,,
20,09/20/16 09:00:00 AM,59.529,,,,,
21,09/20/16 10:00:00 AM,59.659,,,,,
22,09/20/16 11:00:00 AM,60.046,,,,,
23,09/20/16 12:00:00 PM,60.733,,,,,
24,09/20/16 01:00:00 PM,61.677,,,,,
25,09/20/16 02:00:00 PM,62.577,,,,,
26,09/20/16 03:00:00 PM,63.133,,,,,
27,09/20/16 04:00:00 PM,63.819,,,,,
28,09/20/16 05:00:00 PM,64.033,,,,,
29,09/20/16 06:00:00 PM,64.074,,,,,
30,09/20/16 07:00:00 PM,64.074,,,,,
31,09/20/16 08:00:00 PM,63.862,,,,,
32,09/20/16 09:00:00 PM,63.518,,,,,
33,09/20/16 10:00:00 PM,63.133,,,,,
34,09/20/16 11:00:00 PM,62.704,,,,,
35,09/21/16 12:00:00 AM,62.319,,,,,
36,09/21/16 01:00:00 AM,61.977,,,,,
37,09/21/16 02:00:00 AM,61.590,,,,,
38,09/21/16 03:00:00 AM,61.205,,,,,
39,09/21/16 04:00:00 AM,60.904,,,,,
40,09/21/16 05:00:00 AM,60.647,,,,,
41,09/21/16 06:00:00 AM,60.474,,,,,
42,09/21/16 07:00:00 AM,60.303,,,,,
43,09/21/16 08:00:00 AM,60.132,,,,,
44,09/21/16 09:00:00 AM,60.003,,,,,
45,09/21/16 10:00:00 AM,60.174,,,,,
46,09/21/16 11:00:00 AM,60.604,,,,,
47,09/21/16 12:00:00 PM,61.205,,,,,
48,09/21/16 01:00:00 PM,61.977,,,,,
49,09/21/16 02:00:00 PM,62.834,,,,,
50,09/21/16 03:00:00 PM,63.475,,,,,
51,09/21/16 04:00:00 PM,64.033,,,,,
52,09/21/16 05:00:00 PM,64.332,,,,,
53,09/21/16 06:00:00 PM,64.332,,,,,
54,09/21/16 07:00:00 PM,64.247,,,,,
55,09/21/16 08:00:00 PM,64.117,,,,,
