"Plot Title: Spotted Tail Creek Steffl"
"#","Date Time, GMT-05:00","Max: Temperature, °F (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Host Connected (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,06/08/17 02:00:00 PM,68.443,Logged,,,,
2,06/08/17 03:00:00 PM,69.170,,,,,
3,06/08/17 04:00:00 PM,69.256,,,,,
4,06/08/17 05:00:00 PM,69.471,,,,,
5,06/08/17 06:00:00 PM,69.300,,,,,
6,06/08/17 07:00:00 PM,68.956,,,,,
7,06/08/17 08:00:00 PM,68.443,,,,,
8,06/08/17 09:00:00 PM,67.798,,,,,
9,06/08/17 10:00:00 PM,66.943,,,,,
10,06/08/17 11:00:00 PM,66.043,,,,,
11,06/09/17 12:00:00 AM,65.444,,,,,
12,06/09/17 01:00:00 AM,64.760,,,,,
13,06/09/17 02:00:00 AM,64.288,,,,,
14,06/09/17 03:00:00 AM,63.903,,,,,
15,06/09/17 04:00:00 AM,63.518,,,,,
16,06/09/17 05:00:00 AM,63.090,,,,,
17,06/09/17 06:00:00 AM,62.748,,,,,
18,06/09/17 07:00:00 AM,62.362,,,,,
19,06/09/17 08:00:00 AM,62.105,,,,,
20,06/09/17 09:00:00 AM,62.276,,,,,
21,06/09/17 10:00:00 AM,62.704,,,,,
22,06/09/17 11:00:00 AM,63.518,,,,,
23,06/09/17 12:00:00 PM,64.117,,,,,
24,06/09/17 01:00:00 PM,64.332,,,,,
25,06/09/17 02:00:00 PM,64.931,,,,,
26,06/09/17 03:00:00 PM,65.359,,,,,
27,06/09/17 04:00:00 PM,65.829,,,,,
28,06/09/17 05:00:00 PM,66.087,,,,,
29,06/09/17 06:00:00 PM,66.214,,,,,
30,06/09/17 07:00:00 PM,66.173,,,,,
31,06/09/17 08:00:00 PM,65.916,,,,,
32,06/09/17 09:00:00 PM,65.574,,,,,
33,06/09/17 10:00:00 PM,64.845,,,,,
34,06/09/17 11:00:00 PM,64.204,,,,,
35,06/10/17 12:00:00 AM,63.604,,,,,
36,06/10/17 01:00:00 AM,63.005,,,,,
37,06/10/17 02:00:00 AM,62.577,,,,,
38,06/10/17 03:00:00 AM,62.233,,,,,
39,06/10/17 04:00:00 AM,61.934,,,,,
40,06/10/17 05:00:00 AM,61.677,,,,,
41,06/10/17 06:00:00 AM,61.376,,,,,
42,06/10/17 07:00:00 AM,61.075,,,,,
43,06/10/17 08:00:00 AM,60.818,,,,,
44,06/10/17 09:00:00 AM,60.647,,,,,
45,06/10/17 10:00:00 AM,60.991,,,,,
46,06/10/17 11:00:00 AM,61.419,,,,,
47,06/10/17 12:00:00 PM,61.891,,,,,
48,06/10/17 01:00:00 PM,62.533,,,,,
49,06/10/17 02:00:00 PM,63.133,,,,,
50,06/10/17 03:00:00 PM,63.347,,,,,
51,06/10/17 04:00:00 PM,63.903,,,,,
52,06/10/17 05:00:00 PM,64.117,,,,,
53,06/10/17 06:00:00 PM,64.033,,,,,
54,06/10/17 07:00:00 PM,63.176,,,,,
55,06/10/17 08:00:00 PM,63.048,,,,,
56,06/10/17 09:00:00 PM,63.048,,,,,
57,06/10/17 10:00:00 PM,62.791,,,,,
58,06/10/17 11:00:00 PM,62.447,,,,,
59,06/11/17 12:00:00 AM,62.062,,,,,
60,06/11/17 01:00:00 AM,61.804,,,,,
61,06/11/17 02:00:00 AM,61.677,,,,,
62,06/11/17 03:00:00 AM,61.419,,,,,
63,06/11/17 04:00:00 AM,61.248,,,,,
64,06/11/17 05:00:00 AM,61.032,,,,,
65,06/11/17 06:00:00 AM,60.861,,,,,
66,06/11/17 07:00:00 AM,60.733,,,,,
67,06/11/17 08:00:00 AM,60.647,,,,,
68,06/11/17 09:00:00 AM,60.733,,,,,
69,06/11/17 10:00:00 AM,60.861,,,,,
70,06/11/17 11:00:00 AM,61.119,,,,,
71,06/11/17 12:00:00 PM,61.506,,,,,
72,06/11/17 01:00:00 PM,62.062,,,,,
73,06/11/17 02:00:00 PM,62.661,,,,,
74,06/11/17 03:00:00 PM,63.176,,,,,
75,06/11/17 04:00:00 PM,63.518,,,,,
76,06/11/17 05:00:00 PM,63.775,,,,,
77,06/11/17 06:00:00 PM,63.819,,,,,
78,06/11/17 07:00:00 PM,63.648,,,,,
79,06/11/17 08:00:00 PM,63.433,,,,,
80,06/11/17 09:00:00 PM,63.219,,,,,
81,06/11/17 10:00:00 PM,62.748,,,,,
82,06/11/17 11:00:00 PM,62.490,,,,,
83,06/12/17 12:00:00 AM,62.233,,,,,
84,06/12/17 01:00:00 AM,61.934,,,,,
85,06/12/17 02:00:00 AM,61.761,,,,,
86,06/12/17 03:00:00 AM,61.547,,,,,
87,06/12/17 04:00:00 AM,61.376,,,,,
88,06/12/17 05:00:00 AM,61.248,,,,,
89,06/12/17 06:00:00 AM,61.119,,,,,
90,06/12/17 07:00:00 AM,61.032,,,,,
91,06/12/17 08:00:00 AM,60.904,,,,,
92,06/12/17 09:00:00 AM,60.948,,,,,
93,06/12/17 10:00:00 AM,61.032,,,,,
94,06/12/17 11:00:00 AM,61.333,,,,,
95,06/12/17 12:00:00 PM,61.677,,,,,
96,06/12/17 01:00:00 PM,62.062,,,,,
97,06/12/17 02:00:00 PM,62.233,,,,,
98,06/12/17 03:00:00 PM,62.533,,,,,
99,06/12/17 04:00:00 PM,62.875,,,,,
100,06/12/17 05:00:00 PM,62.791,,,,,
101,06/12/17 06:00:00 PM,62.620,,,,,
102,06/12/17 07:00:00 PM,62.319,,,,,
103,06/12/17 08:00:00 PM,62.191,,,,,
104,06/12/17 09:00:00 PM,61.761,,,,,
105,06/12/17 10:00:00 PM,61.376,,,,,
106,06/12/17 11:00:00 PM,61.075,,,,,
107,06/13/17 12:00:00 AM,60.861,,,,,
108,06/13/17 01:00:00 AM,60.647,,,,,
109,06/13/17 02:00:00 AM,60.474,,,,,
110,06/13/17 03:00:00 AM,60.303,,,,,
111,06/13/17 04:00:00 AM,60.132,,,,,
112,06/13/17 05:00:00 AM,59.959,,,,,
113,06/13/17 06:00:00 AM,59.788,,,,,
114,06/13/17 07:00:00 AM,59.659,,,,,
115,06/13/17 08:00:00 AM,59.529,,,,,
116,06/13/17 09:00:00 AM,59.445,,,,,
117,06/13/17 10:00:00 AM,59.358,,,,,
118,06/13/17 11:00:00 AM,59.745,,,,,
119,06/13/17 12:00:00 PM,60.217,,,,,
120,06/13/17 01:00:00 PM,60.604,,,,,
121,06/13/17 02:00:00 PM,61.162,,,,,
122,06/13/17 03:00:00 PM,61.419,,,,,
123,06/13/17 04:00:00 PM,61.376,,,,,
124,06/13/17 05:00:00 PM,61.333,,,,,
125,06/13/17 06:00:00 PM,61.290,,,,,
126,06/13/17 07:00:00 PM,61.119,,,,,
127,06/13/17 08:00:00 PM,60.733,,,,,
128,06/13/17 09:00:00 PM,60.474,,,,,
129,06/13/17 10:00:00 PM,60.260,,,,,
130,06/13/17 11:00:00 PM,60.046,,,,,
131,06/14/17 12:00:00 AM,59.745,,,,,
132,06/14/17 01:00:00 AM,59.486,,,,,
133,06/14/17 02:00:00 AM,59.315,,,,,
134,06/14/17 03:00:00 AM,59.185,,,,,
135,06/14/17 04:00:00 AM,59.056,,,,,
136,06/14/17 05:00:00 AM,58.971,,,,,
137,06/14/17 06:00:00 AM,58.885,,,,,
138,06/14/17 07:00:00 AM,58.842,,,,,
139,06/14/17 08:00:00 AM,58.798,,,,,
140,06/14/17 09:00:00 AM,58.842,,,,,
141,06/14/17 10:00:00 AM,59.014,,,,,
142,06/14/17 11:00:00 AM,59.445,,,,,
143,06/14/17 12:00:00 PM,59.873,,,,,
144,06/14/17 01:00:00 PM,60.346,,,,,
145,06/14/17 02:00:00 PM,60.861,,,,,
146,06/14/17 03:00:00 PM,61.290,,,,,
147,06/14/17 04:00:00 PM,61.506,,,,,
148,06/14/17 05:00:00 PM,61.547,,,,,
149,06/14/17 06:00:00 PM,61.547,,,,,
150,06/14/17 07:00:00 PM,61.333,,,,,
151,06/14/17 08:00:00 PM,60.991,,,,,
152,06/14/17 09:00:00 PM,60.775,,,,,
153,06/14/17 10:00:00 PM,60.517,,,,,
154,06/14/17 11:00:00 PM,60.260,,,,,
155,06/15/17 12:00:00 AM,60.003,,,,,
156,06/15/17 01:00:00 AM,59.788,,,,,
157,06/15/17 02:00:00 AM,59.616,,,,,
158,06/15/17 03:00:00 AM,59.445,,,,,
159,06/15/17 04:00:00 AM,59.315,,,,,
160,06/15/17 05:00:00 AM,59.185,,,,,
161,06/15/17 06:00:00 AM,59.099,,,,,
162,06/15/17 07:00:00 AM,58.971,,,,,
163,06/15/17 08:00:00 AM,58.928,,,,,
164,06/15/17 09:00:00 AM,59.014,,,,,
165,06/15/17 10:00:00 AM,59.229,,,,,
166,06/15/17 11:00:00 AM,59.486,,,,,
167,06/15/17 12:00:00 PM,59.959,,,,,
168,06/15/17 01:00:00 PM,60.174,,,,,
