"Plot Title: Spotted Tail Creek 12-7-15 (1500)"
"#","Date Time, GMT-06:00","Max: Temperature, °F (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,12/07/15 03:00:00 PM,52.246,,,,
2,12/07/15 03:01:16 PM,,Logged,,,
3,12/07/15 04:00:00 PM,52.860,,,,
4,12/07/15 05:00:00 PM,52.246,,,,
5,12/07/15 06:00:00 PM,51.940,,,,
6,12/07/15 07:00:00 PM,51.544,,,,
7,12/07/15 08:00:00 PM,51.678,,,,
8,12/07/15 09:00:00 PM,51.458,,,,
9,12/07/15 10:00:00 PM,50.621,,,,
10,12/07/15 11:00:00 PM,50.092,,,,
11,12/08/15 12:00:00 AM,49.914,,,,
12,12/08/15 01:00:00 AM,50.400,,,,
13,12/08/15 02:00:00 AM,50.180,,,,
14,12/08/15 03:00:00 AM,50.445,,,,
15,12/08/15 04:00:00 AM,50.400,,,,
16,12/08/15 05:00:00 AM,50.047,,,,
17,12/08/15 06:00:00 AM,50.533,,,,
18,12/08/15 07:00:00 AM,50.797,,,,
19,12/08/15 08:00:00 AM,50.752,,,,
20,12/08/15 09:00:00 AM,50.180,,,,
21,12/08/15 10:00:00 AM,51.062,,,,
22,12/08/15 11:00:00 AM,51.721,,,,
23,12/08/15 12:00:00 PM,52.203,,,,
24,12/08/15 01:00:00 PM,52.335,,,,
25,12/08/15 02:00:00 PM,53.298,,,,
26,12/08/15 03:00:00 PM,53.472,,,,
27,12/08/15 04:00:00 PM,53.253,,,,
28,12/08/15 05:00:00 PM,52.903,,,,
29,12/08/15 06:00:00 PM,52.686,,,,
30,12/08/15 07:00:00 PM,52.378,,,,
31,12/08/15 08:00:00 PM,52.378,,,,
32,12/08/15 09:00:00 PM,51.852,,,,
33,12/08/15 10:00:00 PM,52.378,,,,
34,12/08/15 11:00:00 PM,52.554,,,,
35,12/09/15 12:00:00 AM,53.166,,,,
36,12/09/15 01:00:00 AM,52.992,,,,
37,12/09/15 02:00:00 AM,53.602,,,,
38,12/09/15 03:00:00 AM,54.473,,,,
39,12/09/15 04:00:00 AM,54.387,,,,
40,12/09/15 05:00:00 AM,54.169,,,,
41,12/09/15 06:00:00 AM,54.865,,,,
42,12/09/15 07:00:00 AM,56.295,,,,
43,12/09/15 08:00:00 AM,56.426,,,,
44,12/09/15 09:00:00 AM,56.165,,,,
45,12/09/15 10:00:00 AM,56.035,,,,
46,12/09/15 11:00:00 AM,56.295,,,,
47,12/09/15 12:00:00 PM,56.556,,,,
48,12/09/15 01:00:00 PM,56.858,,,,
49,12/09/15 02:00:00 PM,57.333,,,,
50,12/09/15 03:00:00 PM,57.506,,,,
51,12/09/15 04:00:00 PM,57.592,,,,
52,12/09/15 05:00:00 PM,57.592,,,,
53,12/09/15 06:00:00 PM,57.506,,,,
54,12/09/15 07:00:00 PM,57.420,,,,
55,12/09/15 08:00:00 PM,57.160,,,,
56,12/09/15 09:00:00 PM,57.117,,,,
57,12/09/15 10:00:00 PM,57.204,,,,
58,12/09/15 11:00:00 PM,57.204,,,,
59,12/10/15 12:00:00 AM,57.074,,,,
60,12/10/15 01:00:00 AM,56.944,,,,
61,12/10/15 02:00:00 AM,56.901,,,,
62,12/10/15 03:00:00 AM,57.074,,,,
63,12/10/15 04:00:00 AM,57.117,,,,
64,12/10/15 05:00:00 AM,57.031,,,,
65,12/10/15 06:00:00 AM,56.815,,,,
66,12/10/15 07:00:00 AM,56.642,,,,
67,12/10/15 08:00:00 AM,56.556,,,,
68,12/10/15 09:00:00 AM,56.599,,,,
69,12/10/15 10:00:00 AM,56.685,,,,
70,12/10/15 11:00:00 AM,56.772,,,,
71,12/10/15 12:00:00 PM,56.988,,,,
72,12/10/15 01:00:00 PM,57.074,,,,
73,12/10/15 02:00:00 PM,57.204,,,,
74,12/10/15 03:00:00 PM,57.333,,,,
75,12/10/15 04:00:00 PM,57.333,,,,
76,12/10/15 05:00:00 PM,57.376,,,,
77,12/10/15 06:00:00 PM,57.247,,,,
78,12/10/15 07:00:00 PM,57.160,,,,
79,12/10/15 08:00:00 PM,57.117,,,,
80,12/10/15 09:00:00 PM,57.117,,,,
81,12/10/15 10:00:00 PM,57.074,,,,
82,12/10/15 11:00:00 PM,57.031,,,,
83,12/11/15 12:00:00 AM,56.858,,,,
84,12/11/15 01:00:00 AM,56.815,,,,
85,12/11/15 02:00:00 AM,56.815,,,,
86,12/11/15 03:00:00 AM,56.728,,,,
87,12/11/15 04:00:00 AM,56.642,,,,
88,12/11/15 05:00:00 AM,56.426,,,,
89,12/11/15 06:00:00 AM,56.208,,,,
90,12/11/15 07:00:00 AM,56.079,,,,
91,12/11/15 08:00:00 AM,56.035,,,,
92,12/11/15 09:00:00 AM,55.992,,,,
93,12/11/15 10:00:00 AM,55.992,,,,
94,12/11/15 11:00:00 AM,56.079,,,,
95,12/11/15 12:00:00 PM,56.165,,,,
96,12/11/15 01:00:00 PM,56.340,,,,
97,12/11/15 02:00:00 PM,56.512,,,,
98,12/11/15 03:00:00 PM,56.599,,,,
99,12/11/15 04:00:00 PM,56.599,,,,
100,12/11/15 05:00:00 PM,56.556,,,,
101,12/11/15 06:00:00 PM,56.512,,,,
102,12/11/15 07:00:00 PM,56.556,,,,
103,12/11/15 08:00:00 PM,56.469,,,,
104,12/11/15 09:00:00 PM,56.383,,,,
105,12/11/15 10:00:00 PM,56.340,,,,
106,12/11/15 11:00:00 PM,56.340,,,,
107,12/12/15 12:00:00 AM,56.251,,,,
108,12/12/15 01:00:00 AM,56.251,,,,
109,12/12/15 02:00:00 AM,56.251,,,,
110,12/12/15 03:00:00 AM,56.208,,,,
111,12/12/15 04:00:00 AM,56.165,,,,
112,12/12/15 05:00:00 AM,56.165,,,,
113,12/12/15 06:00:00 AM,56.122,,,,
114,12/12/15 07:00:00 AM,56.122,,,,
115,12/12/15 08:00:00 AM,56.079,,,,
116,12/12/15 09:00:00 AM,56.079,,,,
117,12/12/15 10:00:00 AM,56.079,,,,
118,12/12/15 11:00:00 AM,56.165,,,,
119,12/12/15 12:00:00 PM,56.251,,,,
120,12/12/15 01:00:00 PM,56.295,,,,
121,12/12/15 02:00:00 PM,56.383,,,,
122,12/12/15 03:00:00 PM,56.426,,,,
123,12/12/15 04:00:00 PM,56.383,,,,
124,12/12/15 05:00:00 PM,56.340,,,,
125,12/12/15 06:00:00 PM,56.251,,,,
126,12/12/15 07:00:00 PM,56.295,,,,
127,12/12/15 08:00:00 PM,56.251,,,,
128,12/12/15 09:00:00 PM,56.251,,,,
129,12/12/15 10:00:00 PM,56.208,,,,
130,12/12/15 11:00:00 PM,56.208,,,,
131,12/13/15 12:00:00 AM,56.208,,,,
132,12/13/15 01:00:00 AM,56.165,,,,
133,12/13/15 02:00:00 AM,56.035,,,,
134,12/13/15 03:00:00 AM,55.992,,,,
135,12/13/15 04:00:00 AM,55.992,,,,
136,12/13/15 05:00:00 AM,55.992,,,,
137,12/13/15 06:00:00 AM,55.992,,,,
138,12/13/15 07:00:00 AM,55.906,,,,
139,12/13/15 08:00:00 AM,55.906,,,,
140,12/13/15 09:00:00 AM,55.906,,,,
141,12/13/15 10:00:00 AM,55.906,,,,
142,12/13/15 11:00:00 AM,56.035,,,,
143,12/13/15 12:00:00 PM,56.165,,,,
144,12/13/15 01:00:00 PM,56.340,,,,
145,12/13/15 02:00:00 PM,56.556,,,,
146,12/13/15 03:00:00 PM,56.642,,,,
147,12/13/15 04:00:00 PM,56.599,,,,
148,12/13/15 05:00:00 PM,56.599,,,,
149,12/13/15 06:00:00 PM,56.556,,,,
150,12/13/15 07:00:00 PM,56.512,,,,
151,12/13/15 08:00:00 PM,56.383,,,,
