"Plot Title: Spotted Tail Creek"
"#","Date Time, GMT-06:00","Max: Temperature, °F (LGR S/N: 10719011)","Coupler Detached (LGR S/N: 10719011)","Coupler Attached (LGR S/N: 10719011)","Stopped (LGR S/N: 10719011)","End Of File (LGR S/N: 10719011)"
1,07/10/15 12:00:00 AM,76.289,Logged,,,
2,07/10/15 01:00:00 AM,74.034,,,,
3,07/10/15 02:00:00 AM,72.178,,,,
4,07/10/15 03:00:00 AM,70.673,,,,
5,07/10/15 04:00:00 AM,69.343,,,,
6,07/10/15 05:00:00 AM,68.099,,,,
7,07/10/15 06:00:00 AM,67.199,,,,
8,07/10/15 07:00:00 AM,67.071,,,,
9,07/10/15 08:00:00 AM,69.085,,,,
10,07/10/15 09:00:00 AM,73.386,,,,
11,07/10/15 10:00:00 AM,78.121,,,,
12,07/10/15 11:00:00 AM,81.376,,,,
13,07/10/15 12:00:00 PM,85.082,,,,
14,07/10/15 01:00:00 PM,86.256,,,,
15,07/10/15 02:00:00 PM,87.391,,,,
16,07/10/15 03:00:00 PM,98.528,,,,
17,07/10/15 04:00:00 PM,107.337,,,,
18,07/10/15 05:00:00 PM,113.054,,,,
19,07/10/15 06:00:00 PM,113.616,,,,
20,07/10/15 07:00:00 PM,112.105,,,,
21,07/10/15 08:00:00 PM,106.651,,,,
22,07/10/15 09:00:00 PM,99.613,,,,
23,07/10/15 10:00:00 PM,92.620,,,,
24,07/10/15 11:00:00 PM,87.073,,,,
25,07/11/15 12:00:00 AM,83.064,,,,
26,07/11/15 01:00:00 AM,80.096,,,,
27,07/11/15 02:00:00 AM,77.859,,,,
28,07/11/15 03:00:00 AM,75.942,,,,
29,07/11/15 04:00:00 AM,74.424,,,,
30,07/11/15 05:00:00 AM,72.826,,,,
31,07/11/15 06:00:00 AM,71.274,,,,
32,07/11/15 07:00:00 AM,70.201,,,,
33,07/11/15 08:00:00 AM,70.329,,,,
34,07/11/15 09:00:00 AM,74.727,,,,
35,07/11/15 10:00:00 AM,80.404,,,,
36,07/11/15 11:00:00 AM,86.936,,,,
37,07/11/15 12:00:00 PM,95.518,,,,
38,07/11/15 01:00:00 PM,106.074,,,,
39,07/11/15 02:00:00 PM,116.708,,,,
40,07/11/15 03:00:00 PM,124.110,,,,
41,07/11/15 04:00:00 PM,129.065,,,,
42,07/11/15 05:00:00 PM,131.731,,,,
43,07/11/15 06:00:00 PM,132.708,,,,
44,07/11/15 07:00:00 PM,130.557,,,,
45,07/11/15 08:00:00 PM,121.860,,,,
46,07/11/15 09:00:00 PM,111.331,,,,
47,07/11/15 10:00:00 PM,102.418,,,,
48,07/11/15 11:00:00 PM,95.952,,,,
49,07/12/15 12:00:00 AM,90.703,,,,
50,07/12/15 01:00:00 AM,86.164,,,,
51,07/12/15 02:00:00 AM,82.441,,,,
52,07/12/15 03:00:00 AM,79.480,,,,
53,07/12/15 04:00:00 AM,77.029,,,,
54,07/12/15 05:00:00 AM,74.899,,,,
