"Plot Title: Spotted Tail"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719004, SEN S/N: 10719004)","Coupler Detached (LGR S/N: 10719004)","Coupler Attached (LGR S/N: 10719004)","Stopped (LGR S/N: 10719004)","End Of File (LGR S/N: 10719004)"
1,07/10/15 12:00:00 AM,67.543,Logged,,,
2,07/10/15 01:00:00 AM,66.900,,,,
3,07/10/15 02:00:00 AM,66.173,,,,
4,07/10/15 03:00:00 AM,65.487,,,,
5,07/10/15 04:00:00 AM,64.888,,,,
6,07/10/15 05:00:00 AM,64.288,,,,
7,07/10/15 06:00:00 AM,63.775,,,,
8,07/10/15 07:00:00 AM,63.433,,,,
9,07/10/15 08:00:00 AM,63.219,,,,
10,07/10/15 09:00:00 AM,63.133,,,,
11,07/10/15 10:00:00 AM,63.219,,,,
12,07/10/15 11:00:00 AM,63.775,,,,
13,07/10/15 12:00:00 PM,64.931,,,,
14,07/10/15 01:00:00 PM,65.959,,,,
15,07/10/15 02:00:00 PM,67.413,,,,
16,07/10/15 03:00:00 PM,68.270,,,,
17,07/10/15 04:00:00 PM,69.213,,,,
18,07/10/15 05:00:00 PM,70.072,,,,
19,07/10/15 06:00:00 PM,70.587,,,,
20,07/10/15 07:00:00 PM,71.017,,,,
21,07/10/15 08:00:00 PM,70.930,,,,
22,07/10/15 09:00:00 PM,70.673,,,,
23,07/10/15 10:00:00 PM,70.243,,,,
24,07/10/15 11:00:00 PM,69.643,,,,
25,07/11/15 12:00:00 AM,68.999,,,,
26,07/11/15 01:00:00 AM,68.227,,,,
27,07/11/15 02:00:00 AM,67.627,,,,
28,07/11/15 03:00:00 AM,66.943,,,,
29,07/11/15 04:00:00 AM,66.301,,,,
30,07/11/15 05:00:00 AM,65.574,,,,
31,07/11/15 06:00:00 AM,64.931,,,,
32,07/11/15 07:00:00 AM,64.459,,,,
33,07/11/15 08:00:00 AM,64.247,,,,
34,07/11/15 09:00:00 AM,64.418,,,,
35,07/11/15 10:00:00 AM,65.017,,,,
36,07/11/15 11:00:00 AM,65.788,,,,
37,07/11/15 12:00:00 PM,66.814,,,,
38,07/11/15 01:00:00 PM,68.142,,,,
39,07/11/15 02:00:00 PM,69.557,,,,
40,07/11/15 03:00:00 PM,70.887,,,,
41,07/11/15 04:00:00 PM,72.178,,,,
42,07/11/15 05:00:00 PM,72.696,,,,
43,07/11/15 06:00:00 PM,73.299,,,,
44,07/11/15 07:00:00 PM,73.429,,,,
45,07/11/15 08:00:00 PM,73.515,,,,
46,07/11/15 09:00:00 PM,73.083,,,,
47,07/11/15 10:00:00 PM,72.351,,,,
48,07/11/15 11:00:00 PM,71.791,,,,
49,07/12/15 12:00:00 AM,70.846,,,,
50,07/12/15 01:00:00 AM,69.685,,,,
51,07/12/15 02:00:00 AM,68.657,,,,
52,07/12/15 03:00:00 AM,67.671,,,,
53,07/12/15 04:00:00 AM,66.814,,,,
54,07/12/15 05:00:00 AM,65.916,,,,
55,07/12/15 06:00:00 AM,65.102,,,,
56,07/12/15 07:00:00 AM,64.375,,,,
57,07/12/15 08:00:00 AM,63.946,,,,
58,07/12/15 09:00:00 AM,64.074,,,,
59,07/12/15 10:00:00 AM,64.589,,,,
60,07/12/15 11:00:00 AM,65.403,,,,
61,07/12/15 12:00:00 PM,66.258,,,,
62,07/12/15 01:00:00 PM,67.627,,,,
63,07/12/15 02:00:00 PM,68.999,,,,
64,07/12/15 03:00:00 PM,70.502,,,,
65,07/12/15 04:00:00 PM,71.490,,,,
66,07/12/15 05:00:00 PM,72.136,,,,
67,07/12/15 06:00:00 PM,72.264,,,,
68,07/12/15 07:00:00 PM,72.307,,,,
69,07/12/15 08:00:00 PM,72.221,,,,
70,07/12/15 09:00:00 PM,71.661,,,,
71,07/12/15 10:00:00 PM,70.974,,,,
72,07/12/15 11:00:00 PM,70.329,,,,
73,07/13/15 12:00:00 AM,69.557,,,,
74,07/13/15 01:00:00 AM,68.614,,,,
75,07/13/15 02:00:00 AM,67.586,,,,
76,07/13/15 03:00:00 AM,66.686,,,,
77,07/13/15 04:00:00 AM,65.872,,,,
78,07/13/15 05:00:00 AM,65.059,,,,
79,07/13/15 06:00:00 AM,64.288,,,,
80,07/13/15 07:00:00 AM,63.689,,,,
81,07/13/15 08:00:00 AM,63.304,,,,
82,07/13/15 09:00:00 AM,62.875,,,,
83,07/13/15 10:00:00 AM,63.347,,,,
84,07/13/15 11:00:00 AM,64.074,,,,
85,07/13/15 12:00:00 PM,65.017,,,,
86,07/13/15 01:00:00 PM,66.515,,,,
87,07/13/15 02:00:00 PM,68.142,,,,
88,07/13/15 03:00:00 PM,70.201,,,,
89,07/13/15 04:00:00 PM,76.942,,,,
90,07/13/15 05:00:00 PM,79.347,,,,
91,07/13/15 06:00:00 PM,73.688,,,,
92,07/13/15 07:00:00 PM,72.437,,,,
93,07/13/15 08:00:00 PM,72.007,,,,
94,07/13/15 09:00:00 PM,71.533,,,,
95,07/13/15 10:00:00 PM,69.858,,,,
96,07/13/15 11:00:00 PM,69.514,,,,
97,07/14/15 12:00:00 AM,68.871,,,,
98,07/14/15 01:00:00 AM,67.885,,,,
99,07/14/15 02:00:00 AM,66.643,,,,
100,07/14/15 03:00:00 AM,66.043,,,,
101,07/14/15 04:00:00 AM,64.931,,,,
102,07/14/15 05:00:00 AM,64.418,,,,
103,07/14/15 06:00:00 AM,64.161,,,,
104,07/14/15 07:00:00 AM,63.775,,,,
105,07/14/15 08:00:00 AM,63.604,,,,
106,07/14/15 09:00:00 AM,63.862,,,,
107,07/14/15 10:00:00 AM,64.418,,,,
108,07/14/15 11:00:00 AM,65.273,,,,
109,07/14/15 12:00:00 PM,66.301,,,,
110,07/14/15 01:00:00 PM,67.543,,,,
111,07/14/15 02:00:00 PM,69.042,,,,
112,07/14/15 03:00:00 PM,70.587,,,,
113,07/14/15 04:00:00 PM,71.920,,,,
114,07/14/15 05:00:00 PM,73.040,,,,
115,07/14/15 06:00:00 PM,73.472,,,,
116,07/14/15 07:00:00 PM,73.688,,,,
117,07/14/15 08:00:00 PM,73.515,,,,
118,07/14/15 09:00:00 PM,73.083,,,,
119,07/14/15 10:00:00 PM,72.136,,,,
120,07/14/15 11:00:00 PM,71.704,,,,
121,07/15/15 12:00:00 AM,71.017,,,,
122,07/15/15 01:00:00 AM,70.286,,,,
123,07/15/15 02:00:00 AM,69.300,,,,
124,07/15/15 03:00:00 AM,68.185,,,,
125,07/15/15 04:00:00 AM,67.500,,,,
126,07/15/15 05:00:00 AM,66.857,,,,
127,07/15/15 06:00:00 AM,66.344,,,,
128,07/15/15 07:00:00 AM,65.959,,,,
129,07/15/15 08:00:00 AM,65.788,,,,
130,07/15/15 09:00:00 AM,65.959,,,,
131,07/15/15 10:00:00 AM,66.000,,,,
132,07/15/15 11:00:00 AM,66.729,,,,
133,07/15/15 12:00:00 PM,68.013,,,,
134,07/15/15 01:00:00 PM,68.913,,,,
135,07/15/15 02:00:00 PM,70.759,,,,
136,07/15/15 03:00:00 PM,74.295,,,,
137,07/15/15 04:00:00 PM,75.290,,,,
138,07/15/15 05:00:00 PM,72.653,,,,
139,07/15/15 06:00:00 PM,73.904,,,,
140,07/15/15 07:00:00 PM,72.307,,,,
141,07/15/15 08:00:00 PM,71.447,,,,
142,07/15/15 09:00:00 PM,70.072,,,,
143,07/15/15 10:00:00 PM,68.443,,,,
144,07/15/15 11:00:00 PM,65.658,,,,
145,07/16/15 12:00:00 AM,65.701,,,,
146,07/16/15 01:00:00 AM,63.347,,,,
147,07/16/15 02:00:00 AM,61.848,,,,
148,07/16/15 03:00:00 AM,61.547,,,,
149,07/16/15 04:00:00 AM,60.346,,,,
150,07/16/15 05:00:00 AM,60.346,,,,
151,07/16/15 06:00:00 AM,60.217,,,,
152,07/16/15 07:00:00 AM,60.948,,,,
153,07/16/15 08:00:00 AM,61.934,,,,
154,07/16/15 09:00:00 AM,62.748,,,,
155,07/16/15 10:00:00 AM,63.648,,,,
156,07/16/15 11:00:00 AM,64.845,,,,
157,07/16/15 12:00:00 PM,66.130,,,,
158,07/16/15 01:00:00 PM,67.158,,,,
159,07/16/15 02:00:00 PM,69.129,,,,
160,07/16/15 03:00:00 PM,77.203,,,,
161,07/16/15 04:00:00 PM,83.242,,,,
162,07/16/15 05:00:00 PM,88.534,,,,
163,07/16/15 06:00:00 PM,83.646,,,,
164,07/16/15 07:00:00 PM,77.859,,,,
165,07/16/15 08:00:00 PM,71.361,,,,
166,07/16/15 09:00:00 PM,68.185,,,,
167,07/16/15 10:00:00 PM,67.372,,,,
168,07/16/15 11:00:00 PM,67.500,,,,
169,07/17/15 12:00:00 AM,67.242,,,,
170,07/17/15 01:00:00 AM,65.872,,,,
171,07/17/15 02:00:00 AM,65.701,,,,
172,07/17/15 03:00:00 AM,63.732,,,,
173,07/17/15 04:00:00 AM,63.561,,,,
174,07/17/15 05:00:00 AM,62.962,,,,
175,07/17/15 06:00:00 AM,62.919,,,,
176,07/17/15 07:00:00 AM,63.475,,,,
177,07/17/15 08:00:00 AM,63.561,,,,
178,07/17/15 09:00:00 AM,63.819,,,,
179,07/17/15 10:00:00 AM,69.901,,,,
180,07/17/15 11:00:00 AM,65.059,,,,
181,07/17/15 12:00:00 PM,66.130,,,,
182,07/17/15 01:00:00 PM,67.285,,,,
183,07/17/15 02:00:00 PM,67.627,,,,
184,07/17/15 03:00:00 PM,68.443,,,,
185,07/17/15 04:00:00 PM,68.698,,,,
186,07/17/15 05:00:00 PM,69.427,,,,
187,07/17/15 06:00:00 PM,69.643,,,,
