"Plot Title: Spottedtail-Hanson"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2406390, SEN S/N: 2406390)","Coupler Detached (LGR S/N: 2406390)","Coupler Attached (LGR S/N: 2406390)","Host Connected (LGR S/N: 2406390)","Stopped (LGR S/N: 2406390)","End Of File (LGR S/N: 2406390)"
1,07/06/16 03:00:00 PM,70.329,Logged,,,,
2,07/06/16 03:15:00 PM,70.587,,,,,
3,07/06/16 03:30:00 PM,70.630,,,,,
4,07/06/16 03:45:00 PM,70.716,,,,,
5,07/06/16 04:00:00 PM,70.887,,,,,
6,07/06/16 04:15:00 PM,71.190,,,,,
7,07/06/16 04:30:00 PM,71.490,,,,,
8,07/06/16 04:45:00 PM,71.620,,,,,
9,07/06/16 05:00:00 PM,71.877,,,,,
10,07/06/16 05:15:00 PM,72.093,,,,,
11,07/06/16 05:30:00 PM,72.221,,,,,
12,07/06/16 05:45:00 PM,72.307,,,,,
13,07/06/16 06:00:00 PM,72.437,,,,,
14,07/06/16 06:15:00 PM,72.523,,,,,
15,07/06/16 06:30:00 PM,72.567,,,,,
16,07/06/16 06:45:00 PM,72.610,,,,,
17,07/06/16 07:00:00 PM,72.653,,,,,
18,07/06/16 07:15:00 PM,72.739,,,,,
19,07/06/16 07:30:00 PM,72.826,,,,,
20,07/06/16 07:45:00 PM,72.783,,,,,
21,07/06/16 08:00:00 PM,72.739,,,,,
22,07/06/16 08:15:00 PM,72.696,,,,,
23,07/06/16 08:30:00 PM,72.567,,,,,
24,07/06/16 08:45:00 PM,72.437,,,,,
25,07/06/16 09:00:00 PM,72.351,,,,,
26,07/06/16 09:15:00 PM,72.307,,,,,
27,07/06/16 09:30:00 PM,72.221,,,,,
28,07/06/16 09:45:00 PM,72.093,,,,,
29,07/06/16 10:00:00 PM,71.964,,,,,
30,07/06/16 10:15:00 PM,71.877,,,,,
31,07/06/16 10:30:00 PM,71.704,,,,,
32,07/06/16 10:45:00 PM,71.533,,,,,
33,07/06/16 11:00:00 PM,71.317,,,,,
34,07/06/16 11:15:00 PM,71.103,,,,,
35,07/06/16 11:30:00 PM,70.887,,,,,
36,07/06/16 11:45:00 PM,70.716,,,,,
37,07/07/16 12:00:00 AM,70.502,,,,,
38,07/07/16 12:15:00 AM,70.329,,,,,
39,07/07/16 12:30:00 AM,70.158,,,,,
40,07/07/16 12:45:00 AM,69.985,,,,,
41,07/07/16 01:00:00 AM,69.814,,,,,
42,07/07/16 01:15:00 AM,69.600,,,,,
43,07/07/16 01:30:00 AM,69.386,,,,,
44,07/07/16 01:45:00 AM,69.129,,,,,
45,07/07/16 02:00:00 AM,68.871,,,,,
46,07/07/16 02:15:00 AM,68.614,,,,,
47,07/07/16 02:30:00 AM,68.400,,,,,
48,07/07/16 02:45:00 AM,68.185,,,,,
49,07/07/16 03:00:00 AM,67.971,,,,,
50,07/07/16 03:15:00 AM,67.757,,,,,
51,07/07/16 03:30:00 AM,67.543,,,,,
52,07/07/16 03:45:00 AM,67.329,,,,,
53,07/07/16 04:00:00 AM,67.158,,,,,
54,07/07/16 04:15:00 AM,66.943,,,,,
55,07/07/16 04:30:00 AM,66.729,,,,,
56,07/07/16 04:45:00 AM,66.558,,,,,
57,07/07/16 05:00:00 AM,66.344,,,,,
58,07/07/16 05:15:00 AM,66.214,,,,,
59,07/07/16 05:30:00 AM,66.043,,,,,
60,07/07/16 05:45:00 AM,65.872,,,,,
61,07/07/16 06:00:00 AM,65.745,,,,,
62,07/07/16 06:15:00 AM,65.574,,,,,
63,07/07/16 06:30:00 AM,65.444,,,,,
64,07/07/16 06:45:00 AM,65.273,,,,,
65,07/07/16 07:00:00 AM,65.145,,,,,
66,07/07/16 07:15:00 AM,65.017,,,,,
67,07/07/16 07:30:00 AM,64.931,,,,,
68,07/07/16 07:45:00 AM,64.803,,,,,
69,07/07/16 08:00:00 AM,64.717,,,,,
70,07/07/16 08:15:00 AM,64.632,,,,,
71,07/07/16 08:30:00 AM,64.589,,,,,
72,07/07/16 08:45:00 AM,64.546,,,,,
73,07/07/16 09:00:00 AM,64.546,,,,,
74,07/07/16 09:15:00 AM,64.589,,,,,
75,07/07/16 09:30:00 AM,64.632,,,,,
76,07/07/16 09:45:00 AM,64.717,,,,,
77,07/07/16 10:00:00 AM,64.845,,,,,
78,07/07/16 10:15:00 AM,64.974,,,,,
79,07/07/16 10:30:00 AM,64.974,,,,,
80,07/07/16 10:45:00 AM,64.931,,,,,
81,07/07/16 11:00:00 AM,64.888,,,,,
82,07/07/16 11:15:00 AM,64.845,,,,,
83,07/07/16 11:30:00 AM,64.845,,,,,
84,07/07/16 11:45:00 AM,64.803,,,,,
85,07/07/16 12:00:00 PM,64.888,,,,,
86,07/07/16 12:15:00 PM,65.059,,,,,
87,07/07/16 12:30:00 PM,65.273,,,,,
88,07/07/16 12:45:00 PM,65.487,,,,,
89,07/07/16 01:00:00 PM,65.788,,,,,
90,07/07/16 01:15:00 PM,66.000,,,,,
91,07/07/16 01:30:00 PM,66.214,,,,,
92,07/07/16 01:45:00 PM,66.344,,,,,
93,07/07/16 02:00:00 PM,66.558,,,,,
94,07/07/16 02:15:00 PM,66.857,,,,,
95,07/07/16 02:30:00 PM,67.071,,,,,
96,07/07/16 02:45:00 PM,67.372,,,,,
97,07/07/16 03:00:00 PM,67.714,,,,,
98,07/07/16 03:15:00 PM,68.099,,,,,
99,07/07/16 03:30:00 PM,68.443,,,,,
100,07/07/16 03:45:00 PM,68.742,,,,,
101,07/07/16 04:00:00 PM,68.999,,,,,
102,07/07/16 04:15:00 PM,69.213,,,,,
103,07/07/16 04:30:00 PM,69.427,,,,,
104,07/07/16 04:45:00 PM,69.643,,,,,
105,07/07/16 05:00:00 PM,69.858,,,,,
106,07/07/16 05:15:00 PM,70.072,,,,,
107,07/07/16 05:30:00 PM,70.243,,,,,
108,07/07/16 05:45:00 PM,70.416,,,,,
109,07/07/16 06:00:00 PM,70.502,,,,,
110,07/07/16 06:15:00 PM,70.630,,,,,
111,07/07/16 06:30:00 PM,70.759,,,,,
112,07/07/16 06:45:00 PM,70.846,,,,,
113,07/07/16 07:00:00 PM,70.930,,,,,
114,07/07/16 07:15:00 PM,70.930,,,,,
115,07/07/16 07:30:00 PM,70.930,,,,,
116,07/07/16 07:45:00 PM,70.930,,,,,
117,07/07/16 08:00:00 PM,70.930,,,,,
118,07/07/16 08:15:00 PM,70.930,,,,,
119,07/07/16 08:30:00 PM,70.930,,,,,
120,07/07/16 08:45:00 PM,70.930,,,,,
121,07/07/16 09:00:00 PM,70.887,,,,,
122,07/07/16 09:15:00 PM,70.846,,,,,
123,07/07/16 09:30:00 PM,70.803,,,,,
124,07/07/16 09:45:00 PM,70.716,,,,,
125,07/07/16 10:00:00 PM,70.630,,,,,
126,07/07/16 10:15:00 PM,70.543,,,,,
127,07/07/16 10:30:00 PM,70.416,,,,,
128,07/07/16 10:45:00 PM,70.329,,,,,
129,07/07/16 11:00:00 PM,70.201,,,,,
130,07/07/16 11:15:00 PM,70.072,,,,,
131,07/07/16 11:30:00 PM,69.942,,,,,
132,07/07/16 11:45:00 PM,69.814,,,,,
133,07/08/16 12:00:00 AM,69.643,,,,,
134,07/08/16 12:15:00 AM,69.471,,,,,
135,07/08/16 12:30:00 AM,69.300,,,,,
136,07/08/16 12:45:00 AM,69.129,,,,,
137,07/08/16 01:00:00 AM,68.999,,,,,
138,07/08/16 01:15:00 AM,68.828,,,,,
139,07/08/16 01:30:00 AM,68.657,,,,,
140,07/08/16 01:45:00 AM,68.484,,,,,
141,07/08/16 02:00:00 AM,68.313,,,,,
142,07/08/16 02:15:00 AM,68.099,,,,,
143,07/08/16 02:30:00 AM,67.928,,,,,
144,07/08/16 02:45:00 AM,67.714,,,,,
145,07/08/16 03:00:00 AM,67.543,,,,,
146,07/08/16 03:15:00 AM,67.329,,,,,
147,07/08/16 03:30:00 AM,67.158,,,,,
148,07/08/16 03:45:00 AM,66.985,,,,,
149,07/08/16 04:00:00 AM,66.814,,,,,
150,07/08/16 04:15:00 AM,66.686,,,,,
151,07/08/16 04:30:00 AM,66.558,,,,,
152,07/08/16 04:45:00 AM,66.429,,,,,
153,07/08/16 05:00:00 AM,66.258,,,,,
154,07/08/16 05:15:00 AM,66.087,,,,,
155,07/08/16 05:30:00 AM,65.959,,,,,
156,07/08/16 05:45:00 AM,65.745,,,,,
157,07/08/16 06:00:00 AM,65.574,,,,,
158,07/08/16 06:15:00 AM,65.403,,,,,
159,07/08/16 06:30:00 AM,65.273,,,,,
160,07/08/16 06:45:00 AM,65.145,,,,,
161,07/08/16 07:00:00 AM,65.017,,,,,
162,07/08/16 07:15:00 AM,64.888,,,,,
163,07/08/16 07:30:00 AM,64.760,,,,,
