"Plot Title: Andrews"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739556, SEN S/N: 10739556)","Coupler Detached (LGR S/N: 10739556)","Coupler Attached (LGR S/N: 10739556)","Host Connected (LGR S/N: 10739556)","Stopped (LGR S/N: 10739556)","End Of File (LGR S/N: 10739556)"
1,09/20/16 10:22:00 AM,59.873,,,,,
2,09/20/16 10:22:05 AM,,Logged,,,,
3,09/20/16 10:37:00 AM,56.165,,,,,
4,09/20/16 10:52:00 AM,56.165,,,,,
5,09/20/16 11:07:00 AM,56.208,,,,,
6,09/20/16 11:22:00 AM,56.251,,,,,
7,09/20/16 11:37:00 AM,56.340,,,,,
8,09/20/16 11:52:00 AM,56.469,,,,,
9,09/20/16 12:07:00 PM,56.599,,,,,
10,09/20/16 12:22:00 PM,56.772,,,,,
11,09/20/16 12:37:00 PM,56.988,,,,,
12,09/20/16 12:52:00 PM,57.247,,,,,
13,09/20/16 01:07:00 PM,57.506,,,,,
14,09/20/16 01:22:00 PM,57.765,,,,,
15,09/20/16 01:37:00 PM,57.979,,,,,
16,09/20/16 01:52:00 PM,58.239,,,,,
17,09/20/16 02:07:00 PM,58.455,,,,,
18,09/20/16 02:22:00 PM,58.712,,,,,
19,09/20/16 02:37:00 PM,59.014,,,,,
20,09/20/16 02:52:00 PM,59.358,,,,,
21,09/20/16 03:07:00 PM,59.702,,,,,
22,09/20/16 03:22:00 PM,60.046,,,,,
23,09/20/16 03:37:00 PM,60.433,,,,,
24,09/20/16 03:52:00 PM,60.775,,,,,
25,09/20/16 04:07:00 PM,61.032,,,,,
26,09/20/16 04:22:00 PM,61.290,,,,,
27,09/20/16 04:37:00 PM,61.506,,,,,
28,09/20/16 04:52:00 PM,61.677,,,,,
29,09/20/16 05:07:00 PM,61.804,,,,,
30,09/20/16 05:22:00 PM,61.977,,,,,
31,09/20/16 05:37:00 PM,62.148,,,,,
32,09/20/16 05:52:00 PM,62.276,,,,,
33,09/20/16 06:07:00 PM,62.362,,,,,
34,09/20/16 06:22:00 PM,62.406,,,,,
35,09/20/16 06:37:00 PM,62.447,,,,,
36,09/20/16 06:52:00 PM,62.490,,,,,
37,09/20/16 07:07:00 PM,62.490,,,,,
38,09/20/16 07:22:00 PM,62.447,,,,,
39,09/20/16 07:37:00 PM,62.406,,,,,
