"Plot Title: Andrews"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739556, SEN S/N: 10739556)","Coupler Detached (LGR S/N: 10739556)","Coupler Attached (LGR S/N: 10739556)","Host Connected (LGR S/N: 10739556)","Stopped (LGR S/N: 10739556)","End Of File (LGR S/N: 10739556)"
1,06/08/17 08:00:00 PM,70.243,Logged,,,,
2,06/08/17 08:15:00 PM,69.858,,,,,
3,06/08/17 08:30:00 PM,69.427,,,,,
4,06/08/17 08:45:00 PM,68.999,,,,,
5,06/08/17 09:00:00 PM,68.614,,,,,
6,06/08/17 09:15:00 PM,68.142,,,,,
7,06/08/17 09:30:00 PM,67.714,,,,,
8,06/08/17 09:45:00 PM,67.242,,,,,
9,06/08/17 10:00:00 PM,66.857,,,,,
10,06/08/17 10:15:00 PM,66.515,,,,,
11,06/08/17 10:30:00 PM,66.173,,,,,
12,06/08/17 10:45:00 PM,65.829,,,,,
13,06/08/17 11:00:00 PM,65.530,,,,,
14,06/08/17 11:15:00 PM,65.230,,,,,
15,06/08/17 11:30:00 PM,64.931,,,,,
16,06/08/17 11:45:00 PM,64.632,,,,,
17,06/09/17 12:00:00 AM,64.418,,,,,
18,06/09/17 12:15:00 AM,64.161,,,,,
19,06/09/17 12:30:00 AM,63.903,,,,,
20,06/09/17 12:45:00 AM,63.689,,,,,
21,06/09/17 01:00:00 AM,63.433,,,,,
22,06/09/17 01:15:00 AM,63.219,,,,,
23,06/09/17 01:30:00 AM,63.005,,,,,
24,06/09/17 01:45:00 AM,62.791,,,,,
25,06/09/17 02:00:00 AM,62.577,,,,,
26,06/09/17 02:15:00 AM,62.406,,,,,
27,06/09/17 02:30:00 AM,62.191,,,,,
28,06/09/17 02:45:00 AM,62.019,,,,,
29,06/09/17 03:00:00 AM,61.848,,,,,
30,06/09/17 03:15:00 AM,61.633,,,,,
31,06/09/17 03:30:00 AM,61.462,,,,,
32,06/09/17 03:45:00 AM,61.290,,,,,
33,06/09/17 04:00:00 AM,61.162,,,,,
34,06/09/17 04:15:00 AM,60.991,,,,,
35,06/09/17 04:30:00 AM,60.861,,,,,
36,06/09/17 04:45:00 AM,60.690,,,,,
37,06/09/17 05:00:00 AM,60.561,,,,,
38,06/09/17 05:15:00 AM,60.433,,,,,
39,06/09/17 05:30:00 AM,60.260,,,,,
40,06/09/17 05:45:00 AM,60.089,,,,,
41,06/09/17 06:00:00 AM,59.916,,,,,
42,06/09/17 06:15:00 AM,59.702,,,,,
43,06/09/17 06:30:00 AM,59.529,,,,,
44,06/09/17 06:45:00 AM,59.358,,,,,
45,06/09/17 07:00:00 AM,59.185,,,,,
46,06/09/17 07:15:00 AM,59.014,,,,,
47,06/09/17 07:30:00 AM,58.885,,,,,
48,06/09/17 07:45:00 AM,58.798,,,,,
49,06/09/17 08:00:00 AM,58.755,,,,,
50,06/09/17 08:15:00 AM,58.755,,,,,
