"Plot Title: White River Golf Coarse 11-25-15 (1040)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739561, SEN S/N: 10739561)","Coupler Detached (LGR S/N: 10739561)","Coupler Attached (LGR S/N: 10739561)","Host Connected (LGR S/N: 10739561)","End Of File (LGR S/N: 10739561)"
1,09/20/16 02:00:00 PM,61.590,Logged,,,
2,09/20/16 02:15:00 PM,61.677,,,,
3,09/20/16 02:30:00 PM,61.804,,,,
4,09/20/16 02:45:00 PM,61.934,,,,
5,09/20/16 03:00:00 PM,62.062,,,,
6,09/20/16 03:15:00 PM,62.148,,,,
7,09/20/16 03:30:00 PM,62.276,,,,
8,09/20/16 03:45:00 PM,62.319,,,,
9,09/20/16 04:00:00 PM,62.406,,,,
10,09/20/16 04:15:00 PM,62.447,,,,
11,09/20/16 04:30:00 PM,62.533,,,,
12,09/20/16 04:45:00 PM,62.620,,,,
13,09/20/16 05:00:00 PM,62.704,,,,
14,09/20/16 05:15:00 PM,62.748,,,,
15,09/20/16 05:30:00 PM,62.834,,,,
16,09/20/16 05:45:00 PM,62.919,,,,
17,09/20/16 06:00:00 PM,63.005,,,,
18,09/20/16 06:15:00 PM,63.090,,,,
19,09/20/16 06:30:00 PM,63.090,,,,
20,09/20/16 06:45:00 PM,63.133,,,,
21,09/20/16 07:00:00 PM,63.090,,,,
22,09/20/16 07:15:00 PM,63.005,,,,
23,09/20/16 07:30:00 PM,62.919,,,,
24,09/20/16 07:45:00 PM,62.834,,,,
25,09/20/16 08:00:00 PM,62.704,,,,
26,09/20/16 08:15:00 PM,62.577,,,,
27,09/20/16 08:30:00 PM,62.447,,,,
28,09/20/16 08:45:00 PM,62.319,,,,
29,09/20/16 09:00:00 PM,62.191,,,,
30,09/20/16 09:15:00 PM,62.019,,,,
31,09/20/16 09:30:00 PM,61.848,,,,
32,09/20/16 09:45:00 PM,61.677,,,,
33,09/20/16 10:00:00 PM,61.547,,,,
34,09/20/16 10:15:00 PM,61.419,,,,
35,09/20/16 10:30:00 PM,61.333,,,,
36,09/20/16 10:45:00 PM,61.248,,,,
37,09/20/16 11:00:00 PM,61.162,,,,
38,09/20/16 11:15:00 PM,61.032,,,,
39,09/20/16 11:30:00 PM,60.991,,,,
40,09/20/16 11:45:00 PM,60.904,,,,
41,09/21/16 12:00:00 AM,60.818,,,,
42,09/21/16 12:15:00 AM,60.733,,,,
43,09/21/16 12:30:00 AM,60.690,,,,
44,09/21/16 12:45:00 AM,60.647,,,,
45,09/21/16 01:00:00 AM,60.561,,,,
46,09/21/16 01:15:00 AM,60.517,,,,
47,09/21/16 01:30:00 AM,60.433,,,,
48,09/21/16 01:45:00 AM,60.390,,,,
49,09/21/16 02:00:00 AM,60.346,,,,
50,09/21/16 02:15:00 AM,60.303,,,,
51,09/21/16 02:30:00 AM,60.217,,,,
52,09/21/16 02:45:00 AM,60.174,,,,
53,09/21/16 03:00:00 AM,60.089,,,,
54,09/21/16 03:15:00 AM,60.003,,,,
55,09/21/16 03:30:00 AM,59.959,,,,
56,09/21/16 03:45:00 AM,59.873,,,,
