"Plot Title: White River Swinging Bridge12-8-15(0936)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739506, SEN S/N: 10739506)","Coupler Detached (LGR S/N: 10739506)","Coupler Attached (LGR S/N: 10739506)","Host Connected (LGR S/N: 10739506)","Stopped (LGR S/N: 10739506)","End Of File (LGR S/N: 10739506)"
1,09/20/16 01:00:00 PM,61.720,Logged,,,,
2,09/20/16 01:15:00 PM,62.019,,,,,
3,09/20/16 01:30:00 PM,62.276,,,,,
4,09/20/16 01:45:00 PM,62.533,,,,,
5,09/20/16 02:00:00 PM,62.791,,,,,
6,09/20/16 02:15:00 PM,62.919,,,,,
7,09/20/16 02:30:00 PM,63.133,,,,,
8,09/20/16 02:45:00 PM,63.347,,,,,
9,09/20/16 03:00:00 PM,63.475,,,,,
10,09/20/16 03:15:00 PM,63.648,,,,,
11,09/20/16 03:30:00 PM,63.819,,,,,
12,09/20/16 03:45:00 PM,64.033,,,,,
13,09/20/16 04:00:00 PM,64.247,,,,,
14,09/20/16 04:15:00 PM,64.546,,,,,
15,09/20/16 04:30:00 PM,64.845,,,,,
16,09/20/16 04:45:00 PM,65.145,,,,,
17,09/20/16 05:00:00 PM,65.403,,,,,
18,09/20/16 05:15:00 PM,65.615,,,,,
19,09/20/16 05:30:00 PM,65.745,,,,,
20,09/20/16 05:45:00 PM,65.829,,,,,
21,09/20/16 06:00:00 PM,65.829,,,,,
22,09/20/16 06:15:00 PM,65.788,,,,,
23,09/20/16 06:30:00 PM,65.745,,,,,
24,09/20/16 06:45:00 PM,65.745,,,,,
25,09/20/16 07:00:00 PM,65.701,,,,,
26,09/20/16 07:15:00 PM,65.658,,,,,
27,09/20/16 07:30:00 PM,65.615,,,,,
28,09/20/16 07:45:00 PM,65.574,,,,,
29,09/20/16 08:00:00 PM,65.487,,,,,
30,09/20/16 08:15:00 PM,65.444,,,,,
31,09/20/16 08:30:00 PM,65.403,,,,,
32,09/20/16 08:45:00 PM,65.359,,,,,
33,09/20/16 09:00:00 PM,65.316,,,,,
