"Plot Title: Andrew 11-25-15 (1316)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739556, SEN S/N: 10739556)","Coupler Detached (LGR S/N: 10739556)","Coupler Attached (LGR S/N: 10739556)","Stopped (LGR S/N: 10739556)","End Of File (LGR S/N: 10739556)"
1,11/25/15 01:16:59 PM,50.180,,,,
2,11/25/15 01:17:08 PM,,Logged,,,
3,11/25/15 01:31:59 PM,44.127,,,,
4,11/25/15 01:46:59 PM,44.082,,,,
5,11/25/15 02:01:59 PM,44.082,,,,
6,11/25/15 02:16:59 PM,44.082,,,,
7,11/25/15 02:31:59 PM,44.037,,,,
8,11/25/15 02:46:59 PM,43.945,,,,
9,11/25/15 03:01:59 PM,43.853,,,,
10,11/25/15 03:16:59 PM,43.716,,,,
11,11/25/15 03:31:59 PM,43.579,,,,
12,11/25/15 03:46:59 PM,43.534,,,,
13,11/25/15 04:01:59 PM,43.488,,,,
14,11/25/15 04:16:59 PM,43.488,,,,
15,11/25/15 04:31:59 PM,43.488,,,,
16,11/25/15 04:46:59 PM,43.396,,,,
17,11/25/15 05:01:59 PM,43.351,,,,
18,11/25/15 05:16:59 PM,43.306,,,,
19,11/25/15 05:31:59 PM,43.214,,,,
20,11/25/15 05:46:59 PM,43.122,,,,
21,11/25/15 06:01:59 PM,43.030,,,,
22,11/25/15 06:16:59 PM,42.939,,,,
23,11/25/15 06:31:59 PM,42.892,,,,
24,11/25/15 06:46:59 PM,42.755,,,,
25,11/25/15 07:01:59 PM,42.616,,,,
26,11/25/15 07:16:59 PM,42.525,,,,
27,11/25/15 07:31:59 PM,42.433,,,,
28,11/25/15 07:46:59 PM,42.294,,,,
29,11/25/15 08:01:59 PM,42.202,,,,
30,11/25/15 08:16:59 PM,42.156,,,,
31,11/25/15 08:31:59 PM,42.109,,,,
32,11/25/15 08:46:59 PM,42.017,,,,
33,11/25/15 09:01:59 PM,41.925,,,,
34,11/25/15 09:16:59 PM,41.832,,,,
35,11/25/15 09:31:59 PM,41.787,,,,
36,11/25/15 09:46:59 PM,41.740,,,,
37,11/25/15 10:01:59 PM,41.648,,,,
38,11/25/15 10:16:59 PM,41.601,,,,
39,11/25/15 10:31:59 PM,41.463,,,,
40,11/25/15 10:46:59 PM,41.369,,,,
41,11/25/15 11:01:59 PM,41.277,,,,
42,11/25/15 11:16:59 PM,41.137,,,,
43,11/25/15 11:31:59 PM,41.043,,,,
44,11/25/15 11:46:59 PM,40.998,,,,
45,11/26/15 12:01:59 AM,40.905,,,,
46,11/26/15 12:16:59 AM,40.811,,,,
47,11/26/15 12:31:59 AM,40.811,,,,
48,11/26/15 12:46:59 AM,40.672,,,,
49,11/26/15 01:01:59 AM,40.626,,,,
50,11/26/15 01:16:59 AM,40.626,,,,
51,11/26/15 01:31:59 AM,40.626,,,,
52,11/26/15 01:46:59 AM,40.579,,,,
53,11/26/15 02:01:59 AM,40.532,,,,
54,11/26/15 02:16:59 AM,40.532,,,,
55,11/26/15 02:31:59 AM,40.438,,,,
56,11/26/15 02:46:59 AM,40.438,,,,
57,11/26/15 03:01:59 AM,40.485,,,,
58,11/26/15 03:16:59 AM,40.438,,,,
59,11/26/15 03:31:59 AM,40.392,,,,
60,11/26/15 03:46:59 AM,40.345,,,,
61,11/26/15 04:01:59 AM,40.298,,,,
62,11/26/15 04:16:59 AM,40.345,,,,
63,11/26/15 04:31:59 AM,40.298,,,,
64,11/26/15 04:46:59 AM,40.298,,,,
65,11/26/15 05:01:59 AM,40.298,,,,
66,11/26/15 05:16:59 AM,40.298,,,,
67,11/26/15 05:31:59 AM,40.251,,,,
68,11/26/15 05:46:59 AM,40.251,,,,
69,11/26/15 06:01:59 AM,40.204,,,,
70,11/26/15 06:16:59 AM,40.158,,,,
71,11/26/15 06:31:59 AM,40.158,,,,
72,11/26/15 06:46:59 AM,40.111,,,,
73,11/26/15 07:01:59 AM,40.064,,,,
74,11/26/15 07:16:59 AM,40.017,,,,
75,11/26/15 07:31:59 AM,39.970,,,,
76,11/26/15 07:46:59 AM,39.924,,,,
77,11/26/15 08:01:59 AM,39.970,,,,
78,11/26/15 08:16:59 AM,39.924,,,,
79,11/26/15 08:31:59 AM,39.924,,,,
80,11/26/15 08:46:59 AM,39.924,,,,
81,11/26/15 09:01:59 AM,39.924,,,,
82,11/26/15 09:16:59 AM,39.924,,,,
83,11/26/15 09:31:59 AM,39.970,,,,
84,11/26/15 09:46:59 AM,39.970,,,,
85,11/26/15 10:01:59 AM,40.064,,,,
86,11/26/15 10:16:59 AM,40.204,,,,
87,11/26/15 10:31:59 AM,40.345,,,,
88,11/26/15 10:46:59 AM,40.438,,,,
89,11/26/15 11:01:59 AM,40.626,,,,
90,11/26/15 11:16:59 AM,40.858,,,,
91,11/26/15 11:31:59 AM,41.043,,,,
92,11/26/15 11:46:59 AM,41.463,,,,
93,11/26/15 12:01:59 PM,41.554,,,,
94,11/26/15 12:16:59 PM,41.740,,,,
95,11/26/15 12:31:59 PM,41.787,,,,
96,11/26/15 12:46:59 PM,41.878,,,,
97,11/26/15 01:01:59 PM,41.878,,,,
98,11/26/15 01:16:59 PM,41.925,,,,
99,11/26/15 01:31:59 PM,41.970,,,,
100,11/26/15 01:46:59 PM,42.156,,,,
101,11/26/15 02:01:59 PM,42.294,,,,
102,11/26/15 02:16:59 PM,42.386,,,,
103,11/26/15 02:31:59 PM,42.433,,,,
104,11/26/15 02:46:59 PM,42.478,,,,
105,11/26/15 03:01:59 PM,42.341,,,,
106,11/26/15 03:16:59 PM,42.247,,,,
107,11/26/15 03:31:59 PM,42.202,,,,
108,11/26/15 03:46:59 PM,42.202,,,,
109,11/26/15 04:01:59 PM,42.109,,,,
110,11/26/15 04:16:59 PM,42.109,,,,
111,11/26/15 04:31:59 PM,42.064,,,,
112,11/26/15 04:46:59 PM,42.017,,,,
113,11/26/15 05:01:59 PM,41.925,,,,
114,11/26/15 05:16:59 PM,41.832,,,,
115,11/26/15 05:31:59 PM,41.740,,,,
116,11/26/15 05:46:59 PM,41.648,,,,
117,11/26/15 06:01:59 PM,41.601,,,,
118,11/26/15 06:16:59 PM,41.554,,,,
119,11/26/15 06:31:59 PM,41.508,,,,
120,11/26/15 06:46:59 PM,41.416,,,,
121,11/26/15 07:01:59 PM,41.369,,,,
122,11/26/15 07:16:59 PM,41.322,,,,
123,11/26/15 07:31:59 PM,41.230,,,,
124,11/26/15 07:46:59 PM,41.137,,,,
125,11/26/15 08:01:59 PM,41.043,,,,
126,11/26/15 08:16:59 PM,40.998,,,,
127,11/26/15 08:31:59 PM,40.951,,,,
128,11/26/15 08:46:59 PM,40.951,,,,
129,11/26/15 09:01:59 PM,40.905,,,,
130,11/26/15 09:16:59 PM,40.905,,,,
131,11/26/15 09:31:59 PM,40.858,,,,
132,11/26/15 09:46:59 PM,40.811,,,,
133,11/26/15 10:01:59 PM,40.811,,,,
134,11/26/15 10:16:59 PM,40.811,,,,
135,11/26/15 10:31:59 PM,40.811,,,,
136,11/26/15 10:46:59 PM,40.811,,,,
137,11/26/15 11:01:59 PM,40.811,,,,
138,11/26/15 11:16:59 PM,40.719,,,,
139,11/26/15 11:31:59 PM,40.626,,,,
140,11/26/15 11:46:59 PM,40.485,,,,
141,11/27/15 12:01:59 AM,40.345,,,,
142,11/27/15 12:16:59 AM,40.204,,,,
143,11/27/15 12:31:59 AM,40.064,,,,
144,11/27/15 12:46:59 AM,39.970,,,,
145,11/27/15 01:01:59 AM,39.924,,,,
146,11/27/15 01:16:59 AM,39.924,,,,
147,11/27/15 01:31:59 AM,39.924,,,,
148,11/27/15 01:46:59 AM,39.924,,,,
149,11/27/15 02:01:59 AM,39.924,,,,
150,11/27/15 02:16:59 AM,39.877,,,,
151,11/27/15 02:31:59 AM,39.877,,,,
152,11/27/15 02:46:59 AM,39.877,,,,
153,11/27/15 03:01:59 AM,39.877,,,,
154,11/27/15 03:16:59 AM,39.783,,,,
155,11/27/15 03:31:59 AM,39.690,,,,
156,11/27/15 03:46:59 AM,39.549,,,,
157,11/27/15 04:01:59 AM,39.502,,,,
158,11/27/15 04:16:59 AM,39.454,,,,
159,11/27/15 04:31:59 AM,39.407,,,,
