"Plot Title: White River- East Ft. Rob 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612903, SEN S/N: 10612903)","Coupler Attached (LGR S/N: 10612903)","Stopped (LGR S/N: 10612903)","End Of File (LGR S/N: 10612903)"
1,07/10/15 12:00:00 AM,73.062,,,
2,07/10/15 01:00:00 AM,71.856,,,
3,07/10/15 02:00:00 AM,70.651,,,
4,07/10/15 03:00:00 AM,69.793,,,
5,07/10/15 04:00:00 AM,68.763,,,
6,07/10/15 05:00:00 AM,67.735,,,
7,07/10/15 06:00:00 AM,66.879,,,
8,07/10/15 07:00:00 AM,67.564,,,
9,07/10/15 08:00:00 AM,72.372,,,
10,07/10/15 09:00:00 AM,77.050,,,
11,07/10/15 10:00:00 AM,80.559,,,
12,07/10/15 11:00:00 AM,82.508,,,
13,07/10/15 12:00:00 PM,85.194,,,
14,07/10/15 01:00:00 PM,84.474,,,
15,07/10/15 02:00:00 PM,86.641,,,
16,07/10/15 03:00:00 PM,91.053,,,
17,07/10/15 04:00:00 PM,91.612,,,
18,07/10/15 05:00:00 PM,90.867,,,
19,07/10/15 06:00:00 PM,89.938,,,
20,07/10/15 07:00:00 PM,88.282,,,
21,07/10/15 08:00:00 PM,86.277,,,
22,07/10/15 09:00:00 PM,83.757,,,
23,07/10/15 10:00:00 PM,80.559,,,
24,07/10/15 11:00:00 PM,78.449,,,
25,07/11/15 12:00:00 AM,76.876,,,
26,07/11/15 01:00:00 AM,75.659,,,
27,07/11/15 02:00:00 AM,74.446,,,
28,07/11/15 03:00:00 AM,73.407,,,
29,07/11/15 04:00:00 AM,72.199,,,
30,07/11/15 05:00:00 AM,70.824,,,
31,07/11/15 06:00:00 AM,69.793,,,
32,07/11/15 07:00:00 AM,70.137,,,
33,07/11/15 08:00:00 AM,78.449,,,
34,07/11/15 09:00:00 AM,85.915,,,
35,07/11/15 10:00:00 AM,93.873,,,
36,07/11/15 11:00:00 AM,102.697,,,
37,07/11/15 12:00:00 PM,112.244,,,
38,07/11/15 01:00:00 PM,120.848,,,
39,07/11/15 02:00:00 PM,123.071,,,
40,07/11/15 03:00:00 PM,120.362,,,
41,07/11/15 04:00:00 PM,115.867,,,
42,07/11/15 05:00:00 PM,111.139,,,
43,07/11/15 06:00:00 PM,107.683,,,
44,07/11/15 07:00:00 PM,103.104,,,
45,07/11/15 08:00:00 PM,97.720,,,
46,07/11/15 09:00:00 PM,92.363,,,
47,07/11/15 10:00:00 PM,88.650,,,
48,07/11/15 11:00:00 PM,85.915,,,
49,07/12/15 12:00:00 AM,83.043,,,
50,07/12/15 01:00:00 AM,80.382,,,
51,07/12/15 02:00:00 AM,78.098,,,
52,07/12/15 03:00:00 AM,76.181,,,
53,07/12/15 04:00:00 AM,74.271,,,
54,07/12/15 05:00:00 AM,72.372,,,
55,07/12/15 06:00:00 AM,70.480,,,
56,07/12/15 07:00:00 AM,71.168,,,
57,07/12/15 08:00:00 AM,80.029,,,
58,07/12/15 09:00:00 AM,87.186,,,
59,07/12/15 10:00:00 AM,95.016,,,
60,07/12/15 11:00:00 AM,103.717,,,
61,07/12/15 12:00:00 PM,113.587,,,
62,07/12/15 01:00:00 PM,122.572,,,
63,07/12/15 02:00:00 PM,125.096,,,
64,07/12/15 03:00:00 PM,122.572,,,
65,07/12/15 04:00:00 PM,117.968,,,
66,07/12/15 05:00:00 PM,113.137,,,
67,07/12/15 06:00:00 PM,109.612,,,
68,07/12/15 07:00:00 PM,103.923,,,
69,07/12/15 08:00:00 PM,99.687,,,
70,07/12/15 09:00:00 PM,94.633,,,
71,07/12/15 10:00:00 PM,89.755,,,
72,07/12/15 11:00:00 PM,85.194,,,
73,07/13/15 12:00:00 AM,81.266,,,
74,07/13/15 01:00:00 AM,77.749,,,
75,07/13/15 02:00:00 AM,74.791,,,
76,07/13/15 03:00:00 AM,72.199,,,
77,07/13/15 04:00:00 AM,69.964,,,
78,07/13/15 05:00:00 AM,68.248,,,
79,07/13/15 06:00:00 AM,66.879,,,
80,07/13/15 07:00:00 AM,67.906,,,
81,07/13/15 08:00:00 AM,75.832,,,
82,07/13/15 09:00:00 AM,82.330,,,
83,07/13/15 10:00:00 AM,87.004,,,
84,07/13/15 11:00:00 AM,96.168,,,
85,07/13/15 12:00:00 PM,108.108,,,
86,07/13/15 01:00:00 PM,117.968,,,
87,07/13/15 02:00:00 PM,121.338,,,
88,07/13/15 03:00:00 PM,119.397,,,
89,07/13/15 04:00:00 PM,115.407,,,
90,07/13/15 05:00:00 PM,110.701,,,
91,07/13/15 06:00:00 PM,107.258,,,
92,07/13/15 07:00:00 PM,102.697,,,
93,07/13/15 08:00:00 PM,98.110,,,
94,07/13/15 09:00:00 PM,93.493,,,
95,07/13/15 10:00:00 PM,89.755,,,
96,07/13/15 11:00:00 PM,86.097,,,
97,07/14/15 12:00:00 AM,82.686,,,
