"Plot Title: White River Golf Coarse 11-25-15 (1040)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739561, SEN S/N: 10739561)","Coupler Detached (LGR S/N: 10739561)","Coupler Attached (LGR S/N: 10739561)","Stopped (LGR S/N: 10739561)","End Of File (LGR S/N: 10739561)"
1,11/25/15 10:41:01 AM,48.405,,,,
2,11/25/15 10:41:09 AM,,Logged,,,
3,11/25/15 10:56:01 AM,40.579,,,,
4,11/25/15 11:11:01 AM,40.392,,,,
5,11/25/15 11:26:01 AM,40.392,,,,
6,11/25/15 11:41:01 AM,40.438,,,,
7,11/25/15 11:56:01 AM,40.438,,,,
8,11/25/15 12:11:01 PM,40.438,,,,
9,11/25/15 12:26:01 PM,40.485,,,,
10,11/25/15 12:41:01 PM,40.485,,,,
11,11/25/15 12:56:01 PM,40.532,,,,
12,11/25/15 01:11:01 PM,40.532,,,,
13,11/25/15 01:26:01 PM,40.579,,,,
14,11/25/15 01:41:01 PM,40.626,,,,
15,11/25/15 01:56:01 PM,40.626,,,,
16,11/25/15 02:11:01 PM,40.626,,,,
17,11/25/15 02:26:01 PM,40.626,,,,
18,11/25/15 02:41:01 PM,40.626,,,,
19,11/25/15 02:56:01 PM,40.626,,,,
20,11/25/15 03:11:01 PM,40.532,,,,
21,11/25/15 03:26:01 PM,40.438,,,,
22,11/25/15 03:41:01 PM,40.345,,,,
23,11/25/15 03:56:01 PM,40.251,,,,
24,11/25/15 04:11:01 PM,40.111,,,,
25,11/25/15 04:26:01 PM,39.970,,,,
26,11/25/15 04:41:01 PM,39.877,,,,
27,11/25/15 04:56:01 PM,39.783,,,,
28,11/25/15 05:11:01 PM,39.690,,,,
29,11/25/15 05:26:01 PM,39.596,,,,
30,11/25/15 05:41:01 PM,39.502,,,,
31,11/25/15 05:56:01 PM,39.454,,,,
32,11/25/15 06:11:01 PM,39.360,,,,
33,11/25/15 06:26:01 PM,39.313,,,,
34,11/25/15 06:41:01 PM,39.313,,,,
35,11/25/15 06:56:01 PM,39.360,,,,
36,11/25/15 07:11:01 PM,39.360,,,,
37,11/25/15 07:26:01 PM,39.360,,,,
38,11/25/15 07:41:01 PM,39.313,,,,
39,11/25/15 07:56:01 PM,39.313,,,,
40,11/25/15 08:11:01 PM,39.220,,,,
41,11/25/15 08:26:01 PM,39.173,,,,
42,11/25/15 08:41:01 PM,39.124,,,,
43,11/25/15 08:56:01 PM,39.124,,,,
44,11/25/15 09:11:01 PM,39.031,,,,
45,11/25/15 09:26:01 PM,38.984,,,,
46,11/25/15 09:41:01 PM,38.889,,,,
47,11/25/15 09:56:01 PM,38.842,,,,
48,11/25/15 10:11:01 PM,38.795,,,,
49,11/25/15 10:26:01 PM,38.748,,,,
50,11/25/15 10:41:01 PM,38.700,,,,
51,11/25/15 10:56:01 PM,38.653,,,,
52,11/25/15 11:11:01 PM,38.557,,,,
53,11/25/15 11:26:01 PM,38.511,,,,
54,11/25/15 11:41:01 PM,38.464,,,,
55,11/25/15 11:56:01 PM,38.415,,,,
56,11/26/15 12:11:01 AM,38.368,,,,
57,11/26/15 12:26:01 AM,38.322,,,,
58,11/26/15 12:41:01 AM,38.273,,,,
59,11/26/15 12:56:01 AM,38.179,,,,
60,11/26/15 01:11:01 AM,38.131,,,,
61,11/26/15 01:26:01 AM,38.084,,,,
62,11/26/15 01:41:01 AM,38.037,,,,
63,11/26/15 01:56:01 AM,37.989,,,,
64,11/26/15 02:11:01 AM,37.893,,,,
65,11/26/15 02:26:01 AM,37.846,,,,
66,11/26/15 02:41:01 AM,37.798,,,,
67,11/26/15 02:56:01 AM,37.751,,,,
68,11/26/15 03:11:01 AM,37.702,,,,
69,11/26/15 03:26:01 AM,37.609,,,,
70,11/26/15 03:41:01 AM,37.560,,,,
71,11/26/15 03:56:01 AM,37.465,,,,
72,11/26/15 04:11:01 AM,37.369,,,,
73,11/26/15 04:26:01 AM,37.321,,,,
74,11/26/15 04:41:01 AM,37.274,,,,
75,11/26/15 04:56:01 AM,37.179,,,,
76,11/26/15 05:11:01 AM,37.130,,,,
77,11/26/15 05:26:01 AM,37.035,,,,
78,11/26/15 05:41:01 AM,36.986,,,,
79,11/26/15 05:56:01 AM,36.939,,,,
