"Plot Title: White River Golf Coarse 11-25-15 (1040)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739561, SEN S/N: 10739561)","Coupler Detached (LGR S/N: 10739561)","Coupler Attached (LGR S/N: 10739561)","Host Connected (LGR S/N: 10739561)","Stopped (LGR S/N: 10739561)","End Of File (LGR S/N: 10739561)"
1,05/20/16 02:56:01 PM,66.472,Logged,,,,
2,05/20/16 03:11:01 PM,64.674,,,,,
3,05/20/16 03:26:01 PM,64.674,,,,,
4,05/20/16 03:41:01 PM,64.674,,,,,
5,05/20/16 03:56:01 PM,64.632,,,,,
6,05/20/16 04:11:01 PM,64.589,,,,,
7,05/20/16 04:26:01 PM,64.632,,,,,
8,05/20/16 04:41:01 PM,64.546,,,,,
9,05/20/16 04:56:01 PM,64.375,,,,,
10,05/20/16 05:11:01 PM,64.247,,,,,
11,05/20/16 05:26:01 PM,64.161,,,,,
12,05/20/16 05:41:01 PM,63.990,,,,,
13,05/20/16 05:56:01 PM,63.903,,,,,
14,05/20/16 06:11:01 PM,63.819,,,,,
15,05/20/16 06:26:01 PM,63.689,,,,,
16,05/20/16 06:41:01 PM,63.648,,,,,
17,05/20/16 06:56:01 PM,63.561,,,,,
18,05/20/16 07:11:01 PM,63.475,,,,,
19,05/20/16 07:26:01 PM,63.433,,,,,
20,05/20/16 07:41:01 PM,63.347,,,,,
21,05/20/16 07:56:01 PM,63.262,,,,,
22,05/20/16 08:11:01 PM,63.219,,,,,
23,05/20/16 08:26:01 PM,63.133,,,,,
24,05/20/16 08:41:01 PM,63.048,,,,,
25,05/20/16 08:56:01 PM,63.005,,,,,
26,05/20/16 09:11:01 PM,62.875,,,,,
27,05/20/16 09:26:01 PM,62.791,,,,,
28,05/20/16 09:41:01 PM,62.704,,,,,
29,05/20/16 09:56:01 PM,62.620,,,,,
30,05/20/16 10:11:01 PM,62.533,,,,,
31,05/20/16 10:26:01 PM,62.490,,,,,
32,05/20/16 10:41:01 PM,62.447,,,,,
33,05/20/16 10:56:01 PM,62.362,,,,,
34,05/20/16 11:11:01 PM,62.319,,,,,
35,05/20/16 11:26:01 PM,62.233,,,,,
36,05/20/16 11:41:01 PM,62.148,,,,,
37,05/20/16 11:56:01 PM,62.105,,,,,
38,05/21/16 12:11:01 AM,62.019,,,,,
39,05/21/16 12:26:01 AM,61.934,,,,,
40,05/21/16 12:41:01 AM,61.848,,,,,
41,05/21/16 12:56:01 AM,61.761,,,,,
42,05/21/16 01:11:01 AM,61.677,,,,,
43,05/21/16 01:26:01 AM,61.590,,,,,
44,05/21/16 01:41:01 AM,61.506,,,,,
45,05/21/16 01:56:01 AM,61.462,,,,,
46,05/21/16 02:11:01 AM,61.376,,,,,
47,05/21/16 02:26:01 AM,61.333,,,,,
48,05/21/16 02:41:01 AM,61.290,,,,,
49,05/21/16 02:56:01 AM,61.205,,,,,
50,05/21/16 03:11:01 AM,61.162,,,,,
51,05/21/16 03:26:01 AM,61.119,,,,,
52,05/21/16 03:41:01 AM,61.075,,,,,
53,05/21/16 03:56:01 AM,61.032,,,,,
54,05/21/16 04:11:01 AM,60.991,,,,,
55,05/21/16 04:26:01 AM,60.948,,,,,
56,05/21/16 04:41:01 AM,60.861,,,,,
57,05/21/16 04:56:01 AM,60.775,,,,,
58,05/21/16 05:11:01 AM,60.690,,,,,
