"Plot Title: Willow #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719034, SEN S/N: 10719034)","Coupler Detached (LGR S/N: 10719034)","Coupler Attached (LGR S/N: 10719034)","Stopped (LGR S/N: 10719034)","End Of File (LGR S/N: 10719034)"
1,07/10/15 12:00:00 PM,62.191,Logged,,,
2,07/10/15 12:15:00 PM,62.533,,,,
3,07/10/15 12:30:00 PM,62.962,,,,
4,07/10/15 12:45:00 PM,63.561,,,,
5,07/10/15 01:00:00 PM,64.033,,,,
6,07/10/15 01:15:00 PM,64.375,,,,
7,07/10/15 01:30:00 PM,64.674,,,,
8,07/10/15 01:45:00 PM,65.403,,,,
9,07/10/15 02:00:00 PM,65.615,,,,
10,07/10/15 02:15:00 PM,65.658,,,,
11,07/10/15 02:30:00 PM,66.301,,,,
12,07/10/15 02:45:00 PM,66.729,,,,
13,07/10/15 03:00:00 PM,66.900,,,,
14,07/10/15 03:15:00 PM,67.071,,,,
15,07/10/15 03:30:00 PM,67.413,,,,
16,07/10/15 03:45:00 PM,67.798,,,,
17,07/10/15 04:00:00 PM,68.056,,,,
18,07/10/15 04:15:00 PM,68.356,,,,
19,07/10/15 04:30:00 PM,68.614,,,,
20,07/10/15 04:45:00 PM,68.785,,,,
21,07/10/15 05:00:00 PM,68.999,,,,
22,07/10/15 05:15:00 PM,68.956,,,,
23,07/10/15 05:30:00 PM,68.657,,,,
24,07/10/15 05:45:00 PM,68.356,,,,
25,07/10/15 06:00:00 PM,68.185,,,,
26,07/10/15 06:15:00 PM,67.971,,,,
27,07/10/15 06:30:00 PM,67.586,,,,
28,07/10/15 06:45:00 PM,67.242,,,,
29,07/10/15 07:00:00 PM,66.943,,,,
30,07/10/15 07:15:00 PM,66.600,,,,
31,07/10/15 07:30:00 PM,66.301,,,,
32,07/10/15 07:45:00 PM,65.959,,,,
33,07/10/15 08:00:00 PM,65.658,,,,
34,07/10/15 08:15:00 PM,65.316,,,,
35,07/10/15 08:30:00 PM,65.017,,,,
36,07/10/15 08:45:00 PM,64.760,,,,
37,07/10/15 09:00:00 PM,64.503,,,,
38,07/10/15 09:15:00 PM,64.204,,,,
39,07/10/15 09:30:00 PM,63.946,,,,
40,07/10/15 09:45:00 PM,63.732,,,,
41,07/10/15 10:00:00 PM,63.561,,,,
42,07/10/15 10:15:00 PM,63.433,,,,
43,07/10/15 10:30:00 PM,63.304,,,,
44,07/10/15 10:45:00 PM,63.133,,,,
45,07/10/15 11:00:00 PM,63.005,,,,
46,07/10/15 11:15:00 PM,62.875,,,,
47,07/10/15 11:30:00 PM,62.791,,,,
48,07/10/15 11:45:00 PM,62.661,,,,
49,07/11/15 12:00:00 AM,62.533,,,,
50,07/11/15 12:15:00 AM,62.362,,,,
51,07/11/15 12:30:00 AM,62.233,,,,
52,07/11/15 12:45:00 AM,62.105,,,,
53,07/11/15 01:00:00 AM,61.977,,,,
54,07/11/15 01:15:00 AM,61.848,,,,
55,07/11/15 01:30:00 AM,61.677,,,,
56,07/11/15 01:45:00 AM,61.506,,,,
57,07/11/15 02:00:00 AM,61.376,,,,
58,07/11/15 02:15:00 AM,61.290,,,,
59,07/11/15 02:30:00 AM,61.205,,,,
60,07/11/15 02:45:00 AM,61.075,,,,
61,07/11/15 03:00:00 AM,60.904,,,,
62,07/11/15 03:15:00 AM,60.733,,,,
63,07/11/15 03:30:00 AM,60.647,,,,
64,07/11/15 03:45:00 AM,60.517,,,,
65,07/11/15 04:00:00 AM,60.390,,,,
66,07/11/15 04:15:00 AM,60.260,,,,
67,07/11/15 04:30:00 AM,60.174,,,,
68,07/11/15 04:45:00 AM,60.046,,,,
69,07/11/15 05:00:00 AM,59.959,,,,
70,07/11/15 05:15:00 AM,59.830,,,,
71,07/11/15 05:30:00 AM,59.745,,,,
72,07/11/15 05:45:00 AM,59.659,,,,
73,07/11/15 06:00:00 AM,59.616,,,,
74,07/11/15 06:15:00 AM,59.572,,,,
75,07/11/15 06:30:00 AM,59.529,,,,
76,07/11/15 06:45:00 AM,59.529,,,,
77,07/11/15 07:00:00 AM,59.445,,,,
78,07/11/15 07:15:00 AM,59.445,,,,
79,07/11/15 07:30:00 AM,59.445,,,,
80,07/11/15 07:45:00 AM,59.445,,,,
81,07/11/15 08:00:00 AM,59.486,,,,
82,07/11/15 08:15:00 AM,59.529,,,,
83,07/11/15 08:30:00 AM,59.572,,,,
84,07/11/15 08:45:00 AM,59.659,,,,
85,07/11/15 09:00:00 AM,59.788,,,,
86,07/11/15 09:15:00 AM,59.959,,,,
87,07/11/15 09:30:00 AM,60.217,,,,
88,07/11/15 09:45:00 AM,60.517,,,,
89,07/11/15 10:00:00 AM,60.861,,,,
90,07/11/15 10:15:00 AM,61.248,,,,
91,07/11/15 10:30:00 AM,61.720,,,,
92,07/11/15 10:45:00 AM,61.934,,,,
93,07/11/15 11:00:00 AM,62.362,,,,
94,07/11/15 11:15:00 AM,62.791,,,,
95,07/11/15 11:30:00 AM,63.304,,,,
96,07/11/15 11:45:00 AM,63.819,,,,
97,07/11/15 12:00:00 PM,64.332,,,,
98,07/11/15 12:15:00 PM,64.589,,,,
99,07/11/15 12:30:00 PM,65.145,,,,
100,07/11/15 12:45:00 PM,65.829,,,,
101,07/11/15 01:00:00 PM,66.515,,,,
102,07/11/15 01:15:00 PM,67.199,,,,
103,07/11/15 01:30:00 PM,67.798,,,,
104,07/11/15 01:45:00 PM,68.400,,,,
105,07/11/15 02:00:00 PM,68.999,,,,
106,07/11/15 02:15:00 PM,69.557,,,,
107,07/11/15 02:30:00 PM,70.115,,,,
108,07/11/15 02:45:00 PM,70.587,,,,
109,07/11/15 03:00:00 PM,71.060,,,,
110,07/11/15 03:15:00 PM,71.490,,,,
111,07/11/15 03:30:00 PM,71.920,,,,
112,07/11/15 03:45:00 PM,72.221,,,,
113,07/11/15 04:00:00 PM,72.480,,,,
114,07/11/15 04:15:00 PM,72.610,,,,
115,07/11/15 04:30:00 PM,72.739,,,,
116,07/11/15 04:45:00 PM,72.696,,,,
117,07/11/15 05:00:00 PM,72.653,,,,
118,07/11/15 05:15:00 PM,72.480,,,,
119,07/11/15 05:30:00 PM,72.178,,,,
120,07/11/15 05:45:00 PM,71.791,,,,
121,07/11/15 06:00:00 PM,71.447,,,,
122,07/11/15 06:15:00 PM,71.103,,,,
123,07/11/15 06:30:00 PM,70.716,,,,
124,07/11/15 06:45:00 PM,70.286,,,,
125,07/11/15 07:00:00 PM,69.858,,,,
126,07/11/15 07:15:00 PM,69.427,,,,
127,07/11/15 07:30:00 PM,69.042,,,,
128,07/11/15 07:45:00 PM,68.614,,,,
129,07/11/15 08:00:00 PM,68.270,,,,
130,07/11/15 08:15:00 PM,67.971,,,,
131,07/11/15 08:30:00 PM,67.671,,,,
132,07/11/15 08:45:00 PM,67.372,,,,
133,07/11/15 09:00:00 PM,67.028,,,,
134,07/11/15 09:15:00 PM,66.729,,,,
135,07/11/15 09:30:00 PM,66.429,,,,
136,07/11/15 09:45:00 PM,66.087,,,,
137,07/11/15 10:00:00 PM,65.745,,,,
138,07/11/15 10:15:00 PM,65.403,,,,
139,07/11/15 10:30:00 PM,65.059,,,,
140,07/11/15 10:45:00 PM,64.803,,,,
141,07/11/15 11:00:00 PM,64.503,,,,
142,07/11/15 11:15:00 PM,64.247,,,,
143,07/11/15 11:30:00 PM,63.946,,,,
144,07/11/15 11:45:00 PM,63.689,,,,
145,07/12/15 12:00:00 AM,63.475,,,,
146,07/12/15 12:15:00 AM,63.262,,,,
147,07/12/15 12:30:00 AM,63.090,,,,
148,07/12/15 12:45:00 AM,62.919,,,,
149,07/12/15 01:00:00 AM,62.791,,,,
150,07/12/15 01:15:00 AM,62.620,,,,
151,07/12/15 01:30:00 AM,62.490,,,,
152,07/12/15 01:45:00 AM,62.319,,,,
153,07/12/15 02:00:00 AM,62.148,,,,
154,07/12/15 02:15:00 AM,62.019,,,,
155,07/12/15 02:30:00 AM,61.848,,,,
156,07/12/15 02:45:00 AM,61.720,,,,
157,07/12/15 03:00:00 AM,61.590,,,,
158,07/12/15 03:15:00 AM,61.462,,,,
159,07/12/15 03:30:00 AM,61.333,,,,
160,07/12/15 03:45:00 AM,61.205,,,,
161,07/12/15 04:00:00 AM,61.075,,,,
162,07/12/15 04:15:00 AM,60.948,,,,
163,07/12/15 04:30:00 AM,60.818,,,,
164,07/12/15 04:45:00 AM,60.733,,,,
165,07/12/15 05:00:00 AM,60.604,,,,
166,07/12/15 05:15:00 AM,60.517,,,,
167,07/12/15 05:30:00 AM,60.433,,,,
168,07/12/15 05:45:00 AM,60.346,,,,
169,07/12/15 06:00:00 AM,60.303,,,,
170,07/12/15 06:15:00 AM,60.217,,,,
171,07/12/15 06:30:00 AM,60.174,,,,
172,07/12/15 06:45:00 AM,60.132,,,,
173,07/12/15 07:00:00 AM,60.089,,,,
174,07/12/15 07:15:00 AM,60.046,,,,
175,07/12/15 07:30:00 AM,60.046,,,,
176,07/12/15 07:45:00 AM,60.046,,,,
177,07/12/15 08:00:00 AM,60.003,,,,
178,07/12/15 08:15:00 AM,60.003,,,,
179,07/12/15 08:30:00 AM,60.046,,,,
180,07/12/15 08:45:00 AM,60.089,,,,
181,07/12/15 09:00:00 AM,60.217,,,,
182,07/12/15 09:15:00 AM,60.346,,,,
183,07/12/15 09:30:00 AM,60.561,,,,
184,07/12/15 09:45:00 AM,60.861,,,,
185,07/12/15 10:00:00 AM,61.162,,,,
186,07/12/15 10:15:00 AM,61.506,,,,
187,07/12/15 10:30:00 AM,61.891,,,,
188,07/12/15 10:45:00 AM,62.319,,,,
189,07/12/15 11:00:00 AM,62.704,,,,
190,07/12/15 11:15:00 AM,63.176,,,,
191,07/12/15 11:30:00 AM,63.604,,,,
192,07/12/15 11:45:00 AM,64.117,,,,
193,07/12/15 12:00:00 PM,64.632,,,,
194,07/12/15 12:15:00 PM,65.230,,,,
195,07/12/15 12:30:00 PM,65.872,,,,
196,07/12/15 12:45:00 PM,66.515,,,,
197,07/12/15 01:00:00 PM,67.158,,,,
198,07/12/15 01:15:00 PM,67.842,,,,
199,07/12/15 01:30:00 PM,68.484,,,,
200,07/12/15 01:45:00 PM,69.129,,,,
201,07/12/15 02:00:00 PM,69.771,,,,
202,07/12/15 02:15:00 PM,70.329,,,,
203,07/12/15 02:30:00 PM,70.887,,,,
204,07/12/15 02:45:00 PM,71.404,,,,
205,07/12/15 03:00:00 PM,71.834,,,,
206,07/12/15 03:15:00 PM,72.307,,,,
207,07/12/15 03:30:00 PM,72.653,,,,
208,07/12/15 03:45:00 PM,72.955,,,,
209,07/12/15 04:00:00 PM,73.170,,,,
210,07/12/15 04:15:00 PM,73.342,,,,
211,07/12/15 04:30:00 PM,73.429,,,,
212,07/12/15 04:45:00 PM,73.472,,,,
213,07/12/15 05:00:00 PM,73.342,,,,
214,07/12/15 05:15:00 PM,73.170,,,,
215,07/12/15 05:30:00 PM,72.869,,,,
216,07/12/15 05:45:00 PM,72.480,,,,
217,07/12/15 06:00:00 PM,72.093,,,,
218,07/12/15 06:15:00 PM,71.661,,,,
219,07/12/15 06:30:00 PM,71.190,,,,
220,07/12/15 06:45:00 PM,70.759,,,,
221,07/12/15 07:00:00 PM,70.286,,,,
222,07/12/15 07:15:00 PM,69.814,,,,
223,07/12/15 07:30:00 PM,69.386,,,,
224,07/12/15 07:45:00 PM,68.913,,,,
225,07/12/15 08:00:00 PM,68.527,,,,
226,07/12/15 08:15:00 PM,68.142,,,,
227,07/12/15 08:30:00 PM,67.798,,,,
228,07/12/15 08:45:00 PM,67.456,,,,
229,07/12/15 09:00:00 PM,67.071,,,,
230,07/12/15 09:15:00 PM,66.729,,,,
231,07/12/15 09:30:00 PM,66.344,,,,
232,07/12/15 09:45:00 PM,65.959,,,,
233,07/12/15 10:00:00 PM,65.574,,,,
234,07/12/15 10:15:00 PM,65.230,,,,
235,07/12/15 10:30:00 PM,64.888,,,,
236,07/12/15 10:45:00 PM,64.589,,,,
237,07/12/15 11:00:00 PM,64.332,,,,
238,07/12/15 11:15:00 PM,64.074,,,,
239,07/12/15 11:30:00 PM,63.775,,,,
240,07/12/15 11:45:00 PM,63.561,,,,
