Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2015,White-Hat,Chadron Creek (WMA),July,53.1,58.02074242,65.338,Coolwater,42.67873,-102.9989,
2015,White-Hat,Chadron Creek (WMA),August,52.576,57.46266263,63.626,Coolwater,42.67873,-102.9989,
2015,White-Hat,Chadron Creek (WMA),September,52.225,56.17145972,61.398,Coolwater,42.67873,-102.9989,
2015,White-Hat,Chadron Creek (WMA),October,49.228,53.91852957,58.476,Coolwater,42.67873,-102.9989,
2015,White-Hat,Chadron Creek (WMA),November,46.908,50.88882361,56.23,Coolwater,42.67873,-102.9989,
2015,White-Hat,Chadron Creek (WMA),December,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),January,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),February,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),March,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),April,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),May,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),June,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),July,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),August,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),September,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),October,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),November,NA,NA,NA,Coolwater,42.67873,-102.9989,
2016,White-Hat,Chadron Creek (WMA),December,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),January,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),February,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),March,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),April,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),May,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),June,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),July,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),August,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),September,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),October,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),November,NA,NA,NA,Coolwater,42.67873,-102.9989,
2017,White-Hat,Chadron Creek (WMA),December,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),January,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),February,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),March,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),April,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),May,NA,NA,NA,Coolwater,42.67873,-102.9989,
2018,White-Hat,Chadron Creek (WMA),June,NA,NA,NA,Coolwater,42.67873,-102.9989,
