"Plot Title: White River Swinging Bridge12-8-15(0936)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739506, SEN S/N: 10739506)","Coupler Detached (LGR S/N: 10739506)","Coupler Attached (LGR S/N: 10739506)","Host Connected (LGR S/N: 10739506)","Stopped (LGR S/N: 10739506)","End Of File (LGR S/N: 10739506)"
1,05/26/16 04:52:06 PM,67.586,Logged,,,,
2,05/26/16 05:07:06 PM,64.074,,,,,
3,05/26/16 05:22:06 PM,63.990,,,,,
4,05/26/16 05:37:06 PM,63.946,,,,,
5,05/26/16 05:52:06 PM,63.946,,,,,
6,05/26/16 06:07:06 PM,63.990,,,,,
7,05/26/16 06:22:06 PM,63.990,,,,,
8,05/26/16 06:37:06 PM,63.946,,,,,
9,05/26/16 06:52:06 PM,63.946,,,,,
10,05/26/16 07:07:06 PM,63.946,,,,,
11,05/26/16 07:22:06 PM,63.862,,,,,
12,05/26/16 07:37:06 PM,63.732,,,,,
13,05/26/16 07:52:06 PM,63.561,,,,,
14,05/26/16 08:07:06 PM,63.304,,,,,
15,05/26/16 08:22:06 PM,63.090,,,,,
16,05/26/16 08:37:06 PM,62.875,,,,,
17,05/26/16 08:52:06 PM,62.661,,,,,
18,05/26/16 09:07:06 PM,62.490,,,,,
19,05/26/16 09:22:06 PM,62.276,,,,,
20,05/26/16 09:37:06 PM,62.062,,,,,
21,05/26/16 09:52:06 PM,61.891,,,,,
22,05/26/16 10:07:06 PM,61.677,,,,,
23,05/26/16 10:22:06 PM,61.506,,,,,
24,05/26/16 10:37:06 PM,61.290,,,,,
25,05/26/16 10:52:06 PM,61.075,,,,,
26,05/26/16 11:07:06 PM,60.861,,,,,
27,05/26/16 11:22:06 PM,60.647,,,,,
28,05/26/16 11:37:06 PM,60.433,,,,,
29,05/26/16 11:52:06 PM,60.217,,,,,
30,05/27/16 12:07:06 AM,60.003,,,,,
31,05/27/16 12:22:06 AM,59.788,,,,,
32,05/27/16 12:37:06 AM,59.572,,,,,
33,05/27/16 12:52:06 AM,59.358,,,,,
34,05/27/16 01:07:06 AM,59.185,,,,,
35,05/27/16 01:22:06 AM,58.971,,,,,
36,05/27/16 01:37:06 AM,58.798,,,,,
37,05/27/16 01:52:06 AM,58.626,,,,,
38,05/27/16 02:07:06 AM,58.455,,,,,
39,05/27/16 02:22:06 AM,58.282,,,,,
40,05/27/16 02:37:06 AM,58.066,,,,,
41,05/27/16 02:52:06 AM,57.893,,,,,
42,05/27/16 03:07:06 AM,57.722,,,,,
43,05/27/16 03:22:06 AM,57.592,,,,,
44,05/27/16 03:37:06 AM,57.420,,,,,
45,05/27/16 03:52:06 AM,57.247,,,,,
46,05/27/16 04:07:06 AM,57.117,,,,,
47,05/27/16 04:22:06 AM,56.988,,,,,
48,05/27/16 04:37:06 AM,56.901,,,,,
49,05/27/16 04:52:06 AM,56.772,,,,,
50,05/27/16 05:07:06 AM,56.642,,,,,
51,05/27/16 05:22:06 AM,56.469,,,,,
52,05/27/16 05:37:06 AM,56.340,,,,,
53,05/27/16 05:52:06 AM,56.208,,,,,
54,05/27/16 06:07:06 AM,56.079,,,,,
55,05/27/16 06:22:06 AM,55.992,,,,,
56,05/27/16 06:37:06 AM,55.906,,,,,
57,05/27/16 06:52:06 AM,55.819,,,,,
58,05/27/16 07:07:06 AM,55.733,,,,,
59,05/27/16 07:22:06 AM,55.690,,,,,
60,05/27/16 07:37:06 AM,55.647,,,,,
61,05/27/16 07:52:06 AM,55.647,,,,,
62,05/27/16 08:07:06 AM,55.602,,,,,
63,05/27/16 08:22:06 AM,55.647,,,,,
64,05/27/16 08:37:06 AM,55.690,,,,,
65,05/27/16 08:52:06 AM,55.733,,,,,
66,05/27/16 09:07:06 AM,55.776,,,,,
67,05/27/16 09:22:06 AM,55.819,,,,,
68,05/27/16 09:37:06 AM,55.863,,,,,
69,05/27/16 09:52:06 AM,55.949,,,,,
70,05/27/16 10:07:06 AM,56.079,,,,,
71,05/27/16 10:22:06 AM,56.208,,,,,
72,05/27/16 10:37:06 AM,56.383,,,,,
73,05/27/16 10:52:06 AM,56.642,,,,,
74,05/27/16 11:07:06 AM,56.815,,,,,
75,05/27/16 11:22:06 AM,57.074,,,,,
76,05/27/16 11:37:06 AM,57.420,,,,,
77,05/27/16 11:52:06 AM,57.765,,,,,
78,05/27/16 12:07:06 PM,57.893,,,,,
79,05/27/16 12:22:06 PM,57.979,,,,,
80,05/27/16 12:37:06 PM,57.979,,,,,
81,05/27/16 12:52:06 PM,58.152,,,,,
82,05/27/16 01:07:06 PM,58.325,,,,,
83,05/27/16 01:22:06 PM,58.541,,,,,
84,05/27/16 01:37:06 PM,58.755,,,,,
85,05/27/16 01:52:06 PM,58.885,,,,,
86,05/27/16 02:07:06 PM,58.971,,,,,
87,05/27/16 02:22:06 PM,59.185,,,,,
88,05/27/16 02:37:06 PM,59.445,,,,,
89,05/27/16 02:52:06 PM,59.616,,,,,
90,05/27/16 03:07:06 PM,59.745,,,,,
91,05/27/16 03:22:06 PM,59.959,,,,,
92,05/27/16 03:37:06 PM,60.217,,,,,
93,05/27/16 03:52:06 PM,60.390,,,,,
94,05/27/16 04:07:06 PM,60.647,,,,,
95,05/27/16 04:22:06 PM,60.818,,,,,
96,05/27/16 04:37:06 PM,60.861,,,,,
97,05/27/16 04:52:06 PM,60.904,,,,,
98,05/27/16 05:07:06 PM,60.948,,,,,
99,05/27/16 05:22:06 PM,61.032,,,,,
100,05/27/16 05:37:06 PM,61.075,,,,,
101,05/27/16 05:52:06 PM,61.075,,,,,
102,05/27/16 06:07:06 PM,61.032,,,,,
103,05/27/16 06:22:06 PM,60.991,,,,,
104,05/27/16 06:37:06 PM,60.991,,,,,
105,05/27/16 06:52:06 PM,61.032,,,,,
106,05/27/16 07:07:06 PM,61.032,,,,,
107,05/27/16 07:22:06 PM,60.948,,,,,
108,05/27/16 07:37:06 PM,60.818,,,,,
109,05/27/16 07:52:06 PM,60.733,,,,,
110,05/27/16 08:07:06 PM,60.604,,,,,
111,05/27/16 08:22:06 PM,60.517,,,,,
112,05/27/16 08:37:06 PM,60.433,,,,,
113,05/27/16 08:52:06 PM,60.303,,,,,
114,05/27/16 09:07:06 PM,60.132,,,,,
115,05/27/16 09:22:06 PM,60.003,,,,,
116,05/27/16 09:37:06 PM,59.830,,,,,
117,05/27/16 09:52:06 PM,59.659,,,,,
118,05/27/16 10:07:06 PM,59.486,,,,,
119,05/27/16 10:22:06 PM,59.315,,,,,
120,05/27/16 10:37:06 PM,59.142,,,,,
121,05/27/16 10:52:06 PM,58.971,,,,,
122,05/27/16 11:07:06 PM,58.755,,,,,
123,05/27/16 11:22:06 PM,58.541,,,,,
124,05/27/16 11:37:06 PM,58.325,,,,,
125,05/27/16 11:52:06 PM,58.109,,,,,
126,05/28/16 12:07:06 AM,57.936,,,,,
127,05/28/16 12:22:06 AM,57.722,,,,,
128,05/28/16 12:37:06 AM,57.463,,,,,
129,05/28/16 12:52:06 AM,57.247,,,,,
130,05/28/16 01:07:06 AM,57.031,,,,,
131,05/28/16 01:22:06 AM,56.858,,,,,
132,05/28/16 01:37:06 AM,56.685,,,,,
133,05/28/16 01:52:06 AM,56.512,,,,,
134,05/28/16 02:07:06 AM,56.340,,,,,
135,05/28/16 02:22:06 AM,56.165,,,,,
136,05/28/16 02:37:06 AM,55.992,,,,,
137,05/28/16 02:52:06 AM,55.819,,,,,
138,05/28/16 03:07:06 AM,55.647,,,,,
139,05/28/16 03:22:06 AM,55.472,,,,,
140,05/28/16 03:37:06 AM,55.299,,,,,
141,05/28/16 03:52:06 AM,55.125,,,,,
142,05/28/16 04:07:06 AM,54.952,,,,,
143,05/28/16 04:22:06 AM,54.777,,,,,
144,05/28/16 04:37:06 AM,54.604,,,,,
145,05/28/16 04:52:06 AM,54.473,,,,,
146,05/28/16 05:07:06 AM,54.300,,,,,
147,05/28/16 05:22:06 AM,54.126,,,,,
148,05/28/16 05:37:06 AM,53.951,,,,,
149,05/28/16 05:52:06 AM,53.776,,,,,
150,05/28/16 06:07:06 AM,53.602,,,,,
151,05/28/16 06:22:06 AM,53.427,,,,,
152,05/28/16 06:37:06 AM,53.298,,,,,
153,05/28/16 06:52:06 AM,53.209,,,,,
154,05/28/16 07:07:06 AM,53.121,,,,,
155,05/28/16 07:22:06 AM,53.078,,,,,
156,05/28/16 07:37:06 AM,53.035,,,,,
157,05/28/16 07:52:06 AM,53.078,,,,,
158,05/28/16 08:07:06 AM,53.121,,,,,
159,05/28/16 08:22:06 AM,53.209,,,,,
160,05/28/16 08:37:06 AM,53.341,,,,,
161,05/28/16 08:52:06 AM,53.559,,,,,
162,05/28/16 09:07:06 AM,53.733,,,,,
163,05/28/16 09:22:06 AM,53.994,,,,,
164,05/28/16 09:37:06 AM,54.300,,,,,
165,05/28/16 09:52:06 AM,54.604,,,,,
166,05/28/16 10:07:06 AM,54.995,,,,,
167,05/28/16 10:22:06 AM,55.386,,,,,
168,05/28/16 10:37:06 AM,55.819,,,,,
169,05/28/16 10:52:06 AM,56.251,,,,,
170,05/28/16 11:07:06 AM,56.772,,,,,
171,05/28/16 11:22:06 AM,57.247,,,,,
172,05/28/16 11:37:06 AM,57.506,,,,,
173,05/28/16 11:52:06 AM,57.679,,,,,
174,05/28/16 12:07:06 PM,57.936,,,,,
175,05/28/16 12:22:06 PM,58.066,,,,,
176,05/28/16 12:37:06 PM,58.282,,,,,
177,05/28/16 12:52:06 PM,58.282,,,,,
178,05/28/16 01:07:06 PM,58.239,,,,,
