"Plot Title: Bone #3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719037, SEN S/N: 10719037)","Coupler Detached (LGR S/N: 10719037)","Coupler Attached (LGR S/N: 10719037)","Stopped (LGR S/N: 10719037)","End Of File (LGR S/N: 10719037)"
1,07/10/15 12:00:00 PM,68.785,Logged,,,
2,07/10/15 12:15:00 PM,68.956,,,,
3,07/10/15 12:30:00 PM,69.042,,,,
4,07/10/15 12:45:00 PM,69.256,,,,
5,07/10/15 01:00:00 PM,69.600,,,,
6,07/10/15 01:15:00 PM,69.858,,,,
7,07/10/15 01:30:00 PM,70.416,,,,
8,07/10/15 01:45:00 PM,70.759,,,,
9,07/10/15 02:00:00 PM,70.974,,,,
10,07/10/15 02:15:00 PM,71.190,,,,
11,07/10/15 02:30:00 PM,71.447,,,,
12,07/10/15 02:45:00 PM,71.834,,,,
13,07/10/15 03:00:00 PM,72.307,,,,
14,07/10/15 03:15:00 PM,72.696,,,,
15,07/10/15 03:30:00 PM,72.997,,,,
16,07/10/15 03:45:00 PM,73.256,,,,
17,07/10/15 04:00:00 PM,73.515,,,,
18,07/10/15 04:15:00 PM,73.688,,,,
19,07/10/15 04:30:00 PM,73.861,,,,
20,07/10/15 04:45:00 PM,74.034,,,,
21,07/10/15 05:00:00 PM,74.424,,,,
22,07/10/15 05:15:00 PM,74.554,,,,
23,07/10/15 05:30:00 PM,74.683,,,,
24,07/10/15 05:45:00 PM,74.813,,,,
25,07/10/15 06:00:00 PM,74.727,,,,
26,07/10/15 06:15:00 PM,74.597,,,,
27,07/10/15 06:30:00 PM,74.381,,,,
28,07/10/15 06:45:00 PM,74.206,,,,
29,07/10/15 07:00:00 PM,73.990,,,,
30,07/10/15 07:15:00 PM,73.774,,,,
31,07/10/15 07:30:00 PM,73.645,,,,
32,07/10/15 07:45:00 PM,73.472,,,,
33,07/10/15 08:00:00 PM,73.299,,,,
34,07/10/15 08:15:00 PM,73.126,,,,
35,07/10/15 08:30:00 PM,72.783,,,,
