	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
21-Jul	60.883	63.455	61.818875	2.572	61.655
22-Jul	59.851	67.392	63.45254167	7.541	63.112
23-Jul	61.227	67.392	64.37408333	6.165	64.3955
24-Jul	61.227	70.651	65.466625	9.424	64.653
25-Jul	63.455	68.592	65.737375	5.137	65.68
26-Jul	61.912	69.622	65.65875	7.71	66.708
27-Jul	62.425	70.48	66.06604167	8.055	65.9365
28-Jul	59.68	64.825	62.48933333	5.145	62.5115
29-Jul	56.577	65.68	61.456	9.103	62.5115
30-Jul	58.647	66.708	62.73791667	8.061	62.426
31-Jul	59.851	67.05	63.30304167	7.199	63.1975
1-Aug	60.368	66.879	63.43891667	6.511	63.3685
2-Aug	60.712	68.763	65.05908333	8.051	65.167
3-Aug	62.083	66.366	64.41704167	4.283	64.3955
4-Aug	60.712	66.022	63.81033333	5.31	64.0535
5-Aug	60.024	67.05	63.44583333	7.026	63.111
6-Aug	61.054	66.022	63.64633333	4.968	63.7115
7-Aug	58.647	64.139	61.47391667	5.492	61.9115
8-Aug	60.712	66.193	63.424625	5.481	63.454
9-Aug	62.083	67.906	65.13770833	5.823	65.167
10-Aug	61.569	68.077	64.90925	6.508	65.0805
11-Aug	63.797	69.964	66.86516667	6.167	66.9645
12-Aug	63.968	70.308	66.97241667	6.34	66.7935
13-Aug	64.481	70.308	67.300625	5.827	67.05
14-Aug	62.94	69.107	66.17983333	6.167	66.2795
15-Aug	64.652	70.824	67.24379167	6.172	66.879
16-Aug	63.797	66.879	65.34495833	3.082	65.5945
17-Aug	60.712	64.996	61.91870833	4.284	61.655
18-Aug	56.923	60.024	58.46775	3.101	58.476
19-Aug	55.537	60.712	57.76758333	5.175	57.527
20-Aug	55.711	62.083	58.76508333	6.372	58.3025
21-Aug	57.096	64.481	60.299125	7.385	59.6805
22-Aug	57.096	61.569	59.471625	4.473	59.337
23-Aug	53.798	59.68	56.831375	5.882	56.75
24-Aug	54.147	61.227	57.693125	7.08	57.0955
25-Aug	56.057	63.455	59.739375	7.398	59.25
26-Aug					
27-Aug					
28-Aug					
29-Aug					
30-Aug					
31-Aug					
1-Sep					
2-Sep					
3-Sep					
4-Sep					
5-Sep					
6-Sep					
7-Sep					
8-Sep					
9-Sep					
10-Sep					
11-Sep					
12-Sep					
13-Sep					
14-Sep					
15-Sep					
16-Sep					
17-Sep					
18-Sep					
19-Sep					
20-Sep					
21-Sep					
22-Sep					
23-Sep					
24-Sep					
25-Sep					
26-Sep					
27-Sep					
28-Sep					
29-Sep					
30-Sep					
1-Oct					
2-Oct					
3-Oct					
4-Oct					
5-Oct					
6-Oct					
7-Oct					
8-Oct					
9-Oct					
10-Oct					
11-Oct					
12-Oct					
13-Oct					
14-Oct					
15-Oct					
16-Oct					
17-Oct					
18-Oct					
19-Oct					
20-Oct					
21-Oct					
22-Oct					
23-Oct					
24-Oct					
25-Oct					
26-Oct					
27-Oct					
28-Oct					
29-Oct					
30-Oct					
31-Oct					
1-Nov					
2-Nov					
3-Nov					
4-Nov					
5-Nov					
6-Nov					
7-Nov					
8-Nov					
9-Nov					
10-Nov					
11-Nov					
12-Nov					
13-Nov					
14-Nov					
15-Nov					
16-Nov					
17-Nov					
18-Nov					
19-Nov					
20-Nov					
21-Nov					
22-Nov					
23-Nov					
24-Nov					
25-Nov					
26-Nov					
27-Nov					
28-Nov					
29-Nov					
30-Nov					
1-Dec					
2-Dec					
3-Dec					
4-Dec					
5-Dec					
6-Dec					
7-Dec					
8-Dec					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
