"Plot Title: Chadron Creek- CSP Above Discharge"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612901, SEN S/N: 10612901)","Coupler Attached (LGR S/N: 10612901)","Host Connected (LGR S/N: 10612901)","Stopped (LGR S/N: 10612901)","End Of File (LGR S/N: 10612901)"
1,07/10/15 12:00:00 AM,58.476,,,,
2,07/10/15 01:00:00 AM,57.958,,,,
3,07/10/15 02:00:00 AM,57.614,,,,
4,07/10/15 03:00:00 AM,57.268,,,,
5,07/10/15 04:00:00 AM,56.923,,,,
6,07/10/15 05:00:00 AM,56.750,,,,
7,07/10/15 06:00:00 AM,56.577,,,,
8,07/10/15 07:00:00 AM,56.577,,,,
9,07/10/15 08:00:00 AM,56.577,,,,
10,07/10/15 09:00:00 AM,57.096,,,,
11,07/10/15 10:00:00 AM,57.441,,,,
12,07/10/15 11:00:00 AM,57.785,,,,
13,07/10/15 12:00:00 PM,58.131,,,,
14,07/10/15 01:00:00 PM,58.303,,,,
15,07/10/15 02:00:00 PM,59.164,,,,
16,07/10/15 03:00:00 PM,61.227,,,,
17,07/10/15 04:00:00 PM,62.598,,,,
18,07/10/15 05:00:00 PM,63.282,,,,
19,07/10/15 06:00:00 PM,63.111,,,,
20,07/10/15 07:00:00 PM,62.425,,,,
21,07/10/15 08:00:00 PM,61.569,,,,
22,07/10/15 09:00:00 PM,60.712,,,,
23,07/10/15 10:00:00 PM,60.024,,,,
24,07/10/15 11:00:00 PM,59.508,,,,
25,07/11/15 12:00:00 AM,58.820,,,,
26,07/11/15 01:00:00 AM,58.131,,,,
27,07/11/15 02:00:00 AM,57.614,,,,
28,07/11/15 03:00:00 AM,57.268,,,,
29,07/11/15 04:00:00 AM,57.096,,,,
30,07/11/15 05:00:00 AM,56.923,,,,
31,07/11/15 06:00:00 AM,56.577,,,,
32,07/11/15 07:00:00 AM,56.057,,,,
33,07/11/15 08:00:00 AM,56.230,,,,
34,07/11/15 09:00:00 AM,56.923,,,,
35,07/11/15 10:00:00 AM,57.785,,,,
36,07/11/15 11:00:00 AM,58.993,,,,
37,07/11/15 12:00:00 PM,60.712,,,,
38,07/11/15 01:00:00 PM,62.598,,,,
39,07/11/15 02:00:00 PM,64.825,,,,
40,07/11/15 03:00:00 PM,66.022,,,,
41,07/11/15 04:00:00 PM,66.366,,,,
42,07/11/15 05:00:00 PM,66.708,,,,
43,07/11/15 06:00:00 PM,66.366,,,,
44,07/11/15 07:00:00 PM,65.680,,,,
45,07/11/15 08:00:00 PM,64.652,,,,
46,07/11/15 09:00:00 PM,63.455,,,,
47,07/11/15 10:00:00 PM,62.425,,,,
48,07/11/15 11:00:00 PM,61.569,,,,
49,07/12/15 12:00:00 AM,60.712,,,,
50,07/12/15 01:00:00 AM,59.851,,,,
51,07/12/15 02:00:00 AM,58.993,,,,
52,07/12/15 03:00:00 AM,58.476,,,,
53,07/12/15 04:00:00 AM,57.785,,,,
54,07/12/15 05:00:00 AM,57.096,,,,
55,07/12/15 06:00:00 AM,56.750,,,,
56,07/12/15 07:00:00 AM,56.577,,,,
57,07/12/15 08:00:00 AM,56.750,,,,
58,07/12/15 09:00:00 AM,57.441,,,,
59,07/12/15 10:00:00 AM,58.131,,,,
60,07/12/15 11:00:00 AM,59.508,,,,
61,07/12/15 12:00:00 PM,61.227,,,,
62,07/12/15 01:00:00 PM,63.111,,,,
63,07/12/15 02:00:00 PM,65.167,,,,
64,07/12/15 03:00:00 PM,66.537,,,,
65,07/12/15 04:00:00 PM,67.050,,,,
66,07/12/15 05:00:00 PM,67.564,,,,
67,07/12/15 06:00:00 PM,67.050,,,,
68,07/12/15 07:00:00 PM,66.022,,,,
69,07/12/15 08:00:00 PM,64.996,,,,
70,07/12/15 09:00:00 PM,63.968,,,,
71,07/12/15 10:00:00 PM,62.940,,,,
72,07/12/15 11:00:00 PM,61.912,,,,
73,07/13/15 12:00:00 AM,60.712,,,,
74,07/13/15 01:00:00 AM,59.680,,,,
75,07/13/15 02:00:00 AM,58.820,,,,
76,07/13/15 03:00:00 AM,57.958,,,,
77,07/13/15 04:00:00 AM,57.268,,,,
78,07/13/15 05:00:00 AM,56.750,,,,
79,07/13/15 06:00:00 AM,56.057,,,,
80,07/13/15 07:00:00 AM,55.884,,,,
81,07/13/15 08:00:00 AM,56.057,,,,
82,07/13/15 09:00:00 AM,56.577,,,,
83,07/13/15 10:00:00 AM,57.441,,,,
84,07/13/15 11:00:00 AM,58.476,,,,
85,07/13/15 12:00:00 PM,59.680,,,,
86,07/13/15 01:00:00 PM,61.912,,,,
87,07/13/15 02:00:00 PM,64.139,,,,
88,07/13/15 03:00:00 PM,65.680,,,,
89,07/13/15 04:00:00 PM,66.366,,,,
90,07/13/15 05:00:00 PM,67.050,,,,
91,07/13/15 06:00:00 PM,66.708,,,,
92,07/13/15 07:00:00 PM,66.022,,,,
93,07/13/15 08:00:00 PM,64.825,,,,
94,07/13/15 09:00:00 PM,63.626,,,,
95,07/13/15 10:00:00 PM,62.598,,,,
96,07/13/15 11:00:00 PM,61.569,,,,
97,07/14/15 12:00:00 AM,60.539,,,,
98,07/14/15 01:00:00 AM,59.508,,,,
99,07/14/15 02:00:00 AM,58.647,,,,
100,07/14/15 03:00:00 AM,57.958,,,,
101,07/14/15 04:00:00 AM,57.441,,,,
102,07/14/15 05:00:00 AM,56.750,,,,
103,07/14/15 06:00:00 AM,56.230,,,,
104,07/14/15 07:00:00 AM,56.057,,,,
105,07/14/15 08:00:00 AM,56.230,,,,
106,07/14/15 09:00:00 AM,56.750,,,,
107,07/14/15 10:00:00 AM,57.614,,,,
108,07/14/15 11:00:00 AM,58.993,,,,
109,07/14/15 12:00:00 PM,60.368,,,,
110,07/14/15 01:00:00 PM,62.254,,,,
111,07/14/15 02:00:00 PM,64.310,,,,
112,07/14/15 03:00:00 PM,65.680,,,,
113,07/14/15 04:00:00 PM,66.366,,,,
114,07/14/15 05:00:00 PM,66.879,,,,
115,07/14/15 06:00:00 PM,66.708,,,,
116,07/14/15 07:00:00 PM,65.851,,,,
117,07/14/15 08:00:00 PM,64.825,,,,
118,07/14/15 09:00:00 PM,63.797,,,,
119,07/14/15 10:00:00 PM,63.111,,,,
120,07/14/15 11:00:00 PM,62.598,,,,
121,07/15/15 12:00:00 AM,61.912,,,,
122,07/15/15 01:00:00 AM,61.227,,,,
123,07/15/15 02:00:00 AM,60.539,,,,
124,07/15/15 03:00:00 AM,59.851,,,,
125,07/15/15 04:00:00 AM,59.337,,,,
126,07/15/15 05:00:00 AM,58.993,,,,
127,07/15/15 06:00:00 AM,58.476,,,,
128,07/15/15 07:00:00 AM,58.303,,,,
129,07/15/15 08:00:00 AM,58.303,,,,
130,07/15/15 09:00:00 AM,58.131,,,,
131,07/15/15 10:00:00 AM,58.476,,,,
132,07/15/15 11:00:00 AM,58.820,,,,
133,07/15/15 12:00:00 PM,59.337,,,,
134,07/15/15 01:00:00 PM,59.851,,,,
135,07/15/15 02:00:00 PM,61.398,,,,
136,07/15/15 03:00:00 PM,63.455,,,,
137,07/15/15 04:00:00 PM,63.626,,,,
138,07/15/15 05:00:00 PM,64.139,,,,
139,07/15/15 06:00:00 PM,63.282,,,,
140,07/15/15 07:00:00 PM,62.769,,,,
141,07/15/15 08:00:00 PM,61.912,,,,
142,07/15/15 09:00:00 PM,61.398,,,,
143,07/15/15 10:00:00 PM,60.712,,,,
144,07/15/15 11:00:00 PM,60.024,,,,
145,07/16/15 12:00:00 AM,59.337,,,,
146,07/16/15 01:00:00 AM,58.820,,,,
147,07/16/15 02:00:00 AM,58.131,,,,
148,07/16/15 03:00:00 AM,57.614,,,,
149,07/16/15 04:00:00 AM,57.096,,,,
150,07/16/15 05:00:00 AM,56.750,,,,
151,07/16/15 06:00:00 AM,56.230,,,,
152,07/16/15 07:00:00 AM,56.057,,,,
153,07/16/15 08:00:00 AM,56.230,,,,
154,07/16/15 09:00:00 AM,56.577,,,,
155,07/16/15 10:00:00 AM,57.441,,,,
156,07/16/15 11:00:00 AM,58.647,,,,
157,07/16/15 12:00:00 PM,60.368,,,,
158,07/16/15 01:00:00 PM,62.254,,,,
159,07/16/15 02:00:00 PM,64.139,,,,
160,07/16/15 03:00:00 PM,65.338,,,,
161,07/16/15 04:00:00 PM,65.851,,,,
162,07/16/15 05:00:00 PM,66.366,,,,
163,07/16/15 06:00:00 PM,66.193,,,,
