"Plot Title: Dry #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719028, SEN S/N: 10719028)","Coupler Detached (LGR S/N: 10719028)","Coupler Attached (LGR S/N: 10719028)","Stopped (LGR S/N: 10719028)","End Of File (LGR S/N: 10719028)"
1,07/10/15 12:00:00 PM,71.748,Logged,,,
2,07/10/15 12:15:00 PM,71.964,,,,
3,07/10/15 12:30:00 PM,72.136,,,,
4,07/10/15 12:45:00 PM,72.394,,,,
5,07/10/15 01:00:00 PM,72.739,,,,
6,07/10/15 01:15:00 PM,73.256,,,,
7,07/10/15 01:30:00 PM,73.472,,,,
8,07/10/15 01:45:00 PM,73.645,,,,
9,07/10/15 02:00:00 PM,73.947,,,,
10,07/10/15 02:15:00 PM,74.250,,,,
11,07/10/15 02:30:00 PM,74.467,,,,
12,07/10/15 02:45:00 PM,74.683,,,,
13,07/10/15 03:00:00 PM,75.074,,,,
14,07/10/15 03:15:00 PM,75.463,,,,
15,07/10/15 03:30:00 PM,75.810,,,,
16,07/10/15 03:45:00 PM,76.158,,,,
17,07/10/15 04:00:00 PM,76.593,,,,
18,07/10/15 04:15:00 PM,76.986,,,,
19,07/10/15 04:30:00 PM,77.203,,,,
20,07/10/15 04:45:00 PM,77.553,,,,
21,07/10/15 05:00:00 PM,77.815,,,,
22,07/10/15 05:15:00 PM,77.945,,,,
23,07/10/15 05:30:00 PM,78.121,,,,
24,07/10/15 05:45:00 PM,78.208,,,,
25,07/10/15 06:00:00 PM,78.251,,,,
26,07/10/15 06:15:00 PM,78.251,,,,
27,07/10/15 06:30:00 PM,78.121,,,,
28,07/10/15 06:45:00 PM,77.945,,,,
29,07/10/15 07:00:00 PM,77.770,,,,
30,07/10/15 07:15:00 PM,77.727,,,,
31,07/10/15 07:30:00 PM,77.509,,,,
32,07/10/15 07:45:00 PM,77.247,,,,
33,07/10/15 08:00:00 PM,76.854,,,,
34,07/10/15 08:15:00 PM,76.464,,,,
35,07/10/15 08:30:00 PM,76.375,,,,
36,07/10/15 08:45:00 PM,76.158,,,,
37,07/10/15 09:00:00 PM,75.724,,,,
38,07/10/15 09:15:00 PM,75.376,,,,
39,07/10/15 09:30:00 PM,75.204,,,,
40,07/10/15 09:45:00 PM,74.899,,,,
41,07/10/15 10:00:00 PM,74.467,,,,
42,07/10/15 10:15:00 PM,74.206,,,,
43,07/10/15 10:30:00 PM,74.034,,,,
44,07/10/15 10:45:00 PM,73.904,,,,
45,07/10/15 11:00:00 PM,73.645,,,,
