"Plot Title: Evergreen #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719027, SEN S/N: 10719027)","Coupler Detached (LGR S/N: 10719027)","Coupler Attached (LGR S/N: 10719027)","Host Connected (LGR S/N: 10719027)","Stopped (LGR S/N: 10719027)","End Of File (LGR S/N: 10719027)"
1,07/10/15 12:00:00 PM,91.402,Logged,,,,
2,07/10/15 12:15:00 PM,92.244,,,,,
3,07/10/15 12:30:00 PM,93.045,,,,,
4,07/10/15 12:45:00 PM,93.992,,,,,
5,07/10/15 01:00:00 PM,95.184,,,,,
6,07/10/15 01:15:00 PM,96.530,,,,,
7,07/10/15 01:30:00 PM,97.648,,,,,
8,07/10/15 01:45:00 PM,98.676,,,,,
9,07/10/15 02:00:00 PM,99.662,,,,,
10,07/10/15 02:15:00 PM,100.557,,,,,
11,07/10/15 02:30:00 PM,101.107,,,,,
12,07/10/15 02:45:00 PM,101.458,,,,,
13,07/10/15 03:00:00 PM,101.862,,,,,
14,07/10/15 03:15:00 PM,102.214,,,,,
15,07/10/15 03:30:00 PM,102.519,,,,,
16,07/10/15 03:45:00 PM,102.722,,,,,
17,07/10/15 04:00:00 PM,102.925,,,,,
18,07/10/15 04:15:00 PM,103.384,,,,,
19,07/10/15 04:30:00 PM,103.948,,,,,
20,07/10/15 04:45:00 PM,104.515,,,,,
21,07/10/15 05:00:00 PM,104.979,,,,,
22,07/10/15 05:15:00 PM,105.447,,,,,
23,07/10/15 05:30:00 PM,105.813,,,,,
24,07/10/15 05:45:00 PM,106.336,,,,,
25,07/10/15 06:00:00 PM,106.756,,,,,
26,07/10/15 06:15:00 PM,107.179,,,,,
27,07/10/15 06:30:00 PM,107.656,,,,,
28,07/10/15 06:45:00 PM,108.028,,,,,
29,07/10/15 07:00:00 PM,107.974,,,,,
30,07/10/15 07:15:00 PM,107.285,,,,,
31,07/10/15 07:30:00 PM,106.126,,,,,
32,07/10/15 07:45:00 PM,104.772,,,,,
33,07/10/15 08:00:00 PM,103.282,,,,,
34,07/10/15 08:15:00 PM,101.710,,,,,
35,07/10/15 08:30:00 PM,100.159,,,,,
36,07/10/15 08:45:00 PM,98.577,,,,,
37,07/10/15 09:00:00 PM,97.063,,,,,
38,07/10/15 09:15:00 PM,95.567,,,,,
39,07/10/15 09:30:00 PM,94.134,,,,,
40,07/10/15 09:45:00 PM,92.763,,,,,
41,07/10/15 10:00:00 PM,91.495,,,,,
42,07/10/15 10:15:00 PM,90.286,,,,,
43,07/10/15 10:30:00 PM,89.132,,,,,
44,07/10/15 10:45:00 PM,88.075,,,,,
45,07/10/15 11:00:00 PM,87.118,,,,,
46,07/10/15 11:15:00 PM,86.211,,,,,
47,07/10/15 11:30:00 PM,85.307,,,,,
48,07/10/15 11:45:00 PM,84.362,,,,,
49,07/11/15 12:00:00 AM,83.467,,,,,
50,07/11/15 12:15:00 AM,82.620,,,,,
51,07/11/15 12:30:00 AM,81.775,,,,,
52,07/11/15 12:45:00 AM,80.935,,,,,
53,07/11/15 01:00:00 AM,80.139,,,,,
54,07/11/15 01:15:00 AM,79.392,,,,,
55,07/11/15 01:30:00 AM,78.645,,,,,
56,07/11/15 01:45:00 AM,77.945,,,,,
57,07/11/15 02:00:00 AM,77.247,,,,,
58,07/11/15 02:15:00 AM,76.636,,,,,
59,07/11/15 02:30:00 AM,76.028,,,,,
60,07/11/15 02:45:00 AM,75.463,,,,,
61,07/11/15 03:00:00 AM,74.899,,,,,
62,07/11/15 03:15:00 AM,74.295,,,,,
63,07/11/15 03:30:00 AM,73.731,,,,,
64,07/11/15 03:45:00 AM,73.170,,,,,
65,07/11/15 04:00:00 AM,72.567,,,,,
66,07/11/15 04:15:00 AM,72.050,,,,,
67,07/11/15 04:30:00 AM,71.533,,,,,
68,07/11/15 04:45:00 AM,71.103,,,,,
69,07/11/15 05:00:00 AM,70.716,,,,,
70,07/11/15 05:15:00 AM,70.416,,,,,
71,07/11/15 05:30:00 AM,70.158,,,,,
72,07/11/15 05:45:00 AM,69.942,,,,,
73,07/11/15 06:00:00 AM,69.728,,,,,
74,07/11/15 06:15:00 AM,69.471,,,,,
75,07/11/15 06:30:00 AM,69.300,,,,,
76,07/11/15 06:45:00 AM,69.129,,,,,
77,07/11/15 07:00:00 AM,69.085,,,,,
78,07/11/15 07:15:00 AM,69.213,,,,,
79,07/11/15 07:30:00 AM,69.514,,,,,
80,07/11/15 07:45:00 AM,70.158,,,,,
81,07/11/15 08:00:00 AM,71.103,,,,,
82,07/11/15 08:15:00 AM,72.437,,,,,
83,07/11/15 08:30:00 AM,74.034,,,,,
84,07/11/15 08:45:00 AM,75.942,,,,,
85,07/11/15 09:00:00 AM,77.945,,,,,
86,07/11/15 09:15:00 AM,80.139,,,,,
87,07/11/15 09:30:00 AM,82.353,,,,,
88,07/11/15 09:45:00 AM,84.497,,,,,
89,07/11/15 10:00:00 AM,86.527,,,,,
90,07/11/15 10:15:00 AM,88.488,,,,,
91,07/11/15 10:30:00 AM,90.286,,,,,
92,07/11/15 10:45:00 AM,92.010,,,,,
93,07/11/15 11:00:00 AM,93.564,,,,,
94,07/11/15 11:15:00 AM,94.944,,,,,
95,07/11/15 11:30:00 AM,96.192,,,,,
96,07/11/15 11:45:00 AM,97.306,,,,,
97,07/11/15 12:00:00 PM,98.380,,,,,
98,07/11/15 12:15:00 PM,99.563,,,,,
99,07/11/15 12:30:00 PM,100.706,,,,,
100,07/11/15 12:45:00 PM,101.862,,,,,
101,07/11/15 01:00:00 PM,103.181,,,,,
102,07/11/15 01:15:00 PM,104.515,,,,,
103,07/11/15 01:30:00 PM,105.813,,,,,
104,07/11/15 01:45:00 PM,107.073,,,,,
