"Plot Title: Gordon Creek 3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739568, SEN S/N: 10739568)","Coupler Detached (LGR S/N: 10739568)","Coupler Attached (LGR S/N: 10739568)","Host Connected (LGR S/N: 10739568)","Stopped (LGR S/N: 10739568)","End Of File (LGR S/N: 10739568)"
1,07/09/15 12:00:00 PM,79.788,Logged,,,,
2,07/09/15 12:15:00 PM,81.111,,,,,
3,07/09/15 12:30:00 PM,82.441,,,,,
4,07/09/15 12:45:00 PM,83.869,,,,,
5,07/09/15 01:00:00 PM,85.307,,,,,
6,07/09/15 01:15:00 PM,86.799,,,,,
7,07/09/15 01:30:00 PM,87.757,,,,,
8,07/09/15 01:45:00 PM,86.754,,,,,
9,07/09/15 02:00:00 PM,83.914,,,,,
10,07/09/15 02:15:00 PM,83.869,,,,,
11,07/09/15 02:30:00 PM,83.377,,,,,
12,07/09/15 02:45:00 PM,81.376,,,,,
13,07/09/15 03:00:00 PM,67.671,,,,,
14,07/09/15 03:15:00 PM,66.943,,,,,
15,07/09/15 03:30:00 PM,67.158,,,,,
16,07/09/15 03:45:00 PM,67.413,,,,,
17,07/09/15 04:00:00 PM,67.671,,,,,
18,07/09/15 04:15:00 PM,67.885,,,,,
19,07/09/15 04:30:00 PM,68.056,,,,,
20,07/09/15 04:45:00 PM,68.270,,,,,
21,07/09/15 05:00:00 PM,68.527,,,,,
22,07/09/15 05:15:00 PM,68.698,,,,,
23,07/09/15 05:30:00 PM,68.913,,,,,
24,07/09/15 05:45:00 PM,69.042,,,,,
25,07/09/15 06:00:00 PM,69.129,,,,,
26,07/09/15 06:15:00 PM,69.213,,,,,
27,07/09/15 06:30:00 PM,69.300,,,,,
28,07/09/15 06:45:00 PM,69.343,,,,,
29,07/09/15 07:00:00 PM,69.386,,,,,
30,07/09/15 07:15:00 PM,69.427,,,,,
31,07/09/15 07:30:00 PM,69.514,,,,,
32,07/09/15 07:45:00 PM,69.643,,,,,
33,07/09/15 08:00:00 PM,69.643,,,,,
34,07/09/15 08:15:00 PM,69.557,,,,,
35,07/09/15 08:30:00 PM,69.471,,,,,
36,07/09/15 08:45:00 PM,69.343,,,,,
37,07/09/15 09:00:00 PM,69.256,,,,,
38,07/09/15 09:15:00 PM,69.170,,,,,
39,07/09/15 09:30:00 PM,69.085,,,,,
40,07/09/15 09:45:00 PM,69.042,,,,,
41,07/09/15 10:00:00 PM,68.956,,,,,
42,07/09/15 10:15:00 PM,68.871,,,,,
43,07/09/15 10:30:00 PM,68.785,,,,,
44,07/09/15 10:45:00 PM,68.698,,,,,
45,07/09/15 11:00:00 PM,68.614,,,,,
46,07/09/15 11:15:00 PM,68.484,,,,,
47,07/09/15 11:30:00 PM,68.400,,,,,
48,07/09/15 11:45:00 PM,68.270,,,,,
49,07/10/15 12:00:00 AM,68.142,,,,,
50,07/10/15 12:15:00 AM,68.056,,,,,
51,07/10/15 12:30:00 AM,67.928,,,,,
52,07/10/15 12:45:00 AM,67.842,,,,,
53,07/10/15 01:00:00 AM,67.714,,,,,
54,07/10/15 01:15:00 AM,67.586,,,,,
55,07/10/15 01:30:00 AM,67.456,,,,,
56,07/10/15 01:45:00 AM,67.329,,,,,
57,07/10/15 02:00:00 AM,67.199,,,,,
58,07/10/15 02:15:00 AM,67.071,,,,,
59,07/10/15 02:30:00 AM,66.943,,,,,
60,07/10/15 02:45:00 AM,66.814,,,,,
61,07/10/15 03:00:00 AM,66.643,,,,,
62,07/10/15 03:15:00 AM,66.515,,,,,
63,07/10/15 03:30:00 AM,66.385,,,,,
64,07/10/15 03:45:00 AM,66.301,,,,,
65,07/10/15 04:00:00 AM,66.173,,,,,
66,07/10/15 04:15:00 AM,66.043,,,,,
67,07/10/15 04:30:00 AM,65.872,,,,,
68,07/10/15 04:45:00 AM,65.745,,,,,
69,07/10/15 05:00:00 AM,65.615,,,,,
70,07/10/15 05:15:00 AM,65.530,,,,,
71,07/10/15 05:30:00 AM,65.403,,,,,
72,07/10/15 05:45:00 AM,65.316,,,,,
73,07/10/15 06:00:00 AM,65.230,,,,,
74,07/10/15 06:15:00 AM,65.102,,,,,
75,07/10/15 06:30:00 AM,65.017,,,,,
76,07/10/15 06:45:00 AM,64.974,,,,,
77,07/10/15 07:00:00 AM,64.888,,,,,
78,07/10/15 07:15:00 AM,64.803,,,,,
79,07/10/15 07:30:00 AM,64.760,,,,,
80,07/10/15 07:45:00 AM,64.674,,,,,
81,07/10/15 08:00:00 AM,64.589,,,,,
82,07/10/15 08:15:00 AM,64.589,,,,,
83,07/10/15 08:30:00 AM,64.589,,,,,
84,07/10/15 08:45:00 AM,64.589,,,,,
85,07/10/15 09:00:00 AM,64.632,,,,,
86,07/10/15 09:15:00 AM,64.674,,,,,
87,07/10/15 09:30:00 AM,64.760,,,,,
88,07/10/15 09:45:00 AM,64.888,,,,,
89,07/10/15 10:00:00 AM,64.974,,,,,
90,07/10/15 10:15:00 AM,65.102,,,,,
91,07/10/15 10:30:00 AM,65.230,,,,,
92,07/10/15 10:45:00 AM,65.403,,,,,
93,07/10/15 11:00:00 AM,65.615,,,,,
94,07/10/15 11:15:00 AM,65.829,,,,,
95,07/10/15 11:30:00 AM,66.087,,,,,
96,07/10/15 11:45:00 AM,66.214,,,,,
97,07/10/15 12:00:00 PM,66.301,,,,,
98,07/10/15 12:15:00 PM,66.344,,,,,
99,07/10/15 12:30:00 PM,66.385,,,,,
100,07/10/15 12:45:00 PM,66.429,,,,,
101,07/10/15 01:00:00 PM,66.472,,,,,
