"Plot Title: Larbee 3"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719044, SEN S/N: 10719044)","Coupler Detached (LGR S/N: 10719044)","Coupler Attached (LGR S/N: 10719044)","Stopped (LGR S/N: 10719044)","End Of File (LGR S/N: 10719044)"
1,07/10/15 12:00:00 AM,63.048,Logged,,,
2,07/10/15 01:00:00 AM,62.533,,,,
3,07/10/15 02:00:00 AM,62.062,,,,
4,07/10/15 03:00:00 AM,61.720,,,,
5,07/10/15 04:00:00 AM,61.376,,,,
6,07/10/15 05:00:00 AM,61.032,,,,
7,07/10/15 06:00:00 AM,60.775,,,,
8,07/10/15 07:00:00 AM,60.690,,,,
9,07/10/15 08:00:00 AM,60.861,,,,
10,07/10/15 09:00:00 AM,61.376,,,,
11,07/10/15 10:00:00 AM,62.233,,,,
12,07/10/15 11:00:00 AM,62.748,,,,
13,07/10/15 12:00:00 PM,63.133,,,,
14,07/10/15 01:00:00 PM,63.390,,,,
15,07/10/15 02:00:00 PM,63.862,,,,
16,07/10/15 03:00:00 PM,65.359,,,,
17,07/10/15 04:00:00 PM,66.729,,,,
18,07/10/15 05:00:00 PM,67.842,,,,
19,07/10/15 06:00:00 PM,68.443,,,,
20,07/10/15 07:00:00 PM,68.356,,,,
21,07/10/15 08:00:00 PM,67.671,,,,
22,07/10/15 09:00:00 PM,66.643,,,,
23,07/10/15 10:00:00 PM,65.615,,,,
24,07/10/15 11:00:00 PM,64.632,,,,
25,07/11/15 12:00:00 AM,63.946,,,,
26,07/11/15 01:00:00 AM,63.304,,,,
27,07/11/15 02:00:00 AM,62.748,,,,
28,07/11/15 03:00:00 AM,62.276,,,,
29,07/11/15 04:00:00 AM,61.891,,,,
30,07/11/15 05:00:00 AM,61.547,,,,
31,07/11/15 06:00:00 AM,61.248,,,,
32,07/11/15 07:00:00 AM,61.119,,,,
33,07/11/15 08:00:00 AM,61.032,,,,
34,07/11/15 09:00:00 AM,61.590,,,,
35,07/11/15 10:00:00 AM,62.748,,,,
36,07/11/15 11:00:00 AM,64.503,,,,
37,07/11/15 12:00:00 PM,66.814,,,,
38,07/11/15 01:00:00 PM,69.129,,,,
39,07/11/15 02:00:00 PM,71.404,,,,
40,07/11/15 03:00:00 PM,73.213,,,,
41,07/11/15 04:00:00 PM,74.381,,,,
42,07/11/15 05:00:00 PM,74.813,,,,
43,07/11/15 06:00:00 PM,74.338,,,,
44,07/11/15 07:00:00 PM,73.170,,,,
45,07/11/15 08:00:00 PM,71.661,,,,
