"Plot Title: Larbee 1"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739506, SEN S/N: 10739506)","Coupler Detached (LGR S/N: 10739506)","Coupler Attached (LGR S/N: 10739506)","Host Connected (LGR S/N: 10739506)","Stopped (LGR S/N: 10739506)","End Of File (LGR S/N: 10739506)"
1,07/10/15 12:00:00 AM,61.720,Logged,,,,
2,07/10/15 01:00:00 AM,61.290,,,,,
3,07/10/15 02:00:00 AM,60.818,,,,,
4,07/10/15 03:00:00 AM,60.390,,,,,
5,07/10/15 04:00:00 AM,60.132,,,,,
6,07/10/15 05:00:00 AM,59.916,,,,,
7,07/10/15 06:00:00 AM,59.788,,,,,
8,07/10/15 07:00:00 AM,59.702,,,,,
9,07/10/15 08:00:00 AM,59.830,,,,,
10,07/10/15 09:00:00 AM,60.132,,,,,
11,07/10/15 10:00:00 AM,60.604,,,,,
12,07/10/15 11:00:00 AM,60.948,,,,,
13,07/10/15 12:00:00 PM,61.075,,,,,
14,07/10/15 01:00:00 PM,61.205,,,,,
15,07/10/15 02:00:00 PM,61.633,,,,,
16,07/10/15 03:00:00 PM,62.791,,,,,
17,07/10/15 04:00:00 PM,63.433,,,,,
18,07/10/15 05:00:00 PM,63.648,,,,,
19,07/10/15 06:00:00 PM,63.946,,,,,
20,07/10/15 07:00:00 PM,64.288,,,,,
21,07/10/15 08:00:00 PM,64.247,,,,,
22,07/10/15 09:00:00 PM,63.946,,,,,
23,07/10/15 10:00:00 PM,63.648,,,,,
24,07/10/15 11:00:00 PM,63.347,,,,,
25,07/11/15 12:00:00 AM,62.875,,,,,
26,07/11/15 01:00:00 AM,62.319,,,,,
27,07/11/15 02:00:00 AM,61.848,,,,,
28,07/11/15 03:00:00 AM,61.419,,,,,
29,07/11/15 04:00:00 AM,61.119,,,,,
30,07/11/15 05:00:00 AM,60.904,,,,,
31,07/11/15 06:00:00 AM,60.690,,,,,
32,07/11/15 07:00:00 AM,60.517,,,,,
33,07/11/15 08:00:00 AM,60.474,,,,,
34,07/11/15 09:00:00 AM,60.690,,,,,
35,07/11/15 10:00:00 AM,61.419,,,,,
36,07/11/15 11:00:00 AM,62.362,,,,,
37,07/11/15 12:00:00 PM,63.475,,,,,
38,07/11/15 01:00:00 PM,64.803,,,,,
39,07/11/15 02:00:00 PM,66.000,,,,,
40,07/11/15 03:00:00 PM,66.943,,,,,
41,07/11/15 04:00:00 PM,67.456,,,,,
42,07/11/15 05:00:00 PM,67.757,,,,,
43,07/11/15 06:00:00 PM,67.928,,,,,
44,07/11/15 07:00:00 PM,67.971,,,,,
45,07/11/15 08:00:00 PM,67.798,,,,,
46,07/11/15 09:00:00 PM,67.413,,,,,
47,07/11/15 10:00:00 PM,66.729,,,,,
48,07/11/15 11:00:00 PM,66.000,,,,,
49,07/12/15 12:00:00 AM,65.188,,,,,
50,07/12/15 01:00:00 AM,64.546,,,,,
51,07/12/15 02:00:00 AM,63.946,,,,,
52,07/12/15 03:00:00 AM,63.347,,,,,
53,07/12/15 04:00:00 AM,62.875,,,,,
54,07/12/15 05:00:00 AM,62.447,,,,,
55,07/12/15 06:00:00 AM,61.934,,,,,
56,07/12/15 07:00:00 AM,61.590,,,,,
57,07/12/15 08:00:00 AM,61.506,,,,,
58,07/12/15 09:00:00 AM,61.761,,,,,
59,07/12/15 10:00:00 AM,62.490,,,,,
60,07/12/15 11:00:00 AM,63.390,,,,,
61,07/12/15 12:00:00 PM,64.589,,,,,
62,07/12/15 01:00:00 PM,66.000,,,,,
63,07/12/15 02:00:00 PM,67.242,,,,,
64,07/12/15 03:00:00 PM,68.185,,,,,
65,07/12/15 04:00:00 PM,68.614,,,,,
66,07/12/15 05:00:00 PM,68.828,,,,,
67,07/12/15 06:00:00 PM,68.956,,,,,
68,07/12/15 07:00:00 PM,68.913,,,,,
69,07/12/15 08:00:00 PM,68.698,,,,,
70,07/12/15 09:00:00 PM,68.185,,,,,
71,07/12/15 10:00:00 PM,67.456,,,,,
72,07/12/15 11:00:00 PM,66.686,,,,,
73,07/13/15 12:00:00 AM,65.788,,,,,
74,07/13/15 01:00:00 AM,64.888,,,,,
75,07/13/15 02:00:00 AM,64.074,,,,,
76,07/13/15 03:00:00 AM,63.304,,,,,
77,07/13/15 04:00:00 AM,62.620,,,,,
78,07/13/15 05:00:00 AM,62.019,,,,,
79,07/13/15 06:00:00 AM,61.419,,,,,
80,07/13/15 07:00:00 AM,61.032,,,,,
81,07/13/15 08:00:00 AM,60.904,,,,,
82,07/13/15 09:00:00 AM,61.119,,,,,
83,07/13/15 10:00:00 AM,61.590,,,,,
84,07/13/15 11:00:00 AM,62.319,,,,,
85,07/13/15 12:00:00 PM,63.518,,,,,
86,07/13/15 01:00:00 PM,65.017,,,,,
87,07/13/15 02:00:00 PM,66.258,,,,,
88,07/13/15 03:00:00 PM,67.199,,,,,
89,07/13/15 04:00:00 PM,67.671,,,,,
90,07/13/15 05:00:00 PM,67.971,,,,,
91,07/13/15 06:00:00 PM,68.142,,,,,
92,07/13/15 07:00:00 PM,68.142,,,,,
93,07/13/15 08:00:00 PM,68.056,,,,,
94,07/13/15 09:00:00 PM,67.671,,,,,
95,07/13/15 10:00:00 PM,67.071,,,,,
96,07/13/15 11:00:00 PM,66.429,,,,,
97,07/14/15 12:00:00 AM,65.658,,,,,
98,07/14/15 01:00:00 AM,64.845,,,,,
99,07/14/15 02:00:00 AM,64.074,,,,,
100,07/14/15 03:00:00 AM,63.390,,,,,
101,07/14/15 04:00:00 AM,62.791,,,,,
102,07/14/15 05:00:00 AM,62.233,,,,,
103,07/14/15 06:00:00 AM,61.761,,,,,
