"Plot Title: Larbee 2"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719015, SEN S/N: 10719015)","Coupler Detached (LGR S/N: 10719015)","Coupler Attached (LGR S/N: 10719015)","Stopped (LGR S/N: 10719015)","End Of File (LGR S/N: 10719015)"
1,07/10/15 12:00:00 AM,65.273,Logged,,,
2,07/10/15 01:00:00 AM,64.845,,,,
3,07/10/15 02:00:00 AM,64.503,,,,
4,07/10/15 03:00:00 AM,64.247,,,,
5,07/10/15 04:00:00 AM,64.033,,,,
6,07/10/15 05:00:00 AM,63.775,,,,
7,07/10/15 06:00:00 AM,63.561,,,,
8,07/10/15 07:00:00 AM,63.475,,,,
9,07/10/15 08:00:00 AM,63.732,,,,
10,07/10/15 09:00:00 AM,64.074,,,,
11,07/10/15 10:00:00 AM,64.760,,,,
12,07/10/15 11:00:00 AM,65.017,,,,
13,07/10/15 12:00:00 PM,65.017,,,,
14,07/10/15 01:00:00 PM,65.188,,,,
15,07/10/15 02:00:00 PM,66.130,,,,
16,07/10/15 03:00:00 PM,68.099,,,,
17,07/10/15 04:00:00 PM,68.871,,,,
18,07/10/15 05:00:00 PM,69.042,,,,
19,07/10/15 06:00:00 PM,69.085,,,,
20,07/10/15 07:00:00 PM,69.213,,,,
21,07/10/15 08:00:00 PM,69.256,,,,
22,07/10/15 09:00:00 PM,68.698,,,,
23,07/10/15 10:00:00 PM,67.928,,,,
24,07/10/15 11:00:00 PM,66.943,,,,
25,07/11/15 12:00:00 AM,66.173,,,,
26,07/11/15 01:00:00 AM,65.574,,,,
27,07/11/15 02:00:00 AM,65.059,,,,
28,07/11/15 03:00:00 AM,64.760,,,,
29,07/11/15 04:00:00 AM,64.632,,,,
30,07/11/15 05:00:00 AM,64.503,,,,
31,07/11/15 06:00:00 AM,64.332,,,,
32,07/11/15 07:00:00 AM,64.288,,,,
33,07/11/15 08:00:00 AM,64.418,,,,
34,07/11/15 09:00:00 AM,64.760,,,,
35,07/11/15 10:00:00 AM,65.872,,,,
36,07/11/15 11:00:00 AM,67.158,,,,
37,07/11/15 12:00:00 PM,68.657,,,,
38,07/11/15 01:00:00 PM,70.329,,,,
39,07/11/15 02:00:00 PM,72.178,,,,
40,07/11/15 03:00:00 PM,73.602,,,,
41,07/11/15 04:00:00 PM,74.424,,,,
42,07/11/15 05:00:00 PM,74.683,,,,
43,07/11/15 06:00:00 PM,74.597,,,,
44,07/11/15 07:00:00 PM,74.120,,,,
45,07/11/15 08:00:00 PM,73.429,,,,
46,07/11/15 09:00:00 PM,72.351,,,,
47,07/11/15 10:00:00 PM,71.274,,,,
48,07/11/15 11:00:00 PM,70.243,,,,
49,07/12/15 12:00:00 AM,69.514,,,,
50,07/12/15 01:00:00 AM,68.999,,,,
51,07/12/15 02:00:00 AM,68.527,,,,
52,07/12/15 03:00:00 AM,68.013,,,,
53,07/12/15 04:00:00 AM,67.586,,,,
54,07/12/15 05:00:00 AM,66.900,,,,
55,07/12/15 06:00:00 AM,66.344,,,,
56,07/12/15 07:00:00 AM,66.000,,,,
57,07/12/15 08:00:00 AM,66.087,,,,
58,07/12/15 09:00:00 AM,66.515,,,,
59,07/12/15 10:00:00 AM,67.500,,,,
