"Plot Title: Long Pine #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719032, SEN S/N: 10719032)","Coupler Detached (LGR S/N: 10719032)","Coupler Attached (LGR S/N: 10719032)","Host Connected (LGR S/N: 10719032)","Stopped (LGR S/N: 10719032)","End Of File (LGR S/N: 10719032)"
1,07/10/15 12:00:00 PM,62.362,Logged,,,,
2,07/10/15 12:15:00 PM,62.490,,,,,
3,07/10/15 12:30:00 PM,62.620,,,,,
4,07/10/15 12:45:00 PM,62.834,,,,,
5,07/10/15 01:00:00 PM,63.048,,,,,
6,07/10/15 01:15:00 PM,63.304,,,,,
7,07/10/15 01:30:00 PM,63.604,,,,,
8,07/10/15 01:45:00 PM,63.903,,,,,
9,07/10/15 02:00:00 PM,64.247,,,,,
10,07/10/15 02:15:00 PM,64.503,,,,,
11,07/10/15 02:30:00 PM,64.674,,,,,
12,07/10/15 02:45:00 PM,65.059,,,,,
13,07/10/15 03:00:00 PM,65.316,,,,,
14,07/10/15 03:15:00 PM,65.615,,,,,
15,07/10/15 03:30:00 PM,65.872,,,,,
16,07/10/15 03:45:00 PM,66.173,,,,,
17,07/10/15 04:00:00 PM,66.558,,,,,
18,07/10/15 04:15:00 PM,66.814,,,,,
19,07/10/15 04:30:00 PM,67.071,,,,,
20,07/10/15 04:45:00 PM,67.028,,,,,
21,07/10/15 05:00:00 PM,67.114,,,,,
22,07/10/15 05:15:00 PM,67.285,,,,,
23,07/10/15 05:30:00 PM,67.329,,,,,
24,07/10/15 05:45:00 PM,67.372,,,,,
25,07/10/15 06:00:00 PM,67.413,,,,,
26,07/10/15 06:15:00 PM,67.413,,,,,
27,07/10/15 06:30:00 PM,67.372,,,,,
28,07/10/15 06:45:00 PM,67.329,,,,,
29,07/10/15 07:00:00 PM,67.242,,,,,
30,07/10/15 07:15:00 PM,67.158,,,,,
31,07/10/15 07:30:00 PM,67.158,,,,,
32,07/10/15 07:45:00 PM,67.199,,,,,
33,07/10/15 08:00:00 PM,67.158,,,,,
34,07/10/15 08:15:00 PM,67.071,,,,,
35,07/10/15 08:30:00 PM,67.028,,,,,
36,07/10/15 08:45:00 PM,67.028,,,,,
37,07/10/15 09:00:00 PM,66.985,,,,,
38,07/10/15 09:15:00 PM,66.943,,,,,
39,07/10/15 09:30:00 PM,66.814,,,,,
40,07/10/15 09:45:00 PM,66.729,,,,,
41,07/10/15 10:00:00 PM,66.600,,,,,
42,07/10/15 10:15:00 PM,66.515,,,,,
43,07/10/15 10:30:00 PM,66.472,,,,,
44,07/10/15 10:45:00 PM,66.472,,,,,
45,07/10/15 11:00:00 PM,66.429,,,,,
46,07/10/15 11:15:00 PM,66.429,,,,,
47,07/10/15 11:30:00 PM,66.344,,,,,
48,07/10/15 11:45:00 PM,66.258,,,,,
49,07/11/15 12:00:00 AM,66.173,,,,,
50,07/11/15 12:15:00 AM,66.087,,,,,
51,07/11/15 12:30:00 AM,66.000,,,,,
52,07/11/15 12:45:00 AM,65.872,,,,,
53,07/11/15 01:00:00 AM,65.745,,,,,
54,07/11/15 01:15:00 AM,65.615,,,,,
55,07/11/15 01:30:00 AM,65.530,,,,,
56,07/11/15 01:45:00 AM,65.359,,,,,
57,07/11/15 02:00:00 AM,65.230,,,,,
58,07/11/15 02:15:00 AM,65.102,,,,,
59,07/11/15 02:30:00 AM,64.974,,,,,
60,07/11/15 02:45:00 AM,64.845,,,,,
61,07/11/15 03:00:00 AM,64.717,,,,,
62,07/11/15 03:15:00 AM,64.589,,,,,
63,07/11/15 03:30:00 AM,64.459,,,,,
64,07/11/15 03:45:00 AM,64.332,,,,,
65,07/11/15 04:00:00 AM,64.161,,,,,
66,07/11/15 04:15:00 AM,64.033,,,,,
67,07/11/15 04:30:00 AM,63.903,,,,,
68,07/11/15 04:45:00 AM,63.819,,,,,
69,07/11/15 05:00:00 AM,63.689,,,,,
70,07/11/15 05:15:00 AM,63.561,,,,,
71,07/11/15 05:30:00 AM,63.433,,,,,
72,07/11/15 05:45:00 AM,63.304,,,,,
73,07/11/15 06:00:00 AM,63.176,,,,,
74,07/11/15 06:15:00 AM,63.048,,,,,
75,07/11/15 06:30:00 AM,62.919,,,,,
76,07/11/15 06:45:00 AM,62.791,,,,,
77,07/11/15 07:00:00 AM,62.704,,,,,
78,07/11/15 07:15:00 AM,62.577,,,,,
79,07/11/15 07:30:00 AM,62.533,,,,,
80,07/11/15 07:45:00 AM,62.447,,,,,
81,07/11/15 08:00:00 AM,62.406,,,,,
82,07/11/15 08:15:00 AM,62.362,,,,,
83,07/11/15 08:30:00 AM,62.362,,,,,
84,07/11/15 08:45:00 AM,62.362,,,,,
85,07/11/15 09:00:00 AM,62.362,,,,,
86,07/11/15 09:15:00 AM,62.406,,,,,
87,07/11/15 09:30:00 AM,62.490,,,,,
88,07/11/15 09:45:00 AM,62.620,,,,,
89,07/11/15 10:00:00 AM,62.748,,,,,
90,07/11/15 10:15:00 AM,62.919,,,,,
91,07/11/15 10:30:00 AM,63.133,,,,,
92,07/11/15 10:45:00 AM,63.262,,,,,
93,07/11/15 11:00:00 AM,63.561,,,,,
94,07/11/15 11:15:00 AM,63.819,,,,,
95,07/11/15 11:30:00 AM,64.161,,,,,
96,07/11/15 11:45:00 AM,64.503,,,,,
97,07/11/15 12:00:00 PM,64.888,,,,,
98,07/11/15 12:15:00 PM,65.230,,,,,
99,07/11/15 12:30:00 PM,65.487,,,,,
100,07/11/15 12:45:00 PM,65.872,,,,,
101,07/11/15 01:00:00 PM,66.301,,,,,
102,07/11/15 01:15:00 PM,66.729,,,,,
103,07/11/15 01:30:00 PM,67.158,,,,,
104,07/11/15 01:45:00 PM,67.586,,,,,
105,07/11/15 02:00:00 PM,68.013,,,,,
106,07/11/15 02:15:00 PM,68.443,,,,,
107,07/11/15 02:30:00 PM,68.871,,,,,
108,07/11/15 02:45:00 PM,69.256,,,,,
109,07/11/15 03:00:00 PM,69.600,,,,,
110,07/11/15 03:15:00 PM,69.942,,,,,
111,07/11/15 03:30:00 PM,70.286,,,,,
112,07/11/15 03:45:00 PM,70.587,,,,,
113,07/11/15 04:00:00 PM,70.803,,,,,
114,07/11/15 04:15:00 PM,71.017,,,,,
115,07/11/15 04:30:00 PM,71.231,,,,,
116,07/11/15 04:45:00 PM,71.361,,,,,
117,07/11/15 05:00:00 PM,71.447,,,,,
118,07/11/15 05:15:00 PM,71.490,,,,,
119,07/11/15 05:30:00 PM,71.490,,,,,
120,07/11/15 05:45:00 PM,71.361,,,,,
121,07/11/15 06:00:00 PM,71.190,,,,,
122,07/11/15 06:15:00 PM,70.974,,,,,
123,07/11/15 06:30:00 PM,70.803,,,,,
124,07/11/15 06:45:00 PM,70.716,,,,,
125,07/11/15 07:00:00 PM,70.716,,,,,
126,07/11/15 07:15:00 PM,70.673,,,,,
127,07/11/15 07:30:00 PM,70.673,,,,,
128,07/11/15 07:45:00 PM,70.587,,,,,
129,07/11/15 08:00:00 PM,70.543,,,,,
130,07/11/15 08:15:00 PM,70.459,,,,,
131,07/11/15 08:30:00 PM,70.372,,,,,
132,07/11/15 08:45:00 PM,70.243,,,,,
133,07/11/15 09:00:00 PM,70.158,,,,,
134,07/11/15 09:15:00 PM,70.115,,,,,
135,07/11/15 09:30:00 PM,69.985,,,,,
136,07/11/15 09:45:00 PM,69.858,,,,,
137,07/11/15 10:00:00 PM,69.728,,,,,
138,07/11/15 10:15:00 PM,69.600,,,,,
139,07/11/15 10:30:00 PM,69.514,,,,,
140,07/11/15 10:45:00 PM,69.386,,,,,
141,07/11/15 11:00:00 PM,69.256,,,,,
142,07/11/15 11:15:00 PM,69.170,,,,,
143,07/11/15 11:30:00 PM,69.042,,,,,
144,07/11/15 11:45:00 PM,68.913,,,,,
145,07/12/15 12:00:00 AM,68.742,,,,,
146,07/12/15 12:15:00 AM,68.571,,,,,
147,07/12/15 12:30:00 AM,68.400,,,,,
148,07/12/15 12:45:00 AM,68.185,,,,,
149,07/12/15 01:00:00 AM,68.013,,,,,
150,07/12/15 01:15:00 AM,67.842,,,,,
151,07/12/15 01:30:00 AM,67.627,,,,,
