"Plot Title: Middle Brance of Middle Loop"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719009, SEN S/N: 10719009)","Coupler Detached (LGR S/N: 10719009)","Coupler Attached (LGR S/N: 10719009)","Stopped (LGR S/N: 10719009)","End Of File (LGR S/N: 10719009)"
1,07/13/15 10:00:00 PM,68.956,Logged,,,
2,07/13/15 11:00:00 PM,67.543,,,,
3,07/14/15 12:00:00 AM,66.385,,,,
4,07/14/15 01:00:00 AM,65.530,,,,
5,07/14/15 02:00:00 AM,64.717,,,,
6,07/14/15 03:00:00 AM,63.903,,,,
7,07/14/15 04:00:00 AM,63.219,,,,
8,07/14/15 05:00:00 AM,62.620,,,,
9,07/14/15 06:00:00 AM,61.977,,,,
10,07/14/15 07:00:00 AM,61.761,,,,
11,07/14/15 08:00:00 AM,62.191,,,,
12,07/14/15 09:00:00 AM,63.732,,,,
13,07/14/15 10:00:00 AM,66.043,,,,
14,07/14/15 11:00:00 AM,68.999,,,,
15,07/14/15 12:00:00 PM,72.136,,,,
16,07/14/15 01:00:00 PM,74.856,,,,
17,07/14/15 02:00:00 PM,76.636,,,,
18,07/14/15 03:00:00 PM,77.335,,,,
19,07/14/15 04:00:00 PM,77.247,,,,
20,07/14/15 05:00:00 PM,77.117,,,,
21,07/14/15 06:00:00 PM,75.420,,,,
22,07/14/15 07:00:00 PM,73.558,,,,
23,07/14/15 08:00:00 PM,71.704,,,,
24,07/14/15 09:00:00 PM,69.985,,,,
25,07/14/15 10:00:00 PM,68.443,,,,
26,07/14/15 11:00:00 PM,67.071,,,,
27,07/15/15 12:00:00 AM,66.258,,,,
28,07/15/15 01:00:00 AM,65.530,,,,
29,07/15/15 02:00:00 AM,64.974,,,,
30,07/15/15 03:00:00 AM,64.546,,,,
31,07/15/15 04:00:00 AM,64.204,,,,
32,07/15/15 05:00:00 AM,63.819,,,,
33,07/15/15 06:00:00 AM,63.475,,,,
34,07/15/15 07:00:00 AM,63.304,,,,
35,07/15/15 08:00:00 AM,63.390,,,,
36,07/15/15 09:00:00 AM,63.990,,,,
