"Plot Title: Minnechaduza 1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739502, SEN S/N: 10739502)","Coupler Detached (LGR S/N: 10739502)","Coupler Attached (LGR S/N: 10739502)","Stopped (LGR S/N: 10739502)","End Of File (LGR S/N: 10739502)"
1,07/17/15 07:00:00 AM,67.285,Logged,,,
2,07/17/15 08:00:00 AM,66.772,,,,
3,07/17/15 09:00:00 AM,66.900,,,,
4,07/17/15 10:00:00 AM,68.099,,,,
5,07/17/15 11:00:00 AM,70.072,,,,
6,07/17/15 12:00:00 PM,72.480,,,,
7,07/17/15 01:00:00 PM,75.333,,,,
8,07/17/15 02:00:00 PM,78.165,,,,
9,07/17/15 03:00:00 PM,80.802,,,,
10,07/17/15 04:00:00 PM,82.976,,,,
11,07/17/15 05:00:00 PM,84.317,,,,
12,07/17/15 06:00:00 PM,83.332,,,,
13,07/17/15 07:00:00 PM,81.864,,,,
14,07/17/15 08:00:00 PM,79.788,,,,
15,07/17/15 09:00:00 PM,78.121,,,,
16,07/17/15 10:00:00 PM,76.681,,,,
17,07/17/15 11:00:00 PM,75.160,,,,
18,07/18/15 12:00:00 AM,73.731,,,,
19,07/18/15 01:00:00 AM,72.221,,,,
20,07/18/15 02:00:00 AM,70.887,,,,
21,07/18/15 03:00:00 AM,69.643,,,,
22,07/18/15 04:00:00 AM,68.443,,,,
23,07/18/15 05:00:00 AM,67.285,,,,
24,07/18/15 06:00:00 AM,66.344,,,,
25,07/18/15 07:00:00 AM,65.530,,,,
26,07/18/15 08:00:00 AM,64.974,,,,
27,07/18/15 09:00:00 AM,65.188,,,,
28,07/18/15 10:00:00 AM,66.600,,,,
29,07/18/15 11:00:00 AM,68.828,,,,
30,07/18/15 12:00:00 PM,71.490,,,,
31,07/18/15 01:00:00 PM,73.990,,,,
32,07/18/15 02:00:00 PM,76.593,,,,
33,07/18/15 03:00:00 PM,78.910,,,,
34,07/18/15 04:00:00 PM,80.757,,,,
35,07/18/15 05:00:00 PM,81.952,,,,
36,07/18/15 06:00:00 PM,82.353,,,,
37,07/18/15 07:00:00 PM,81.376,,,,
38,07/18/15 08:00:00 PM,80.227,,,,
39,07/18/15 09:00:00 PM,78.910,,,,
40,07/18/15 10:00:00 PM,77.684,,,,
41,07/18/15 11:00:00 PM,76.419,,,,
42,07/19/15 12:00:00 AM,75.074,,,,
43,07/19/15 01:00:00 AM,73.645,,,,
44,07/19/15 02:00:00 AM,72.221,,,,
45,07/19/15 03:00:00 AM,70.846,,,,
46,07/19/15 04:00:00 AM,69.600,,,,
47,07/19/15 05:00:00 AM,68.356,,,,
48,07/19/15 06:00:00 AM,67.114,,,,
49,07/19/15 07:00:00 AM,66.043,,,,
50,07/19/15 08:00:00 AM,65.403,,,,
51,07/19/15 09:00:00 AM,65.701,,,,
52,07/19/15 10:00:00 AM,67.028,,,,
53,07/19/15 11:00:00 AM,69.386,,,,
54,07/19/15 12:00:00 PM,72.264,,,,
55,07/19/15 01:00:00 PM,75.420,,,,
56,07/19/15 02:00:00 PM,78.559,,,,
57,07/19/15 03:00:00 PM,80.580,,,,
58,07/19/15 04:00:00 PM,82.130,,,,
59,07/19/15 05:00:00 PM,83.199,,,,
60,07/19/15 06:00:00 PM,82.753,,,,
61,07/19/15 07:00:00 PM,82.753,,,,
62,07/19/15 08:00:00 PM,81.554,,,,
63,07/19/15 09:00:00 PM,80.139,,,,
64,07/19/15 10:00:00 PM,78.645,,,,
65,07/19/15 11:00:00 PM,77.247,,,,
66,07/20/15 12:00:00 AM,76.071,,,,
67,07/20/15 01:00:00 AM,74.727,,,,
