"Plot Title: Niobrara River- Hwy 385 Crossing"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612878, SEN S/N: 10612878)","Coupler Attached (LGR S/N: 10612878)","Stopped (LGR S/N: 10612878)","End Of File (LGR S/N: 10612878)"
1,07/20/15 11:00:00 PM,86.097,,,
2,07/21/15 12:00:00 AM,82.330,,,
3,07/21/15 01:00:00 AM,79.853,,,
4,07/21/15 02:00:00 AM,77.923,,,
5,07/21/15 03:00:00 AM,76.354,,,
6,07/21/15 04:00:00 AM,75.139,,,
7,07/21/15 05:00:00 AM,74.098,,,
8,07/21/15 06:00:00 AM,73.234,,,
9,07/21/15 07:00:00 AM,72.545,,,
10,07/21/15 08:00:00 AM,70.995,,,
11,07/21/15 09:00:00 AM,70.824,,,
12,07/21/15 10:00:00 AM,68.763,,,
13,07/21/15 11:00:00 AM,70.308,,,
14,07/21/15 12:00:00 PM,69.964,,,
15,07/21/15 01:00:00 PM,70.824,,,
16,07/21/15 02:00:00 PM,71.683,,,
17,07/21/15 03:00:00 PM,71.683,,,
18,07/21/15 04:00:00 PM,73.407,,,
19,07/21/15 05:00:00 PM,71.856,,,
20,07/21/15 06:00:00 PM,83.399,,,
21,07/21/15 07:00:00 PM,83.221,,,
22,07/21/15 08:00:00 PM,81.797,,,
23,07/21/15 09:00:00 PM,76.181,,,
24,07/21/15 10:00:00 PM,73.407,,,
25,07/21/15 11:00:00 PM,71.339,,,
26,07/22/15 12:00:00 AM,69.107,,,
27,07/22/15 01:00:00 AM,67.221,,,
28,07/22/15 02:00:00 AM,66.193,,,
29,07/22/15 03:00:00 AM,65.509,,,
30,07/22/15 04:00:00 AM,64.310,,,
31,07/22/15 05:00:00 AM,63.111,,,
32,07/22/15 06:00:00 AM,64.996,,,
33,07/22/15 07:00:00 AM,69.107,,,
34,07/22/15 08:00:00 AM,69.622,,,
35,07/22/15 09:00:00 AM,73.234,,,
36,07/22/15 10:00:00 AM,82.330,,,
37,07/22/15 11:00:00 AM,76.181,,,
38,07/22/15 12:00:00 PM,78.274,,,
39,07/22/15 01:00:00 PM,80.029,,,
40,07/22/15 02:00:00 PM,83.043,,,
41,07/22/15 03:00:00 PM,81.090,,,
42,07/22/15 04:00:00 PM,73.753,,,
43,07/22/15 05:00:00 PM,77.574,,,
44,07/22/15 06:00:00 PM,77.400,,,
