"Plot Title: Pine Creek Middle"
"#","Date Time, GMT-06:00","Max: Temperature, °F (LGR S/N: 10719014)","Coupler Detached (LGR S/N: 10719014)","Coupler Attached (LGR S/N: 10719014)","Stopped (LGR S/N: 10719014)","End Of File (LGR S/N: 10719014)"
1,07/10/15 12:00:00 AM,66.600,Logged,,,
2,07/10/15 01:00:00 AM,65.872,,,,
3,07/10/15 02:00:00 AM,65.188,,,,
4,07/10/15 03:00:00 AM,64.589,,,,
5,07/10/15 04:00:00 AM,64.117,,,,
6,07/10/15 05:00:00 AM,63.819,,,,
7,07/10/15 06:00:00 AM,63.604,,,,
8,07/10/15 07:00:00 AM,63.689,,,,
9,07/10/15 08:00:00 AM,64.161,,,,
10,07/10/15 09:00:00 AM,64.931,,,,
11,07/10/15 10:00:00 AM,65.701,,,,
12,07/10/15 11:00:00 AM,66.043,,,,
13,07/10/15 12:00:00 PM,66.429,,,,
14,07/10/15 01:00:00 PM,66.643,,,,
15,07/10/15 02:00:00 PM,67.500,,,,
16,07/10/15 03:00:00 PM,70.416,,,,
17,07/10/15 04:00:00 PM,73.774,,,,
18,07/10/15 05:00:00 PM,75.290,,,,
19,07/10/15 06:00:00 PM,74.986,,,,
20,07/10/15 07:00:00 PM,74.163,,,,
21,07/10/15 08:00:00 PM,72.997,,,,
22,07/10/15 09:00:00 PM,71.748,,,,
23,07/10/15 10:00:00 PM,70.630,,,,
24,07/10/15 11:00:00 PM,69.557,,,,
25,07/11/15 12:00:00 AM,68.484,,,,
26,07/11/15 01:00:00 AM,67.456,,,,
27,07/11/15 02:00:00 AM,66.558,,,,
28,07/11/15 03:00:00 AM,65.829,,,,
29,07/11/15 04:00:00 AM,65.403,,,,
30,07/11/15 05:00:00 AM,65.059,,,,
31,07/11/15 06:00:00 AM,64.760,,,,
32,07/11/15 07:00:00 AM,64.632,,,,
33,07/11/15 08:00:00 AM,65.145,,,,
34,07/11/15 09:00:00 AM,66.515,,,,
35,07/11/15 10:00:00 AM,68.185,,,,
36,07/11/15 11:00:00 AM,70.630,,,,
37,07/11/15 12:00:00 PM,73.299,,,,
38,07/11/15 01:00:00 PM,75.942,,,,
39,07/11/15 02:00:00 PM,78.165,,,,
40,07/11/15 03:00:00 PM,79.876,,,,
41,07/11/15 04:00:00 PM,81.111,,,,
42,07/11/15 05:00:00 PM,81.554,,,,
43,07/11/15 06:00:00 PM,81.288,,,,
44,07/11/15 07:00:00 PM,80.008,,,,
45,07/11/15 08:00:00 PM,78.076,,,,
46,07/11/15 09:00:00 PM,76.289,,,,
47,07/11/15 10:00:00 PM,74.770,,,,
48,07/11/15 11:00:00 PM,73.342,,,,
49,07/12/15 12:00:00 AM,71.920,,,,
50,07/12/15 01:00:00 AM,70.716,,,,
51,07/12/15 02:00:00 AM,69.471,,,,
52,07/12/15 03:00:00 AM,68.270,,,,
53,07/12/15 04:00:00 AM,67.242,,,,
54,07/12/15 05:00:00 AM,66.301,,,,
55,07/12/15 06:00:00 AM,65.530,,,,
56,07/12/15 07:00:00 AM,65.102,,,,
57,07/12/15 08:00:00 AM,65.403,,,,
58,07/12/15 09:00:00 AM,66.686,,,,
59,07/12/15 10:00:00 AM,68.871,,,,
60,07/12/15 11:00:00 AM,71.620,,,,
61,07/12/15 12:00:00 PM,74.511,,,,
62,07/12/15 01:00:00 PM,77.378,,,,
63,07/12/15 02:00:00 PM,79.524,,,,
64,07/12/15 03:00:00 PM,81.244,,,,
65,07/12/15 04:00:00 PM,81.775,,,,
66,07/12/15 05:00:00 PM,81.154,,,,
67,07/12/15 06:00:00 PM,80.316,,,,
68,07/12/15 07:00:00 PM,79.173,,,,
69,07/12/15 08:00:00 PM,77.509,,,,
70,07/12/15 09:00:00 PM,75.681,,,,
71,07/12/15 10:00:00 PM,73.990,,,,
72,07/12/15 11:00:00 PM,72.567,,,,
73,07/13/15 12:00:00 AM,71.274,,,,
74,07/13/15 01:00:00 AM,70.029,,,,
75,07/13/15 02:00:00 AM,68.742,,,,
76,07/13/15 03:00:00 AM,67.500,,,,
77,07/13/15 04:00:00 AM,66.344,,,,
78,07/13/15 05:00:00 AM,65.359,,,,
79,07/13/15 06:00:00 AM,64.503,,,,
80,07/13/15 07:00:00 AM,64.117,,,,
81,07/13/15 08:00:00 AM,64.418,,,,
82,07/13/15 09:00:00 AM,65.701,,,,
83,07/13/15 10:00:00 AM,68.142,,,,
84,07/13/15 11:00:00 AM,70.930,,,,
85,07/13/15 12:00:00 PM,74.338,,,,
86,07/13/15 01:00:00 PM,77.815,,,,
87,07/13/15 02:00:00 PM,80.845,,,,
88,07/13/15 03:00:00 PM,83.199,,,,
89,07/13/15 04:00:00 PM,84.542,,,,
90,07/13/15 05:00:00 PM,84.857,,,,
91,07/13/15 06:00:00 PM,84.227,,,,
92,07/13/15 07:00:00 PM,82.753,,,,
93,07/13/15 08:00:00 PM,80.890,,,,
94,07/13/15 09:00:00 PM,78.865,,,,
95,07/13/15 10:00:00 PM,77.072,,,,
96,07/13/15 11:00:00 PM,75.333,,,,
97,07/14/15 12:00:00 AM,73.904,,,,
98,07/14/15 01:00:00 AM,72.783,,,,
99,07/14/15 02:00:00 AM,71.620,,,,
100,07/14/15 03:00:00 AM,70.243,,,,
101,07/14/15 04:00:00 AM,68.956,,,,
102,07/14/15 05:00:00 AM,67.885,,,,
103,07/14/15 06:00:00 AM,66.985,,,,
104,07/14/15 07:00:00 AM,66.301,,,,
105,07/14/15 08:00:00 AM,66.429,,,,
106,07/14/15 09:00:00 AM,67.714,,,,
107,07/14/15 10:00:00 AM,70.372,,,,
108,07/14/15 11:00:00 AM,73.558,,,,
109,07/14/15 12:00:00 PM,77.203,,,,
110,07/14/15 01:00:00 PM,80.404,,,,
111,07/14/15 02:00:00 PM,83.109,,,,
112,07/14/15 03:00:00 PM,84.767,,,,
113,07/14/15 04:00:00 PM,85.894,,,,
114,07/14/15 05:00:00 PM,86.164,,,,
115,07/14/15 06:00:00 PM,85.082,,,,
116,07/14/15 07:00:00 PM,83.199,,,,
117,07/14/15 08:00:00 PM,80.580,,,,
118,07/14/15 09:00:00 PM,78.471,,,,
119,07/14/15 10:00:00 PM,76.811,,,,
120,07/14/15 11:00:00 PM,75.594,,,,
121,07/15/15 12:00:00 AM,74.511,,,,
122,07/15/15 01:00:00 AM,73.429,,,,
123,07/15/15 02:00:00 AM,72.264,,,,
124,07/15/15 03:00:00 AM,71.317,,,,
125,07/15/15 04:00:00 AM,70.673,,,,
126,07/15/15 05:00:00 AM,70.029,,,,
127,07/15/15 06:00:00 AM,69.600,,,,
128,07/15/15 07:00:00 AM,69.256,,,,
129,07/15/15 08:00:00 AM,69.600,,,,
130,07/15/15 09:00:00 AM,70.887,,,,
131,07/15/15 10:00:00 AM,72.307,,,,
132,07/15/15 11:00:00 AM,73.602,,,,
133,07/15/15 12:00:00 PM,74.640,,,,
134,07/15/15 01:00:00 PM,76.636,,,,
135,07/15/15 02:00:00 PM,80.139,,,,
136,07/15/15 03:00:00 PM,80.890,,,,
