"Plot Title: Plum #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719020, SEN S/N: 10719020)","Coupler Detached (LGR S/N: 10719020)","Coupler Attached (LGR S/N: 10719020)","Stopped (LGR S/N: 10719020)","End Of File (LGR S/N: 10719020)"
1,07/13/15 01:30:00 PM,89.915,Logged,,,
2,07/13/15 01:45:00 PM,93.754,,,,
3,07/13/15 02:00:00 PM,98.136,,,,
4,07/13/15 02:15:00 PM,100.357,,,,
5,07/13/15 02:30:00 PM,101.509,,,,
6,07/13/15 02:45:00 PM,103.590,,,,
7,07/13/15 03:00:00 PM,105.238,,,,
8,07/13/15 03:15:00 PM,106.178,,,,
9,07/13/15 03:30:00 PM,102.317,,,,
10,07/13/15 03:45:00 PM,96.579,,,,
11,07/13/15 04:00:00 PM,91.308,,,,
12,07/13/15 04:15:00 PM,87.118,,,,
13,07/13/15 04:30:00 PM,83.646,,,,
14,07/13/15 04:45:00 PM,80.361,,,,
15,07/13/15 05:00:00 PM,77.509,,,,
16,07/13/15 05:15:00 PM,75.247,,,,
17,07/13/15 05:30:00 PM,72.955,,,,
18,07/13/15 05:45:00 PM,71.103,,,,
19,07/13/15 06:00:00 PM,70.072,,,,
20,07/13/15 06:15:00 PM,69.427,,,,
21,07/13/15 06:30:00 PM,71.146,,,,
22,07/13/15 06:45:00 PM,77.072,,,,
23,07/13/15 07:00:00 PM,84.767,,,,
24,07/13/15 07:15:00 PM,91.776,,,,
25,07/13/15 07:30:00 PM,96.773,,,,
26,07/13/15 07:45:00 PM,101.559,,,,
27,07/13/15 08:00:00 PM,106.389,,,,
28,07/13/15 08:15:00 PM,111.058,,,,
29,07/13/15 08:30:00 PM,114.750,,,,
30,07/13/15 08:45:00 PM,117.880,,,,
31,07/13/15 09:00:00 PM,119.307,,,,
32,07/13/15 09:15:00 PM,119.606,,,,
33,07/13/15 09:30:00 PM,118.353,,,,
34,07/13/15 09:45:00 PM,113.446,,,,
35,07/13/15 10:00:00 PM,105.291,,,,
36,07/13/15 10:15:00 PM,98.136,,,,
37,07/13/15 10:30:00 PM,92.433,,,,
38,07/13/15 10:45:00 PM,87.985,,,,
39,07/13/15 11:00:00 PM,84.542,,,,
40,07/13/15 11:15:00 PM,81.597,,,,
41,07/13/15 11:30:00 PM,79.392,,,,
42,07/13/15 11:45:00 PM,77.727,,,,
43,07/14/15 12:00:00 AM,76.289,,,,
44,07/14/15 12:15:00 AM,75.290,,,,
45,07/14/15 12:30:00 AM,75.247,,,,
46,07/14/15 12:45:00 AM,79.173,,,,
47,07/14/15 01:00:00 AM,88.488,,,,
48,07/14/15 01:15:00 AM,98.233,,,,
49,07/14/15 01:30:00 AM,105.084,,,,
50,07/14/15 01:45:00 AM,109.531,,,,
51,07/14/15 02:00:00 AM,112.217,,,,
52,07/14/15 02:15:00 AM,114.408,,,,
53,07/14/15 02:30:00 AM,117.176,,,,
54,07/14/15 02:45:00 AM,119.426,,,,
55,07/14/15 03:00:00 AM,121.798,,,,
56,07/14/15 03:15:00 AM,123.856,,,,
57,07/14/15 03:30:00 AM,123.730,,,,
58,07/14/15 03:45:00 AM,120.088,,,,
59,07/14/15 04:00:00 AM,111.718,,,,
60,07/14/15 04:15:00 AM,103.384,,,,
61,07/14/15 04:30:00 AM,96.627,,,,
62,07/14/15 04:45:00 AM,91.355,,,,
63,07/14/15 05:00:00 AM,87.300,,,,
64,07/14/15 05:15:00 AM,83.467,,,,
65,07/14/15 05:30:00 AM,79.743,,,,
66,07/14/15 05:45:00 AM,76.158,,,,
67,07/14/15 06:00:00 AM,73.126,,,,
68,07/14/15 06:15:00 AM,70.887,,,,
69,07/14/15 06:30:00 AM,71.103,,,,
70,07/14/15 06:45:00 AM,77.203,,,,
71,07/14/15 07:00:00 AM,82.263,,,,
72,07/14/15 07:15:00 AM,84.990,,,,
73,07/14/15 07:30:00 AM,92.057,,,,
74,07/14/15 07:45:00 AM,93.706,,,,
75,07/14/15 08:00:00 AM,87.620,,,,
76,07/14/15 08:15:00 AM,101.761,,,,
77,07/14/15 08:30:00 AM,76.899,,,,
78,07/14/15 08:45:00 AM,77.292,,,,
79,07/14/15 09:00:00 AM,77.421,,,,
80,07/14/15 09:15:00 AM,77.335,,,,
81,07/14/15 09:30:00 AM,77.117,,,,
82,07/14/15 09:45:00 AM,76.811,,,,
83,07/14/15 10:00:00 AM,76.507,,,,
84,07/14/15 10:15:00 AM,76.203,,,,
85,07/14/15 10:30:00 AM,75.810,,,,
86,07/14/15 10:45:00 AM,75.463,,,,
87,07/14/15 11:00:00 AM,75.074,,,,
88,07/14/15 11:15:00 AM,74.640,,,,
89,07/14/15 11:30:00 AM,74.163,,,,
90,07/14/15 11:45:00 AM,73.688,,,,
91,07/14/15 12:00:00 PM,73.170,,,,
92,07/14/15 12:15:00 PM,72.653,,,,
93,07/14/15 12:30:00 PM,72.178,,,,
94,07/14/15 12:45:00 PM,72.007,,,,
95,07/14/15 01:00:00 PM,72.007,,,,
96,07/14/15 01:15:00 PM,72.307,,,,
97,07/14/15 01:30:00 PM,73.083,,,,
98,07/14/15 01:45:00 PM,74.295,,,,
99,07/14/15 02:00:00 PM,75.594,,,,
100,07/14/15 02:15:00 PM,76.768,,,,
101,07/14/15 02:30:00 PM,77.727,,,,
102,07/14/15 02:45:00 PM,78.076,,,,
103,07/14/15 03:00:00 PM,77.990,,,,
104,07/14/15 03:15:00 PM,77.727,,,,
105,07/14/15 03:30:00 PM,77.378,,,,
106,07/14/15 03:45:00 PM,76.986,,,,
107,07/14/15 04:00:00 PM,76.550,,,,
108,07/14/15 04:15:00 PM,76.246,,,,
109,07/14/15 04:30:00 PM,75.898,,,,
110,07/14/15 04:45:00 PM,75.508,,,,
111,07/14/15 05:00:00 PM,75.074,,,,
112,07/14/15 05:15:00 PM,74.597,,,,
113,07/14/15 05:30:00 PM,74.163,,,,
114,07/14/15 05:45:00 PM,73.731,,,,
115,07/14/15 06:00:00 PM,73.299,,,,
116,07/14/15 06:15:00 PM,72.826,,,,
117,07/14/15 06:30:00 PM,72.480,,,,
118,07/14/15 06:45:00 PM,72.178,,,,
119,07/14/15 07:00:00 PM,72.007,,,,
120,07/14/15 07:15:00 PM,71.920,,,,
121,07/14/15 07:30:00 PM,72.093,,,,
122,07/14/15 07:45:00 PM,72.696,,,,
123,07/14/15 08:00:00 PM,72.739,,,,
124,07/14/15 08:15:00 PM,72.610,,,,
125,07/14/15 08:30:00 PM,72.394,,,,
126,07/14/15 08:45:00 PM,72.394,,,,
127,07/14/15 09:00:00 PM,72.394,,,,
128,07/14/15 09:15:00 PM,72.264,,,,
129,07/14/15 09:30:00 PM,71.964,,,,
130,07/14/15 09:45:00 PM,71.704,,,,
131,07/14/15 10:00:00 PM,71.317,,,,
132,07/14/15 10:15:00 PM,70.930,,,,
