"Plot Title: Plum #6"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719022, SEN S/N: 10719022)","Coupler Detached (LGR S/N: 10719022)","Coupler Attached (LGR S/N: 10719022)","Stopped (LGR S/N: 10719022)","End Of File (LGR S/N: 10719022)"
1,07/10/15 12:00:00 PM,66.900,Logged,,,
2,07/10/15 12:15:00 PM,67.071,,,,
3,07/10/15 12:30:00 PM,67.242,,,,
4,07/10/15 12:45:00 PM,67.500,,,,
5,07/10/15 01:00:00 PM,67.671,,,,
6,07/10/15 01:15:00 PM,67.971,,,,
7,07/10/15 01:30:00 PM,68.227,,,,
8,07/10/15 01:45:00 PM,68.400,,,,
9,07/10/15 02:00:00 PM,68.614,,,,
10,07/10/15 02:15:00 PM,68.785,,,,
11,07/10/15 02:30:00 PM,68.999,,,,
12,07/10/15 02:45:00 PM,69.213,,,,
13,07/10/15 03:00:00 PM,69.514,,,,
14,07/10/15 03:15:00 PM,69.858,,,,
15,07/10/15 03:30:00 PM,70.329,,,,
16,07/10/15 03:45:00 PM,70.803,,,,
17,07/10/15 04:00:00 PM,71.103,,,,
18,07/10/15 04:15:00 PM,71.317,,,,
19,07/10/15 04:30:00 PM,71.533,,,,
20,07/10/15 04:45:00 PM,71.620,,,,
21,07/10/15 05:00:00 PM,71.704,,,,
22,07/10/15 05:15:00 PM,71.877,,,,
23,07/10/15 05:30:00 PM,72.050,,,,
24,07/10/15 05:45:00 PM,72.221,,,,
25,07/10/15 06:00:00 PM,72.307,,,,
26,07/10/15 06:15:00 PM,72.394,,,,
27,07/10/15 06:30:00 PM,72.480,,,,
28,07/10/15 06:45:00 PM,72.480,,,,
29,07/10/15 07:00:00 PM,72.523,,,,
30,07/10/15 07:15:00 PM,72.523,,,,
31,07/10/15 07:30:00 PM,72.567,,,,
32,07/10/15 07:45:00 PM,72.567,,,,
33,07/10/15 08:00:00 PM,72.480,,,,
34,07/10/15 08:15:00 PM,72.351,,,,
35,07/10/15 08:30:00 PM,72.307,,,,
36,07/10/15 08:45:00 PM,72.221,,,,
37,07/10/15 09:00:00 PM,72.093,,,,
38,07/10/15 09:15:00 PM,71.920,,,,
39,07/10/15 09:30:00 PM,71.834,,,,
40,07/10/15 09:45:00 PM,71.704,,,,
41,07/10/15 10:00:00 PM,71.577,,,,
42,07/10/15 10:15:00 PM,71.447,,,,
43,07/10/15 10:30:00 PM,71.404,,,,
44,07/10/15 10:45:00 PM,71.404,,,,
45,07/10/15 11:00:00 PM,71.361,,,,
46,07/10/15 11:15:00 PM,71.274,,,,
47,07/10/15 11:30:00 PM,71.060,,,,
48,07/10/15 11:45:00 PM,70.759,,,,
49,07/11/15 12:00:00 AM,70.459,,,,
50,07/11/15 12:15:00 AM,70.201,,,,
51,07/11/15 12:30:00 AM,69.985,,,,
52,07/11/15 12:45:00 AM,69.771,,,,
53,07/11/15 01:00:00 AM,69.471,,,,
54,07/11/15 01:15:00 AM,69.213,,,,
55,07/11/15 01:30:00 AM,69.042,,,,
56,07/11/15 01:45:00 AM,68.871,,,,
57,07/11/15 02:00:00 AM,68.742,,,,
58,07/11/15 02:15:00 AM,68.614,,,,
59,07/11/15 02:30:00 AM,68.527,,,,
60,07/11/15 02:45:00 AM,68.356,,,,
61,07/11/15 03:00:00 AM,68.185,,,,
62,07/11/15 03:15:00 AM,68.013,,,,
63,07/11/15 03:30:00 AM,67.798,,,,
64,07/11/15 03:45:00 AM,67.627,,,,
65,07/11/15 04:00:00 AM,67.456,,,,
66,07/11/15 04:15:00 AM,67.329,,,,
67,07/11/15 04:30:00 AM,67.242,,,,
68,07/11/15 04:45:00 AM,67.114,,,,
69,07/11/15 05:00:00 AM,67.028,,,,
70,07/11/15 05:15:00 AM,66.985,,,,
71,07/11/15 05:30:00 AM,66.900,,,,
72,07/11/15 05:45:00 AM,66.814,,,,
73,07/11/15 06:00:00 AM,66.772,,,,
74,07/11/15 06:15:00 AM,66.686,,,,
75,07/11/15 06:30:00 AM,66.558,,,,
76,07/11/15 06:45:00 AM,66.472,,,,
77,07/11/15 07:00:00 AM,66.515,,,,
78,07/11/15 07:15:00 AM,66.472,,,,
79,07/11/15 07:30:00 AM,66.429,,,,
80,07/11/15 07:45:00 AM,66.385,,,,
81,07/11/15 08:00:00 AM,66.301,,,,
82,07/11/15 08:15:00 AM,66.301,,,,
83,07/11/15 08:30:00 AM,66.344,,,,
84,07/11/15 08:45:00 AM,66.344,,,,
85,07/11/15 09:00:00 AM,66.344,,,,
86,07/11/15 09:15:00 AM,66.385,,,,
87,07/11/15 09:30:00 AM,66.429,,,,
88,07/11/15 09:45:00 AM,66.515,,,,
89,07/11/15 10:00:00 AM,66.558,,,,
90,07/11/15 10:15:00 AM,66.686,,,,
91,07/11/15 10:30:00 AM,66.857,,,,
92,07/11/15 10:45:00 AM,67.071,,,,
93,07/11/15 11:00:00 AM,67.329,,,,
94,07/11/15 11:15:00 AM,67.586,,,,
95,07/11/15 11:30:00 AM,67.885,,,,
96,07/11/15 11:45:00 AM,68.099,,,,
97,07/11/15 12:00:00 PM,68.356,,,,
98,07/11/15 12:15:00 PM,68.527,,,,
99,07/11/15 12:30:00 PM,68.871,,,,
100,07/11/15 12:45:00 PM,69.300,,,,
101,07/11/15 01:00:00 PM,69.771,,,,
102,07/11/15 01:15:00 PM,70.243,,,,
103,07/11/15 01:30:00 PM,70.759,,,,
104,07/11/15 01:45:00 PM,71.190,,,,
105,07/11/15 02:00:00 PM,71.533,,,,
106,07/11/15 02:15:00 PM,71.964,,,,
107,07/11/15 02:30:00 PM,72.437,,,,
108,07/11/15 02:45:00 PM,72.826,,,,
109,07/11/15 03:00:00 PM,73.299,,,,
110,07/11/15 03:15:00 PM,73.731,,,,
111,07/11/15 03:30:00 PM,74.077,,,,
112,07/11/15 03:45:00 PM,74.424,,,,
113,07/11/15 04:00:00 PM,74.727,,,,
114,07/11/15 04:15:00 PM,74.986,,,,
115,07/11/15 04:30:00 PM,75.247,,,,
116,07/11/15 04:45:00 PM,75.508,,,,
117,07/11/15 05:00:00 PM,75.724,,,,
118,07/11/15 05:15:00 PM,75.898,,,,
119,07/11/15 05:30:00 PM,76.071,,,,
120,07/11/15 05:45:00 PM,76.203,,,,
121,07/11/15 06:00:00 PM,76.332,,,,
122,07/11/15 06:15:00 PM,76.419,,,,
123,07/11/15 06:30:00 PM,76.507,,,,
124,07/11/15 06:45:00 PM,76.593,,,,
125,07/11/15 07:00:00 PM,76.636,,,,
126,07/11/15 07:15:00 PM,76.636,,,,
127,07/11/15 07:30:00 PM,76.636,,,,
128,07/11/15 07:45:00 PM,76.681,,,,
129,07/11/15 08:00:00 PM,76.681,,,,
130,07/11/15 08:15:00 PM,76.636,,,,
131,07/11/15 08:30:00 PM,76.593,,,,
132,07/11/15 08:45:00 PM,76.593,,,,
133,07/11/15 09:00:00 PM,76.550,,,,
134,07/11/15 09:15:00 PM,76.464,,,,
135,07/11/15 09:30:00 PM,76.419,,,,
136,07/11/15 09:45:00 PM,76.332,,,,
137,07/11/15 10:00:00 PM,76.289,,,,
138,07/11/15 10:15:00 PM,76.203,,,,
139,07/11/15 10:30:00 PM,76.114,,,,
140,07/11/15 10:45:00 PM,76.028,,,,
141,07/11/15 11:00:00 PM,75.942,,,,
142,07/11/15 11:15:00 PM,75.810,,,,
143,07/11/15 11:30:00 PM,75.724,,,,
144,07/11/15 11:45:00 PM,75.594,,,,
145,07/12/15 12:00:00 AM,75.420,,,,
146,07/12/15 12:15:00 AM,75.290,,,,
147,07/12/15 12:30:00 AM,75.117,,,,
148,07/12/15 12:45:00 AM,74.943,,,,
149,07/12/15 01:00:00 AM,74.813,,,,
150,07/12/15 01:15:00 AM,74.640,,,,
151,07/12/15 01:30:00 AM,74.467,,,,
152,07/12/15 01:45:00 AM,74.295,,,,
153,07/12/15 02:00:00 AM,74.120,,,,
154,07/12/15 02:15:00 AM,73.947,,,,
155,07/12/15 02:30:00 AM,73.774,,,,
156,07/12/15 02:45:00 AM,73.602,,,,
157,07/12/15 03:00:00 AM,73.429,,,,
158,07/12/15 03:15:00 AM,73.256,,,,
159,07/12/15 03:30:00 AM,73.083,,,,
160,07/12/15 03:45:00 AM,72.912,,,,
161,07/12/15 04:00:00 AM,72.739,,,,
162,07/12/15 04:15:00 AM,72.567,,,,
163,07/12/15 04:30:00 AM,72.437,,,,
164,07/12/15 04:45:00 AM,72.307,,,,
165,07/12/15 05:00:00 AM,72.178,,,,
166,07/12/15 05:15:00 AM,72.050,,,,
167,07/12/15 05:30:00 AM,71.964,,,,
168,07/12/15 05:45:00 AM,71.834,,,,
169,07/12/15 06:00:00 AM,71.704,,,,
170,07/12/15 06:15:00 AM,71.620,,,,
171,07/12/15 06:30:00 AM,71.533,,,,
172,07/12/15 06:45:00 AM,71.447,,,,
173,07/12/15 07:00:00 AM,71.317,,,,
174,07/12/15 07:15:00 AM,71.274,,,,
175,07/12/15 07:30:00 AM,71.190,,,,
176,07/12/15 07:45:00 AM,71.103,,,,
177,07/12/15 08:00:00 AM,71.060,,,,
178,07/12/15 08:15:00 AM,71.017,,,,
179,07/12/15 08:30:00 AM,70.974,,,,
180,07/12/15 08:45:00 AM,70.930,,,,
181,07/12/15 09:00:00 AM,70.974,,,,
182,07/12/15 09:15:00 AM,70.974,,,,
183,07/12/15 09:30:00 AM,71.060,,,,
184,07/12/15 09:45:00 AM,71.103,,,,
185,07/12/15 10:00:00 AM,71.190,,,,
186,07/12/15 10:15:00 AM,71.317,,,,
187,07/12/15 10:30:00 AM,71.490,,,,
188,07/12/15 10:45:00 AM,71.620,,,,
189,07/12/15 11:00:00 AM,71.791,,,,
190,07/12/15 11:15:00 AM,72.007,,,,
191,07/12/15 11:30:00 AM,72.221,,,,
192,07/12/15 11:45:00 AM,72.480,,,,
193,07/12/15 12:00:00 PM,72.783,,,,
194,07/12/15 12:15:00 PM,73.083,,,,
195,07/12/15 12:30:00 PM,73.386,,,,
196,07/12/15 12:45:00 PM,73.774,,,,
197,07/12/15 01:00:00 PM,74.120,,,,
198,07/12/15 01:15:00 PM,74.467,,,,
199,07/12/15 01:30:00 PM,74.856,,,,
200,07/12/15 01:45:00 PM,75.247,,,,
201,07/12/15 02:00:00 PM,75.681,,,,
202,07/12/15 02:15:00 PM,76.028,,,,
203,07/12/15 02:30:00 PM,76.464,,,,
204,07/12/15 02:45:00 PM,76.811,,,,
205,07/12/15 03:00:00 PM,77.160,,,,
206,07/12/15 03:15:00 PM,77.464,,,,
207,07/12/15 03:30:00 PM,77.770,,,,
208,07/12/15 03:45:00 PM,78.033,,,,
209,07/12/15 04:00:00 PM,78.296,,,,
210,07/12/15 04:15:00 PM,78.514,,,,
211,07/12/15 04:30:00 PM,78.690,,,,
212,07/12/15 04:45:00 PM,78.822,,,,
213,07/12/15 05:00:00 PM,78.953,,,,
214,07/12/15 05:15:00 PM,79.041,,,,
215,07/12/15 05:30:00 PM,79.173,,,,
216,07/12/15 05:45:00 PM,79.261,,,,
217,07/12/15 06:00:00 PM,79.261,,,,
218,07/12/15 06:15:00 PM,79.304,,,,
219,07/12/15 06:30:00 PM,79.347,,,,
220,07/12/15 06:45:00 PM,79.347,,,,
221,07/12/15 07:00:00 PM,79.261,,,,
222,07/12/15 07:15:00 PM,79.216,,,,
223,07/12/15 07:30:00 PM,79.173,,,,
224,07/12/15 07:45:00 PM,79.084,,,,
225,07/12/15 08:00:00 PM,78.996,,,,
226,07/12/15 08:15:00 PM,78.910,,,,
227,07/12/15 08:30:00 PM,78.822,,,,
228,07/12/15 08:45:00 PM,78.690,,,,
229,07/12/15 09:00:00 PM,78.559,,,,
230,07/12/15 09:15:00 PM,78.427,,,,
231,07/12/15 09:30:00 PM,78.296,,,,
232,07/12/15 09:45:00 PM,78.165,,,,
233,07/12/15 10:00:00 PM,78.033,,,,
234,07/12/15 10:15:00 PM,77.902,,,,
235,07/12/15 10:30:00 PM,77.770,,,,
236,07/12/15 10:45:00 PM,77.639,,,,
237,07/12/15 11:00:00 PM,77.509,,,,
238,07/12/15 11:15:00 PM,77.378,,,,
239,07/12/15 11:30:00 PM,77.203,,,,
240,07/12/15 11:45:00 PM,77.029,,,,
241,07/13/15 12:00:00 AM,76.854,,,,
242,07/13/15 12:15:00 AM,76.681,,,,
243,07/13/15 12:30:00 AM,76.507,,,,
244,07/13/15 12:45:00 AM,76.332,,,,
245,07/13/15 01:00:00 AM,76.114,,,,
246,07/13/15 01:15:00 AM,75.853,,,,
247,07/13/15 01:30:00 AM,75.594,,,,
248,07/13/15 01:45:00 AM,75.376,,,,
249,07/13/15 02:00:00 AM,75.117,,,,
250,07/13/15 02:15:00 AM,74.813,,,,
251,07/13/15 02:30:00 AM,74.511,,,,
252,07/13/15 02:45:00 AM,74.206,,,,
253,07/13/15 03:00:00 AM,73.904,,,,
254,07/13/15 03:15:00 AM,73.602,,,,
255,07/13/15 03:30:00 AM,73.256,,,,
256,07/13/15 03:45:00 AM,72.997,,,,
257,07/13/15 04:00:00 AM,72.739,,,,
258,07/13/15 04:15:00 AM,72.523,,,,
259,07/13/15 04:30:00 AM,72.307,,,,
260,07/13/15 04:45:00 AM,72.050,,,,
261,07/13/15 05:00:00 AM,71.834,,,,
262,07/13/15 05:15:00 AM,71.620,,,,
263,07/13/15 05:30:00 AM,71.447,,,,
264,07/13/15 05:45:00 AM,71.274,,,,
265,07/13/15 06:00:00 AM,71.103,,,,
266,07/13/15 06:15:00 AM,70.887,,,,
267,07/13/15 06:30:00 AM,70.673,,,,
268,07/13/15 06:45:00 AM,70.502,,,,
269,07/13/15 07:00:00 AM,70.329,,,,
270,07/13/15 07:15:00 AM,70.158,,,,
271,07/13/15 07:30:00 AM,70.029,,,,
272,07/13/15 07:45:00 AM,69.858,,,,
273,07/13/15 08:00:00 AM,69.643,,,,
274,07/13/15 08:15:00 AM,69.643,,,,
275,07/13/15 08:30:00 AM,69.814,,,,
276,07/13/15 08:45:00 AM,69.985,,,,
277,07/13/15 09:00:00 AM,70.072,,,,
278,07/13/15 09:15:00 AM,70.072,,,,
279,07/13/15 09:30:00 AM,70.072,,,,
280,07/13/15 09:45:00 AM,70.072,,,,
281,07/13/15 10:00:00 AM,70.115,,,,
282,07/13/15 10:15:00 AM,70.158,,,,
283,07/13/15 10:30:00 AM,70.286,,,,
284,07/13/15 10:45:00 AM,70.630,,,,
285,07/13/15 11:00:00 AM,70.974,,,,
286,07/13/15 11:15:00 AM,71.231,,,,
287,07/13/15 11:30:00 AM,71.533,,,,
288,07/13/15 11:45:00 AM,71.834,,,,
289,07/13/15 12:00:00 PM,72.136,,,,
290,07/13/15 12:15:00 PM,72.523,,,,
291,07/13/15 12:30:00 PM,72.912,,,,
292,07/13/15 12:45:00 PM,73.299,,,,
293,07/13/15 01:00:00 PM,73.688,,,,
294,07/13/15 01:15:00 PM,74.120,,,,
295,07/13/15 01:30:00 PM,74.554,,,,
296,07/13/15 01:45:00 PM,74.986,,,,
297,07/13/15 02:00:00 PM,75.420,,,,
298,07/13/15 02:15:00 PM,75.810,,,,
299,07/13/15 02:30:00 PM,76.246,,,,
300,07/13/15 02:45:00 PM,76.593,,,,
301,07/13/15 03:00:00 PM,76.854,,,,
302,07/13/15 03:15:00 PM,77.247,,,,
303,07/13/15 03:30:00 PM,77.596,,,,
304,07/13/15 03:45:00 PM,77.902,,,,
305,07/13/15 04:00:00 PM,78.208,,,,
306,07/13/15 04:15:00 PM,78.471,,,,
307,07/13/15 04:30:00 PM,78.690,,,,
308,07/13/15 04:45:00 PM,78.910,,,,
309,07/13/15 05:00:00 PM,79.084,,,,
310,07/13/15 05:15:00 PM,79.216,,,,
311,07/13/15 05:30:00 PM,79.347,,,,
312,07/13/15 05:45:00 PM,79.435,,,,
313,07/13/15 06:00:00 PM,79.524,,,,
314,07/13/15 06:15:00 PM,79.612,,,,
315,07/13/15 06:30:00 PM,79.612,,,,
316,07/13/15 06:45:00 PM,79.655,,,,
317,07/13/15 07:00:00 PM,79.612,,,,
318,07/13/15 07:15:00 PM,79.612,,,,
319,07/13/15 07:30:00 PM,79.524,,,,
320,07/13/15 07:45:00 PM,79.480,,,,
321,07/13/15 08:00:00 PM,79.435,,,,
322,07/13/15 08:15:00 PM,79.347,,,,
323,07/13/15 08:30:00 PM,79.261,,,,
324,07/13/15 08:45:00 PM,79.128,,,,
325,07/13/15 09:00:00 PM,79.041,,,,
326,07/13/15 09:15:00 PM,78.910,,,,
327,07/13/15 09:30:00 PM,78.777,,,,
328,07/13/15 09:45:00 PM,78.645,,,,
329,07/13/15 10:00:00 PM,78.514,,,,
330,07/13/15 10:15:00 PM,78.382,,,,
331,07/13/15 10:30:00 PM,78.251,,,,
332,07/13/15 10:45:00 PM,78.076,,,,
333,07/13/15 11:00:00 PM,77.945,,,,
334,07/13/15 11:15:00 PM,77.770,,,,
335,07/13/15 11:30:00 PM,77.596,,,,
336,07/13/15 11:45:00 PM,77.421,,,,
337,07/14/15 12:00:00 AM,77.203,,,,
338,07/14/15 12:15:00 AM,77.029,,,,
339,07/14/15 12:30:00 AM,76.854,,,,
340,07/14/15 12:45:00 AM,76.636,,,,
341,07/14/15 01:00:00 AM,76.375,,,,
342,07/14/15 01:15:00 AM,76.114,,,,
343,07/14/15 01:30:00 AM,75.853,,,,
344,07/14/15 01:45:00 AM,75.594,,,,
345,07/14/15 02:00:00 AM,75.290,,,,
346,07/14/15 02:15:00 AM,74.986,,,,
347,07/14/15 02:30:00 AM,74.683,,,,
348,07/14/15 02:45:00 AM,74.338,,,,
349,07/14/15 03:00:00 AM,74.034,,,,
350,07/14/15 03:15:00 AM,73.731,,,,
351,07/14/15 03:30:00 AM,73.429,,,,
352,07/14/15 03:45:00 AM,73.170,,,,
353,07/14/15 04:00:00 AM,72.912,,,,
354,07/14/15 04:15:00 AM,72.653,,,,
355,07/14/15 04:30:00 AM,72.394,,,,
356,07/14/15 04:45:00 AM,72.178,,,,
357,07/14/15 05:00:00 AM,72.007,,,,
358,07/14/15 05:15:00 AM,71.791,,,,
359,07/14/15 05:30:00 AM,71.533,,,,
360,07/14/15 05:45:00 AM,71.317,,,,
361,07/14/15 06:00:00 AM,71.146,,,,
362,07/14/15 06:15:00 AM,70.930,,,,
363,07/14/15 06:30:00 AM,70.759,,,,
364,07/14/15 06:45:00 AM,70.543,,,,
365,07/14/15 07:00:00 AM,70.329,,,,
366,07/14/15 07:15:00 AM,70.115,,,,
367,07/14/15 07:30:00 AM,69.901,,,,
368,07/14/15 07:45:00 AM,69.728,,,,
369,07/14/15 08:00:00 AM,69.600,,,,
370,07/14/15 08:15:00 AM,69.728,,,,
371,07/14/15 08:30:00 AM,69.901,,,,
372,07/14/15 08:45:00 AM,69.942,,,,
373,07/14/15 09:00:00 AM,69.942,,,,
374,07/14/15 09:15:00 AM,69.901,,,,
375,07/14/15 09:30:00 AM,69.858,,,,
376,07/14/15 09:45:00 AM,69.942,,,,
377,07/14/15 10:00:00 AM,69.942,,,,
378,07/14/15 10:15:00 AM,70.029,,,,
379,07/14/15 10:30:00 AM,70.286,,,,
380,07/14/15 10:45:00 AM,70.630,,,,
381,07/14/15 11:00:00 AM,70.930,,,,
382,07/14/15 11:15:00 AM,71.190,,,,
383,07/14/15 11:30:00 AM,71.447,,,,
384,07/14/15 11:45:00 AM,71.791,,,,
385,07/14/15 12:00:00 PM,72.093,,,,
386,07/14/15 12:15:00 PM,72.437,,,,
387,07/14/15 12:30:00 PM,72.826,,,,
388,07/14/15 12:45:00 PM,73.213,,,,
389,07/14/15 01:00:00 PM,73.645,,,,
390,07/14/15 01:15:00 PM,74.034,,,,
391,07/14/15 01:30:00 PM,74.467,,,,
392,07/14/15 01:45:00 PM,74.899,,,,
393,07/14/15 02:00:00 PM,75.333,,,,
394,07/14/15 02:15:00 PM,75.767,,,,
395,07/14/15 02:30:00 PM,76.203,,,,
396,07/14/15 02:45:00 PM,76.636,,,,
397,07/14/15 03:00:00 PM,76.986,,,,
398,07/14/15 03:15:00 PM,77.378,,,,
399,07/14/15 03:30:00 PM,77.684,,,,
400,07/14/15 03:45:00 PM,78.033,,,,
401,07/14/15 04:00:00 PM,78.251,,,,
402,07/14/15 04:15:00 PM,78.514,,,,
403,07/14/15 04:30:00 PM,78.733,,,,
404,07/14/15 04:45:00 PM,78.865,,,,
405,07/14/15 05:00:00 PM,78.996,,,,
406,07/14/15 05:15:00 PM,79.084,,,,
407,07/14/15 05:30:00 PM,79.128,,,,
408,07/14/15 05:45:00 PM,79.173,,,,
409,07/14/15 06:00:00 PM,78.996,,,,
410,07/14/15 06:15:00 PM,78.865,,,,
411,07/14/15 06:30:00 PM,78.777,,,,
412,07/14/15 06:45:00 PM,78.777,,,,
413,07/14/15 07:00:00 PM,78.777,,,,
414,07/14/15 07:15:00 PM,78.733,,,,
415,07/14/15 07:30:00 PM,78.733,,,,
416,07/14/15 07:45:00 PM,78.645,,,,
417,07/14/15 08:00:00 PM,78.559,,,,
418,07/14/15 08:15:00 PM,78.427,,,,
419,07/14/15 08:30:00 PM,78.296,,,,
420,07/14/15 08:45:00 PM,78.165,,,,
421,07/14/15 09:00:00 PM,78.033,,,,
422,07/14/15 09:15:00 PM,77.902,,,,
423,07/14/15 09:30:00 PM,77.770,,,,
424,07/14/15 09:45:00 PM,77.639,,,,
425,07/14/15 10:00:00 PM,77.509,,,,
426,07/14/15 10:15:00 PM,77.335,,,,
427,07/14/15 10:30:00 PM,77.160,,,,
428,07/14/15 10:45:00 PM,77.029,,,,
429,07/14/15 11:00:00 PM,76.854,,,,
430,07/14/15 11:15:00 PM,76.681,,,,
431,07/14/15 11:30:00 PM,76.507,,,,
432,07/14/15 11:45:00 PM,76.332,,,,
433,07/15/15 12:00:00 AM,76.114,,,,
434,07/15/15 12:15:00 AM,75.898,,,,
435,07/15/15 12:30:00 AM,75.681,,,,
436,07/15/15 12:45:00 AM,75.463,,,,
437,07/15/15 01:00:00 AM,75.247,,,,
438,07/15/15 01:15:00 AM,74.986,,,,
439,07/15/15 01:30:00 AM,74.770,,,,
440,07/15/15 01:45:00 AM,74.554,,,,
441,07/15/15 02:00:00 AM,74.295,,,,
442,07/15/15 02:15:00 AM,74.077,,,,
443,07/15/15 02:30:00 AM,73.818,,,,
444,07/15/15 02:45:00 AM,73.558,,,,
445,07/15/15 03:00:00 AM,73.342,,,,
446,07/15/15 03:15:00 AM,73.083,,,,
447,07/15/15 03:30:00 AM,72.869,,,,
448,07/15/15 03:45:00 AM,72.653,,,,
449,07/15/15 04:00:00 AM,72.437,,,,
450,07/15/15 04:15:00 AM,72.221,,,,
451,07/15/15 04:30:00 AM,72.007,,,,
452,07/15/15 04:45:00 AM,71.791,,,,
453,07/15/15 05:00:00 AM,71.577,,,,
454,07/15/15 05:15:00 AM,71.404,,,,
455,07/15/15 05:30:00 AM,71.190,,,,
456,07/15/15 05:45:00 AM,71.017,,,,
457,07/15/15 06:00:00 AM,70.846,,,,
458,07/15/15 06:15:00 AM,70.673,,,,
459,07/15/15 06:30:00 AM,70.459,,,,
460,07/15/15 06:45:00 AM,70.286,,,,
461,07/15/15 07:00:00 AM,70.158,,,,
462,07/15/15 07:15:00 AM,70.029,,,,
463,07/15/15 07:30:00 AM,69.901,,,,
464,07/15/15 07:45:00 AM,69.814,,,,
465,07/15/15 08:00:00 AM,69.685,,,,
466,07/15/15 08:15:00 AM,69.600,,,,
467,07/15/15 08:30:00 AM,69.514,,,,
468,07/15/15 08:45:00 AM,69.471,,,,
469,07/15/15 09:00:00 AM,69.427,,,,
470,07/15/15 09:15:00 AM,69.386,,,,
471,07/15/15 09:30:00 AM,69.343,,,,
472,07/15/15 09:45:00 AM,69.343,,,,
473,07/15/15 10:00:00 AM,69.343,,,,
474,07/15/15 10:15:00 AM,69.386,,,,
475,07/15/15 10:30:00 AM,69.343,,,,
476,07/15/15 10:45:00 AM,69.343,,,,
477,07/15/15 11:00:00 AM,69.386,,,,
478,07/15/15 11:15:00 AM,69.643,,,,
479,07/15/15 11:30:00 AM,69.728,,,,
480,07/15/15 11:45:00 AM,69.771,,,,
481,07/15/15 12:00:00 PM,69.858,,,,
482,07/15/15 12:15:00 PM,69.942,,,,
483,07/15/15 12:30:00 PM,70.201,,,,
484,07/15/15 12:45:00 PM,70.329,,,,
485,07/15/15 01:00:00 PM,70.416,,,,
486,07/15/15 01:15:00 PM,70.543,,,,
487,07/15/15 01:30:00 PM,70.587,,,,
488,07/15/15 01:45:00 PM,70.543,,,,
489,07/15/15 02:00:00 PM,70.502,,,,
490,07/15/15 02:15:00 PM,70.459,,,,
491,07/15/15 02:30:00 PM,70.459,,,,
492,07/15/15 02:45:00 PM,70.416,,,,
493,07/15/15 03:00:00 PM,70.416,,,,
494,07/15/15 03:15:00 PM,70.416,,,,
495,07/15/15 03:30:00 PM,70.502,,,,
496,07/15/15 03:45:00 PM,70.502,,,,
497,07/15/15 04:00:00 PM,70.459,,,,
498,07/15/15 04:15:00 PM,70.459,,,,
499,07/15/15 04:30:00 PM,70.502,,,,
500,07/15/15 04:45:00 PM,70.587,,,,
501,07/15/15 05:00:00 PM,70.673,,,,
502,07/15/15 05:15:00 PM,70.759,,,,
503,07/15/15 05:30:00 PM,70.803,,,,
504,07/15/15 05:45:00 PM,70.887,,,,
505,07/15/15 06:00:00 PM,70.930,,,,
506,07/15/15 06:15:00 PM,70.974,,,,
507,07/15/15 06:30:00 PM,70.930,,,,
508,07/15/15 06:45:00 PM,70.930,,,,
509,07/15/15 07:00:00 PM,70.974,,,,
510,07/15/15 07:15:00 PM,71.017,,,,
511,07/15/15 07:30:00 PM,70.974,,,,
512,07/15/15 07:45:00 PM,70.930,,,,
513,07/15/15 08:00:00 PM,70.846,,,,
514,07/15/15 08:15:00 PM,70.759,,,,
515,07/15/15 08:30:00 PM,70.630,,,,
516,07/15/15 08:45:00 PM,70.543,,,,
517,07/15/15 09:00:00 PM,70.459,,,,
518,07/15/15 09:15:00 PM,70.329,,,,
519,07/15/15 09:30:00 PM,70.243,,,,
520,07/15/15 09:45:00 PM,70.115,,,,
521,07/15/15 10:00:00 PM,69.985,,,,
522,07/15/15 10:15:00 PM,69.901,,,,
523,07/15/15 10:30:00 PM,69.771,,,,
524,07/15/15 10:45:00 PM,69.685,,,,
525,07/15/15 11:00:00 PM,69.557,,,,
526,07/15/15 11:15:00 PM,69.471,,,,
527,07/15/15 11:30:00 PM,69.386,,,,
528,07/15/15 11:45:00 PM,69.300,,,,
529,07/16/15 12:00:00 AM,69.213,,,,
530,07/16/15 12:15:00 AM,69.129,,,,
531,07/16/15 12:30:00 AM,69.042,,,,
532,07/16/15 12:45:00 AM,68.913,,,,
533,07/16/15 01:00:00 AM,68.828,,,,
534,07/16/15 01:15:00 AM,68.742,,,,
535,07/16/15 01:30:00 AM,68.657,,,,
536,07/16/15 01:45:00 AM,68.571,,,,
537,07/16/15 02:00:00 AM,68.484,,,,
538,07/16/15 02:15:00 AM,68.443,,,,
539,07/16/15 02:30:00 AM,68.313,,,,
