	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
10-Jul	68.527	75.117	72.61885417	6.59	72.998
11-Jul	66.472	78.996	72.04922917	12.524	70.0285
12-Jul	71.92	81.819	76.34419792	9.899	75.225
13-Jul	70.887	82.441	76.43257292	11.554	75.984
14-Jul	70.63	81.997	76.09309375	11.367	76.0055
15-Jul	69.814	75.985	71.66423958	6.171	71.791
16-Jul	67.242	80.139	72.64977083	12.897	70.673
17-Jul	65.188	80.096	72.20372917	14.908	72.0275
18-Jul	64.503	78.427	71.24921875	13.924	71.06
19-Jul	63.39	78.033	70.57457292	14.643	70.372
20-Jul	63.39	75.16	61.17409918	11.77	68.7415
21-Jul	58.582	70.716	65.45696875	12.134	66.279
22-Jul	62.704	74.554	67.91844792	11.85	66.9855
23-Jul	64.418	81.775	71.87902083	17.357	72.028
24-Jul	63.176	78.339	71.04255208	15.163	70.9955
25-Jul	62.533	79.743	71.17635417	17.21	71.447
26-Jul	62.533	80.404	71.50936458	17.871	71.06
27-Jul	61.119	81.244	72.02961458	20.125	73.1055
28-Jul	60.948	74.899	69.2353125	13.951	69.2575
29-Jul	56.295	74.077	64.992	17.782	64.3315
30-Jul	58.368	76.028	66.70667708	17.66	65.872
31-Jul	59.014	76.028	67.33552083	17.014	67.028
1-Aug	58.842	68.614	64.03996875	9.772	63.6045
2-Aug	60.346	77.247	68.04564583	16.901	65.894
3-Aug	60.604	74.554	67.54677083	13.95	67.821
4-Aug	61.633	69.042	65.55170833	7.409	65.8085
5-Aug	61.333	76.854	68.04338542	15.521	65.6795
6-Aug	63.475	76.203	69.13504167	12.728	68.4635
7-Aug	58.798	74.856	66.67001042	16.058	66.043
8-Aug	61.977	71.317	66.97652083	9.34	67.3925
9-Aug	60.904	74.25	66.74626042	13.346	65.765
10-Aug	60.39	75.16	67.08372917	14.77	66.8145
11-Aug	59.185	74.424	66.51758333	15.239	65.7665
12-Aug	60.733	77.684	68.588625	16.951	67.136
13-Aug	63.39	77.16	69.20873958	13.77	68.4635
14-Aug	60.046	77.596	68.29479167	17.55	66.6005
15-Aug	63.433	79.128	70.80915625	15.695	69.771
16-Aug	62.834	71.49	65.73061458	8.656	65.017
17-Aug	59.401	66.814	62.61210417	7.413	62.148
18-Aug	57.893	62.661	60.0383125	4.768	59.9595
19-Aug	53.908	65.788	59.54692708	11.88	58.389
20-Aug	54.169	71.704	62.24428125	17.535	59.938
21-Aug	56.469	72.653	64.43392708	16.184	63.861
22-Aug	59.83	68.698	64.98259375	8.868	64.6955
23-Aug	52.947	67.798	59.81542708	14.851	58.885
24-Aug	52.16	69.728	60.42730208	17.568	58.9705
25-Aug	54.777	71.017	62.52430208	16.24	61.2905
26-Aug	59.014	75.074	66.485125	16.06	64.589
27-Aug	63.176	72.136	67.42897917	8.96	67.3285
28-Aug	63.09	71.103	66.44134375	8.013	65.83
29-Aug	57.85	71.19	64.041875	13.34	63.347
30-Aug	59.185	71.274	64.94188542	12.089	64.7385
31-Aug	60.089	72.912	65.9754375	12.823	64.7385
1-Sep	61.333	73.731	66.68302083	12.398	65.594
2-Sep	60.346	74.554	67.00841053	14.208	66.343
3-Sep	59.873	73.256	66.64701042	13.383	66.5575
4-Sep	62.447	75.508	68.38035417	13.061	66.9855
5-Sep	62.233	69.129	65.32708333	6.896	65.102
6-Sep	60.174	69.042	64.3014375	8.868	64.032
7-Sep	58.109	68.871	63.07278125	10.762	62.2555
8-Sep	58.885	68.571	63.46572917	9.686	63.3895
9-Sep	57.247	70.416	63.122125	13.169	61.8475
10-Sep	56.251	63.39	60.13659375	7.139	60.2385
11-Sep	52.291	64.418	58.22639583	12.127	57.657
12-Sep	54.734	68.313	60.831625	13.579	59.0135
13-Sep	55.69	69.985	62.39951042	14.295	61.1825
14-Sep	57.592	71.103	64.06216667	13.511	63.411
15-Sep	59.229	71.19	64.84428125	11.961	64.2895
16-Sep	58.541	70.974	64.50873958	12.433	64.0755
17-Sep	58.582	67.586	63.02580208	9.004	62.9615
18-Sep	56.208	62.191	58.91044792	5.983	58.54
19-Sep	51.148	63.39	56.82570833	12.242	55.667
20-Sep	53.472	66.9	59.54032292	13.428	57.8075
21-Sep	55.038	68.356	61.194	13.318	60.0025
22-Sep	55.69	61.761	58.79184375	6.071	59.2935
23-Sep	59.014	61.162	59.93219792	2.148	59.788
24-Sep	60.69	63.048	61.66661458	2.358	61.205
25-Sep	60.003	61.977	60.87948958	1.974	60.7965
26-Sep	58.282	67.928	62.22236458	9.646	60.604
27-Sep	59.358	69.557	54.49918969	10.199	63.133
28-Sep	60.69	67.242	63.75386458	6.552	63.561
