"Plot Title: Sand Draw #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719039, SEN S/N: 10719039)","Coupler Detached (LGR S/N: 10719039)","Coupler Attached (LGR S/N: 10719039)","Stopped (LGR S/N: 10719039)","End Of File (LGR S/N: 10719039)"
1,07/10/15 12:00:00 PM,68.270,Logged,,,
2,07/10/15 12:15:00 PM,68.527,,,,
3,07/10/15 12:30:00 PM,68.614,,,,
4,07/10/15 12:45:00 PM,68.785,,,,
5,07/10/15 01:00:00 PM,69.300,,,,
6,07/10/15 01:15:00 PM,69.685,,,,
7,07/10/15 01:30:00 PM,70.372,,,,
8,07/10/15 01:45:00 PM,71.060,,,,
9,07/10/15 02:00:00 PM,71.361,,,,
10,07/10/15 02:15:00 PM,71.490,,,,
11,07/10/15 02:30:00 PM,71.791,,,,
12,07/10/15 02:45:00 PM,72.221,,,,
13,07/10/15 03:00:00 PM,72.307,,,,
14,07/10/15 03:15:00 PM,72.480,,,,
15,07/10/15 03:30:00 PM,72.912,,,,
16,07/10/15 03:45:00 PM,73.040,,,,
17,07/10/15 04:00:00 PM,73.040,,,,
18,07/10/15 04:15:00 PM,73.731,,,,
19,07/10/15 04:30:00 PM,73.904,,,,
20,07/10/15 04:45:00 PM,74.120,,,,
21,07/10/15 05:00:00 PM,74.554,,,,
22,07/10/15 05:15:00 PM,74.381,,,,
23,07/10/15 05:30:00 PM,74.120,,,,
24,07/10/15 05:45:00 PM,74.206,,,,
25,07/10/15 06:00:00 PM,74.034,,,,
26,07/10/15 06:15:00 PM,73.774,,,,
27,07/10/15 06:30:00 PM,73.558,,,,
28,07/10/15 06:45:00 PM,73.386,,,,
29,07/10/15 07:00:00 PM,73.170,,,,
30,07/10/15 07:15:00 PM,72.912,,,,
31,07/10/15 07:30:00 PM,72.653,,,,
32,07/10/15 07:45:00 PM,72.351,,,,
33,07/10/15 08:00:00 PM,72.093,,,,
34,07/10/15 08:15:00 PM,71.877,,,,
35,07/10/15 08:30:00 PM,71.577,,,,
36,07/10/15 08:45:00 PM,71.274,,,,
37,07/10/15 09:00:00 PM,70.974,,,,
38,07/10/15 09:15:00 PM,70.673,,,,
39,07/10/15 09:30:00 PM,70.416,,,,
40,07/10/15 09:45:00 PM,70.243,,,,
41,07/10/15 10:00:00 PM,70.029,,,,
42,07/10/15 10:15:00 PM,69.858,,,,
43,07/10/15 10:30:00 PM,69.728,,,,
44,07/10/15 10:45:00 PM,69.514,,,,
45,07/10/15 11:00:00 PM,69.343,,,,
46,07/10/15 11:15:00 PM,69.170,,,,
47,07/10/15 11:30:00 PM,68.956,,,,
48,07/10/15 11:45:00 PM,68.742,,,,
49,07/11/15 12:00:00 AM,68.527,,,,
50,07/11/15 12:15:00 AM,68.356,,,,
51,07/11/15 12:30:00 AM,68.185,,,,
52,07/11/15 12:45:00 AM,67.971,,,,
