"Plot Title: Schlagel Swanson"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739503, SEN S/N: 10739503)","Coupler Detached (LGR S/N: 10739503)","Coupler Attached (LGR S/N: 10739503)","Stopped (LGR S/N: 10739503)","End Of File (LGR S/N: 10739503)"
1,07/17/15 07:00:00 AM,63.561,Logged,,,
2,07/17/15 08:00:00 AM,63.347,,,,
3,07/17/15 09:00:00 AM,63.433,,,,
4,07/17/15 10:00:00 AM,63.819,,,,
5,07/17/15 11:00:00 AM,64.717,,,,
6,07/17/15 12:00:00 PM,66.130,,,,
7,07/17/15 01:00:00 PM,67.971,,,,
8,07/17/15 02:00:00 PM,70.158,,,,
9,07/17/15 03:00:00 PM,71.920,,,,
10,07/17/15 04:00:00 PM,73.126,,,,
11,07/17/15 05:00:00 PM,73.472,,,,
12,07/17/15 06:00:00 PM,73.386,,,,
13,07/17/15 07:00:00 PM,73.299,,,,
14,07/17/15 08:00:00 PM,72.653,,,,
15,07/17/15 09:00:00 PM,71.274,,,,
16,07/17/15 10:00:00 PM,69.814,,,,
17,07/17/15 11:00:00 PM,68.614,,,,
18,07/18/15 12:00:00 AM,67.627,,,,
19,07/18/15 01:00:00 AM,66.814,,,,
20,07/18/15 02:00:00 AM,65.959,,,,
21,07/18/15 03:00:00 AM,65.188,,,,
22,07/18/15 04:00:00 AM,64.418,,,,
23,07/18/15 05:00:00 AM,63.775,,,,
24,07/18/15 06:00:00 AM,63.133,,,,
25,07/18/15 07:00:00 AM,62.533,,,,
26,07/18/15 08:00:00 AM,62.319,,,,
27,07/18/15 09:00:00 AM,62.406,,,,
28,07/18/15 10:00:00 AM,62.791,,,,
29,07/18/15 11:00:00 AM,63.732,,,,
30,07/18/15 12:00:00 PM,65.230,,,,
31,07/18/15 01:00:00 PM,67.114,,,,
32,07/18/15 02:00:00 PM,69.213,,,,
33,07/18/15 03:00:00 PM,70.930,,,,
34,07/18/15 04:00:00 PM,71.964,,,,
35,07/18/15 05:00:00 PM,72.050,,,,
36,07/18/15 06:00:00 PM,71.964,,,,
37,07/18/15 07:00:00 PM,71.834,,,,
38,07/18/15 08:00:00 PM,71.577,,,,
39,07/18/15 09:00:00 PM,70.887,,,,
40,07/18/15 10:00:00 PM,69.814,,,,
41,07/18/15 11:00:00 PM,68.785,,,,
42,07/19/15 12:00:00 AM,67.842,,,,
43,07/19/15 01:00:00 AM,66.900,,,,
44,07/19/15 02:00:00 AM,66.000,,,,
45,07/19/15 03:00:00 AM,65.059,,,,
46,07/19/15 04:00:00 AM,64.161,,,,
47,07/19/15 05:00:00 AM,63.304,,,,
48,07/19/15 06:00:00 AM,62.661,,,,
49,07/19/15 07:00:00 AM,62.062,,,,
50,07/19/15 08:00:00 AM,61.761,,,,
51,07/19/15 09:00:00 AM,61.720,,,,
52,07/19/15 10:00:00 AM,62.062,,,,
53,07/19/15 11:00:00 AM,62.962,,,,
54,07/19/15 12:00:00 PM,64.589,,,,
55,07/19/15 01:00:00 PM,67.071,,,,
56,07/19/15 02:00:00 PM,69.557,,,,
57,07/19/15 03:00:00 PM,71.661,,,,
58,07/19/15 04:00:00 PM,72.523,,,,
59,07/19/15 05:00:00 PM,73.040,,,,
60,07/19/15 06:00:00 PM,73.126,,,,
61,07/19/15 07:00:00 PM,72.869,,,,
62,07/19/15 08:00:00 PM,72.351,,,,
63,07/19/15 09:00:00 PM,71.447,,,,
64,07/19/15 10:00:00 PM,70.587,,,,
65,07/19/15 11:00:00 PM,69.685,,,,
