"Plot Title: Snake Adamson"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739498, SEN S/N: 10739498)","Coupler Detached (LGR S/N: 10739498)","Coupler Attached (LGR S/N: 10739498)","Stopped (LGR S/N: 10739498)","End Of File (LGR S/N: 10739498)"
1,07/17/15 07:00:00 AM,67.671,Logged,,,
2,07/17/15 08:00:00 AM,67.242,,,,
3,07/17/15 09:00:00 AM,67.543,,,,
4,07/17/15 10:00:00 AM,68.527,,,,
5,07/17/15 11:00:00 AM,70.201,,,,
6,07/17/15 12:00:00 PM,72.307,,,,
7,07/17/15 01:00:00 PM,74.640,,,,
8,07/17/15 02:00:00 PM,77.117,,,,
9,07/17/15 03:00:00 PM,79.173,,,,
10,07/17/15 04:00:00 PM,81.066,,,,
11,07/17/15 05:00:00 PM,81.909,,,,
12,07/17/15 06:00:00 PM,80.757,,,,
13,07/17/15 07:00:00 PM,78.953,,,,
14,07/17/15 08:00:00 PM,77.029,,,,
15,07/17/15 09:00:00 PM,75.637,,,,
16,07/17/15 10:00:00 PM,74.206,,,,
17,07/17/15 11:00:00 PM,72.696,,,,
18,07/18/15 12:00:00 AM,71.361,,,,
19,07/18/15 01:00:00 AM,70.372,,,,
20,07/18/15 02:00:00 AM,69.728,,,,
21,07/18/15 03:00:00 AM,69.042,,,,
22,07/18/15 04:00:00 AM,68.185,,,,
23,07/18/15 05:00:00 AM,67.242,,,,
24,07/18/15 06:00:00 AM,66.515,,,,
25,07/18/15 07:00:00 AM,65.916,,,,
26,07/18/15 08:00:00 AM,65.701,,,,
27,07/18/15 09:00:00 AM,66.043,,,,
28,07/18/15 10:00:00 AM,67.285,,,,
29,07/18/15 11:00:00 AM,69.085,,,,
30,07/18/15 12:00:00 PM,71.190,,,,
31,07/18/15 01:00:00 PM,73.429,,,,
32,07/18/15 02:00:00 PM,75.767,,,,
33,07/18/15 03:00:00 PM,77.727,,,,
34,07/18/15 04:00:00 PM,79.435,,,,
35,07/18/15 05:00:00 PM,80.404,,,,
36,07/18/15 06:00:00 PM,80.625,,,,
37,07/18/15 07:00:00 PM,79.700,,,,
38,07/18/15 08:00:00 PM,78.559,,,,
39,07/18/15 09:00:00 PM,77.160,,,,
40,07/18/15 10:00:00 PM,75.767,,,,
41,07/18/15 11:00:00 PM,74.467,,,,
42,07/19/15 12:00:00 AM,73.170,,,,
43,07/19/15 01:00:00 AM,71.877,,,,
44,07/19/15 02:00:00 AM,70.759,,,,
45,07/19/15 03:00:00 AM,69.771,,,,
46,07/19/15 04:00:00 AM,68.956,,,,
47,07/19/15 05:00:00 AM,68.099,,,,
48,07/19/15 06:00:00 AM,67.242,,,,
49,07/19/15 07:00:00 AM,66.515,,,,
50,07/19/15 08:00:00 AM,66.173,,,,
51,07/19/15 09:00:00 AM,66.558,,,,
52,07/19/15 10:00:00 AM,67.885,,,,
53,07/19/15 11:00:00 AM,69.600,,,,
54,07/19/15 12:00:00 PM,72.050,,,,
55,07/19/15 01:00:00 PM,74.683,,,,
56,07/19/15 02:00:00 PM,77.378,,,,
57,07/19/15 03:00:00 PM,79.788,,,,
58,07/19/15 04:00:00 PM,81.023,,,,
59,07/19/15 05:00:00 PM,82.085,,,,
60,07/19/15 06:00:00 PM,82.085,,,,
61,07/19/15 07:00:00 PM,81.199,,,,
62,07/19/15 08:00:00 PM,80.008,,,,
63,07/19/15 09:00:00 PM,78.471,,,,
64,07/19/15 10:00:00 PM,76.768,,,,
65,07/19/15 11:00:00 PM,75.594,,,,
66,07/20/15 12:00:00 AM,74.381,,,,
67,07/20/15 01:00:00 AM,73.170,,,,
68,07/20/15 02:00:00 AM,72.221,,,,
69,07/20/15 03:00:00 AM,71.404,,,,
70,07/20/15 04:00:00 AM,70.502,,,,
71,07/20/15 05:00:00 AM,69.557,,,,
72,07/20/15 06:00:00 AM,68.698,,,,
73,07/20/15 07:00:00 AM,67.757,,,,
74,07/20/15 08:00:00 AM,67.329,,,,
75,07/20/15 09:00:00 AM,67.372,,,,
76,07/20/15 10:00:00 AM,68.270,,,,
77,07/20/15 11:00:00 AM,69.858,,,,
78,07/20/15 12:00:00 PM,71.791,,,,
79,07/20/15 01:00:00 PM,73.990,,,,
80,07/20/15 02:00:00 PM,76.375,,,,
81,07/20/15 03:00:00 PM,78.471,,,,
82,07/20/15 04:00:00 PM,80.184,,,,
83,07/20/15 05:00:00 PM,81.111,,,,
84,07/20/15 06:00:00 PM,81.288,,,,
85,07/20/15 07:00:00 PM,80.668,,,,
86,07/20/15 08:00:00 PM,79.435,,,,
87,07/20/15 09:00:00 PM,77.945,,,,
88,07/20/15 10:00:00 PM,76.289,,,,
89,07/20/15 11:00:00 PM,74.640,,,,
90,07/21/15 12:00:00 AM,73.126,,,,
91,07/21/15 01:00:00 AM,71.791,,,,
92,07/21/15 02:00:00 AM,70.587,,,,
93,07/21/15 03:00:00 AM,69.557,,,,
94,07/21/15 04:00:00 AM,68.698,,,,
95,07/21/15 05:00:00 AM,67.928,,,,
96,07/21/15 06:00:00 AM,67.199,,,,
97,07/21/15 07:00:00 AM,66.729,,,,
98,07/21/15 08:00:00 AM,66.472,,,,
99,07/21/15 09:00:00 AM,66.729,,,,
100,07/21/15 10:00:00 AM,67.199,,,,
101,07/21/15 11:00:00 AM,68.013,,,,
102,07/21/15 12:00:00 PM,69.471,,,,
103,07/21/15 01:00:00 PM,69.771,,,,
104,07/21/15 02:00:00 PM,69.858,,,,
