"Plot Title: Snake Upper Merritt"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739504, SEN S/N: 10739504)","Coupler Detached (LGR S/N: 10739504)","Coupler Attached (LGR S/N: 10739504)","Stopped (LGR S/N: 10739504)","End Of File (LGR S/N: 10739504)"
1,07/17/15 07:00:00 AM,69.427,Logged,,,
2,07/17/15 08:00:00 AM,69.085,,,,
3,07/17/15 09:00:00 AM,69.771,,,,
4,07/17/15 10:00:00 AM,70.846,,,,
5,07/17/15 11:00:00 AM,72.696,,,,
6,07/17/15 12:00:00 PM,75.029,,,,
7,07/17/15 01:00:00 PM,77.553,,,,
8,07/17/15 02:00:00 PM,79.920,,,,
9,07/17/15 03:00:00 PM,82.218,,,,
10,07/17/15 04:00:00 PM,84.227,,,,
11,07/17/15 05:00:00 PM,85.127,,,,
12,07/17/15 06:00:00 PM,83.824,,,,
13,07/17/15 07:00:00 PM,81.333,,,,
14,07/17/15 08:00:00 PM,78.777,,,,
15,07/17/15 09:00:00 PM,77.596,,,,
16,07/17/15 10:00:00 PM,76.114,,,,
17,07/17/15 11:00:00 PM,74.727,,,,
18,07/18/15 12:00:00 AM,73.429,,,,
19,07/18/15 01:00:00 AM,72.394,,,,
20,07/18/15 02:00:00 AM,71.791,,,,
21,07/18/15 03:00:00 AM,71.017,,,,
22,07/18/15 04:00:00 AM,70.286,,,,
23,07/18/15 05:00:00 AM,69.471,,,,
24,07/18/15 06:00:00 AM,68.614,,,,
25,07/18/15 07:00:00 AM,68.056,,,,
26,07/18/15 08:00:00 AM,67.543,,,,
27,07/18/15 09:00:00 AM,68.099,,,,
28,07/18/15 10:00:00 AM,69.814,,,,
29,07/18/15 11:00:00 AM,71.964,,,,
30,07/18/15 12:00:00 PM,74.163,,,,
31,07/18/15 01:00:00 PM,76.725,,,,
32,07/18/15 02:00:00 PM,79.041,,,,
33,07/18/15 03:00:00 PM,81.376,,,,
34,07/18/15 04:00:00 PM,82.931,,,,
35,07/18/15 05:00:00 PM,83.824,,,,
36,07/18/15 06:00:00 PM,84.049,,,,
37,07/18/15 07:00:00 PM,82.931,,,,
38,07/18/15 08:00:00 PM,81.154,,,,
39,07/18/15 09:00:00 PM,79.788,,,,
40,07/18/15 10:00:00 PM,78.471,,,,
41,07/18/15 11:00:00 PM,77.160,,,,
42,07/19/15 12:00:00 AM,75.942,,,,
43,07/19/15 01:00:00 AM,74.554,,,,
44,07/19/15 02:00:00 AM,73.429,,,,
45,07/19/15 03:00:00 AM,72.480,,,,
46,07/19/15 04:00:00 AM,71.577,,,,
47,07/19/15 05:00:00 AM,70.716,,,,
48,07/19/15 06:00:00 AM,69.858,,,,
49,07/19/15 07:00:00 AM,69.085,,,,
50,07/19/15 08:00:00 AM,68.742,,,,
51,07/19/15 09:00:00 AM,69.386,,,,
52,07/19/15 10:00:00 AM,70.803,,,,
53,07/19/15 11:00:00 AM,72.869,,,,
54,07/19/15 12:00:00 PM,75.420,,,,
55,07/19/15 01:00:00 PM,78.121,,,,
56,07/19/15 02:00:00 PM,80.802,,,,
57,07/19/15 03:00:00 PM,83.199,,,,
58,07/19/15 04:00:00 PM,85.035,,,,
59,07/19/15 05:00:00 PM,86.029,,,,
60,07/19/15 06:00:00 PM,85.127,,,,
61,07/19/15 07:00:00 PM,83.332,,,,
62,07/19/15 08:00:00 PM,81.333,,,,
63,07/19/15 09:00:00 PM,80.537,,,,
64,07/19/15 10:00:00 PM,79.435,,,,
65,07/19/15 11:00:00 PM,78.121,,,,
66,07/20/15 12:00:00 AM,76.507,,,,
67,07/20/15 01:00:00 AM,75.029,,,,
68,07/20/15 02:00:00 AM,74.250,,,,
69,07/20/15 03:00:00 AM,73.386,,,,
70,07/20/15 04:00:00 AM,72.307,,,,
71,07/20/15 05:00:00 AM,71.447,,,,
72,07/20/15 06:00:00 AM,70.543,,,,
73,07/20/15 07:00:00 AM,69.256,,,,
74,07/20/15 08:00:00 AM,68.698,,,,
75,07/20/15 09:00:00 AM,69.129,,,,
76,07/20/15 10:00:00 AM,70.201,,,,
77,07/20/15 11:00:00 AM,72.050,,,,
78,07/20/15 12:00:00 PM,74.338,,,,
79,07/20/15 01:00:00 PM,76.725,,,,
80,07/20/15 02:00:00 PM,79.216,,,,
81,07/20/15 03:00:00 PM,81.509,,,,
82,07/20/15 04:00:00 PM,82.931,,,,
83,07/20/15 05:00:00 PM,83.914,,,,
84,07/20/15 06:00:00 PM,84.587,,,,
85,07/20/15 07:00:00 PM,83.287,,,,
86,07/20/15 08:00:00 PM,81.730,,,,
87,07/20/15 09:00:00 PM,79.655,,,,
88,07/20/15 10:00:00 PM,78.076,,,,
89,07/20/15 11:00:00 PM,76.681,,,,
90,07/21/15 12:00:00 AM,75.029,,,,
91,07/21/15 01:00:00 AM,73.818,,,,
92,07/21/15 02:00:00 AM,72.653,,,,
93,07/21/15 03:00:00 AM,71.620,,,,
94,07/21/15 04:00:00 AM,70.887,,,,
95,07/21/15 05:00:00 AM,70.115,,,,
96,07/21/15 06:00:00 AM,69.386,,,,
97,07/21/15 07:00:00 AM,68.828,,,,
98,07/21/15 08:00:00 AM,68.571,,,,
99,07/21/15 09:00:00 AM,68.828,,,,
100,07/21/15 10:00:00 AM,69.085,,,,
101,07/21/15 11:00:00 AM,69.771,,,,
102,07/21/15 12:00:00 PM,71.490,,,,
103,07/21/15 01:00:00 PM,72.264,,,,
104,07/21/15 02:00:00 PM,71.791,,,,
105,07/21/15 03:00:00 PM,71.834,,,,
106,07/21/15 04:00:00 PM,72.178,,,,
107,07/21/15 05:00:00 PM,72.351,,,,
108,07/21/15 06:00:00 PM,72.567,,,,
109,07/21/15 07:00:00 PM,72.523,,,,
110,07/21/15 08:00:00 PM,72.050,,,,
111,07/21/15 09:00:00 PM,71.533,,,,
112,07/21/15 10:00:00 PM,71.060,,,,
113,07/21/15 11:00:00 PM,70.630,,,,
114,07/22/15 12:00:00 AM,70.072,,,,
115,07/22/15 01:00:00 AM,69.300,,,,
116,07/22/15 02:00:00 AM,68.785,,,,
117,07/22/15 03:00:00 AM,68.270,,,,
118,07/22/15 04:00:00 AM,67.842,,,,
119,07/22/15 05:00:00 AM,67.413,,,,
120,07/22/15 06:00:00 AM,66.900,,,,
121,07/22/15 07:00:00 AM,66.385,,,,
122,07/22/15 08:00:00 AM,66.130,,,,
123,07/22/15 09:00:00 AM,66.643,,,,
124,07/22/15 10:00:00 AM,67.971,,,,
125,07/22/15 11:00:00 AM,69.129,,,,
126,07/22/15 12:00:00 PM,71.661,,,,
127,07/22/15 01:00:00 PM,73.386,,,,
128,07/22/15 02:00:00 PM,75.029,,,,
129,07/22/15 03:00:00 PM,77.727,,,,
130,07/22/15 04:00:00 PM,79.612,,,,
131,07/22/15 05:00:00 PM,80.935,,,,
132,07/22/15 06:00:00 PM,81.244,,,,
133,07/22/15 07:00:00 PM,80.935,,,,
134,07/22/15 08:00:00 PM,79.700,,,,
135,07/22/15 09:00:00 PM,78.251,,,,
136,07/22/15 10:00:00 PM,76.811,,,,
137,07/22/15 11:00:00 PM,75.594,,,,
138,07/23/15 12:00:00 AM,74.424,,,,
139,07/23/15 01:00:00 AM,73.429,,,,
140,07/23/15 02:00:00 AM,72.480,,,,
141,07/23/15 03:00:00 AM,71.704,,,,
142,07/23/15 04:00:00 AM,71.103,,,,
143,07/23/15 05:00:00 AM,70.543,,,,
144,07/23/15 06:00:00 AM,70.029,,,,
145,07/23/15 07:00:00 AM,69.557,,,,
146,07/23/15 08:00:00 AM,69.728,,,,
147,07/23/15 09:00:00 AM,70.243,,,,
148,07/23/15 10:00:00 AM,71.834,,,,
149,07/23/15 11:00:00 AM,74.120,,,,
150,07/23/15 12:00:00 PM,76.854,,,,
151,07/23/15 01:00:00 PM,79.347,,,,
152,07/23/15 02:00:00 PM,81.466,,,,
153,07/23/15 03:00:00 PM,82.976,,,,
154,07/23/15 04:00:00 PM,84.094,,,,
155,07/23/15 05:00:00 PM,84.722,,,,
156,07/23/15 06:00:00 PM,84.272,,,,
157,07/23/15 07:00:00 PM,83.332,,,,
158,07/23/15 08:00:00 PM,81.819,,,,
159,07/23/15 09:00:00 PM,80.139,,,,
160,07/23/15 10:00:00 PM,78.514,,,,
161,07/23/15 11:00:00 PM,77.203,,,,
162,07/24/15 12:00:00 AM,75.810,,,,
163,07/24/15 01:00:00 AM,74.338,,,,
164,07/24/15 02:00:00 AM,73.472,,,,
165,07/24/15 03:00:00 AM,72.696,,,,
166,07/24/15 04:00:00 AM,72.351,,,,
167,07/24/15 05:00:00 AM,71.920,,,,
168,07/24/15 06:00:00 AM,71.317,,,,
169,07/24/15 07:00:00 AM,70.673,,,,
170,07/24/15 08:00:00 AM,70.416,,,,
171,07/24/15 09:00:00 AM,71.017,,,,
172,07/24/15 10:00:00 AM,72.437,,,,
173,07/24/15 11:00:00 AM,74.511,,,,
174,07/24/15 12:00:00 PM,77.029,,,,
175,07/24/15 01:00:00 PM,79.567,,,,
176,07/24/15 02:00:00 PM,81.997,,,,
177,07/24/15 03:00:00 PM,84.272,,,,
178,07/24/15 04:00:00 PM,85.352,,,,
179,07/24/15 05:00:00 PM,86.301,,,,
180,07/24/15 06:00:00 PM,86.211,,,,
181,07/24/15 07:00:00 PM,84.677,,,,
