"Plot Title: Snake 2"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739507, SEN S/N: 10739507)","Coupler Detached (LGR S/N: 10739507)","Coupler Attached (LGR S/N: 10739507)","Host Connected (LGR S/N: 10739507)","Stopped (LGR S/N: 10739507)","End Of File (LGR S/N: 10739507)"
1,07/10/15 10:00:00 PM,66.301,Logged,,,,
2,07/10/15 11:00:00 PM,65.788,,,,,
3,07/11/15 12:00:00 AM,65.359,,,,,
4,07/11/15 01:00:00 AM,65.102,,,,,
5,07/11/15 02:00:00 AM,64.717,,,,,
6,07/11/15 03:00:00 AM,64.332,,,,,
7,07/11/15 04:00:00 AM,63.946,,,,,
8,07/11/15 05:00:00 AM,63.648,,,,,
9,07/11/15 06:00:00 AM,63.347,,,,,
10,07/11/15 07:00:00 AM,63.475,,,,,
11,07/11/15 08:00:00 AM,64.033,,,,,
12,07/11/15 09:00:00 AM,64.674,,,,,
13,07/11/15 10:00:00 AM,65.788,,,,,
14,07/11/15 11:00:00 AM,67.671,,,,,
15,07/11/15 12:00:00 PM,69.685,,,,,
16,07/11/15 01:00:00 PM,71.533,,,,,
17,07/11/15 02:00:00 PM,73.213,,,,,
18,07/11/15 03:00:00 PM,74.467,,,,,
19,07/11/15 04:00:00 PM,75.420,,,,,
20,07/11/15 05:00:00 PM,75.767,,,,,
21,07/11/15 06:00:00 PM,75.551,,,,,
22,07/11/15 07:00:00 PM,74.899,,,,,
23,07/11/15 08:00:00 PM,73.818,,,,,
24,07/11/15 09:00:00 PM,72.523,,,,,
25,07/11/15 10:00:00 PM,71.490,,,,,
26,07/11/15 11:00:00 PM,70.587,,,,,
27,07/12/15 12:00:00 AM,69.685,,,,,
28,07/12/15 01:00:00 AM,68.956,,,,,
29,07/12/15 02:00:00 AM,68.356,,,,,
30,07/12/15 03:00:00 AM,67.671,,,,,
31,07/12/15 04:00:00 AM,66.900,,,,,
32,07/12/15 05:00:00 AM,66.000,,,,,
33,07/12/15 06:00:00 AM,65.359,,,,,
34,07/12/15 07:00:00 AM,65.145,,,,,
35,07/12/15 08:00:00 AM,65.574,,,,,
36,07/12/15 09:00:00 AM,66.558,,,,,
37,07/12/15 10:00:00 AM,68.013,,,,,
38,07/12/15 11:00:00 AM,69.685,,,,,
39,07/12/15 12:00:00 PM,71.577,,,,,
40,07/12/15 01:00:00 PM,73.429,,,,,
41,07/12/15 02:00:00 PM,75.029,,,,,
42,07/12/15 03:00:00 PM,76.289,,,,,
43,07/12/15 04:00:00 PM,77.160,,,,,
44,07/12/15 05:00:00 PM,77.029,,,,,
45,07/12/15 06:00:00 PM,76.203,,,,,
46,07/12/15 07:00:00 PM,75.247,,,,,
47,07/12/15 08:00:00 PM,73.990,,,,,
48,07/12/15 09:00:00 PM,72.912,,,,,
49,07/12/15 10:00:00 PM,71.964,,,,,
50,07/12/15 11:00:00 PM,70.887,,,,,
51,07/13/15 12:00:00 AM,69.771,,,,,
52,07/13/15 01:00:00 AM,68.698,,,,,
53,07/13/15 02:00:00 AM,67.842,,,,,
54,07/13/15 03:00:00 AM,67.028,,,,,
55,07/13/15 04:00:00 AM,66.130,,,,,
56,07/13/15 05:00:00 AM,65.316,,,,,
57,07/13/15 06:00:00 AM,64.632,,,,,
58,07/13/15 07:00:00 AM,64.418,,,,,
59,07/13/15 08:00:00 AM,64.845,,,,,
60,07/13/15 09:00:00 AM,65.872,,,,,
61,07/13/15 10:00:00 AM,67.413,,,,,
62,07/13/15 11:00:00 AM,69.213,,,,,
63,07/13/15 12:00:00 PM,71.361,,,,,
64,07/13/15 01:00:00 PM,73.429,,,,,
65,07/13/15 02:00:00 PM,75.204,,,,,
66,07/13/15 03:00:00 PM,76.507,,,,,
67,07/13/15 04:00:00 PM,77.335,,,,,
68,07/13/15 05:00:00 PM,77.464,,,,,
69,07/13/15 06:00:00 PM,77.203,,,,,
70,07/13/15 07:00:00 PM,76.464,,,,,
71,07/13/15 08:00:00 PM,75.247,,,,,
72,07/13/15 09:00:00 PM,73.947,,,,,
73,07/13/15 10:00:00 PM,72.826,,,,,
74,07/13/15 11:00:00 PM,71.791,,,,,
75,07/14/15 12:00:00 AM,70.846,,,,,
76,07/14/15 01:00:00 AM,69.942,,,,,
77,07/14/15 02:00:00 AM,69.129,,,,,
78,07/14/15 03:00:00 AM,68.270,,,,,
79,07/14/15 04:00:00 AM,67.500,,,,,
80,07/14/15 05:00:00 AM,66.686,,,,,
81,07/14/15 06:00:00 AM,65.959,,,,,
82,07/14/15 07:00:00 AM,65.658,,,,,
83,07/14/15 08:00:00 AM,66.130,,,,,
84,07/14/15 09:00:00 AM,67.199,,,,,
85,07/14/15 10:00:00 AM,68.828,,,,,
86,07/14/15 11:00:00 AM,70.716,,,,,
87,07/14/15 12:00:00 PM,72.739,,,,,
88,07/14/15 01:00:00 PM,74.640,,,,,
89,07/14/15 02:00:00 PM,76.375,,,,,
90,07/14/15 03:00:00 PM,77.770,,,,,
91,07/14/15 04:00:00 PM,78.514,,,,,
92,07/14/15 05:00:00 PM,78.471,,,,,
93,07/14/15 06:00:00 PM,77.945,,,,,
94,07/14/15 07:00:00 PM,76.681,,,,,
95,07/14/15 08:00:00 PM,75.204,,,,,
96,07/14/15 09:00:00 PM,73.947,,,,,
97,07/14/15 10:00:00 PM,73.170,,,,,
98,07/14/15 11:00:00 PM,72.307,,,,,
99,07/15/15 12:00:00 AM,71.404,,,,,
100,07/15/15 01:00:00 AM,70.630,,,,,
101,07/15/15 02:00:00 AM,69.858,,,,,
102,07/15/15 03:00:00 AM,69.300,,,,,
103,07/15/15 04:00:00 AM,68.742,,,,,
104,07/15/15 05:00:00 AM,68.270,,,,,
105,07/15/15 06:00:00 AM,67.714,,,,,
106,07/15/15 07:00:00 AM,67.329,,,,,
107,07/15/15 08:00:00 AM,67.329,,,,,
108,07/15/15 09:00:00 AM,68.056,,,,,
109,07/15/15 10:00:00 AM,69.213,,,,,
110,07/15/15 11:00:00 AM,69.643,,,,,
111,07/15/15 12:00:00 PM,69.427,,,,,
112,07/15/15 01:00:00 PM,69.514,,,,,
113,07/15/15 02:00:00 PM,70.372,,,,,
114,07/15/15 03:00:00 PM,71.834,,,,,
115,07/15/15 04:00:00 PM,73.472,,,,,
116,07/15/15 05:00:00 PM,74.295,,,,,
117,07/15/15 06:00:00 PM,74.250,,,,,
118,07/15/15 07:00:00 PM,73.213,,,,,
119,07/15/15 08:00:00 PM,72.307,,,,,
120,07/15/15 09:00:00 PM,71.231,,,,,
121,07/15/15 10:00:00 PM,70.329,,,,,
122,07/15/15 11:00:00 PM,69.685,,,,,
123,07/16/15 12:00:00 AM,69.129,,,,,
124,07/16/15 01:00:00 AM,68.227,,,,,
125,07/16/15 02:00:00 AM,67.413,,,,,
126,07/16/15 03:00:00 AM,66.558,,,,,
127,07/16/15 04:00:00 AM,65.829,,,,,
128,07/16/15 05:00:00 AM,65.059,,,,,
129,07/16/15 06:00:00 AM,64.418,,,,,
130,07/16/15 07:00:00 AM,64.117,,,,,
131,07/16/15 08:00:00 AM,64.503,,,,,
132,07/16/15 09:00:00 AM,65.487,,,,,
133,07/16/15 10:00:00 AM,66.985,,,,,
134,07/16/15 11:00:00 AM,68.871,,,,,
135,07/16/15 12:00:00 PM,70.887,,,,,
136,07/16/15 01:00:00 PM,72.826,,,,,
137,07/16/15 02:00:00 PM,74.424,,,,,
138,07/16/15 03:00:00 PM,75.681,,,,,
139,07/16/15 04:00:00 PM,76.464,,,,,
140,07/16/15 05:00:00 PM,76.464,,,,,
141,07/16/15 06:00:00 PM,75.942,,,,,
142,07/16/15 07:00:00 PM,75.074,,,,,
143,07/16/15 08:00:00 PM,73.947,,,,,
144,07/16/15 09:00:00 PM,72.783,,,,,
145,07/16/15 10:00:00 PM,71.834,,,,,
146,07/16/15 11:00:00 PM,70.887,,,,,
147,07/17/15 12:00:00 AM,70.072,,,,,
148,07/17/15 01:00:00 AM,69.256,,,,,
149,07/17/15 02:00:00 AM,68.571,,,,,
150,07/17/15 03:00:00 AM,67.714,,,,,
151,07/17/15 04:00:00 AM,66.857,,,,,
152,07/17/15 05:00:00 AM,66.043,,,,,
153,07/17/15 06:00:00 AM,65.316,,,,,
154,07/17/15 07:00:00 AM,64.974,,,,,
155,07/17/15 08:00:00 AM,65.145,,,,,
156,07/17/15 09:00:00 AM,66.087,,,,,
157,07/17/15 10:00:00 AM,67.543,,,,,
158,07/17/15 11:00:00 AM,69.343,,,,,
159,07/17/15 12:00:00 PM,71.317,,,,,
160,07/17/15 01:00:00 PM,73.256,,,,,
161,07/17/15 02:00:00 PM,75.029,,,,,
162,07/17/15 03:00:00 PM,76.464,,,,,
163,07/17/15 04:00:00 PM,76.246,,,,,
164,07/17/15 05:00:00 PM,74.597,,,,,
165,07/17/15 06:00:00 PM,72.783,,,,,
166,07/17/15 07:00:00 PM,71.791,,,,,
167,07/17/15 08:00:00 PM,71.103,,,,,
168,07/17/15 09:00:00 PM,70.115,,,,,
169,07/17/15 10:00:00 PM,69.256,,,,,
170,07/17/15 11:00:00 PM,68.527,,,,,
171,07/18/15 12:00:00 AM,67.671,,,,,
172,07/18/15 01:00:00 AM,66.772,,,,,
173,07/18/15 02:00:00 AM,65.959,,,,,
174,07/18/15 03:00:00 AM,65.273,,,,,
175,07/18/15 04:00:00 AM,64.589,,,,,
176,07/18/15 05:00:00 AM,63.946,,,,,
177,07/18/15 06:00:00 AM,63.390,,,,,
178,07/18/15 07:00:00 AM,63.262,,,,,
179,07/18/15 08:00:00 AM,63.732,,,,,
180,07/18/15 09:00:00 AM,64.717,,,,,
181,07/18/15 10:00:00 AM,66.258,,,,,
182,07/18/15 11:00:00 AM,68.013,,,,,
183,07/18/15 12:00:00 PM,69.858,,,,,
184,07/18/15 01:00:00 PM,71.748,,,,,
185,07/18/15 02:00:00 PM,73.429,,,,,
186,07/18/15 03:00:00 PM,74.770,,,,,
187,07/18/15 04:00:00 PM,75.594,,,,,
188,07/18/15 05:00:00 PM,75.290,,,,,
189,07/18/15 06:00:00 PM,74.250,,,,,
190,07/18/15 07:00:00 PM,73.213,,,,,
191,07/18/15 08:00:00 PM,72.351,,,,,
192,07/18/15 09:00:00 PM,71.577,,,,,
193,07/18/15 10:00:00 PM,70.759,,,,,
194,07/18/15 11:00:00 PM,69.771,,,,,
195,07/19/15 12:00:00 AM,68.871,,,,,
196,07/19/15 01:00:00 AM,67.971,,,,,
197,07/19/15 02:00:00 AM,67.114,,,,,
198,07/19/15 03:00:00 AM,66.301,,,,,
199,07/19/15 04:00:00 AM,65.530,,,,,
200,07/19/15 05:00:00 AM,64.760,,,,,
201,07/19/15 06:00:00 AM,64.074,,,,,
202,07/19/15 07:00:00 AM,63.862,,,,,
203,07/19/15 08:00:00 AM,64.247,,,,,
204,07/19/15 09:00:00 AM,65.017,,,,,
205,07/19/15 10:00:00 AM,66.643,,,,,
206,07/19/15 11:00:00 AM,68.742,,,,,
207,07/19/15 12:00:00 PM,70.630,,,,,
208,07/19/15 01:00:00 PM,72.696,,,,,
209,07/19/15 02:00:00 PM,74.467,,,,,
210,07/19/15 03:00:00 PM,75.333,,,,,
211,07/19/15 04:00:00 PM,76.768,,,,,
212,07/19/15 05:00:00 PM,76.636,,,,,
213,07/19/15 06:00:00 PM,75.985,,,,,
214,07/19/15 07:00:00 PM,75.376,,,,,
215,07/19/15 08:00:00 PM,74.467,,,,,
216,07/19/15 09:00:00 PM,73.342,,,,,
217,07/19/15 10:00:00 PM,72.437,,,,,
218,07/19/15 11:00:00 PM,71.490,,,,,
219,07/20/15 12:00:00 AM,70.416,,,,,
220,07/20/15 01:00:00 AM,69.557,,,,,
221,07/20/15 02:00:00 AM,68.614,,,,,
222,07/20/15 03:00:00 AM,67.671,,,,,
223,07/20/15 04:00:00 AM,66.857,,,,,
224,07/20/15 05:00:00 AM,66.000,,,,,
225,07/20/15 06:00:00 AM,65.145,,,,,
226,07/20/15 07:00:00 AM,64.760,,,,,
227,07/20/15 08:00:00 AM,64.974,,,,,
228,07/20/15 09:00:00 AM,65.745,,,,,
229,07/20/15 10:00:00 AM,67.071,,,,,
230,07/20/15 11:00:00 AM,68.828,,,,,
231,07/20/15 12:00:00 PM,70.716,,,,,
232,07/20/15 01:00:00 PM,72.523,,,,,
233,07/20/15 02:00:00 PM,74.206,,,,,
234,07/20/15 03:00:00 PM,75.463,,,,,
235,07/20/15 04:00:00 PM,76.332,,,,,
236,07/20/15 05:00:00 PM,75.853,,,,,
237,07/20/15 06:00:00 PM,75.160,,,,,
238,07/20/15 07:00:00 PM,74.467,,,,,
239,07/20/15 08:00:00 PM,73.472,,,,,
240,07/20/15 09:00:00 PM,72.264,,,,,
241,07/20/15 10:00:00 PM,71.190,,,,,
242,07/20/15 11:00:00 PM,70.158,,,,,
243,07/21/15 12:00:00 AM,69.129,,,,,
244,07/21/15 01:00:00 AM,68.270,,,,,
245,07/21/15 02:00:00 AM,67.456,,,,,
246,07/21/15 03:00:00 AM,66.686,,,,,
247,07/21/15 04:00:00 AM,66.000,,,,,
248,07/21/15 05:00:00 AM,65.403,,,,,
249,07/21/15 06:00:00 AM,64.845,,,,,
250,07/21/15 07:00:00 AM,64.589,,,,,
251,07/21/15 08:00:00 AM,64.632,,,,,
252,07/21/15 09:00:00 AM,64.888,,,,,
253,07/21/15 10:00:00 AM,65.615,,,,,
254,07/21/15 11:00:00 AM,65.701,,,,,
255,07/21/15 12:00:00 PM,65.745,,,,,
256,07/21/15 01:00:00 PM,65.359,,,,,
257,07/21/15 02:00:00 PM,65.145,,,,,
258,07/21/15 03:00:00 PM,65.444,,,,,
259,07/21/15 04:00:00 PM,65.574,,,,,
260,07/21/15 05:00:00 PM,65.788,,,,,
261,07/21/15 06:00:00 PM,65.530,,,,,
262,07/21/15 07:00:00 PM,65.316,,,,,
263,07/21/15 08:00:00 PM,64.974,,,,,
264,07/21/15 09:00:00 PM,64.459,,,,,
265,07/21/15 10:00:00 PM,63.990,,,,,
266,07/21/15 11:00:00 PM,63.561,,,,,
267,07/22/15 12:00:00 AM,63.133,,,,,
268,07/22/15 01:00:00 AM,62.791,,,,,
269,07/22/15 02:00:00 AM,62.447,,,,,
270,07/22/15 03:00:00 AM,62.148,,,,,
271,07/22/15 04:00:00 AM,61.761,,,,,
272,07/22/15 05:00:00 AM,61.506,,,,,
273,07/22/15 06:00:00 AM,61.248,,,,,
274,07/22/15 07:00:00 AM,61.162,,,,,
275,07/22/15 08:00:00 AM,61.761,,,,,
276,07/22/15 09:00:00 AM,63.005,,,,,
277,07/22/15 10:00:00 AM,64.674,,,,,
278,07/22/15 11:00:00 AM,66.857,,,,,
279,07/22/15 12:00:00 PM,68.742,,,,,
280,07/22/15 01:00:00 PM,70.158,,,,,
281,07/22/15 02:00:00 PM,71.920,,,,,
282,07/22/15 03:00:00 PM,73.170,,,,,
283,07/22/15 04:00:00 PM,74.727,,,,,
284,07/22/15 05:00:00 PM,75.290,,,,,
285,07/22/15 06:00:00 PM,75.160,,,,,
286,07/22/15 07:00:00 PM,74.338,,,,,
287,07/22/15 08:00:00 PM,73.299,,,,,
288,07/22/15 09:00:00 PM,72.480,,,,,
289,07/22/15 10:00:00 PM,71.834,,,,,
290,07/22/15 11:00:00 PM,71.146,,,,,
291,07/23/15 12:00:00 AM,70.459,,,,,
292,07/23/15 01:00:00 AM,69.728,,,,,
293,07/23/15 02:00:00 AM,68.913,,,,,
294,07/23/15 03:00:00 AM,68.142,,,,,
295,07/23/15 04:00:00 AM,67.372,,,,,
296,07/23/15 05:00:00 AM,66.772,,,,,
297,07/23/15 06:00:00 AM,66.258,,,,,
298,07/23/15 07:00:00 AM,66.000,,,,,
299,07/23/15 08:00:00 AM,66.385,,,,,
300,07/23/15 09:00:00 AM,67.413,,,,,
301,07/23/15 10:00:00 AM,68.785,,,,,
302,07/23/15 11:00:00 AM,70.673,,,,,
303,07/23/15 12:00:00 PM,72.567,,,,,
304,07/23/15 01:00:00 PM,74.381,,,,,
305,07/23/15 02:00:00 PM,75.942,,,,,
306,07/23/15 03:00:00 PM,77.072,,,,,
307,07/23/15 04:00:00 PM,77.596,,,,,
308,07/23/15 05:00:00 PM,77.684,,,,,
309,07/23/15 06:00:00 PM,76.899,,,,,
310,07/23/15 07:00:00 PM,76.028,,,,,
311,07/23/15 08:00:00 PM,74.727,,,,,
312,07/23/15 09:00:00 PM,73.602,,,,,
313,07/23/15 10:00:00 PM,72.610,,,,,
314,07/23/15 11:00:00 PM,71.620,,,,,
315,07/24/15 12:00:00 AM,70.759,,,,,
316,07/24/15 01:00:00 AM,69.985,,,,,
317,07/24/15 02:00:00 AM,69.213,,,,,
318,07/24/15 03:00:00 AM,68.400,,,,,
319,07/24/15 04:00:00 AM,67.671,,,,,
320,07/24/15 05:00:00 AM,66.985,,,,,
321,07/24/15 06:00:00 AM,66.344,,,,,
322,07/24/15 07:00:00 AM,66.043,,,,,
323,07/24/15 08:00:00 AM,66.344,,,,,
324,07/24/15 09:00:00 AM,67.329,,,,,
325,07/24/15 10:00:00 AM,68.828,,,,,
326,07/24/15 11:00:00 AM,70.630,,,,,
327,07/24/15 12:00:00 PM,72.523,,,,,
328,07/24/15 01:00:00 PM,74.554,,,,,
329,07/24/15 02:00:00 PM,76.158,,,,,
330,07/24/15 03:00:00 PM,77.464,,,,,
331,07/24/15 04:00:00 PM,78.296,,,,,
332,07/24/15 05:00:00 PM,78.471,,,,,
333,07/24/15 06:00:00 PM,77.902,,,,,
334,07/24/15 07:00:00 PM,76.636,,,,,
335,07/24/15 08:00:00 PM,75.508,,,,,
336,07/24/15 09:00:00 PM,74.467,,,,,
337,07/24/15 10:00:00 PM,73.515,,,,,
338,07/24/15 11:00:00 PM,72.567,,,,,
339,07/25/15 12:00:00 AM,71.704,,,,,
340,07/25/15 01:00:00 AM,70.846,,,,,
341,07/25/15 02:00:00 AM,70.072,,,,,
342,07/25/15 03:00:00 AM,69.256,,,,,
343,07/25/15 04:00:00 AM,68.484,,,,,
344,07/25/15 05:00:00 AM,67.798,,,,,
345,07/25/15 06:00:00 AM,67.158,,,,,
346,07/25/15 07:00:00 AM,66.943,,,,,
347,07/25/15 08:00:00 AM,67.285,,,,,
348,07/25/15 09:00:00 AM,67.671,,,,,
349,07/25/15 10:00:00 AM,68.999,,,,,
350,07/25/15 11:00:00 AM,70.930,,,,,
351,07/25/15 12:00:00 PM,72.394,,,,,
352,07/25/15 01:00:00 PM,74.683,,,,,
353,07/25/15 02:00:00 PM,76.375,,,,,
354,07/25/15 03:00:00 PM,77.770,,,,,
355,07/25/15 04:00:00 PM,78.382,,,,,
356,07/25/15 05:00:00 PM,78.559,,,,,
357,07/25/15 06:00:00 PM,78.076,,,,,
358,07/25/15 07:00:00 PM,76.899,,,,,
359,07/25/15 08:00:00 PM,75.767,,,,,
360,07/25/15 09:00:00 PM,74.554,,,,,
361,07/25/15 10:00:00 PM,73.515,,,,,
362,07/25/15 11:00:00 PM,72.480,,,,,
363,07/26/15 12:00:00 AM,71.533,,,,,
364,07/26/15 01:00:00 AM,70.759,,,,,
365,07/26/15 02:00:00 AM,69.942,,,,,
366,07/26/15 03:00:00 AM,69.170,,,,,
367,07/26/15 04:00:00 AM,68.400,,,,,
368,07/26/15 05:00:00 AM,67.671,,,,,
369,07/26/15 06:00:00 AM,67.071,,,,,
370,07/26/15 07:00:00 AM,66.857,,,,,
371,07/26/15 08:00:00 AM,67.285,,,,,
372,07/26/15 09:00:00 AM,68.400,,,,,
373,07/26/15 10:00:00 AM,70.115,,,,,
374,07/26/15 11:00:00 AM,72.178,,,,,
375,07/26/15 12:00:00 PM,74.077,,,,,
376,07/26/15 01:00:00 PM,75.942,,,,,
377,07/26/15 02:00:00 PM,76.593,,,,,
378,07/26/15 03:00:00 PM,75.204,,,,,
379,07/26/15 04:00:00 PM,75.463,,,,,
380,07/26/15 05:00:00 PM,75.942,,,,,
381,07/26/15 06:00:00 PM,74.424,,,,,
382,07/26/15 07:00:00 PM,73.429,,,,,
383,07/26/15 08:00:00 PM,72.394,,,,,
384,07/26/15 09:00:00 PM,71.190,,,,,
385,07/26/15 10:00:00 PM,70.158,,,,,
386,07/26/15 11:00:00 PM,69.300,,,,,
387,07/27/15 12:00:00 AM,68.571,,,,,
388,07/27/15 01:00:00 AM,67.714,,,,,
389,07/27/15 02:00:00 AM,66.985,,,,,
390,07/27/15 03:00:00 AM,66.344,,,,,
391,07/27/15 04:00:00 AM,65.574,,,,,
392,07/27/15 05:00:00 AM,64.931,,,,,
393,07/27/15 06:00:00 AM,64.332,,,,,
394,07/27/15 07:00:00 AM,64.161,,,,,
395,07/27/15 08:00:00 AM,64.632,,,,,
396,07/27/15 09:00:00 AM,65.788,,,,,
397,07/27/15 10:00:00 AM,67.586,,,,,
398,07/27/15 11:00:00 AM,69.685,,,,,
399,07/27/15 12:00:00 PM,71.920,,,,,
400,07/27/15 01:00:00 PM,74.077,,,,,
401,07/27/15 02:00:00 PM,75.942,,,,,
402,07/27/15 03:00:00 PM,77.378,,,,,
403,07/27/15 04:00:00 PM,78.251,,,,,
404,07/27/15 05:00:00 PM,78.382,,,,,
405,07/27/15 06:00:00 PM,77.770,,,,,
406,07/27/15 07:00:00 PM,76.811,,,,,
407,07/27/15 08:00:00 PM,75.637,,,,,
408,07/27/15 09:00:00 PM,74.770,,,,,
409,07/27/15 10:00:00 PM,74.034,,,,,
410,07/27/15 11:00:00 PM,72.653,,,,,
411,07/28/15 12:00:00 AM,71.791,,,,,
412,07/28/15 01:00:00 AM,71.060,,,,,
413,07/28/15 02:00:00 AM,70.243,,,,,
414,07/28/15 03:00:00 AM,68.913,,,,,
415,07/28/15 04:00:00 AM,67.842,,,,,
416,07/28/15 05:00:00 AM,66.814,,,,,
417,07/28/15 06:00:00 AM,65.829,,,,,
418,07/28/15 07:00:00 AM,65.017,,,,,
419,07/28/15 08:00:00 AM,64.974,,,,,
420,07/28/15 09:00:00 AM,65.487,,,,,
421,07/28/15 10:00:00 AM,66.429,,,,,
