"Plot Title: Ft. Rob Swinging Bridge- 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612882, SEN S/N: 10612882)","Coupler Attached (LGR S/N: 10612882)","Stopped (LGR S/N: 10612882)","End Of File (LGR S/N: 10612882)"
1,07/10/15 12:00:00 AM,65.680,,,
2,07/10/15 01:00:00 AM,65.167,,,
3,07/10/15 02:00:00 AM,64.481,,,
4,07/10/15 03:00:00 AM,64.139,,,
5,07/10/15 04:00:00 AM,63.797,,,
6,07/10/15 05:00:00 AM,63.626,,,
7,07/10/15 06:00:00 AM,63.111,,,
8,07/10/15 07:00:00 AM,62.769,,,
9,07/10/15 08:00:00 AM,62.598,,,
10,07/10/15 09:00:00 AM,62.598,,,
11,07/10/15 10:00:00 AM,62.425,,,
12,07/10/15 11:00:00 AM,62.425,,,
13,07/10/15 12:00:00 PM,62.598,,,
14,07/10/15 01:00:00 PM,63.111,,,
15,07/10/15 02:00:00 PM,64.139,,,
16,07/10/15 03:00:00 PM,66.022,,,
17,07/10/15 04:00:00 PM,67.392,,,
18,07/10/15 05:00:00 PM,67.906,,,
19,07/10/15 06:00:00 PM,69.107,,,
20,07/10/15 07:00:00 PM,69.449,,,
21,07/10/15 08:00:00 PM,69.449,,,
22,07/10/15 09:00:00 PM,69.107,,,
23,07/10/15 10:00:00 PM,68.763,,,
24,07/10/15 11:00:00 PM,68.077,,,
25,07/11/15 12:00:00 AM,67.735,,,
26,07/11/15 01:00:00 AM,67.221,,,
27,07/11/15 02:00:00 AM,66.708,,,
28,07/11/15 03:00:00 AM,66.193,,,
29,07/11/15 04:00:00 AM,65.851,,,
30,07/11/15 05:00:00 AM,65.338,,,
31,07/11/15 06:00:00 AM,64.825,,,
32,07/11/15 07:00:00 AM,64.310,,,
33,07/11/15 08:00:00 AM,63.968,,,
34,07/11/15 09:00:00 AM,63.968,,,
35,07/11/15 10:00:00 AM,64.481,,,
36,07/11/15 11:00:00 AM,65.680,,,
37,07/11/15 12:00:00 PM,67.221,,,
38,07/11/15 01:00:00 PM,69.107,,,
39,07/11/15 02:00:00 PM,70.824,,,
40,07/11/15 03:00:00 PM,72.545,,,
41,07/11/15 04:00:00 PM,73.753,,,
42,07/11/15 05:00:00 PM,74.619,,,
43,07/11/15 06:00:00 PM,74.964,,,
44,07/11/15 07:00:00 PM,74.964,,,
45,07/11/15 08:00:00 PM,74.446,,,
46,07/11/15 09:00:00 PM,73.926,,,
47,07/11/15 10:00:00 PM,73.234,,,
48,07/11/15 11:00:00 PM,72.372,,,
49,07/12/15 12:00:00 AM,71.683,,,
50,07/12/15 01:00:00 AM,70.824,,,
51,07/12/15 02:00:00 AM,69.964,,,
52,07/12/15 03:00:00 AM,69.107,,,
53,07/12/15 04:00:00 AM,68.248,,,
54,07/12/15 05:00:00 AM,67.564,,,
55,07/12/15 06:00:00 AM,66.708,,,
56,07/12/15 07:00:00 AM,66.193,,,
57,07/12/15 08:00:00 AM,65.680,,,
58,07/12/15 09:00:00 AM,65.680,,,
59,07/12/15 10:00:00 AM,66.366,,,
60,07/12/15 11:00:00 AM,67.564,,,
61,07/12/15 12:00:00 PM,69.107,,,
