Site,Date,Temp
WMA,7/10/2015,55.711
WMA,7/10/2015,55.537
WMA,7/10/2015,55.537
WMA,7/10/2015,55.364
WMA,7/10/2015,55.364
WMA,7/10/2015,55.364
WMA,7/10/2015,55.364
WMA,7/10/2015,55.537
WMA,7/10/2015,56.057
WMA,7/10/2015,56.75
WMA,7/10/2015,57.096
WMA,7/10/2015,57.614
WMA,7/10/2015,57.785
WMA,7/10/2015,57.785
WMA,7/10/2015,59.337
WMA,7/10/2015,61.569
WMA,7/10/2015,62.598
WMA,7/10/2015,62.769
WMA,7/10/2015,60.883
WMA,7/10/2015,59.337
WMA,7/10/2015,58.131
WMA,7/10/2015,57.096
WMA,7/10/2015,56.23
WMA,7/10/2015,55.711
WMA,7/11/2015,55.364
WMA,7/11/2015,55.189
WMA,7/11/2015,55.189
WMA,7/11/2015,55.189
WMA,7/11/2015,55.364
WMA,7/11/2015,55.364
WMA,7/11/2015,55.189
WMA,7/11/2015,55.189
WMA,7/11/2015,55.711
WMA,7/11/2015,56.923
WMA,7/11/2015,58.647
WMA,7/11/2015,60.539
WMA,7/11/2015,62.598
WMA,7/11/2015,64.139
WMA,7/11/2015,65.167
WMA,7/11/2015,64.996
WMA,7/11/2015,64.31
WMA,7/11/2015,62.94
WMA,7/11/2015,61.398
WMA,7/11/2015,59.68
WMA,7/11/2015,58.131
WMA,7/11/2015,57.096
WMA,7/11/2015,56.577
WMA,7/11/2015,56.057
WMA,7/12/2015,55.884
WMA,7/12/2015,55.537
WMA,7/12/2015,55.364
WMA,7/12/2015,55.189
WMA,7/12/2015,54.842
WMA,7/12/2015,54.842
WMA,7/12/2015,54.842
WMA,7/12/2015,54.842
WMA,7/12/2015,55.537
WMA,7/12/2015,57.096
WMA,7/12/2015,58.993
WMA,7/12/2015,60.712
WMA,7/12/2015,62.769
WMA,7/12/2015,64.139
WMA,7/12/2015,65.167
WMA,7/12/2015,65.338
WMA,7/12/2015,64.825
WMA,7/12/2015,63.797
WMA,7/12/2015,61.741
WMA,7/12/2015,59.68
WMA,7/12/2015,58.303
WMA,7/12/2015,57.268
WMA,7/12/2015,56.577
WMA,7/12/2015,56.057
WMA,7/13/2015,55.537
WMA,7/13/2015,55.364
WMA,7/13/2015,55.017
WMA,7/13/2015,54.842
WMA,7/13/2015,54.495
WMA,7/13/2015,54.495
WMA,7/13/2015,54.322
WMA,7/13/2015,54.495
WMA,7/13/2015,55.364
WMA,7/13/2015,57.096
WMA,7/13/2015,58.476
WMA,7/13/2015,60.024
WMA,7/13/2015,62.083
WMA,7/13/2015,63.968
WMA,7/13/2015,64.825
WMA,7/13/2015,65.167
WMA,7/13/2015,64.652
WMA,7/13/2015,63.626
WMA,7/13/2015,62.083
WMA,7/13/2015,60.195
WMA,7/13/2015,58.476
WMA,7/13/2015,57.441
WMA,7/13/2015,56.577
WMA,7/13/2015,56.057
WMA,7/14/2015,55.711
WMA,7/14/2015,55.364
WMA,7/14/2015,55.189
WMA,7/14/2015,55.017
WMA,7/14/2015,54.842
WMA,7/14/2015,54.669
WMA,7/14/2015,54.495
WMA,7/14/2015,54.669
WMA,7/14/2015,55.364
WMA,7/14/2015,56.75
WMA,7/14/2015,58.131
WMA,7/14/2015,59.851
WMA,7/14/2015,61.912
WMA,7/14/2015,63.455
WMA,7/14/2015,64.652
WMA,7/14/2015,64.996
WMA,7/14/2015,64.652
WMA,7/14/2015,63.455
WMA,7/14/2015,61.912
WMA,7/14/2015,59.851
WMA,7/14/2015,58.476
WMA,7/14/2015,57.441
WMA,7/14/2015,56.923
WMA,7/14/2015,56.923
WMA,7/15/2015,56.75
WMA,7/15/2015,56.577
WMA,7/15/2015,56.23
WMA,7/15/2015,56.057
WMA,7/15/2015,55.884
WMA,7/15/2015,55.884
WMA,7/15/2015,55.884
WMA,7/15/2015,55.884
WMA,7/15/2015,56.057
WMA,7/15/2015,56.23
WMA,7/15/2015,57.096
WMA,7/15/2015,57.785
WMA,7/15/2015,58.131
WMA,7/15/2015,59.164
WMA,7/15/2015,61.569
WMA,7/15/2015,62.769
WMA,7/15/2015,61.741
WMA,7/15/2015,61.569
WMA,7/15/2015,60.024
WMA,7/15/2015,58.303
WMA,7/15/2015,57.614
WMA,7/15/2015,56.75
WMA,7/15/2015,56.404
WMA,7/15/2015,56.23
WMA,7/16/2015,56.057
WMA,7/16/2015,55.884
WMA,7/16/2015,55.711
WMA,7/16/2015,55.364
WMA,7/16/2015,55.189
WMA,7/16/2015,54.842
WMA,7/16/2015,54.669
WMA,7/16/2015,54.669
WMA,7/16/2015,55.189
WMA,7/16/2015,56.577
WMA,7/16/2015,58.647
WMA,7/16/2015,60.195
WMA,7/16/2015,62.083
WMA,7/16/2015,63.455
WMA,7/16/2015,64.481
WMA,7/16/2015,64.481
WMA,7/16/2015,64.139
WMA,7/16/2015,63.111
WMA,7/16/2015,61.741
WMA,7/16/2015,59.851
WMA,7/16/2015,58.303
WMA,7/16/2015,57.268
WMA,7/16/2015,56.577
WMA,7/16/2015,56.057
WMA,7/17/2015,56.057
WMA,7/17/2015,55.884
WMA,7/17/2015,55.711
WMA,7/17/2015,55.364
WMA,7/17/2015,55.189
WMA,7/17/2015,55.017
WMA,7/17/2015,54.842
WMA,7/17/2015,54.842
WMA,7/17/2015,55.537
WMA,7/17/2015,56.75
WMA,7/17/2015,58.303
WMA,7/17/2015,59.851
WMA,7/17/2015,61.398
WMA,7/17/2015,62.94
WMA,7/17/2015,63.626
WMA,7/17/2015,63.282
WMA,7/17/2015,60.712
WMA,7/17/2015,59.164
WMA,7/17/2015,59.337
WMA,7/17/2015,58.647
WMA,7/17/2015,57.441
WMA,7/17/2015,56.75
WMA,7/17/2015,56.23
WMA,7/17/2015,55.884
WMA,7/18/2015,55.537
WMA,7/18/2015,55.364
WMA,7/18/2015,55.189
WMA,7/18/2015,54.842
WMA,7/18/2015,54.669
WMA,7/18/2015,54.495
WMA,7/18/2015,54.495
WMA,7/18/2015,54.669
WMA,7/18/2015,55.364
WMA,7/18/2015,56.404
WMA,7/18/2015,57.958
WMA,7/18/2015,59.337
WMA,7/18/2015,61.227
WMA,7/18/2015,62.769
WMA,7/18/2015,63.455
WMA,7/18/2015,63.626
WMA,7/18/2015,63.282
WMA,7/18/2015,61.227
WMA,7/18/2015,58.993
WMA,7/18/2015,57.785
WMA,7/18/2015,57.096
WMA,7/18/2015,56.577
WMA,7/18/2015,56.057
WMA,7/18/2015,55.711
WMA,7/19/2015,55.189
WMA,7/19/2015,54.842
WMA,7/19/2015,54.669
WMA,7/19/2015,54.669
WMA,7/19/2015,54.495
WMA,7/19/2015,54.322
WMA,7/19/2015,54.147
WMA,7/19/2015,54.495
WMA,7/19/2015,55.189
WMA,7/19/2015,56.577
WMA,7/19/2015,58.303
WMA,7/19/2015,60.024
WMA,7/19/2015,61.741
