"Plot Title: Minnechaduza 2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739505, SEN S/N: 10739505)","Coupler Detached (LGR S/N: 10739505)","Coupler Attached (LGR S/N: 10739505)","Stopped (LGR S/N: 10739505)","End Of File (LGR S/N: 10739505)"
1,07/17/15 07:00:00 AM,67.971,Logged,,,
2,07/17/15 08:00:00 AM,67.714,,,,
3,07/17/15 09:00:00 AM,68.142,,,,
4,07/17/15 10:00:00 AM,69.643,,,,
5,07/17/15 11:00:00 AM,71.661,,,,
6,07/17/15 12:00:00 PM,74.120,,,,
7,07/17/15 01:00:00 PM,76.899,,,,
8,07/17/15 02:00:00 PM,79.612,,,,
9,07/17/15 03:00:00 PM,82.130,,,,
10,07/17/15 04:00:00 PM,84.004,,,,
11,07/17/15 05:00:00 PM,85.127,,,,
12,07/17/15 06:00:00 PM,84.227,,,,
13,07/17/15 07:00:00 PM,82.620,,,,
14,07/17/15 08:00:00 PM,80.227,,,,
15,07/17/15 09:00:00 PM,78.165,,,,
16,07/17/15 10:00:00 PM,76.419,,,,
17,07/17/15 11:00:00 PM,74.813,,,,
18,07/18/15 12:00:00 AM,73.386,,,,
19,07/18/15 01:00:00 AM,72.221,,,,
20,07/18/15 02:00:00 AM,71.017,,,,
21,07/18/15 03:00:00 AM,69.942,,,,
22,07/18/15 04:00:00 AM,68.956,,,,
23,07/18/15 05:00:00 AM,68.142,,,,
24,07/18/15 06:00:00 AM,67.372,,,,
25,07/18/15 07:00:00 AM,66.686,,,,
26,07/18/15 08:00:00 AM,66.385,,,,
27,07/18/15 09:00:00 AM,66.857,,,,
28,07/18/15 10:00:00 AM,68.443,,,,
29,07/18/15 11:00:00 AM,70.759,,,,
30,07/18/15 12:00:00 PM,73.429,,,,
31,07/18/15 01:00:00 PM,75.985,,,,
32,07/18/15 02:00:00 PM,78.382,,,,
33,07/18/15 03:00:00 PM,80.580,,,,
34,07/18/15 04:00:00 PM,82.308,,,,
35,07/18/15 05:00:00 PM,83.199,,,,
36,07/18/15 06:00:00 PM,83.287,,,,
37,07/18/15 07:00:00 PM,82.396,,,,
38,07/18/15 08:00:00 PM,80.978,,,,
39,07/18/15 09:00:00 PM,79.347,,,,
40,07/18/15 10:00:00 PM,77.684,,,,
41,07/18/15 11:00:00 PM,76.289,,,,
42,07/19/15 12:00:00 AM,74.899,,,,
43,07/19/15 01:00:00 AM,73.429,,,,
44,07/19/15 02:00:00 AM,72.136,,,,
45,07/19/15 03:00:00 AM,70.887,,,,
46,07/19/15 04:00:00 AM,69.685,,,,
47,07/19/15 05:00:00 AM,68.571,,,,
48,07/19/15 06:00:00 AM,67.500,,,,
49,07/19/15 07:00:00 AM,66.643,,,,
50,07/19/15 08:00:00 AM,66.214,,,,
51,07/19/15 09:00:00 AM,66.772,,,,
52,07/19/15 10:00:00 AM,68.484,,,,
53,07/19/15 11:00:00 AM,70.974,,,,
54,07/19/15 12:00:00 PM,74.034,,,,
55,07/19/15 01:00:00 PM,77.203,,,,
56,07/19/15 02:00:00 PM,80.008,,,,
57,07/19/15 03:00:00 PM,82.665,,,,
58,07/19/15 04:00:00 PM,84.317,,,,
59,07/19/15 05:00:00 PM,85.035,,,,
60,07/19/15 06:00:00 PM,84.767,,,,
61,07/19/15 07:00:00 PM,84.227,,,,
62,07/19/15 08:00:00 PM,82.530,,,,
63,07/19/15 09:00:00 PM,80.449,,,,
64,07/19/15 10:00:00 PM,78.602,,,,
65,07/19/15 11:00:00 PM,76.986,,,,
66,07/20/15 12:00:00 AM,75.594,,,,
67,07/20/15 01:00:00 AM,74.295,,,,
68,07/20/15 02:00:00 AM,73.040,,,,
69,07/20/15 03:00:00 AM,72.007,,,,
70,07/20/15 04:00:00 AM,70.846,,,,
71,07/20/15 05:00:00 AM,69.771,,,,
72,07/20/15 06:00:00 AM,68.785,,,,
73,07/20/15 07:00:00 AM,67.714,,,,
74,07/20/15 08:00:00 AM,67.199,,,,
75,07/20/15 09:00:00 AM,67.627,,,,
76,07/20/15 10:00:00 AM,68.999,,,,
77,07/20/15 11:00:00 AM,71.146,,,,
78,07/20/15 12:00:00 PM,73.818,,,,
79,07/20/15 01:00:00 PM,76.636,,,,
80,07/20/15 02:00:00 PM,79.304,,,,
81,07/20/15 03:00:00 PM,81.509,,,,
82,07/20/15 04:00:00 PM,83.332,,,,
83,07/20/15 05:00:00 PM,84.362,,,,
84,07/20/15 06:00:00 PM,83.691,,,,
85,07/20/15 07:00:00 PM,82.620,,,,
86,07/20/15 08:00:00 PM,81.154,,,,
87,07/20/15 09:00:00 PM,79.347,,,,
88,07/20/15 10:00:00 PM,77.421,,,,
89,07/20/15 11:00:00 PM,75.637,,,,
90,07/21/15 12:00:00 AM,73.904,,,,
91,07/21/15 01:00:00 AM,72.351,,,,
92,07/21/15 02:00:00 AM,70.930,,,,
93,07/21/15 03:00:00 AM,69.643,,,,
94,07/21/15 04:00:00 AM,68.527,,,,
95,07/21/15 05:00:00 AM,67.456,,,,
96,07/21/15 06:00:00 AM,66.472,,,,
97,07/21/15 07:00:00 AM,65.615,,,,
98,07/21/15 08:00:00 AM,65.273,,,,
99,07/21/15 09:00:00 AM,66.000,,,,
100,07/21/15 10:00:00 AM,67.500,,,,
101,07/21/15 11:00:00 AM,70.072,,,,
102,07/21/15 12:00:00 PM,73.040,,,,
103,07/21/15 01:00:00 PM,75.767,,,,
104,07/21/15 02:00:00 PM,75.853,,,,
105,07/21/15 03:00:00 PM,75.594,,,,
106,07/21/15 04:00:00 PM,74.899,,,,
107,07/21/15 05:00:00 PM,74.077,,,,
108,07/21/15 06:00:00 PM,73.904,,,,
109,07/21/15 07:00:00 PM,73.342,,,,
110,07/21/15 08:00:00 PM,72.696,,,,
111,07/21/15 09:00:00 PM,72.007,,,,
112,07/21/15 10:00:00 PM,71.274,,,,
113,07/21/15 11:00:00 PM,70.543,,,,
114,07/22/15 12:00:00 AM,69.814,,,,
115,07/22/15 01:00:00 AM,69.213,,,,
116,07/22/15 02:00:00 AM,68.657,,,,
117,07/22/15 03:00:00 AM,68.099,,,,
118,07/22/15 04:00:00 AM,67.627,,,,
119,07/22/15 05:00:00 AM,67.114,,,,
120,07/22/15 06:00:00 AM,66.600,,,,
121,07/22/15 07:00:00 AM,66.043,,,,
