"Plot Title: Niobrara Hwy 82- River Road 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612887, SEN S/N: 10612887)","Coupler Attached (LGR S/N: 10612887)","Coupler Detached (LGR S/N: 10612887)","Stopped (LGR S/N: 10612887)","End Of File (LGR S/N: 10612887)"
1,07/10/15 12:00:00 AM,73.407,,,,
2,07/10/15 01:00:00 AM,72.199,,,,
3,07/10/15 02:00:00 AM,71.168,,,,
4,07/10/15 03:00:00 AM,70.137,,,,
5,07/10/15 04:00:00 AM,68.934,,,,
6,07/10/15 05:00:00 AM,68.077,,,,
7,07/10/15 06:00:00 AM,67.392,,,,
8,07/10/15 07:00:00 AM,67.906,,,,
9,07/10/15 08:00:00 AM,71.856,,,,
10,07/10/15 09:00:00 AM,75.484,,,,
11,07/10/15 10:00:00 AM,78.624,,,,
12,07/10/15 11:00:00 AM,80.559,,,,
13,07/10/15 12:00:00 PM,83.043,,,,
14,07/10/15 01:00:00 PM,82.864,,,,
15,07/10/15 02:00:00 PM,85.374,,,,
16,07/10/15 03:00:00 PM,90.867,,,,
17,07/10/15 04:00:00 PM,89.938,,,,
18,07/10/15 05:00:00 PM,89.569,,,,
19,07/10/15 06:00:00 PM,88.833,,,,
20,07/10/15 07:00:00 PM,87.368,,,,
21,07/10/15 08:00:00 PM,85.735,,,,
22,07/10/15 09:00:00 PM,83.221,,,,
23,07/10/15 10:00:00 PM,80.382,,,,
24,07/10/15 11:00:00 PM,78.624,,,,
25,07/11/15 12:00:00 AM,77.050,,,,
26,07/11/15 01:00:00 AM,76.006,,,,
27,07/11/15 02:00:00 AM,74.791,,,,
28,07/11/15 03:00:00 AM,73.580,,,,
29,07/11/15 04:00:00 AM,72.545,,,,
30,07/11/15 05:00:00 AM,70.995,,,,
31,07/11/15 06:00:00 AM,70.137,,,,
32,07/11/15 07:00:00 AM,70.480,,,,
33,07/11/15 08:00:00 AM,77.400,,,,
34,07/11/15 09:00:00 AM,83.579,,,,
35,07/11/15 10:00:00 AM,91.053,,,,
36,07/11/15 11:00:00 AM,99.291,,,,
37,07/11/15 12:00:00 PM,108.536,,,,
38,07/11/15 01:00:00 PM,116.562,,,,
39,07/11/15 02:00:00 PM,118.918,,,,
40,07/11/15 03:00:00 PM,118.206,,,,
41,07/11/15 04:00:00 PM,113.814,,,,
42,07/11/15 05:00:00 PM,109.828,,,,
43,07/11/15 06:00:00 PM,106.624,,,,
44,07/11/15 07:00:00 PM,102.290,,,,
45,07/11/15 08:00:00 PM,97.331,,,,
46,07/11/15 09:00:00 PM,92.550,,,,
47,07/11/15 10:00:00 PM,89.017,,,,
48,07/11/15 11:00:00 PM,86.277,,,,
49,07/12/15 12:00:00 AM,83.399,,,,
50,07/12/15 01:00:00 AM,80.735,,,,
51,07/12/15 02:00:00 AM,78.449,,,,
52,07/12/15 03:00:00 AM,76.528,,,,
53,07/12/15 04:00:00 AM,74.619,,,,
54,07/12/15 05:00:00 AM,72.718,,,,
55,07/12/15 06:00:00 AM,70.824,,,,
56,07/12/15 07:00:00 AM,71.683,,,,
57,07/12/15 08:00:00 AM,78.800,,,,
58,07/12/15 09:00:00 AM,85.014,,,,
59,07/12/15 10:00:00 AM,92.174,,,,
60,07/12/15 11:00:00 AM,100.483,,,,
61,07/12/15 12:00:00 PM,109.828,,,,
62,07/12/15 01:00:00 PM,118.441,,,,
63,07/12/15 02:00:00 PM,120.848,,,,
64,07/12/15 03:00:00 PM,120.605,,,,
65,07/12/15 04:00:00 PM,116.100,,,,
66,07/12/15 05:00:00 PM,112.023,,,,
67,07/12/15 06:00:00 PM,108.536,,,,
68,07/12/15 07:00:00 PM,103.307,,,,
