"Plot Title: Pine Creek South"
"#","Date Time, GMT-06:00","Avg: Temperature, °F (LGR S/N: 10719012)","Coupler Detached (LGR S/N: 10719012)","Coupler Attached (LGR S/N: 10719012)","Stopped (LGR S/N: 10719012)","End Of File (LGR S/N: 10719012)"
1,07/10/15 12:00:00 AM,61.891,Logged,,,
2,07/10/15 01:00:00 AM,61.376,,,,
3,07/10/15 02:00:00 AM,60.904,,,,
4,07/10/15 03:00:00 AM,60.604,,,,
5,07/10/15 04:00:00 AM,60.390,,,,
6,07/10/15 05:00:00 AM,60.174,,,,
7,07/10/15 06:00:00 AM,60.046,,,,
8,07/10/15 07:00:00 AM,60.174,,,,
9,07/10/15 08:00:00 AM,60.690,,,,
10,07/10/15 09:00:00 AM,61.333,,,,
11,07/10/15 10:00:00 AM,61.934,,,,
12,07/10/15 11:00:00 AM,62.062,,,,
13,07/10/15 12:00:00 PM,62.620,,,,
14,07/10/15 01:00:00 PM,62.704,,,,
15,07/10/15 02:00:00 PM,63.990,,,,
16,07/10/15 03:00:00 PM,66.600,,,,
17,07/10/15 04:00:00 PM,68.443,,,,
18,07/10/15 05:00:00 PM,68.614,,,,
19,07/10/15 06:00:00 PM,68.527,,,,
20,07/10/15 07:00:00 PM,68.142,,,,
21,07/10/15 08:00:00 PM,67.329,,,,
22,07/10/15 09:00:00 PM,66.258,,,,
23,07/10/15 10:00:00 PM,65.145,,,,
24,07/10/15 11:00:00 PM,64.117,,,,
25,07/11/15 12:00:00 AM,63.219,,,,
26,07/11/15 01:00:00 AM,62.533,,,,
27,07/11/15 02:00:00 AM,62.019,,,,
28,07/11/15 03:00:00 AM,61.677,,,,
29,07/11/15 04:00:00 AM,61.462,,,,
30,07/11/15 05:00:00 AM,61.205,,,,
31,07/11/15 06:00:00 AM,60.948,,,,
32,07/11/15 07:00:00 AM,60.818,,,,
33,07/11/15 08:00:00 AM,61.248,,,,
34,07/11/15 09:00:00 AM,62.105,,,,
35,07/11/15 10:00:00 AM,63.990,,,,
36,07/11/15 11:00:00 AM,66.087,,,,
37,07/11/15 12:00:00 PM,68.356,,,,
38,07/11/15 01:00:00 PM,70.803,,,,
39,07/11/15 02:00:00 PM,72.997,,,,
40,07/11/15 03:00:00 PM,74.597,,,,
41,07/11/15 04:00:00 PM,75.420,,,,
42,07/11/15 05:00:00 PM,75.117,,,,
43,07/11/15 06:00:00 PM,74.163,,,,
44,07/11/15 07:00:00 PM,72.610,,,,
45,07/11/15 08:00:00 PM,71.231,,,,
46,07/11/15 09:00:00 PM,69.771,,,,
47,07/11/15 10:00:00 PM,68.356,,,,
48,07/11/15 11:00:00 PM,67.158,,,,
49,07/12/15 12:00:00 AM,66.087,,,,
50,07/12/15 01:00:00 AM,65.230,,,,
51,07/12/15 02:00:00 AM,64.375,,,,
52,07/12/15 03:00:00 AM,63.561,,,,
53,07/12/15 04:00:00 AM,62.791,,,,
54,07/12/15 05:00:00 AM,62.148,,,,
55,07/12/15 06:00:00 AM,61.590,,,,
56,07/12/15 07:00:00 AM,61.333,,,,
57,07/12/15 08:00:00 AM,61.462,,,,
58,07/12/15 09:00:00 AM,62.533,,,,
59,07/12/15 10:00:00 AM,64.418,,,,
60,07/12/15 11:00:00 AM,66.643,,,,
61,07/12/15 12:00:00 PM,69.213,,,,
62,07/12/15 01:00:00 PM,71.791,,,,
63,07/12/15 02:00:00 PM,73.818,,,,
64,07/12/15 03:00:00 PM,75.463,,,,
65,07/12/15 04:00:00 PM,75.508,,,,
66,07/12/15 05:00:00 PM,75.029,,,,
67,07/12/15 06:00:00 PM,74.163,,,,
68,07/12/15 07:00:00 PM,72.739,,,,
69,07/12/15 08:00:00 PM,71.447,,,,
70,07/12/15 09:00:00 PM,69.814,,,,
71,07/12/15 10:00:00 PM,68.185,,,,
72,07/12/15 11:00:00 PM,66.857,,,,
73,07/13/15 12:00:00 AM,65.701,,,,
74,07/13/15 01:00:00 AM,64.589,,,,
75,07/13/15 02:00:00 AM,63.561,,,,
76,07/13/15 03:00:00 AM,62.661,,,,
77,07/13/15 04:00:00 AM,61.590,,,,
78,07/13/15 05:00:00 AM,60.948,,,,
79,07/13/15 06:00:00 AM,60.217,,,,
80,07/13/15 07:00:00 AM,59.916,,,,
81,07/13/15 08:00:00 AM,60.217,,,,
82,07/13/15 09:00:00 AM,61.333,,,,
83,07/13/15 10:00:00 AM,63.005,,,,
84,07/13/15 11:00:00 AM,65.788,,,,
85,07/13/15 12:00:00 PM,68.657,,,,
86,07/13/15 01:00:00 PM,71.791,,,,
87,07/13/15 02:00:00 PM,74.899,,,,
88,07/13/15 03:00:00 PM,76.899,,,,
89,07/13/15 04:00:00 PM,77.684,,,,
90,07/13/15 05:00:00 PM,77.464,,,,
91,07/13/15 06:00:00 PM,76.203,,,,
92,07/13/15 07:00:00 PM,74.467,,,,
93,07/13/15 08:00:00 PM,72.826,,,,
94,07/13/15 09:00:00 PM,71.146,,,,
95,07/13/15 10:00:00 PM,69.386,,,,
96,07/13/15 11:00:00 PM,68.056,,,,
97,07/14/15 12:00:00 AM,66.985,,,,
98,07/14/15 01:00:00 AM,66.087,,,,
99,07/14/15 02:00:00 AM,65.102,,,,
100,07/14/15 03:00:00 AM,64.503,,,,
101,07/14/15 04:00:00 AM,62.962,,,,
102,07/14/15 05:00:00 AM,62.276,,,,
103,07/14/15 06:00:00 AM,61.677,,,,
104,07/14/15 07:00:00 AM,61.419,,,,
105,07/14/15 08:00:00 AM,61.633,,,,
106,07/14/15 09:00:00 AM,63.005,,,,
107,07/14/15 10:00:00 AM,66.000,,,,
108,07/14/15 11:00:00 AM,69.213,,,,
109,07/14/15 12:00:00 PM,72.394,,,,
