	Min Daily	Max Daily	Mean Daily	Flux Daily	Median
10-Jul	57.031	62.748	59.99075	5.717	60.26
11-Jul	56.165	65.059	60.66729167	8.894	60.647
12-Jul	56.685	65.059	61.23520833	8.374	61.612
13-Jul	56.34	65.273	60.93025	8.933	61.097
14-Jul	56.728	65.53	61.39579167	8.802	61.7405
15-Jul	58.455	64.717	61.72404167	6.262	62.0625
16-Jul	57.117	65.316	61.31416667	8.199	61.483
17-Jul	57.376	64.589	60.27195833	7.213	60.4105
18-Jul	55.863	62.447	59.25670833	6.584	59.5505
19-Jul	55.558	63.561	59.52366667	8.003	59.486
20-Jul	56.079	63.005	59.84591667	6.926	60.1315
21-Jul	57.85	62.447	59.77366667	4.597	60.0665
22-Jul	49.383	62.406	58.28995833	13.023	58.1525
23-Jul	54.865	63.862	58.84108333	8.997	57.1385
24-Jul	57.074	65.53	61.21966667	8.456	61.376
25-Jul	59.445	65.403	62.49795833	5.958	62.9825
26-Jul	58.023	64.845	61.662625	6.822	61.9975
27-Jul	59.702	66.13	63.05658333	6.428	63.3255
28-Jul	57.463	65.574	60.66729167	8.111	60.991
29-Jul	54.43	62.62	58.48145833	8.19	58.82
30-Jul	57.16	63.862	60.779375	6.702	61.2905
31-Jul	57.376	64.161	61.12995833	6.785	61.6335
1-Aug					
2-Aug					
3-Aug					
4-Aug					
5-Aug					
6-Aug					
7-Aug					
8-Aug					
9-Aug					
10-Aug					
11-Aug					
12-Aug					
13-Aug					
14-Aug					
15-Aug					
16-Aug					
17-Aug					
18-Aug					
19-Aug					
20-Aug					
21-Aug					
22-Aug					
23-Aug					
24-Aug					
25-Aug					
26-Aug					
27-Aug					
28-Aug					
29-Aug					
30-Aug					
31-Aug					
1-Sep					
2-Sep					
3-Sep					
4-Sep					
5-Sep					
6-Sep					
7-Sep					
8-Sep					
9-Sep					
10-Sep					
11-Sep					
12-Sep					
13-Sep					
14-Sep					
15-Sep					
16-Sep					
17-Sep					
18-Sep					
19-Sep					
20-Sep					
21-Sep					
22-Sep					
23-Sep					
24-Sep					
25-Sep					
26-Sep					
27-Sep					
28-Sep					
29-Sep					
30-Sep					
1-Oct					
2-Oct					
3-Oct					
4-Oct					
5-Oct					
6-Oct					
7-Oct					
8-Oct					
9-Oct					
10-Oct					
11-Oct					
12-Oct					
13-Oct					
14-Oct					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
