"Plot Title: Andrews- 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612874, SEN S/N: 10612874)","Coupler Attached (LGR S/N: 10612874)","Coupler Detached (LGR S/N: 10612874)","Stopped (LGR S/N: 10612874)","End Of File (LGR S/N: 10612874)"
1,07/10/15 12:00:00 AM,60.712,,,,
2,07/10/15 01:00:00 AM,60.368,,,,
3,07/10/15 02:00:00 AM,60.024,,,,
4,07/10/15 03:00:00 AM,59.680,,,,
5,07/10/15 04:00:00 AM,59.337,,,,
6,07/10/15 05:00:00 AM,58.993,,,,
7,07/10/15 06:00:00 AM,58.647,,,,
8,07/10/15 07:00:00 AM,58.476,,,,
9,07/10/15 08:00:00 AM,58.647,,,,
10,07/10/15 09:00:00 AM,58.993,,,,
11,07/10/15 10:00:00 AM,59.337,,,,
12,07/10/15 11:00:00 AM,59.508,,,,
13,07/10/15 12:00:00 PM,59.851,,,,
14,07/10/15 01:00:00 PM,61.398,,,,
15,07/10/15 02:00:00 PM,63.626,,,,
16,07/10/15 03:00:00 PM,65.851,,,,
17,07/10/15 04:00:00 PM,67.050,,,,
18,07/10/15 05:00:00 PM,67.050,,,,
19,07/10/15 06:00:00 PM,66.366,,,,
20,07/10/15 07:00:00 PM,66.022,,,,
21,07/10/15 08:00:00 PM,65.167,,,,
22,07/10/15 09:00:00 PM,63.968,,,,
23,07/10/15 10:00:00 PM,63.111,,,,
24,07/10/15 11:00:00 PM,62.425,,,,
25,07/11/15 12:00:00 AM,61.569,,,,
26,07/11/15 01:00:00 AM,60.883,,,,
27,07/11/15 02:00:00 AM,60.368,,,,
28,07/11/15 03:00:00 AM,59.851,,,,
29,07/11/15 04:00:00 AM,59.508,,,,
30,07/11/15 05:00:00 AM,59.164,,,,
31,07/11/15 06:00:00 AM,58.647,,,,
32,07/11/15 07:00:00 AM,58.303,,,,
33,07/11/15 08:00:00 AM,58.476,,,,
34,07/11/15 09:00:00 AM,59.164,,,,
35,07/11/15 10:00:00 AM,60.712,,,,
36,07/11/15 11:00:00 AM,62.940,,,,
37,07/11/15 12:00:00 PM,65.167,,,,
38,07/11/15 01:00:00 PM,67.392,,,,
39,07/11/15 02:00:00 PM,69.278,,,,
40,07/11/15 03:00:00 PM,70.651,,,,
41,07/11/15 04:00:00 PM,71.168,,,,
42,07/11/15 05:00:00 PM,70.824,,,,
43,07/11/15 06:00:00 PM,69.793,,,,
44,07/11/15 07:00:00 PM,68.592,,,,
45,07/11/15 08:00:00 PM,67.221,,,,
46,07/11/15 09:00:00 PM,66.022,,,,
47,07/11/15 10:00:00 PM,64.996,,,,
48,07/11/15 11:00:00 PM,64.139,,,,
49,07/12/15 12:00:00 AM,63.282,,,,
50,07/12/15 01:00:00 AM,62.254,,,,
