"Plot Title: 9 Mile OFW"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783598, SEN S/N: 9783598)","Coupler Detached (LGR S/N: 9783598)","Coupler Attached (LGR S/N: 9783598)","Host Connected (LGR S/N: 9783598)","Stopped (LGR S/N: 9783598)","End Of File (LGR S/N: 9783598)"
1,05/26/16 01:00:00 PM,62.447,Logged,,,,
2,05/26/16 01:15:00 PM,62.533,,,,,
3,05/26/16 01:30:00 PM,62.704,,,,,
4,05/26/16 01:45:00 PM,62.834,,,,,
5,05/26/16 02:00:00 PM,62.919,,,,,
6,05/26/16 02:15:00 PM,62.962,,,,,
7,05/26/16 02:30:00 PM,62.962,,,,,
8,05/26/16 02:45:00 PM,62.962,,,,,
9,05/26/16 03:00:00 PM,62.962,,,,,
10,05/26/16 03:15:00 PM,62.962,,,,,
11,05/26/16 03:30:00 PM,63.005,,,,,
12,05/26/16 03:45:00 PM,63.090,,,,,
13,05/26/16 04:00:00 PM,63.262,,,,,
14,05/26/16 04:15:00 PM,63.433,,,,,
15,05/26/16 04:30:00 PM,63.390,,,,,
16,05/26/16 04:45:00 PM,63.347,,,,,
17,05/26/16 05:00:00 PM,63.304,,,,,
18,05/26/16 05:15:00 PM,63.390,,,,,
19,05/26/16 05:30:00 PM,63.347,,,,,
20,05/26/16 05:45:00 PM,63.347,,,,,
21,05/26/16 06:00:00 PM,63.262,,,,,
22,05/26/16 06:15:00 PM,63.262,,,,,
23,05/26/16 06:30:00 PM,63.304,,,,,
24,05/26/16 06:45:00 PM,63.304,,,,,
25,05/26/16 07:00:00 PM,63.219,,,,,
26,05/26/16 07:15:00 PM,63.090,,,,,
27,05/26/16 07:30:00 PM,62.919,,,,,
28,05/26/16 07:45:00 PM,62.791,,,,,
29,05/26/16 08:00:00 PM,62.704,,,,,
30,05/26/16 08:15:00 PM,62.577,,,,,
31,05/26/16 08:30:00 PM,62.362,,,,,
32,05/26/16 08:45:00 PM,62.233,,,,,
33,05/26/16 09:00:00 PM,62.062,,,,,
34,05/26/16 09:15:00 PM,61.934,,,,,
